# lemma(verbal-noun)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;COND;1;SG	V;COND;2;SG	V;COND;3;SG	V;COND;1;PL	V;COND;2;PL	V;COND;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
бару	-	-	-	-	-	-	-	-	-	-	-	-	барырмын	барырсың	барыр	барырбыз	барырсыз	барырлар	-	-	-	-	-	-	-	-	-
булу	-	-	-	-	-	-	-	-	-	-	-	-	булырмын	булырсың	булыр	булырбыз	булырсыз	булырлар	-	-	-	-	-	-	-	-	-
йөрү	йөрим	йөрисең	йөри	йөрибез	йөрисез	йөриләр	-	-	-	-	-	-	йөррмен	йөррсең	йөрр	йөррбез	йөррсез	йөррләр	-	-	-	-	-	-	-	-	-
сөйләү	-	-	-	-	-	-	-	-	-	-	-	-	сөйләрмн	сөйләрсң	-	сөйләрбз	сөйләрсз	сөйләрлр	-	-	-	-	-	-	-	-	-
тиү	-	-	-	-	-	-	титем	титең	тите	титек	титегез	тителәр	тиермен	тиерсең	тиер	тиербез	тиерсез	тиерләр	-	-	-	-	-	-	-	-	-
тулу	-	-	-	-	-	-	-	-	-	-	-	-	тулырмын	тулырсың	тулыр	тулырбыз	тулырсыз	тулырлар	-	-	-	-	-	-	-	-	-
