# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
жечь	жгу,жжёшь,жжёт,жжём,жжёте,жгут	жёг,жгла,жгло,жгли	жги,жгите	1
живать	живаю,живаешь,живает,живаем,живаете,живаают	-	-	1
живописать	живописую,живописуешь,живописует,живописуем,живописуете,живописуют	-	живописуй,живописуйте	-
жигануть	жигану,жиганёшь,жиганёт,жиганём,жиганёте,жиганут	-	-	-
жилить	-	-	жиль,жильте	-
жить	живу,живёшь,живёт,живём,живёте,живут	-	живи,живите	1
жмурить	-	-	жмурь,жмурьте	-
жолкнуть	-	жолкнул,жолкла,жолкло,жолкли	-	1
жрать	жру,жрёшь,жрёт,жрём,жрёте,жрут	-	жри,жрите	-
жужжать	жужжу,жужжишь,жужжит,жужжим,жужжите,жужжат	-	жужжи,жужжите	-
жулить	-	-	жуль,жульте	-
жучить	-	-	жучь,жучьте	-
забавить	-	-	забавь,забавьте	-
забить	забью,забьёшь,забьёт,забьём,забьёте,забьют	-	забей,забейте	-
заблагорассудить	-	-	заблагорассудь,заблагорассудьте	-
заблочить	блочу,блочишь,блочит,блочим,блочите,блочат	блочил,блочила,блочило,блочили	блочь,блочьте	-
заболевать	заболеваю,заболеваешь,заболевает,заболеваем,заболеваете,заболевают	-	заболевай,заболевайте	-
заболотить	-	-	заболоть,заболотьте	-
заботить	-	-	заботь,заботьте	-
забрать	заберу,заберёшь,заберёт,заберём,заберёте,заберут	-	забери,заберите	-
забрести	забреду,забредёшь,забредёт,забредём,забредёте,забредут	забрёл,забрела,забрело,забрели	забреди,забредите	-
забрить	забрею,забреешь,забреет,забреем,забреете,забреют	-	забрей,забрейте	-
забухнуть	-	забух,забухла,забухло,забухли	-	-
забучить	-	-	забучь,забучьте	-
завевать	завеваю,завеваешь,завевает,завеваем,завеваете,завевают	-	завевай,завевайте	-
завезти	завезу,завезёшь,завезёт,завезём,завезёте,завезут	завёз,завезла,завезло,завезли	завези,завезите	-
заверить	-	-	заверь,заверьте	-
завернуть	заверну,завернёшь,завернёт,завернём,завернёте,завернут	-	-	-
завести	заведу,заведёшь,заведёт,заведём,заведёте,заведут	завёл,завела,завело,завели	заведи,заведите	-
завидеть	завижу,завидишь,завидит,завидим,завидите,завидят	-	завидь,завидьте	-
зависеть	завишу,зависишь,зависит,зависим,зависите,зависят	-	зави,зависьте	-
зависнуть	-	завис,зависла,зависло,зависли	-	-
завить	завью,завьёшь,завьёт,завьём,завьёте,завьют	-	завей,завейте	-
завладевать	завладеваю,завладеваешь,завладевает,завладеваем,завладеваете,завладевают	-	завладевай,завладевайте	-
завязать	завяжу,завяжешь,завяжет,завяжем,завяжете,завяжут	-	завяжи,завяжите	-
завязнуть	-	завяз,завязла,завязло,завязли	-	-
завялить	-	-	завяль,завяльте	-
загаснуть	-	загас,загасла,загасло,загасли	-	-
заглохнуть	-	заглох,заглохла,заглохло,заглохли	-	-
загнать	загоню,загонишь,загонит,загоним,загоните,загонят	-	загони,загоните	-
загнить	загнию,загниёшь,загниёт,загниём,загниёте,загниют	-	-	-
загнуть	загну,загнёшь,загнёт,загнём,загнёте,загнут	-	-	-
загрести	загребу,загребёшь,загребёт,загребём,загребёте,загребут	загрёб,загребла,загребло,загребли	загреби,загребите	-
загрузнуть	-	загруз,загрузла,загрузло,загрузли	-	-
загрязнуть	-	загряз,загрязла,загрязло,загрязли	-	-
задать	задам,задашь,задаст,зададим,зададите,зададут	-	-	-
задевать	задеваю,задеваешь,задевает,задеваем,задеваете,задевают	-	задевай,задевайте	-
задеть	задену,заденешь,заденет,заденем,заденете,заденут	-	задень,заденьте	-
задорить	-	-	задорь,задорьте	-
задохнуть	задохну,задохнёшь,задохнёт,задохнём,задохнёте,задохнут	-	-	-
задрать	задеру,задерёшь,задерёт,задерём,задерёте,задерут	-	задери,задерите	-
задрыхнуть	-	задрых,задрыхла,задрыхло,задрыхли	-	-
заесть	заем,заешь,заест,заедим,заедите,заедят	заел,заела,заело,заели	заешь,заешьте	-
заехать	заеду,заедешь,заедет,заедем,заедете,заедут	-	заезжай,заезжайте	-
зажарить	-	-	зажарь,зажарьте	-
зажать	зажму,зажмёшь,зажмёт,зажмём,зажмёте,зажмут	-	зажми,зажмите	-
заждать	зажду,заждёшь,заждёт,заждём,заждёте,заждут	-	зажди,заждите	-
зажевать	зажую,зажуёшь,зажуёт,зажуём,зажуёте,зажуют	-	-	-
зажечь	зажгу,зажжёшь,зажжёт,зажжём,зажжёте,зажгут	зажёг,зажгла,зажгло,зажгли	зажги,зажгите	-
зажить	заживу,заживёшь,заживёт,заживём,заживёте,заживут	-	заживи,заживите	-
зажухнуть	-	зажух,зажухла,зажухло,зажухли	-	-
зазвать	зазову,зазовёшь,зазовёт,зазовём,зазовёте,зазовут	-	зазови,зазовите	-
зазевать	зазеваю,зазеваешь,зазевает,зазеваем,зазеваете,зазевают	-	зазевай,зазевайте	-
зазжечь	зазжгу,зазжжёшь,зазжжёт,зазжжём,зазжжёте,зазжгут	зазжёг,зазжгла,зазжгло,зазжгли	зазжги,зазжгите	-
зазнавать	зазнаю,зазнаёшь,зазнаёт,зазнаём,зазнаёте,зазнают	-	-	-
зазуммерить	-	-	зазуммери,зазуммерьте	-
зазябнуть	-	зазяб,зазябла,зазябло,зазябли	-	-
заикнуть	заикну,заикнёшь,заикнёт,заикнём,заикнёте,заикнут	-	-	-
заилить	-	-	заиль,заильте	-
зайти	зайду,зайдёшь,зайдёт,зайдём,зайдёте,зайдут	зашёл,зашла,зашло,зашли	зайди,зайдите	-
закавычить	-	-	закавычь,закавычьте	-
закиснуть	-	закис,закисла,закисло,закисли	-	-
заклаксонить	-	-	заклаксонь,заклаксоньте	-
заклевать	заклюю,заклюёшь,заклюёт,заклюём,заклюёте,заклюют	-	заклюй,заклюйте	-
закликать	закличу,закличешь,закличет,закличем,закличете,закличут	-	закличь,закличьте	-
заклинить	-	-	заклинь,заклиньте	-
заковать	закую,закуёшь,закуёт,закуём,закуёте,закуют	-	-	-
закостеневать	закостеневаю,закостеневаешь,закостеневает,закостеневаем,закостеневаете,закостеневают	-	закостеневай,закостеневайте	-
закупорить	-	-	закупорь,закупорьте	-
заладить	-	-	заладь,заладьте	-
залазить	-	-	залазь,залазьте	-
залезть	залезу,залезешь,залезет,залезем,залезете,залезут	залез,залезла,залезло,залезли	залезь,залезьте	-
залечь	залягу,заляжешь,заляжет,заляжем,заляжете,залягут	залёг,залегла,залегло,залегли	заляг,залягте	-
залипнуть	-	залип,залипла,залипло,залипли	-	-
залить	залью,зальёшь,зальёт,зальём,зальёте,зальют	-	залей,залейте	-
замазать	замажу,замажешь,замажет,замажем,замажете,замажут	-	замажь,замажьте	-
замахнуть	замахну,замахнёшь,замахнёт,замахнём,замахнёте,замахнут	-	-	-
замереть	замру,замрёшь,замрёт,замрём,замрёте,замрут	замер,замерла,замерло,замерли	замри,замрите	-
замерить	-	-	замерь,замерьте	-
замести	замету,заметёшь,заметёт,заметём,заметёте,заметут	замёл,замела,замело,замели	замети,заметите	-
заметать	замечу,замечешь,замечет,замечем,замечете,замечут	-	замечи,замечите	-
замкнуть	замкну,замкнёшь,замкнёт,замкнём,замкнёте,замкнут	-	-	-
замокнуть	-	замок,замокла,замокло,замокли	-	-
замолкнуть	-	замолк,замолкла,замолкло,замолкли	-	-
замучить	замучаю,замучаешь,замучает,замучаем,замучаете,замучают	-	замучай,замучайте	-
замьютить	-	тролил,тролила,тролило,тролили	троль,трольте	-
замютить	замьючу,замьютишь,замьютит,замьютим,замьютите,замьютят	замьютил,замьютила,замьютило,замьютили	-	-
замять	замну,замнёшь,замнёт,замнём,замнёте,замнут	-	замни,замните	-
занавозить	-	-	занавозь,занавозьте	-
занедужить	-	-	занедужь,занедужьте	-
занести	занесу,занесёшь,занесёт,занесём,занесёте,занесут	занёс,занесла,занесло,занесли	занеси,занесите	-
занизить	-	-	занизь,занизьте	-
занять	займу,займёшь,займёт,займём,займёте,займут	-	займи,займите	-
заорать	заору,заорёшь,заорёт,заорём,заорёте,заорут	-	заори,заорите	-
запарить	-	-	запарь,запарьте	-
запасть	западу,западёшь,западёт,западём,западёте,западут	запал,запала,запало,запали	запади,западите	-
запахнуть	запахну,запахнёшь,запахнёт,запахнём,запахнёте,запахнут	запах,запахла,запахло,запахли	-	-
запевать	запеваю,запеваешь,запевает,запеваем,запеваете,запевают	-	запевай,запевайте	-
запенить	-	-	запень,запеньте	-
запереть	запру,запрёшь,запрёт,запрём,запрёте,запрут	запер,заперла,заперло,заперли	запри,заприте	-
запеть	запою,запоёшь,запоёт,запоём,запоёте,запоют	-	запой,запойте	-
запечатлевать	запечатлеваю,запечатлеваешь,запечатлевает,запечатлеваем,запечатлеваете,запечатлевают	-	запечатлевай,запечатлевайте	-
запечь	запеку,запечёшь,запечёт,запечём,запечёте,запекут	запёк,запекла,запекло,запекли	запеки,запеките	-
записать	запишу,запишешь,запишет,запишем,запишете,запишут	-	запиши,запишите	1
запить	запью,запьёшь,запьёт,запьём,запьёте,запьют	-	запей,запейте	-
запихнуть	запихну,запихнёшь,запихнёт,запихнём,запихнёте,запихнут	-	-	-
заплакать	заплачу,заплачешь,заплачет,заплачем,заплачете,заплачут	-	заплачь,заплачьте	-
заплеснуть	заплесну,заплеснёшь,заплеснёт,заплеснём,заплеснёте,заплеснут	-	-	-
заплести	заплету,заплетёшь,заплетёт,заплетём,заплетёте,заплетут	заплёл,заплела,заплело,заплели	заплети,заплетите	-
запнуть	запну,запнёшь,запнёт,запнём,запнёте,запнут	-	-	-
заполоснуть	заполосну,заполоснёшь,заполоснёт,заполоснём,заполоснёте,заполоснут	-	-	-
запорхнуть	запорхну,запорхнёшь,запорхнёт,запорхнём,запорхнёте,запорхнут	-	-	-
запотевать	запотеваю,запотеваешь,запотевает,запотеваем,запотеваете,запотевают	-	запотевай,запотевайте	-
запревать	запреваю,запреваешь,запревает,запреваем,запреваете,запревают	-	запревай,запревайте	-
запретить	запрещу,запретишь,запретит,запретим,запретите,запретят	-	-	-
запрячь	запрягу,запряжёшь,запряжёт,запряжём,запряжёте,запрягут	запряг,запрягла,запрягло,запрягли	запряги,запрягите	-
запузырить	-	-	запузырь,запузырьте	-
запухнуть	-	запух,запухла,запухло,запухли	-	-
запятить	-	-	запять,запятьте	-
зарезать	зарежу,зарежешь,зарежет,зарежем,зарежете,зарежут	-	зарежь,зарежьте	-
заречь	зареку,заречёшь,заречёт,заречём,заречёте,зарекут	зарёк,зарекла,зарекло,зарекли	зареки,зареките	-
заржать	заржу,заржёшь,заржёт,заржём,заржёте,заржут	-	заржи,заржите	-
зарить	-	-	зарь,зарьте	1
зарифить	-	-	зарифь,зарифьте	-
зарыбить	-	-	зарыбь,зарыбьте	-
засалить	-	-	засаль,засальте	-
засахарить	-	-	засахари,засахарьте	-
засвербеть	засверблю,засвербишь,засвербит,засвербим,засвербите,засвербят	-	засверби,засвербите	-
засдать	засдам,засдашь,засдаст,засдадим,засдадите,засдадут	-	-	-
засевать	засеваю,засеваешь,засевает,засеваем,засеваете,засевают	-	засевай,засевайте	-
засекретить	-	-	засекреть,засекретьте	-
засечь	засеку,засечёшь,засечёт,засечём,засечёте,засекут	засёк,засекла,засекло,засекли	засеки,засеките	-
заскорузнуть	-	заскоруз,заскорузла,заскорузло,заскорузли	-	-
заскрести	заскребу,заскребёшь,заскребёт,заскребём,заскребёте,заскребут	заскрёб,заскребла,заскребло,заскребли	заскреби,заскребите	-
засмотреть	засмотрю,засмотришь,засмотрит,засмотрим,засмотрите,засмотрят	-	засмотри,засмотрите	-
засновать	засную,заснуёшь,заснуёт,заснуём,заснуёте,заснуют	-	-	-
заснуть	засну,заснёшь,заснёт,заснём,заснёте,заснут	-	-	-
заснять	засниму,заснимешь,заснимет,заснимем,заснимете,заснимут	-	засними,заснимите	-
засовать	засую,засуёшь,засуёт,засуём,засуёте,засуют	-	-	-
засохнуть	-	засох,засохла,засохло,засохли	-	-
заспорить	-	-	заспорь,заспорьте	-
застаревать	застареваю,застареваешь,застаревает,застареваем,застареваете,застаревают	-	застаревай,застаревайте	-
застать	застану,застанешь,застанет,застанем,застанете,застанут	-	застань,застаньте	-
застегнуть	застегну,застегнёшь,застегнёт,застегнём,застегнёте,застегнут	-	-	-
застигнуть	-	застиг,застигла,застигло,застигли	-	-
застлать	застелю,застелешь,застелет,застелем,застелете,застелют	-	застели,застелите	-
застоять	застою,застоишь,застоит,застоим,застоите,застоят	-	застой,застойте	-
застревать	застреваю,застреваешь,застревает,застреваем,застреваете,застревают	-	застревай,застревайте	-
заструить	-	-	заструй,заструйте	-
застрять	застряну,застрянешь,застрянет,застрянем,застрянете,застрянут	-	застрянь,застряньте	-
засыпать	засыплю,засыплешь,засыплет,засыплем,засыплете,засыплют	-	засыпь,засыпьте	-
затараторить	-	-	затараторь,затараторьте	-
затарить	-	-	затарь,затарьте	-
затвердевать	затвердеваю,затвердеваешь,затвердевает,затвердеваем,затвердеваете,затвердевают	-	затвердевай,затвердевайте	-
затевать	затеваю,затеваешь,затевает,затеваем,затеваете,затевают	-	затевай,затевайте	-
затереть	затру,затрёшь,затрёт,затрём,затрёте,затрут	затёр,затёрла,затёрло,затёрли	затри,затрите	-
затерпнуть	-	затерп,затерпла,затерпло,затерпли	-	-
затечь	затеку,затечёшь,затечёт,затечём,затечёте,затекут	затёк,затекла,затекло,затекли	затеки,затеките	-
затешить	-	-	затешь,затешьте	-
затеять	затею,затеешь,затеет,затеем,затеете,затеют	-	затей,затейте	-
затихнуть	-	затих,затихла,затихло,затихли	-	-
заткнуть	заткну,заткнёшь,заткнёт,заткнём,заткнёте,заткнут	-	-	-
затмевать	затмеваю,затмеваешь,затмевает,затмеваем,затмеваете,затмевают	-	затмевай,затмевайте	-
затоварить	-	-	затоварь,затоварьте	-
затолкнуть	затолкну,затолкнёшь,затолкнёт,затолкнём,затолкнёте,затолкнут	-	-	-
затопорщить	-	-	затопорщь,затопорщьте	-
затрепать	затреплю,затреплешь,затреплет,затреплем,затреплете,затреплют	-	затрепли,затреплите	-
затухнуть	-	затух,затухла,затухло,затухли	-	-
заузить	-	-	заузь,заузьте	-
зафлажить	-	-	зафлажь,зафлажьте	-
захлебнуть	захлебну,захлебнёшь,захлебнёт,захлебнём,захлебнёте,захлебнут	-	-	-
захлестнуть	захлестну,захлестнёшь,захлестнёт,захлестнём,захлестнёте,захлестнут	-	-	-
захолонуть	захолону,захолонёшь,захолонёт,захолонём,захолонёте,захолонут	-	-	-
захряснуть	-	захряс,захрясла,захрясло,захрясли	-	-
зацвести	зацвету,зацветёшь,зацветёт,зацветём,зацветёте,зацветут	зацвёл,зацвела,зацвело,зацвели	зацвети,зацветите	-
зациклить	-	-	зацикль,зацикльте	-
зачать	зачну,зачнёшь,зачнёт,зачнём,зачнёте,зачнут	-	зачни,зачните	-
зачахнуть	-	зачах,зачахла,зачахло,зачахли	-	-
зачеркнуть	зачеркну,зачеркнёшь,зачеркнёт,зачеркнём,зачеркнёте,зачеркнут	-	-	-
зачерпнуть	зачерпну,зачерпнёшь,зачерпнёт,зачерпнём,зачерпнёте,зачерпнут	-	-	-
зачесть	зачту,зачтёшь,зачтёт,зачтём,зачтёте,зачтут	зачёл,зачла,зачло,зачли	зачти,зачтите	-
зашарить	-	-	зашарь,зашарьте	-
зашвырнуть	зашвырну,зашвырнёшь,зашвырнёт,зашвырнём,зашвырнёте,зашвырнут	-	-	-
зашибить	зашибу,зашибёшь,зашибёт,зашибём,зашибёте,зашибут	зашиб,зашибла,зашибло,зашибли	-	-
зашить	зашью,зашьёшь,зашьёт,зашьём,зашьёте,зашьют	-	зашей,зашейте	-
зашпандорить	-	-	зашпандорь,зашпандорьте	-
зашпилить	-	-	зашпиль,зашпильте	-
зашторить	-	-	зашторь,зашторьте	-
защипнуть	защипну,защипнёшь,защипнёт,защипнём,защипнёте,защипнут	-	-	-
защитить	защищу,защитишь,защитит,защитим,защитите,защитят	-	-	-
заякорить	-	-	заякори,заякорьте	-
звать	зову,зовёшь,зовёт,зовём,зовёте,зовут	-	зови,зовите	1
звездануть	звездану,звезданёшь,звезданёт,звезданём,звезданёте,звезданут	-	-	-
звенеть	звеню,звенишь,звенит,звеним,звените,звенят	-	звени,звените	-
звучать	звучу,звучишь,звучит,звучим,звучите,звучат	-	звучи,звучите	-
здоровать	здороваю,здороваешь,здоровает,здороваем,здороваете,здоровают	-	здоровай,здоровайте	-
зевнуть	зевну,зевнёшь,зевнёт,зевнём,зевнёте,зевнут	-	-	-
зиждить	зижду,зиждешь,зиждет,зиждем,зиждете,зиждут	-	-	-
злобить	-	-	злобь,злобьте	-
злословить	-	-	злословь,злословьте	-
знакомить	-	-	знакомь,знакомьте	-
знахарить	-	-	знахарь,знахарьте	-
значить	-	-	значь,значьте	-
зоревать	зорюю,зорюешь,зорюет,зорюем,зорюете,зорюют	-	зорюй,зорюйте	-
зреть	зрю,зришь,зрит,зрим,зрите,зрят	-	зри,зрите	1
зудеть	зужу,зудишь,зудит,зудим,зудите,зудят	-	зуди,зудите	-
зуммерить	-	-	зуммерь,зуммерьте	1
зыбить	зыблю,зыблешь,зыблет,зыблем,зыблете,зыблют	-	зыбь,зыбьте	-
игрануть	играну,игранёшь,игранёт,игранём,игранёте,игранут	-	-	-
идти	иду,идёшь,идёт,идём,идёте,идут	шёл,шла,шло,шли	иди,идите	1
избавить	-	-	избавь,избавьте	-
избить	изобью,изобьёшь,изобьёт,изобьём,изобьёте,изобьют	-	избей,избейте	-
избоченить	-	-	избочень,избоченьте	-
избрать	изберу,изберёшь,изберёт,изберём,изберёте,изберут	-	избери,изберите	-
извергнуть	-	изверг,извергла,извергло,извергли	-	-
изверить	-	-	изверь,изверьте	-
извернуть	изверну,извернёшь,извернёт,извернём,извернёте,извернут	-	-	-
извести	изведу,изведёшь,изведёт,изведём,изведёте,изведут	извёл,извела,извело,извели	изведи,изведите	-
извить	изовью,изовьёшь,изовьёт,изовьём,изовьёте,изовьют	-	извей,извейте	-
изволить	-	-	изволь,извольте	-
извратить	извращу,извратишь,извратит,извратим,извратите,извратят	-	-	-
извязать	извяжу,извяжешь,извяжет,извяжем,извяжете,извяжут	-	извяжи,извяжите	-
изгнать	изгоню,изгонишь,изгонит,изгоним,изгоните,изгонят	-	изгони,изгоните	-
изгнить	изгнию,изгниёшь,изгниёт,изгниём,изгниёте,изгниют	-	-	-
издать	издам,издашь,издаст,издадим,издадите,издадут	-	-	-
издевать	издеваю,издеваешь,издевает,издеваем,издеваете,издевают	-	издевай,издевайте	-
издохнуть	-	издох,издохла,издохло,издохли	-	-
издрогнуть	-	издрог,издрогла,издрогло,издрогли	-	-
изжарить	-	-	изжарь,изжарьте	-
изжевать	изжую,изжуёшь,изжуёт,изжуём,изжуёте,изжуют	-	-	-
изжечь	изожгу,изожжёшь,изожжёт,изожжём,изожжёте,изожгут	изжёг,изожгла,изожгло,изожгли	изожги,изожгите	-
изжить	изживу,изживёшь,изживёт,изживём,изживёте,изживут	-	изживи,изживите	-
иззябнуть	-	иззяб,иззябла,иззябло,иззябли	-	-
изладить	-	-	изладь,изладьте	-
излазить	-	-	излазь,излазьте	-
излить	изолью,изольёшь,изольёт,изольём,изольёте,изольют	-	излей,излейте	-
измазать	измажу,измажешь,измажет,измажем,измажете,измажут	-	измажь,измажьте	-
измерить	-	-	измерь,измерьте	-
измещанить	-	-	измещань,измещаньте	-
измокнуть	-	измок,измокла,измокло,измокли	-	-
измучить	измучаю,измучаешь,измучает,измучаем,измучаете,измучают	-	измучай,измучайте	-
измылить	-	-	измыль,измыльте	-
измять	изомну,изомнёшь,изомнёт,изомнём,изомнёте,изомнут	-	изомни,изомните	-
изнежить	-	-	изнежь,изнежьте	-
изничтожить	-	-	изничтожь,изничтожьте	-
изобрести	изобрету,изобретёшь,изобретёт,изобретём,изобретёте,изобретут	изобрёл,изобрела,изобрело,изобрели	изобрети,изобретите	-
изогнуть	изогну,изогнёшь,изогнёт,изогнём,изогнёте,изогнут	-	-	-
изодрать	издеру,издерёшь,издерёт,издерём,издерёте,издерут	-	издери,издерите	-
изойти	изойду,изойдёшь,изойдёт,изойдём,изойдёте,изойдут	изошёл,изошла,изошло,изошли	изойди,изойдите	-
изостлать	исстелю,исстелешь,исстелет,исстелем,исстелете,исстелют	-	исстели,исстелите	-
изранить	-	-	изрань,израньте	-
изрезать	изрежу,изрежешь,изрежет,изрежем,изрежете,изрежут	-	изрежь,изрежьте	-
изречь	изреку,изречёшь,изречёт,изречём,изречёте,изрекут	изрёк,изрекла,изрекло,изрекли	изреки,изреките	-
изрыгнуть	изрыгну,изрыгнёшь,изрыгнёт,изрыгнём,изрыгнёте,изрыгнут	-	-	-
изъесть	изъем,изъешь,изъест,изъедим,изъедите,изъедят	изъел,изъела,изъело,изъели	изъешь,изъешьте	-
изъять	изыму,изымешь,изымет,изымем,изымете,изымут	-	изыми,изымите	-
изыскать	изыщу,изыщешь,изыщет,изыщем,изыщете,изыщут	-	изыщи,изыщите	-
икнуть	икну,икнёшь,икнёт,икнём,икнёте,икнут	-	-	1
искать	ищу,ищешь,ищет,ищем,ищете,ищут	-	ищи,ищите	1
испить	изопью,изопьёшь,изопьёт,изопьём,изопьёте,изопьют	-	испей,испейте	-
иссалить	-	-	иссаль,иссальте	-
иссякнуть	-	иссяк,иссякла,иссякло,иссякли	-	-
истереть	изотру,изотрёшь,изотрёт,изотрём,изотрёте,изотрут	истёр,истёрла,истёрло,истёрли	изотри,изотрите	-
истлевать	истлеваю,истлеваешь,истлевает,истлеваем,истлеваете,истлевают	-	истлевай,истлевайте	-
исторгнуть	-	исторг,исторгла,исторгло,исторгли	-	-
истрепать	истреплю,истреплешь,истреплет,истреплем,истреплете,истреплют	-	истрепли,истреплите	-
исчахнуть	-	исчах,исчахла,исчахло,исчахли	-	-
исчезнуть	-	исчез,исчезла,исчезло,исчезли	-	-
исшарить	-	-	исшарь,исшарьте	-
исшить	изошью,изошьёшь,изошьёт,изошьём,изошьёте,изошьют	-	исшей,исшейте	-
итожить	-	-	итожь,итожьте	-
ишачить	-	-	ишачь,ишачьте	-
казать	кажу,кажешь,кажет,кажем,кажете,кажут	-	кажи,кажите	-
каламбурить	-	-	каламбурь,каламбурьте	-
калевать	калюю,калюешь,калюет,калюем,калюете,калюют	-	калюй,калюйте	-
калечить	-	-	калечь,калечьте	-
канителить	-	-	канитель,канительте	-
канифолить	-	-	канифоль,канифольте	-
кануть	-	-	кань,каньте	1
канючить	-	-	канючь,канючьте	-
караулить	-	-	карауль,караульте	-
карикатурить	-	-	карикатурь,карикатурьте	-
картавить	-	-	картавь,картавьте	-
катнуть	катну,катнёшь,катнёт,катнём,катнёте,катнут	-	-	-
качнуть	качну,качнёшь,качнёт,качнём,качнёте,качнут	-	-	-
кашеварить	-	-	кашеварь,кашеварьте	-
кашлянуть	-	-	кашлянь,кашляньте	1
каять	каю,каешь,кает,каем,каете,кают	-	кай,кайте	-
квасить	-	-	квась,квасьте	-
квохтать	квохчу,квохчешь,квохчет,квохчем,квохчете,квохчут	-	квохчи,квохчите	-
кемарить	-	-	кемарь,кемарьте	-
кивнуть	кивну,кивнёшь,кивнёт,кивнём,кивнёте,кивнут	-	-	-
килевать	килюю,килюешь,килюет,килюем,килюете,килюют	-	килюй,килюйте	-
кинуть	-	-	кинь,киньте	-
кипеть	киплю,кипишь,кипит,кипим,кипите,кипят	-	кипи,кипите	-
кишеть	кишу,кишишь,кишит,кишим,кишите,кишат	-	киши,кишите	-
класть	кладу,кладёшь,кладёт,кладём,кладёте,кладут	клал,клала,клало,клали	клади,кладите	-
клевать	клюю,клюёшь,клюёт,клюём,клюёте,клюют	-	клюй,клюйте	1
клеветать	клевещу,клевещешь,клевещет,клевещем,клевещете,клевещут	-	клевещи,клевещите	-
клеить	-	-	клей,клейте	-
клекотать	клекочу,клекочешь,клекочет,клекочем,клекочете,клекочут	-	клекочи,клекочите	-
кликать	кличу,кличешь,кличет,кличем,кличете,кличут	-	кличь,кличьте	1
клокотать	клокочу,клокочешь,клокочет,клокочем,клокочете,клокочут	-	клокочи,клокочите	-
клохтать	клохчу,клохчешь,клохчет,клохчем,клохчете,клохчут	-	клохчи,клохчите	-
клочить	-	-	клочь,клочьте	-
клюнуть	-	-	клюнь,клюньте	-
клясть	кляну,клянёшь,клянёт,клянём,клянёте,клянут	клял,кляла,кляло,кляли	кляни,кляните	-
княжить	-	-	княжь,княжьте	-
кобенить	-	-	кобень,кобеньте	-
ковать	кую,куёшь,куёт,куём,куёте,куют	-	куй,куйте	1
ковырнуть	ковырну,ковырнёшь,ковырнёт,ковырнём,ковырнёте,ковырнут	-	-	1
козырнуть	козырну,козырнёшь,козырнёт,козырнём,козырнёте,козырнут	-	-	-
колебать	колеблю,колеблешь,колеблет,колеблем,колеблете,колеблют	-	колебли,колеблите	-
колебнуть	колебну,колебнёшь,колебнёт,колебнём,колебнёте,колебнут	-	-	-
колобродить	-	-	колобродь,колобродьте	-
колонуть	колону,колонёшь,колонёт,колонём,колонёте,колонут	-	-	-
колоть	колю,колешь,колет,колем,колете,колют	-	коли,колите	-
колошматить	-	-	колошмать,колошматьте	-
колпачить	-	-	колпачь,колпачьте	-
колтыхнуть	колтыхну,колтыхнёшь,колтыхнёт,колтыхнём,колтыхнёте,колтыхнут	-	-	-
колупнуть	колупну,колупнёшь,колупнёт,колупнём,колупнёте,колупнут	-	-	1
колыхнуть	колыхну,колыхнёшь,колыхнёт,колыхнём,колыхнёте,колыхнут	-	-	-
коноводить	-	-	коноводь,коноводьте	-
конопатить	-	-	конопать,конопатьте	-
контузить	-	-	контузь,контузьте	-
конфузить	-	-	конфузь,конфузьте	-
копануть	копану,копанёшь,копанёт,копанём,копанёте,копанут	-	-	-
копнуть	копну,копнёшь,копнёт,копнём,копнёте,копнут	-	-	-
коптеть	копчу,коптишь,коптит,коптим,коптите,коптят	-	копти,коптите	-
коробить	-	-	коробь,коробьте	-
корпеть	корплю,корпишь,корпит,корпим,корпите,корпят	-	корпи,корпите	-
корячить	-	-	корячь,корячьте	-
косматить	-	-	космать,косматьте	-
коснуть	косну,коснёшь,коснёт,коснём,коснёте,коснут	-	-	-
кособочить	-	-	кособочь,кособочьте	-
косолапить	-	-	косолапь,косолапьте	-
костюмировать	-	-	костюмировай,костюмировайте	-
кочевряжить	-	-	кочевряжь,кочевряжьте	-
красить	-	-	крась,красьте	-
красть	краду,крадёшь,крадёт,крадём,крадёте,крадут	крал,крала,крало,крали	кради,крадите	-
крахмалить	-	-	крахмаль,крахмальте	-
кричать	кричу,кричишь,кричит,кричим,кричите,кричат	-	кричи,кричите	-
кровавить	-	-	кровавь,кровавьте	-
крутануть	крутану,крутанёшь,крутанёт,крутанём,крутанёте,крутанут	-	-	-
кручинить	-	-	кручинь,кручиньте	-
крючить	-	-	крючь,крючьте	-
кряхтеть	кряхчу,кряхтишь,кряхтит,кряхтим,кряхтите,кряхтят	-	кряхти,кряхтите	-
кувыркнуть	кувыркну,кувыркнёшь,кувыркнёт,кувыркнём,кувыркнёте,кувыркнут	-	-	1
кувырнуть	кувырну,кувырнёшь,кувырнёт,кувырнём,кувырнёте,кувырнут	-	-	1
кудахтать	кудахчу,кудахчешь,кудахчет,кудахчем,кудахчете,кудахчут	-	кудахчи,кудахчите	-
кудесить	-	-	кудесь,кудесьте	-
кудрявить	-	-	кудрявь,кудрявьте	-
кузнечить	-	-	кузнечь,кузнечьте	-
купоросить	-	-	купорось,купоросьте	-
куражить	-	-	куражь,куражьте	-
