# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
взбить	взобью,взобьёшь,взобьёт,взобьём,взобьёте,взобьют	-	взбей,взбейте	-
взболтнуть	взболтну,взболтнёшь,взболтнёт,взболтнём,взболтнёте,взболтнут	-	-	-
взбрести	взбреду,взбредёшь,взбредёт,взбредём,взбредёте,взбредут	взбрёл,взбрела,взбрело,взбрели	взбреди,взбредите	-
взбутетенить	-	-	взбутетень,взбутетеньте	-
взбухнуть	-	взбух,взбухла,взбухло,взбухли	-	-
взбучить	-	-	взбучь,взбучьте	-
взвевать	взвеваю,взвеваешь,взвевает,взвеваем,взвеваете,взвевают	-	взвевай,взвевайте	-
взвезти	взвезу,взвезёшь,взвезёт,взвезём,взвезёте,взвезут	взвёз,взвезла,взвезло,взвезли	взвези,взвезите	-
взвести	взведу,взведёшь,взведёт,взведём,взведёте,взведут	взвёл,взвела,взвело,взвели	взведи,взведите	-
взвить	взовью,взовьёшь,взовьёт,взовьём,взовьёте,взовьют	-	взвей,взвейте	-
взгревать	взгреваю,взгреваешь,взгревает,взгреваем,взгреваете,взгревают	-	взгревай,взгревайте	-
взгрустнуть	взгрустну,взгрустнёшь,взгрустнёт,взгрустнём,взгрустнёте,взгрустнут	-	-	-
вздевать	вздеваю,вздеваешь,вздевает,вздеваем,вздеваете,вздевают	-	вздевай,вздевайте	-
вздеть	вздену,взденешь,взденет,взденем,взденете,взденут	-	вздень,взденьте	-
вздорить	-	-	вздорь,вздорьте	-
вздохнуть	вздохну,вздохнёшь,вздохнёт,вздохнём,вздохнёте,вздохнут	-	-	-
вздремнуть	вздремну,вздремнёшь,вздремнёт,вздремнём,вздремнёте,вздремнут	-	-	-
взлезть	взлезу,взлезешь,взлезет,взлезем,взлезете,взлезут	взлез,взлезла,взлезло,взлезли	взлезь,взлезьте	-
взмахнуть	взмахну,взмахнёшь,взмахнёт,взмахнём,взмахнёте,взмахнут	-	-	-
взмести	взмету,взметёшь,взметёт,взметём,взметёте,взметут	взмёл,взмела,взмело,взмели	взмети,взметите	-
взметать	взмечу,взмечешь,взмечет,взмечем,взмечете,взмечут	-	взмечи,взмечите	-
взметнуть	взметну,взметнёшь,взметнёт,взметнём,взметнёте,взметнут	-	-	-
взмокнуть	-	взмок,взмокла,взмокло,взмокли	-	-
взмылить	-	-	взмыль,взмыльте	-
взнести	взнесу,взнесёшь,взнесёт,взнесём,взнесёте,взнесут	взнёс,взнесла,взнесло,взнесли	взнеси,взнесите	-
взобрать	взберу,взберёшь,взберёт,взберём,взберёте,взберут	-	взбери,взберите	-
взодрать	вздеру,вздерёшь,вздерёт,вздерём,вздерёте,вздерут	-	вздери,вздерите	-
взойти	взойду,взойдёшь,взойдёт,взойдём,взойдёте,взойдут	взошёл,взошла,взошло,взошли	взойди,взойдите	-
взрезать	взрежу,взрежешь,взрежет,взрежем,взрежете,взрежут	-	взрежь,взрежьте	-
взъесть	взъем,взъешь,взъест,взъедим,взъедите,взъедят	взъел,взъела,взъело,взъели	взъешь,взъешьте	-
взъехать	взъеду,взъедешь,взъедет,взъедем,взъедете,взъедут	-	-	-
взыскать	взыщу,взыщешь,взыщет,взыщем,взыщете,взыщут	-	взыщи,взыщите	-
взять	возьму,возьмёшь,возьмёт,возьмём,возьмёте,возьмут	-	возьми,возьмите	-
видеть	вижу,видишь,видит,видим,видите,видют	-	видь,видьте	1
визжать	визжу,визжишь,визжит,визжим,визжите,визжат	-	визжи,визжите	-
висеть	вишу,висишь,висит,висим,висите,висят	-	виси,висите	1
вить	вью,вьёшь,вьёт,вьём,вьёте,вьют	-	вей,вейте	1
вклинить	-	-	вклинь,вклиньте	-
вковать	вкую,вкуёшь,вкуёт,вкуём,вкуёте,вкуют	-	-	-
вкрапить	-	-	вкрапь,вкрапьте	-
влазить	-	-	влазь,влазьте	-
влезть	влезу,влезешь,влезет,влезем,влезете,влезут	влез,влезла,влезло,влезли	влезь,влезьте	-
влечь	влеку,влечёшь,влечёт,влечём,влечёте,влекут	влёк,влекла,влекло,влекли	влеки,влеките	-
влипнуть	-	влип,влипла,влипло,влипли	-	-
влить	волью,вольёшь,вольёт,вольём,вольёте,вольют	-	влей,влейте	-
вмазать	вмажу,вмажешь,вмажет,вмажем,вмажете,вмажут	-	вмажь,вмажьте	-
вмести	вмету,вметёшь,вметёт,вметём,вметёте,вметут	вмёл,вмела,вмело,вмели	вмети,вметите	-
вметнуть	вметну,вметнёшь,вметнёт,вметнём,вметнёте,вметнут	-	-	-
вмять	вомну,вомнёшь,вомнёт,вомнём,вомнёте,вомнут	-	вомни,вомните	-
внести	внесу,внесёшь,внесёт,внесём,внесёте,внесут	внёс,внесла,внесло,внесли	внеси,внесите	-
вникнуть	-	вник,вникла,вникло,вникли	-	-
внять	вниму,внимешь,внимет,внимем,внимете,внимут	-	вними,внимите	1
вобрать	вберу,вберёшь,вберёт,вберём,вберёте,вберут	-	вбери,вберите	-
вогнать	вгоню,вгонишь,вгонит,вгоним,вгоните,вгонят	-	вгони,вгоните	-
вогнуть	вогну,вогнёшь,вогнёт,вогнём,вогнёте,вогнут	-	-	-
возвеличить	-	-	возвеличь,возвеличьте	-
возвести	возведу,возведёшь,возведёт,возведём,возведёте,возведут	возвёл,возвела,возвело,возвели	возведи,возведите	-
возвратить	возвращу,возвратишь,возвратит,возвратим,возвратите,возвратят	-	-	-
возглавить	-	-	возглавь,возглавьте	-
возгнать	возгоню,возгонишь,возгонит,возгоним,возгоните,возгонят	-	возгони,возгоните	-
воздать	воздам,воздашь,воздаст,воздадим,воздадите,воздадут	-	-	-
воздвигнуть	-	воздвиг,воздвигла,воздвигло,воздвигли	-	-
