# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
أتى	أَتَى	يَأْتِي	أُتِيَ	يُؤْتَى
أثاب	أَثَابَ	يُثِيبُ	أُثِيبَ	يُثَابُ
أثار	أَثَارَ	يُثِيرُ	أُثِيرَ	يُثَارُ
أثبت	أَثْبَتَ	يُثْبِتُ	أُثْبِتَ	يُثْبَتُ
أثث	أَثَّثَ	يُؤَثِّثُ	أُثِّثَ	يُؤَثَّثُ
أثر	أَثَّرَ	يُؤَثِّرُ	أُثِّرَ	يُؤَثَّرُ
أثرى	أَثْرَى	يُثْرِي	أُثْرِيَ	يُثْرَى
أثقل	أَثْقَلَ	يُثْقِلُ	أُثْقِلَ	يُثْقَلُ
أثلج	أَثْلَجَ	يُثْلِجُ	أُثْلِجَ	يُثْلَجُ
أثم	أَثِمَ	يَأْثَمُ	-	-
أثمر	أَثْمَرَ	يُثْمِرُ	أُثْمِرَ	يُثْمَرُ
أثنى	أَثْنَى	يُثْنِي	أُثْنِيَ	يُثْنَى
أجاب	أَجَابَ	يُجِيبُ	أُجِيبَ	يُجَابُ
أجاد	أَجَادَ	يُجِيدُ	أُجِيدَ	يُجَادُ
أجار	أَجَارَ	يُجِيرُ	أُجِيرَ	يُجَارُ
أجاز	أَجَازَ	يُجِيزُ	أُجِيزَ	يُجَازُ
أجاع	أَجَاعَ	يُجِيعُ	أُجِيعَ	يُجَاعُ
أجاف	أَجَافَ	يُجِيفُ	أُجِيفَ	يُجَافُ
أجبر	أَجْبَرَ	يُجْبِرُ	أُجْبِرَ	يُجْبَرُ
أجبل	أَجْبَلَ	يُجْبِلُ	أُجْبِلَ	يُجْبَلُ
أجج	أَجَّجَ	يُؤَجِّجُ	أُجِّجَ	يُؤَجَّجُ
أجدب	أَجْدَبَ	يُجْدِبُ	أُجْدِبَ	يُجْدَبُ
أجدى	أَجْدَى	يُجْدِي	أُجْدِيَ	يُجْدَى
أجر	أَجَرَّ	يُجِرُّ	أُجِرَّ	يُجَرُّ
أجرم	أَجْرَمَ	يُجْرِمُ	أُجْرِمَ	يُجْرَمُ
أجرى	أَجْرَى	يُجْرِي	أُجْرِيَ	يُجْرَى
أجز	أَجَزَّ	يُجِزُّ	أُجِزَّ	يُجَزُّ
أجشم	أَجْشَمَ	يُجْشِمُ	أُجْشِمَ	يُجْشَمُ
أجل	أَجَلَّ	يُجِلُّ	أُجِلَّ	يُجَلُّ
أجلد	أَجْلَدَ	يُجْلِدُ	أُجْلِدَ	يُجْلَدُ
أجلس	أَجْلَسَ	يُجْلِسُ	أُجْلِسَ	يُجْلَسُ
أجلى	أَجْلَى	يُجْلِي	أُجْلِيَ	يُجْلَى
أجمع	أَجْمَعَ	يُجْمِعُ	أُجْمِعَ	يُجْمَعُ
أجمل	أَجْمَلَ	يُجْمِلُ	أُجْمِلَ	يُجْمَلُ
أجن	أَجَنَ	يَأْجِنُ	أُجِنَ	يُؤْجَنُ
أجهد	أَجْهَدَ	يُجْهِدُ	أُجْهِدَ	يُجْهَدُ
أجهش	أَجْهَشَ	يُجْهِشُ	أُجْهِشَ	يُجْهَشُ
أجهض	أَجْهَضَ	يُجْهِضُ	أُجْهِضَ	يُجْهَضُ
أحاط	أَحَاطَ	يُحِيطُ	أُحِيطَ	يُحَاطُ
أحال	أَحَالَ	يُحِيلُ	أُحِيلَ	يُحَالُ
أحب	أَحَبَّ	يُحِبُّ	أُحِبَّ	يُحَبُّ
أحبط	أَحْبَطَ	يُحْبِطُ	أُحْبِطَ	يُحْبَطُ
أحبل	أَحْبَلَ	يُحْبِلُ	أُحْبِلَ	يُحْبَلُ
أحجم	أَحْجَمَ	يُحْجِمُ	-	-
أحد	أَحَدَّ	يُحِدُّ	أُحِدَّ	يُحَدُّ
أحدث	أَحْدَثَ	يُحْدِثُ	أُحْدِثَ	يُحْدَثُ
أحرج	أَحْرَجَ	يُحْرِجُ	أُحْرِجَ	يُحْرَجُ
أحرز	أَحْرَزَ	يُحْرِزُ	أُحْرِزَ	يُحْرَزُ
أحرق	أَحْرَقَ	يُحْرِقُ	أُحْرِقَ	يُحْرَقُ
أحرم	أَحْرَمَ	يُحْرِمُ	أُحْرِمَ	يُحْرَمُ
أحرى	أَحْرَى	يُحْرِي	أُحْرِيَ	يُحْرَى
أحزن	أَحْزَنَ	يُحْزِنُ	أُحْزِنَ	يُحْزَنُ
أحس	أَحَسَّ	يُحِسُّ	أُحِسَّ	يُحَسُّ
أحسن	أَحْسَنَ	يُحْسِنُ	أُحْسِنَ	يُحْسَنُ
أحصن	أَحْصَنَ	يُحْصِنُ	أُحْصِنَ	يُحْصَنُ
أحصى	أَحْصَى	يُحْصِي	أُحْصِيَ	يُحْصَى
أحضر	أَحْضَرَ	يُحْضِرُ	أُحْضِرَ	يُحْضَرُ
أحفظ	أَحْفَظَ	يُحْفِظُ	أُحْفِظَ	يُحْفَظُ
أحق	أَحَقَّ	يُحِقُّ	أُحِقَّ	يُحَقُّ
أحقد	أَحْقَدَ	يُحْقِدُ	أُحْقِدَ	يُحْقَدُ
أحك	أَحَكَّ	يُحِكُّ	أُحِكَّ	يُحَكُّ
أحكم	أَحْكَمَ	يُحْكِمُ	أُحْكِمَ	يُحْكَمُ
أحل	أَحَلَّ	يُحِلُّ	أُحِلَّ	يُحَلُّ
