# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
اشتوى	اِشْتَوَى	يَشْتَوِي	اُشْتُوِيَ	يُشْتَوَى
اشرأب	اِشْرَأَبَّ	يَشْرَئِبُّ	-	-
اشمأز	اِشْمَأَزَّ	يَشْمَئِزُّ	اُشْمُئِزَّ	يُشْمَأَزُّ
اشهاب	اِشْهَابَّ	يَشْهَابُّ	-	-
اشهل	اِشْهَلَّ	يَشْهَلُّ	-	-
اصالح	اِصَّالَحَ	يَصَّالَحُ	اُصُّولِحَ	يُصَّالَحُ
اصباح	اِصْبَاحَّ	يَصْبَاحُّ	-	-
اصحام	اِصْحَامَّ	يَصْحَامُّ	-	-
اصدق	اِصَّدَّقَ	يَصَّدَّقُ	اُصُّدِّقَ	يُصَّدَّقُ
اصطاد	اِصْطَادَ	يَصْطَادُ	اُصْطِيدَ	يُصْطَادُ
اصطاف	اِصْطَافَ	يَصْطَافُ	اُصْطِيفَ	يُصْطَافُ
اصطام	اِصْطَامَ	يَصْطَامُ	-	-
اصطب	اِصْطَبَّ	يَصْطَبُّ	اُصْطُبَّ	يُصْطَبُّ
اصطبح	اِصْطَبَحَ	يَصْطَبِحُ	اُصْطُبِحَ	يُصْطَبَحُ
اصطبر	اِصْطَبَرَ	يَصْطَبِرُ	-	-
اصطبغ	اِصْطَبَغَ	يَصْطَبِغُ	-	-
اصطبن	اِصْطَبَنَ	يَصْطَبِنُ	اُصْطُبِنَ	يُصْطَبَنُ
اصطحب	اِصْطَحَبَ	يَصْطَحِبُ	اُصْطُحِبَ	يُصْطَحَبُ
اصطخب	اِصْطَخَبَ	يَصْطَخِبُ	اُصْطُخِبَ	يُصْطَخَبُ
اصطخد	اِصْطَخَدَ	يَصْطَخِدُ	اُصْطُخِدَ	يُصْطَخَدُ
اصطخم	اِصْطَخَمَ	يَصْطَخِمُ	-	-
اصطدم	اِصْطَدَمَ	يَصْطَدِمُ	اُصْطُدِمَ	يُصْطَدَمُ
اصطف	اِصْطَفَّ	يَصْطَفُّ	اُصْطُفَّ	يُصْطَفُّ
اصطفق	اِصْطَفَقَ	يَصْطَفِقُ	اُصْطُفِقَ	يُصْطَفَقُ
اصطفى	اِصْطَفَى	يَصْطَفِي	اُصْطُفِيَ	يُصْطَفَى
اصطك	اِصْطَكَّ	يَصْطَكُّ	-	-
اصطلح	اِصْطَلَحَ	يَصْطَلِحُ	اُصْطُلِحَ	يُصْطَلَحُ
اصطلق	اِصْطَلَقَ	يَصْطَلِقُ	اُصْطُلِقَ	يُصْطَلَقُ
اصطلى	اِصْطَلَى	يَصْطَلِي	اُصْطُلِيَ	يُصْطَلَى
اصطنع	اِصْطَنَعَ	يَصْطَنِعُ	اُصْطُنِعَ	يُصْطَنَعُ
اصعد	اِصَّعَّدَ	يَصَّعَّدُ	-	-
اصفر	اِصْفَرَّ	يَصْفَرُّ	-	-
اصهاب	اِصْهَابَّ	يَصْهَابُّ	-	-
اصهب	اِصْهَبَّ	يَصْهَبُّ	-	-
اضرغط	اِضْرَغَطَّ	يَضْرَغِطُّ	اُضْرُغِطَّ	يُضْرَغَطُّ
اضطبن	اِضْطَبَنَ	يَضْطَبِنُ	اُضْطُبِنَ	يُضْطَبَنُ
اضطجع	اِضْطَجَعَ	يَضْطَجِعُ	اُضْطُجِعَ	يُضْطَجَعُ
اضطر	اِضْطَرَّ	يَضْطَرُّ	اُضْطُرَّ	يُضْطَرُّ
اضطرب	اِضْطَرَبَ	يَضْطَرِبُ	-	-
اضطرع	اِضْطَرَعَ	يَضْطَرِعُ	اُضْطُرِعَ	يُضْطَرَعُ
اضطرم	اِضْطَرَمَ	يَضْطَرِمُ	-	-
اضطغن	اِضْطَغَنَ	يَضْطَغِنُ	اُضْطُغِنَ	يُضْطَغَنُ
اضطلع	اِضْطَلَعَ	يَضْطَلِعُ	اُضْطُلِعَ	يُضْطَلَعُ
اضطهد	اِضْطَهَدَ	يَضْطَهِدُ	اُضْطُهِدَ	يُضْطَهَدُ
اضمحل	اِضْمَحَلَّ	يَضْمَحِلُّ	اُضْمُحِلَّ	يُضْمَحَلُّ
اطرح	اِطَّرَحَ	يَطَّرِحُ	اُطُّرِحَ	يُطَّرَحُ
اطرد	اِطَّرَدَ	يَطَّرِدُ	-	-
اطلب	اِطَّلَبَ	يَطَّلِبُ	اُطُّلِبَ	يُطَّلَبُ
اطلع	اِطَّلَعَ	يَطَّلِعُ	اُطُّلِعَ	يُطَّلَعُ
اطلم	اِطَّلَمَ	يَطَّلِمُ	-	-
اطمأن	اِطْمَأَنَّ	يَطْمَئِنُّ	اُطْمُئِنَّ	يُطْمَأَنُّ
اطهر	اِطَّهَّرَ	يَطَّهَّرُ	-	-
اطوع	اِطَّوَّعَ	يَطَّوَّعُ	اُطُّوِّعَ	يُطَّوَّعُ
اطير	اِطَّيَّرَ	يَطَّيَّرُ	اُطُّيِّرَ	يُطَّيَّرُ
اظطلم	اِظْطَلَمَ	يَظْطَلِمُ	-	-
اظلم	اِظَّلَمَ	يَظَّلِمُ	-	-
اعتاد	اِعْتَادَ	يَعْتَادُ	اُعْتِيدَ	يُعْتَادُ
اعتاض	اِعْتَاضَ	يَعْتَاضُ	اُعْتِيضَ	يُعْتَاضُ
اعتبر	اِعْتَبَرَ	يَعْتَبِرُ	اُعْتُبِرَ	يُعْتَبَرُ
اعتدل	اِعْتَدَلَ	يَعْتَدِلُ	-	-
اعتدى	اِعْتَدَى	يَعْتَدِي	اُعْتُدِيَ	يُعْتَدَى
اعتذر	اِعْتَذَرَ	يَعْتَذِرُ	اُعْتُذِرَ	يُعْتَذَرُ
اعترض	اِعْتَرَضَ	يَعْتَرِضُ	اُعْتُرِضَ	يُعْتَرَضُ
اعترف	اِعْتَرَفَ	يَعْتَرِفُ	اُعْتُرِفَ	يُعْتَرَفُ
اعتز	اِعْتَزَّ	يَعْتَزُّ	اُعْتُزَّ	يُعْتَزُّ
اعتزل	اِعْتَزَلَ	يَعْتَزِلُ	اُعْتُزِلَ	يُعْتَزَلُ
اعتزم	اِعْتَزَمَ	يَعْتَزِمُ	اُعْتُزِمَ	يُعْتَزَمُ
اعتصب	اِعْتَصَبَ	يَعْتَصِبُ	اُعْتُصِبَ	يُعْتَصَبُ
اعتصر	اِعْتَصَرَ	يَعْتَصِرُ	اُعْتُصِرَ	يُعْتَصَرُ
اعتصم	اِعْتَصَمَ	يَعْتَصِمُ	اُعْتُصِمَ	يُعْتَصَمُ
اعتطف	اِعْتَطَفَ	يَعْتَطِفُ	اُعْتُطِفَ	يُعْتَطَفُ
اعتقد	اِعْتَقَدَ	يَعْتَقِدُ	اُعْتُقِدَ	يُعْتَقَدُ
اعتقل	اِعْتَقَلَ	يَعْتَقِلُ	اُعْتُقِلَ	يُعْتَقَلُ
اعتكد	اِعْتَكَدَ	يَعْتَكِدُ	اُعْتُكِدَ	يُعْتَكَدُ
اعتكف	اِعْتَكَفَ	يَعْتَكِفُ	-	-
اعتل	اِعْتَلَّ	يَعْتَلُّ	-	-
اعتلى	اِعْتَلَى	يَعْتَلِي	اُعْتُلِيَ	يُعْتَلَى
اعتمد	اِعْتَمَدَ	يَعْتَمِدُ	اُعْتُمِدَ	يُعْتَمَدُ
اعتمر	اِعْتَمَرَ	يَعْتَمِرُ	اُعْتُمِرَ	يُعْتَمَرُ
اعتمل	اِعْتَمَلَ	يَعْتَمِلُ	اُعْتُمِلَ	يُعْتَمَلُ
اعتنق	اِعْتَنَقَ	يَعْتَنِقُ	اُعْتُنِقَ	يُعْتَنَقُ
اعتنى	اِعْتَنَى	يَعْتَنِي	اُعْتُنِيَ	يُعْتَنَى
اعتور	اِعْتَوَرَ	يَعْتَوِرُ	اُعْتُوِرَ	يُعْتَوَرُ
اعرنكس	اِعْرَنْكَسَ	يَعْرَنْكِسُ	اُعْرُنْكِسَ	يُعْرَنْكَسُ
اعصوصب	اِعْصَوْصَبَ	يَعْصَوْصِبُ	-	-
اعلوط	اِعْلَوَّطَ	يَعْلَوِّطُ	-	-
اعلولى	اِعْلَوْلَى	يَعْلَوْلِي	اُعْلُولِيَ	يُعْلَوْلَى
اعوج	اِعْوَجَّ	يَعْوَجُّ	-	-
اعور	اِعْوَرَّ	يَعْوَرُّ	-	-
اغبر	اِغْبَرَّ	يَغْبَرُّ	-	-
اغتاب	اِغْتَابَ	يَغْتَابُ	اُغْتِيبَ	يُغْتَابُ
اغتاظ	اِغْتَاظَ	يَغْتَاظُ	اُغْتِيظَ	يُغْتَاظُ
اغتال	اِغْتَالَ	يَغْتَالُ	اُغْتِيلَ	يُغْتَالُ
اغتدى	اِغْتَدَى	يَغْتَدِي	اُغْتُدِيَ	يُغْتَدَى
اغتر	اِغْتَرَّ	يَغْتَرُّ	اُغْتُرَّ	يُغْتَرُّ
اغترب	اِغْتَرَبَ	يَغْتَرِبُ	اُغْتُرِبَ	يُغْتَرَبُ
اغترف	اِغْتَرَفَ	يَغْتَرِفُ	اُغْتُرِفَ	يُغْتَرَفُ
اغتسل	اِغْتَسَلَ	يَغْتَسِلُ	اُغْتُسِلَ	يُغْتَسَلُ
اغتصب	اِغْتَصَبَ	يَغْتَصِبُ	اُغْتُصِبَ	يُغْتَصَبُ
اغتفر	اِغْتَفَرَ	يَغْتَفِرُ	اُغْتُفِرَ	يُغْتَفَرُ
اغتلم	اِغْتَلَمَ	يَغْتَلِمُ	-	-
اغتم	اِغْتَمَّ	يَغْتَمُّ	-	-
اغتنم	اِغْتَنَمَ	يَغْتَنِمُ	اُغْتُنِمَ	يُغْتَنَمُ
اغتنى	اِغْتَنَى	يَغْتَنِي	-	-
اغدودن	اِغْدَوْدَنَ	يَغْدَوْدِنُ	-	-
اغرندى	اِغْرَنْدَى	يَغْرَنْدِي	اُغْرُنْدِيَ	يُغْرَنْدَى
اغرورق	اِغْرَوْرَقَ	يَغْرَوْرِقُ	-	-
اغلنثى	اِغْلَنْثَى	يَغْلَنْثِي	-	-
اغلولب	اِغْلَوْلَبَ	يَغْلَوْلِبُ	-	-
افتتح	اِفْتَتَحَ	يَفْتَتِحُ	اُفْتُتِحَ	يُفْتَتَحُ
افتحل	اِفْتَحَلَ	يَفْتَحِلُ	اُفْتُحِلَ	يُفْتَحَلُ
افتخر	اِفْتَخَرَ	يَفْتَخِرُ	-	-
افتدى	اِفْتَدَى	يَفْتَدِي	اُفْتُدِيَ	يُفْتَدَى
افتر	اِفْتَرَّ	يَفْتَرُّ	اُفْتُرَّ	يُفْتَرُّ
افترس	اِفْتَرَسَ	يَفْتَرِسُ	اُفْتُرِسَ	يُفْتَرَسُ
افترش	اِفْتَرَشَ	يَفْتَرِشُ	اُفْتُرِشَ	يُفْتَرَشُ
افترض	اِفْتَرَضَ	يَفْتَرِضُ	اُفْتُرِضَ	يُفْتَرَضُ
افترق	اِفْتَرَقَ	يَفْتَرِقُ	اُفْتُرِقَ	يُفْتَرَقُ
افترى	اِفْتَرَى	يَفْتَرِي	اُفْتُرِيَ	يُفْتَرَى
افتص	اِفْتَصَّ	يَفْتَصُّ	اُفْتُصَّ	يُفْتَصُّ
افتضح	اِفْتَضَحَ	يَفْتَضِحُ	-	-
افتضخ	اِفْتَضَخَ	يَفْتَضِخُ	اُفْتُضِخَ	يُفْتَضَخُ
افتعل	اِفْتَعَلَ	يَفْتَعِلُ	اُفْتُعِلَ	يُفْتَعَلُ
افتقد	اِفْتَقَدَ	يَفْتَقِدُ	اُفْتُقِدَ	يُفْتَقَدُ
افتقر	اِفْتَقَرَ	يَفْتَقِرُ	اُفْتُقِرَ	يُفْتَقَرُ
افتكر	اِفْتَكَرَ	يَفْتَكِرُ	اُفْتُكِرَ	يُفْتَكَرُ
افتلى	اِفْتَلَى	يَفْتَلِي	اُفْتُلِيَ	يُفْتَلَى
اقتات	اِقْتَاتَ	يَقْتَاتُ	اُقْتِيتَ	يُقْتَاتُ
اقتاد	اِقْتَادَ	يَقْتَادُ	اُقْتِيدَ	يُقْتَادُ
اقتبس	اِقْتَبَسَ	يَقْتَبِسُ	اُقْتُبِسَ	يُقْتَبَسُ
اقتبل	اِقْتَبَلَ	يَقْتَبِلُ	اُقْتُبِلَ	يُقْتَبَلُ
اقتتل	اِقْتَتَلَ	يَقْتَتِلُ	اُقْتُتِلَ	يُقْتَتَلُ
اقتحم	اِقْتَحَمَ	يَقْتَحِمُ	اُقْتُحِمَ	يُقْتَحَمُ
اقتدر	اِقْتَدَرَ	يَقْتَدِرُ	اُقْتُدِرَ	يُقْتَدَرُ
اقتدى	اِقْتَدَى	يَقْتَدِي	اُقْتُدِيَ	يُقْتَدَى
اقترأ	اِقْتَرَأَ	يَقْتَرِئُ	اُقْتُرِئَ	يُقْتَرَأُ
اقترب	اِقْتَرَبَ	يَقْتَرِبُ	اُقْتُرِبَ	يُقْتَرَبُ
اقترح	اِقْتَرَحَ	يَقْتَرِحُ	اُقْتُرِحَ	يُقْتَرَحُ
اقترض	اِقْتَرَضَ	يَقْتَرِضُ	اُقْتُرِضَ	يُقْتَرَضُ
اقترع	اِقْتَرَعَ	يَقْتَرِعُ	اُقْتُرِعَ	يُقْتَرَعُ
اقترف	اِقْتَرَفَ	يَقْتَرِفُ	اُقْتُرِفَ	يُقْتَرَفُ
اقترن	اِقْتَرَنَ	يَقْتَرِنُ	اُقْتُرِنَ	يُقْتَرَنُ
اقتسم	اِقْتَسَمَ	يَقْتَسِمُ	اُقْتُسِمَ	يُقْتَسَمُ
اقتص	اِقْتَصَّ	يَقْتَصُّ	اُقْتُصَّ	يُقْتَصُّ
اقتصد	اِقْتَصَدَ	يَقْتَصِدُ	اُقْتُصِدَ	يُقْتَصَدُ
اقتصر	اِقْتَصَرَ	يَقْتَصِرُ	اُقْتُصِرَ	يُقْتَصَرُ
اقتضب	اِقْتَضَبَ	يَقْتَضِبُ	اُقْتُضِبَ	يُقْتَضَبُ
اقتضى	اِقْتَضَى	يَقْتَضِي	اُقْتُضِيَ	يُقْتَضَى
اقتط	اِقْتَطَّ	يَقْتَطُّ	اُقْتُطَّ	يُقْتَطُّ
اقتطع	اِقْتَطَعَ	يَقْتَطِعُ	اُقْتُطِعَ	يُقْتَطَعُ
اقتطف	اِقْتَطَفَ	يَقْتَطِفُ	اُقْتُطِفَ	يُقْتَطَفُ
اقتعد	اِقْتَعَدَ	يَقْتَعِدُ	اُقْتُعِدَ	يُقْتَعَدُ
اقتفى	اِقْتَفَى	يَقْتَفِي	اُقْتُفِيَ	يُقْتَفَى
اقتلع	اِقْتَلَعَ	يَقْتَلِعُ	اُقْتُلِعَ	يُقْتَلَعُ
اقتم	اِقْتَمَّ	يَقْتَمُّ	-	-
اقتنع	اِقْتَنَعَ	يَقْتَنِعُ	اُقْتُنِعَ	يُقْتَنَعُ
اقتنى	اِقْتَنَى	يَقْتَنِي	اُقْتُنِيَ	يُقْتَنَى
اقتوى	اِقْتَوَى	يَقْتَوِي	اُقْتُوِيَ	يُقْتَوَى
اقشعر	اِقْشَعَرَّ	يَقْشَعِرُّ	اُقْشُعِرَّ	يُقْشَعَرُّ
اقطوطى	اِقْطَوْطَى	يَقْطَوْطِي	اُقْطُوطِيَ	يُقْطَوْطَى
اقعنسس	اِقْعَنْسَسَ	يَقْعَنْسِسُ	-	-
اقلعف	اِقْلَعَفَّ	يَقْلَعِفُّ	اُقْلُعِفَّ	يُقْلَعَفُّ
اكتأب	اِكْتَأَبَ	يَكْتَئِبُ	اُكْتُئِبَ	يُكْتَأَبُ
اكتتب	اِكْتَتَبَ	يَكْتَتِبُ	اُكْتُتِبَ	يُكْتَتَبُ
اكتحل	اِكْتَحَلَ	يَكْتَحِلُ	اُكْتُحِلَ	يُكْتَحَلُ
اكتدح	اِكْتَدَحَ	يَكْتَدِحُ	اُكْتُدِحَ	يُكْتَدَحُ
اكترب	اِكْتَرَبَ	يَكْتَرِبُ	-	-
اكترث	اِكْتَرَثَ	يَكْتَرِثُ	اُكْتُرِثَ	يُكْتَرَثُ
اكترى	اِكْتَرَى	يَكْتَرِي	اُكْتُرِيَ	يُكْتَرَى
اكتسب	اِكْتَسَبَ	يَكْتَسِبُ	اُكْتُسِبَ	يُكْتَسَبُ
اكتسح	اِكْتَسَحَ	يَكْتَسِحُ	اُكْتُسِحَ	يُكْتَسَحُ
اكتسى	اِكْتَسَى	يَكْتَسِي	-	-
اكتشف	اِكْتَشَفَ	يَكْتَشِفُ	اُكْتُشِفَ	يُكْتَشَفُ
اكتظ	اِكْتَظَّ	يَكْتَظُّ	-	-
اكتفى	اِكْتَفَى	يَكْتَفِي	اُكْتُفِيَ	يُكْتَفَى
اكتمل	اِكْتَمَلَ	يَكْتَمِلُ	اُكْتُمِلَ	يُكْتَمَلُ
اكتمن	اِكْتَمَنَ	يَكْتَمِنُ	اُكْتُمِنَ	يُكْتَمَنُ
اكتنف	اِكْتَنَفَ	يَكْتَنِفُ	اُكْتُنِفَ	يُكْتَنَفُ
اكتوى	اِكْتَوَى	يَكْتَوِي	-	-
اكفهر	اِكْفَهَرَّ	يَكْفَهِرُّ	-	-
اكمد	اِكْمَدَّ	يَكْمَدُّ	-	-
التاث	اِلْتَاثَ	يَلْتَاثُ	-	-
التبس	اِلْتَبَسَ	يَلْتَبِسُ	اُلْتُبِسَ	يُلْتَبَسُ
التبن	اِلْتَبَنَ	يَلْتَبِنُ	اُلْتُبِنَ	يُلْتَبَنُ
التحق	اِلْتَحَقَ	يَلْتَحِقُ	اُلْتُحِقَ	يُلْتَحَقُ
التحم	اِلْتَحَمَ	يَلْتَحِمُ	اُلْتُحِمَ	يُلْتَحَمُ
التذ	اِلْتَذَّ	يَلْتَذُّ	اُلْتُذَّ	يُلْتَذُّ
التزم	اِلْتَزَمَ	يَلْتَزِمُ	اُلْتُزِمَ	يُلْتَزَمُ
التصق	اِلْتَصَقَ	يَلْتَصِقُ	-	-
التظى	اِلْتَظَى	يَلْتَظِي	-	-
التف	اِلْتَفَّ	يَلْتَفُّ	اُلْتُفَّ	يُلْتَفُّ
التفت	اِلْتَفَتَ	يَلْتَفِتُ	اُلْتُفِتَ	يُلْتَفَتُ
التقط	اِلْتَقَطَ	يَلْتَقِطُ	اُلْتُقِطَ	يُلْتَقَطُ
التقى	اِلْتَقَى	يَلْتَقِي	اُلْتُقِيَ	يُلْتَقَى
التمس	اِلْتَمَسَ	يَلْتَمِسُ	اُلْتُمِسَ	يُلْتَمَسُ
التهب	اِلْتَهَبَ	يَلْتَهِبُ	اُلْتُهِبَ	يُلْتَهَبُ
التهم	اِلْتَهَمَ	يَلْتَهِمُ	اُلْتُهِمَ	يُلْتَهَمُ
التوى	اِلْتَوَى	يَلْتَوِي	اُلْتُوِيَ	يُلْتَوَى
الهاج	اِلْهَاجَّ	يَلْهَاجُّ	-	-
امتاز	اِمْتَازَ	يَمْتَازُ	اُمْتِيزَ	يُمْتَازُ
امتثل	اِمْتَثَلَ	يَمْتَثِلُ	اُمْتُثِلَ	يُمْتَثَلُ
امتحن	اِمْتَحَنَ	يَمْتَحِنُ	اُمْتُحِنَ	يُمْتَحَنُ
امتد	اِمْتَدَّ	يَمْتَدُّ	اُمْتُدَّ	يُمْتَدُّ
امتدح	اِمْتَدَحَ	يَمْتَدِحُ	اُمْتُدِحَ	يُمْتَدَحُ
امترى	اِمْتَرَى	يَمْتَرِي	اُمْتُرِيَ	يُمْتَرَى
امتزج	اِمْتَزَجَ	يَمْتَزِجُ	اُمْتُزِجَ	يُمْتَزَجُ
امتص	اِمْتَصَّ	يَمْتَصُّ	اُمْتُصَّ	يُمْتَصُّ
امتطى	اِمْتَطَى	يَمْتَطِي	اُمْتُطِيَ	يُمْتَطَى
امتعض	اِمْتَعَضَ	يَمْتَعِضُ	اُمْتُعِضَ	يُمْتَعَضُ
امتلك	اِمْتَلَكَ	يَمْتَلِكُ	اُمْتُلِكَ	يُمْتَلَكُ
امتن	اِمْتَنَّ	يَمْتَنُّ	اُمْتُنَّ	يُمْتَنُّ
امتنع	اِمْتَنَعَ	يَمْتَنِعُ	اُمْتُنِعَ	يُمْتَنَعُ
امتهن	اِمْتَهَنَ	يَمْتَهِنُ	اُمْتُهِنَ	يُمْتَهَنُ
امحق	اِمَّحَقَ	يَمَّحِقُ	-	-
امحى	اِمَّحَى	يَمَّحِي	-	-
املس	اِمَّلَسَ	يَمَّلِسُ	-	-
انآد	اِنْآدَ	يَنْآدُ	-	-
انأطر	اِنْأَطَرَ	يَنْأَطِرُ	-	-
انباع	اِنْبَاعَ	يَنْبَاعُ	-	-
انبث	اِنْبَثَّ	يَنْبَثُّ	-	-
انبثق	اِنْبَثَقَ	يَنْبَثِقُ	اُنْبُثِقَ	يُنْبَثَقُ
انبرى	اِنْبَرَى	يَنْبَرِي	اُنْبُرِيَ	يُنْبَرَى
انبسط	اِنْبَسَطَ	يَنْبَسِطُ	اُنْبُسِطَ	يُنْبَسَطُ
انبطح	اِنْبَطَحَ	يَنْبَطِحُ	-	-
انبعث	اِنْبَعَثَ	يَنْبَعِثُ	اُنْبُعِثَ	يُنْبَعَثُ
انبغى	اِنْبَغَى	يَنْبَغِي	-	-
انبل	اِنْبَلَّ	يَنْبَلُّ	-	-
انبلع	اِنْبَلَعَ	يَنْبَلِعُ	-	-
انبهر	اِنْبَهَرَ	يَنْبَهِرُ	-	-
انتأى	اِنْتَأَى	يَنْتَئِي	اُنْتُئِيَ	يُنْتَأَى
انتاب	اِنْتَابَ	يَنْتَابُ	اُنْتِيبَ	يُنْتَابُ
انتار	اِنْتَارَ	يَنْتَارُ	-	-
انتبه	اِنْتَبَهَ	يَنْتَبِهُ	اُنْتُبِهَ	يُنْتَبَهُ
انتثر	اِنْتَثَرَ	يَنْتَثِرُ	-	-
انتجب	اِنْتَجَبَ	يَنْتَجِبُ	اُنْتُجِبَ	يُنْتَجَبُ
انتجع	اِنْتَجَعَ	يَنْتَجِعُ	اُنْتُجِعَ	يُنْتَجَعُ
انتحب	اِنْتَحَبَ	يَنْتَحِبُ	-	-
انتحر	اِنْتَحَرَ	يَنْتَحِرُ	اُنْتُحِرَ	يُنْتَحَرُ
انتحل	اِنْتَحَلَ	يَنْتَحِلُ	اُنْتُحِلَ	يُنْتَحَلُ
انتخب	اِنْتَخَبَ	يَنْتَخِبُ	اُنْتُخِبَ	يُنْتَخَبُ
انتدب	اِنْتَدَبَ	يَنْتَدِبُ	اُنْتُدِبَ	يُنْتَدَبُ
انتدى	اِنْتَدَى	يَنْتَدِي	اُنْتُدِيَ	يُنْتَدَى
انتزع	اِنْتَزَعَ	يَنْتَزِعُ	اُنْتُزِعَ	يُنْتَزَعُ
انتسب	اِنْتَسَبَ	يَنْتَسِبُ	اُنْتُسِبَ	يُنْتَسَبُ
انتشر	اِنْتَشَرَ	يَنْتَشِرُ	-	-
انتشق	اِنْتَشَقَ	يَنْتَشِقُ	اُنْتُشِقَ	يُنْتَشَقُ
انتشل	اِنْتَشَلَ	يَنْتَشِلُ	اُنْتُشِلَ	يُنْتَشَلُ
انتصب	اِنْتَصَبَ	يَنْتَصِبُ	اُنْتُصِبَ	يُنْتَصَبُ
انتصر	اِنْتَصَرَ	يَنْتَصِرُ	اُنْتُصِرَ	يُنْتَصَرُ
انتصف	اِنْتَصَفَ	يَنْتَصِفُ	اُنْتُصِفَ	يُنْتَصَفُ
انتظر	اِنْتَظَرَ	يَنْتَظِرُ	اُنْتُظِرَ	يُنْتَظَرُ
انتظم	اِنْتَظَمَ	يَنْتَظِمُ	اُنْتُظِمَ	يُنْتَظَمُ
انتعش	اِنْتَعَشَ	يَنْتَعِشُ	-	-
انتفخ	اِنْتَفَخَ	يَنْتَفِخُ	اُنْتُفِخَ	يُنْتَفَخُ
انتفض	اِنْتَفَضَ	يَنْتَفِضُ	اُنْتُفِضَ	يُنْتَفَضُ
انتفع	اِنْتَفَعَ	يَنْتَفِعُ	اُنْتُفِعَ	يُنْتَفَعُ
انتفى	اِنْتَفَى	يَنْتَفِي	اُنْتُفِيَ	يُنْتَفَى
انتقد	اِنْتَقَدَ	يَنْتَقِدُ	اُنْتُقِدَ	يُنْتَقَدُ
انتقش	اِنْتَقَشَ	يَنْتَقِشُ	اُنْتُقِشَ	يُنْتَقَشُ
انتقض	اِنْتَقَضَ	يَنْتَقِضُ	-	-
انتقع	اِنْتَقَعَ	يَنْتَقِعُ	اُنْتُقِعَ	يُنْتَقَعُ
انتقل	اِنْتَقَلَ	يَنْتَقِلُ	اُنْتُقِلَ	يُنْتَقَلُ
انتقم	اِنْتَقَمَ	يَنْتَقِمُ	اُنْتُقِمَ	يُنْتَقَمُ
انتقى	اِنْتَقَى	يَنْتَقِي	اُنْتُقِيَ	يُنْتَقَى
انتكس	اِنْتَكَسَ	يَنْتَكِسُ	-	-
انتمى	اِنْتَمَى	يَنْتَمِي	اُنْتُمِيَ	يُنْتَمَى
انتهب	اِنْتَهَبَ	يَنْتَهِبُ	اُنْتُهِبَ	يُنْتَهَبُ
انتهج	اِنْتَهَجَ	يَنْتَهِجُ	اُنْتُهِجَ	يُنْتَهَجُ
انتهز	اِنْتَهَزَ	يَنْتَهِزُ	اُنْتُهِزَ	يُنْتَهَزُ
انتهك	اِنْتَهَكَ	يَنْتَهِكُ	اُنْتُهِكَ	يُنْتَهَكُ
انتهى	اِنْتَهَى	يَنْتَهِي	اُنْتُهِيَ	يُنْتَهَى
انتور	اِنْتَوَرَ	يَنْتَوِرُ	-	-
انتوى	اِنْتَوَى	يَنْتَوِي	اُنْتُوِيَ	يُنْتَوَى
انثقب	اِنْثَقَبَ	يَنْثَقِبُ	اُنْثُقِبَ	يُنْثَقَبُ
انثنى	اِنْثَنَى	يَنْثَنِي	اُنْثُنِيَ	يُنْثَنَى
انجبر	اِنْجَبَرَ	يَنْجَبِرُ	-	-
انجذب	اِنْجَذَبَ	يَنْجَذِبُ	اُنْجُذِبَ	يُنْجَذَبُ
انجرف	اِنْجَرَفَ	يَنْجَرِفُ	-	-
انجلى	اِنْجَلَى	يَنْجَلِي	اُنْجُلِيَ	يُنْجَلَى
انحاز	اِنْحَازَ	يَنْحَازُ	اُنْحِيزَ	يُنْحَازُ
انحبس	اِنْحَبَسَ	يَنْحَبِسُ	اُنْحُبِسَ	يُنْحَبَسُ
انحجب	اِنْحَجَبَ	يَنْحَجِبُ	-	-
انحدر	اِنْحَدَرَ	يَنْحَدِرُ	-	-
انحذف	اِنْحَذَفَ	يَنْحَذِفُ	اُنْحُذِفَ	يُنْحَذَفُ
انحرف	اِنْحَرَفَ	يَنْحَرِفُ	اُنْحُرِفَ	يُنْحَرَفُ
انحرق	اِنْحَرَقَ	يَنْحَرِقُ	-	-
انحسر	اِنْحَسَرَ	يَنْحَسِرُ	اُنْحُسِرَ	يُنْحَسَرُ
انحسم	اِنْحَسَمَ	يَنْحَسِمُ	-	-
انحصر	اِنْحَصَرَ	يَنْحَصِرُ	-	-
انحط	اِنْحَطَّ	يَنْحَطُّ	-	-
انحل	اِنْحَلَّ	يَنْحَلُّ	-	-
انحلب	اِنْحَلَبَ	يَنْحَلِبُ	-	-
انحمل	اِنْحَمَلَ	يَنْحَمِلُ	-	-
انحنى	اِنْحَنَى	يَنْحَنِي	-	-
انخدع	اِنْخَدَعَ	يَنْخَدِعُ	اُنْخُدِعَ	يُنْخَدَعُ
انخرط	اِنْخَرَطَ	يَنْخَرِطُ	-	-
انخرق	اِنْخَرَقَ	يَنْخَرِقُ	-	-
انخرم	اِنْخَرَمَ	يَنْخَرِمُ	-	-
انخض	اِنْخَضَّ	يَنْخَضُّ	اُنْخُضَّ	يُنْخَضُّ
انخفض	اِنْخَفَضَ	يَنْخَفِضُ	-	-
انخلع	اِنْخَلَعَ	يَنْخَلِعُ	-	-
