# lemma	class (uje a i et-i et-eji ne)
odtáčet	et-i
odtížit	i
odtělesnit	i
odtěsnit	i
odtěžit	i
odtřídit	i
oduložit	i
odusit	i
oduspokojit	i
odučinit	i
odučit	i
oduševnit	i
odvalit	i
odvanout	ne
odvařit	i
odvděčit	i
odvelet	et-i
odvinout	ne
odviset	et-i
odvlhčit	i
odvlnit	i
odvláknit	i
odvodit	i
odvodnit	i
odvolit	i
odvozit	i
odvracet	et-i
odvrátit	i
odvyprávět	et-i
odvzdušnit	i
odvábit	i
odvádět	et-i
odválet	et-i
odvápnit	i
odvážet	et-i
odvážit	i
odvíjet	et-i
odvěsit	i
odvětit	i
odvětvit	i
odzbrojit	i
odzemnit	i
odzkoušet	et-i
odznačit	i
odzrcadlit	i
odzrnit	i
odzrušit	i
odzvonit	i
odzvracet	et-i
odzvánět	et-i
odzávodit	i
odúpět	et-i
odúročit	i
odčernit	i
odčervit	i
odčinit	i
odřadit	i
odřídit	i
odšinout	ne
odškodnit	i
odškolit	i
odškrtit	i
odšmrdolit	i
odšpejlit	i
odšpendlit	i
odštěničit	i
odšumět	et-i
odšupajdit	i
odšustit	i
odůvodnit	i
odželeznit	i
odžlučit	i
odžnout	ne
ofotit	i
oglejit	i
ohladit	i
ohledět	et-i
ohloupit	i
ohlušit	i
ohlásit	i
ohlášet	et-i
ohlížet	et-i
ohniličet	et-i
ohnout	ne
ohodit	i
ohodnotit	i
oholit	i
ohořet	et-i
ohradit	i
ohranit	i
ohraničit	i
ohrnout	ne
ohrozit	i
ohvězdit	i
ohvězdnit	i
ohyzdit	i
ohánět	et-i
oházet	et-i
ojezdit	i
ojínit	i
ojíždět	et-i
okadit	i
okalit	i
okařit	i
oklestit	i
okleštit	i
oklovat	a
oklátit	i
okněžit	i
okosit	i
okotit	i
okoulet	et-i
okounět	et-i
okouzlit	i
okouřit	i
okoušet	et-i
okovat	a
okořenit	i
okreslit	i
okrojit	i
okrájet	et-i
okrášlit	i
okulatit	i
okusit	i
okypřit	i
okyselit	i
okysličit	i
okřídlit	i
oleštit	i
olistit	i
oloupit	i
omarodit	i
omastit	i
omilostnit	i
omladit	i
omlátit	i
omlžit	i
omodřit	i
omočit	i
omrzet	et-i
omráčit	i
omámit	i
omáčet	et-i
onemocnět	et-i
oněmět	et-i
oparádit	i
opatřit	i
opařit	i
opentlit	i
opepřit	i
opevnit	i
opeřit	i
opičit	i
oplatit	i
oplešatět	et-i
oplodit	i
oplodnit	i
oplotit	i
oploutvit	i
oploštit	i
oploštět	et-i
oplácet	et-i
opláštit	i
opnout	ne
opodstatnit	i
opojit	i
opomenout	ne
opominout	ne
opomíjet	et-i
opotit	i
opouzdřit	i
opouštět	et-i
opovážit	i
opozdit	i
oprasit	i
opražit	i
oprdět	et-i
oprostit	i
oprudit	i
oprávnit	i
oprášit	i
opršet	et-i
opustit	i
opylit	i
opájet	et-i
opálit	i
opáčit	i
opíjet	et-i
orazit	i
orážet	et-i
osadit	i
osamostatnit	i
osamotit	i
osamět	et-i
osedět	et-i
osemenit	i
osiřet	et-i
osladit	i
oslinit	i
oslnit	i
oslunit	i
oslyšet	et-i
osmažit	i
osmýčit	i
osmělit	i
osolit	i
osoušet	et-i
osočit	i
ospravedlnit	i
ostouzet	et-i
ostudit	i
ostřit	i
ostřílet	et-i
osušit	i
osvalit	i
osvobodit	i
osvojit	i
osvítit	i
osvědčit	i
osvětlit	i
osvěžit	i
osázet	et-i
osídlit	i
osípět	et-i
otelit	i
oteplit	i
otlačit	i
otočit	i
otrnout	ne
otročit	i
otrávit	i
otupět	et-i
otužit	i
otálet	et-i
otápět	et-i
otáčet	et-i
otěhotnět	et-i
ouředničit	i
ovanout	ne
ovařit	i
ovdovět	et-i
ovinout	ne
ovlažit	i
ovlhčit	i
ovlivnit	i
ovonět	et-i
ovroubit	i
oválet	et-i
ovápnit	i
ovíjet	et-i
ovínit	i
ověnčit	i
ověsit	i
ověřit	i
ověšet	et-i
ovšednět	et-i
ozbrojit	i
ozdravět	et-i
ozelenit	i
ozkoušet	et-i
ozlatit	i
označit	i
oznámit	i
ozvláštnit	i
ozvučit	i
ozářit	i
ozřejmit	i
očadit	i
očalounit	i
očernit	i
očistit	i
očmoudit	i
očmudit	i
očoudit	i
očudit	i
ošatit	i
ošerednět	et-i
ošetřit	i
ošidit	i
ošišatit	i
ošklivět	et-i
oškvařit	i
ošpičatit	i
ošulit	i
ošumět	et-i
ošálit	i
ožebračit	i
oželet	et-i
oženit	i
ožlutit	i
ožlučit	i
ožnout	ne
ožulit	i
pachtit	i
panikařit	i
papučovatět	et-i
parádit	i
pastvit	i
patřit	i
pařit	i
pažit	i
pelešit	i
pelášit	i
pentlit	i
pepřit	i
perendit	i
perlit	i
pestřit	i
pečetit	i
pinožit	i
pitomět	et-i
pitvořit	i
pizdit	i
pištět	et-i
plachtit	i
plahočit	i
planout	ne
planět	et-i
platit	i
plavčit	i
plazit	i
plašit	i
plemenit	i
plenit	i
plesnivět	et-i
pletichařit	i
plevelit	i
plešatět	et-i
plichtit	i
plnit	i
plodit	i
ploužit	i
plovat	a
plstit	i
plstnatět	et-i
plužit	i
plynout	ne
plísnit	i
plížit	i
pnout	ne
poalbánštit	i
poamerikánštit	i
poameričtit	i
poangličtit	i
poarabštit	i
pobakalářštit	i
pobarvit	i
pobloudit	i
poblouznit	i
pobláznit	i
pobouřit	i
pobořit	i
pobratřit	i
pobrečet	et-i
pobrněnštit	i
pobulharštit	i
pobíjet	et-i
pobízet	et-i
pocejtit	i
pochodit	i
pochovat	a
pochválit	i
pochytit	i
pocházet	et-i
pocvičit	i
pocítit	i
podařit	i
podbarvit	i
podbíjet	et-i
podbízet	et-i
podcenit	i
podchladit	i
podchytit	i
podcházet	et-i
podepnout	ne
podestavět	et-i
podetnout	ne
podhodit	i
podhodnotit	i
podhrnout	ne
podhustit	i
podjíždět	et-i
podklenout	ne
podkovat	a
podkreslit	i
podkročit	i
podladit	i
podletět	et-i
podloudničit	i
podložit	i
podmanit	i
podmastit	i
podmračit	i
podmáčet	et-i
podmínit	i
podnítit	i
podojit	i
podovádět	et-i
podplatit	i
podplazit	i
podplácet	et-i
podpojistit	i
podpořit	i
podpálit	i
podrandit	i
podrazit	i
podražit	i
podroušit	i
podrtit	i
podráždit	i
podrážet	et-i
podržet	et-i
podsadit	i
podskočit	i
podsladit	i
podstoupit	i
podstrojit	i
podstrčit	i
podstřelit	i
podsunout	ne
podsvítit	i
podsvětlit	i
podtočit	i
podtáhnout	ne
podtáčet	et-i
podusit	i
podvinout	ne
podvolit	i
podvracet	et-i
podvrátit	i
podvádět	et-i
podvěšet	et-i
podílet	et-i
podědit	i
podělit	i
poděsit	i
podřadit	i
podřídit	i
poevropštit	i
pofinštit	i
pofrancouzštit	i
pofrčet	et-i
pogermánštit	i
pohanět	et-i
pohašteřit	i
pohladit	i
pohledět	et-i
pohltit	i
pohlížet	et-i
pohmoždit	i
pohnojit	i
pohodit	i
pohodlnět	et-i
pohonit	i
pohoršit	i
pohostit	i
pohovořit	i
pohovět	et-i
pohořet	et-i
pohroužit	i
pohynout	ne
pohánět	et-i
poházet	et-i
pohřešit	i
pohřížit	i
poindiánštit	i
poindičtit	i
poitalštit	i
pojezdit	i
pojistit	i
pojit	i
pojíždět	et-i
pokadit	i
pokalit	i
pokamenit	i
pokatoličit	i
pokatoličtit	i
pokazit	i
poklidit	i
poklonit	i
poklábosit	i
poklápět	et-i
poklízet	et-i
pokoulet	et-i
pokoupit	i
pokouřit	i
pokoušet	et-i
pokovat	a
pokořit	i
pokreslit	i
pokrotit	i
pokroutit	i
pokročit	i
pokrájet	et-i
pokrátit	i
pokrčit	i
pokurvit	i
pokusit	i
pokynout	ne
pokácet	et-i
pokálet	et-i
pokřesťanštit	i
poladit	i
polahodit	i
polatinštit	i
polebedit	i
polehčit	i
polepšit	i
poletnit	i
poleštit	i
poležet	et-i
polichotit	i
polidštit	i
politikařit	i
pololežet	et-i
poloobnažit	i
polosedět	et-i
polouklidnit	i
polovydláždit	i
poločistit	i
položit	i
poltit	i
políbit	i
políčit	i
pomarodit	i
pomastit	i
pomazlit	i
pomaďarštit	i
pomejšlet	et-i
pominout	ne
pomlátit	i
pomlčet	et-i
pomnožit	i
pomodlit	i
pomodřit	i
pomokřit	i
pomosaznit	i
pomoučnit	i
pomočit	i
pomydlit	i
pomyslit	i
pomíjet	et-i
pomísit	i
pomýlit	i
pomýšlet	et-i
pomědit	i
poměnit	i
poměřit	i
ponapomenout	ne
ponaučit	i
poničit	i
ponorštit	i
ponosit	i
ponořit	i
ponížit	i
poněmčit	i
poobnažit	i
poobrátit	i
poobveselit	i
pooddálit	i
poodhalit	i
poodhrnout	ne
poodletět	et-i
poodložit	i
poodrážet	et-i
poodskočit	i
poodstoupit	i
poodstrčit	i
poodsunout	ne
poodvalit	i
poohlížet	et-i
poohnout	ne
poohrnout	ne
pootočit	i
pootáčet	et-i
popanštit	i
popatřit	i
popelavět	et-i
popelit	i
popepřit	i
poplatit	i
poplašit	i
poplenit	i
poplynout	ne
popnout	ne
popocházet	et-i
popohánět	et-i
popojíždět	et-i
popolštit	i
poponášet	et-i
poposadit	i
poposkočit	i
popostoupit	i
popostrčit	i
poposunout	ne
popouzet	et-i
popouštět	et-i
popošinout	ne
poprosit	i
poprznit	i
poprášit	i
popudit	i
popustit	i
popálit	i
popíjet	et-i
popřemýšlet	et-i
poradit	i
poranit	i
porazit	i
porochnit	i
porodit	i
poroučet	et-i
porozbíjet	et-i
porozdělit	i
porozhlížet	et-i
porozházet	et-i
porozmýšlet	et-i
porozprávět	et-i
porozumět	et-i
porozvracet	et-i
poručit	i
porušit	i
poruštit	i
porážet	et-i
posadit	i
posedět	et-i
poshovět	et-i
poshánět	et-i
posilnit	i
poskočit	i
poskvrnit	i
poslinit	i
posloužit	i
poslovanštit	i
poslovenštit	i
posmutnit	i
posmutnět	et-i
posolit	i
posoudit	i
pospojit	i
pospájet	et-i
pospíšit	i
posrbštit	i
posrážet	et-i
postačit	i
postit	i
postoupit	i
postrašit	i
postrojit	i
postrčit	i
postátnit	i
postáčet	et-i
postřelit	i
postříbřit	i
postřílet	et-i
posunout	ne
posvačit	i
posvištět	et-i
posvítit	i
posvětit	i
posvětštit	i
posázet	et-i
posílit	i
potatit	i
potemnět	et-i
potit	i
potlačit	i
potmět	et-i
potratit	i
potrhnout	ne
potrpět	et-i
potrápit	i
potvořit	i
potvrdit	i
potácet	et-i
potápět	et-i
potěšit	i
potřeštit	i
potřísnit	i
poudílet	et-i
pouhradit	i
pouklidit	i
pouklízet	et-i
poulit	i
pouložit	i
pousnášet	et-i
pouspokojit	i
poustevničit	i
poustoupit	i
pouzdřit	i
poučit	i
pouštět	et-i
povadit	i
povalit	i
povařit	i
poveselit	i
povečeřet	et-i
povinout	ne
povodit	i
povolit	i
povotáčet	et-i
povozit	i
povracet	et-i
povraždit	i
povrstvit	i
povrtit	i
povyhrnout	ne
povyprávět	et-i
povypůjčit	i
povyrazit	i
povyrážet	et-i
povysadit	i
povyskočit	i
povystoupit	i
povystrčit	i
povysázet	et-i
povyčistit	i
povzbudit	i
povznášet	et-i
poválet	et-i
povápnit	i
povážit	i
povíjet	et-i
povýšit	i
pověsit	i
pověřit	i
pozabíjet	et-i
pozachovat	a
pozajíždět	et-i
pozakrápět	et-i
pozaplatit	i
pozapomenout	ne
pozdit	i
pozdržet	et-i
pozelenit	i
pozemštit	i
pozhášet	et-i
pozlatit	i
pozměnit	i
poznačit	i
pozpřeházet	et-i
pozrušit	i
poztrácet	et-i
pozurážet	et-i
pozvracet	et-i
pozvrátit	i
pozápadnět	et-i
poárijštit	i
počalounit	i
počernit	i
počeštit	i
počistit	i
počínštit	i
poňuchňat	a
pořečtit	i
pořešit	i
pořídit	i
pošinout	ne
poškodit	i
poškorpit	i
poškrtit	i
poškvrnit	i
poškádlit	i
pošpanělštit	i
pošpatnit	i
pošpinit	i
pošprechtit	i
pošramotit	i
poštěstit	i
pošupajdit	i
pošušňat	a
pošvýcarštit	i
poženit	i
poženštit	i
požidovštit	i
požlutit	i
požnout	ne
požvanit	i
pramenit	i
prasečit	i
prasit	i
praštit	i
praštět	et-i
pražit	i
prdět	et-i
probarvit	i
probendit	i
probloudit	i
problouznit	i
probolet	et-i
probouzet	et-i
probořit	i
probrebentit	i
probrečet	et-i
probrigádničit	i
probrodit	i
probrousit	i
probruslit	i
probrzdit	i
probrázdit	i
probudit	i
probíjet	et-i
probělit	i
procedit	i
prochladit	i
prochodit	i
prochrnět	et-i
prochuravět	et-i
procházet	et-i
prochřestit	i
procivět	et-i
procvičit	i
procyklit	i
procítit	i
prodloužit	i
prodražit	i
produchovnit	i
produchovnět	et-i
produnět	et-i
produsit	i
produševnit	i
prodychtit	i
prodělit	i
proděravět	et-i
profandit	i
profičet	et-i
profotit	i
profrčet	et-i
profunkcionařit	i
profunět	et-i
prohihňat	a
prohloubit	i
prohloupit	i
prohlásit	i
prohlížet	et-i
prohnojit	i
prohnout	ne
prohodit	i
prohonit	i
prohospodařit	i
prohovořit	i
prohořet	et-i
prohrnout	ne
prohumóznit	i
prohučet	et-i
prohánět	et-i
proházet	et-i
prohýřit	i
prohřešit	i
projasnit	i
projednotit	i
projezdit	i
projíždět	et-i
prokarbanit	i
proklenout	ne
proklestit	i
proklečet	et-i
prokleštit	i
proklovat	a
prokoulet	et-i
prokouřit	i
prokořenit	i
prokreslit	i
prokrvácet	et-i
prokrátit	i
prokráčet	et-i
prokutálet	et-i
prokvasit	i
prokvičet	et-i
prokvílet	et-i
prokymácet	et-i
prokypřit	i
prokysličit	i
prokácet	et-i
prokňučet	et-i
prokřemenit	i
prokřičet	et-i
prokřížit	i
proladit	i
prolenošit	i
proletnit	i
proletět	et-i
proležet	et-i
prolnout	ne
prolozit	i
proložit	i
promarnit	i
promarodit	i
promastit	i
promazlit	i
promařit	i
promejšlet	et-i
prominout	ne
promlčet	et-i
promnout	ne
promodlit	i
promočit	i
promořit	i
promuškařit	i
promyslit	i
promáčet	et-i
promíjet	et-i
promísit	i
promýtit	i
promýšlet	et-i
proměnit	i
proměřit	i
pronudit	i
pronášet	et-i
prootálet	et-i
proparádit	i
propařit	i
properlit	i
proplachtit	i
proplatit	i
proplešatět	et-i
proplužit	i
proplynit	i
proplynout	ne
proplácet	et-i
proplížit	i
propnout	ne
propojit	i
propotit	i
propotácet	et-i
propouštět	et-i
propršet	et-i
propudit	i
propustit	i
propájet	et-i
propálit	i
propíjet	et-i
propřemýšlet	et-i
propůjčit	i
prorachotit	i
prorandit	i
prorazit	i
prorejdit	i
prorezavět	et-i
prorezivět	et-i
prorážet	et-i
prosadit	i
prosedět	et-i
prosit	i
proskotačit	i
proskočit	i
prosladit	i
proslinit	i
proslunit	i
proslídit	i
prosmažit	i
prosmejčit	i
prosmolit	i
prosmýčit	i
prosněžit	i
prosolit	i
prosoudit	i
prostavět	et-i
prostoupit	i
prostrčit	i
prostudit	i
prostřelit	i
prostřílet	et-i
prosunout	ne
prosušit	i
prosvištět	et-i
prosvítit	i
prosvětlit	i
prosytit	i
prosyčet	et-i
prosázet	et-i
prosířit	i
protančit	i
protemnit	i
protemnět	et-i
proteplit	i
protiřečit	i
protlačit	i
protočit	i
protroškařit	i
protrpět	et-i
protrápit	i
protáčet	et-i
protříbit	i
protřídit	i
proudit	i
prouklízet	et-i
proutkařit	i
provalit	i
provanout	ne
provařit	i
provinit	i
provinout	ne
provlažit	i
provlhčit	i
provlnit	i
provodit	i
provonět	et-i
provrásnit	i
provzdušnit	i
provádět	et-i
proválet	et-i
proválčit	i
provápnit	i
provázet	et-i
provážet	et-i
provážit	i
províjet	et-i
prověsit	i
prověřit	i
prozahálet	et-i
prozkoušet	et-i
prozměnit	i
prozradit	i
prozrcadlit	i
prozvonit	i
prozvracet	et-i
prozvučit	i
prozvánět	et-i
prozávodit	i
prozářit	i
pročernit	i
pročeřit	i
pročistit	i
pročumět	et-i
prořítit	i
prošedivět	et-i
prošetřit	i
proškolit	i
prošlechtit	i
prošmejdit	i
prošumět	et-i
proživořit	i
prožlutit	i
prožnout	ne
prožvanit	i
prudit	i
pružit	i
pryštit	i
prznit	i
práchnivět	et-i
prášit	i
prýštit	i
pršet	et-i
průhlednět	et-i
puchýřovatět	et-i
puchřet	et-i
pudit	i
pustit	i
pustošit	i
pučet	et-i
pučit	i
pytlačit	i
pyšnit	i
pábit	i
pádit	i
pájet	et-i
pálit	i
páčit	i
pářit	i
pídit	i
pílit	i
písničkařit	i
pórovatět	et-i
pýřit	i
pěnit	i
pěstit	i
přebalit	i
přebarvit	i
přebodovat	a
přebolet	et-i
přebrodit	i
přebrousit	i
přebruslit	i
přebuchtit	i
přebudit	i
přebujet	et-i
přeburácet	et-i
přebásnit	i
přebíjet	et-i
přebílit	i
přecedit	i
přecenit	i
přechladit	i
přechodit	i
přechovat	a
přechuravět	et-i
přechutit	i
přechválit	i
přechytračit	i
přecházet	et-i
přechýlit	i
přecitlivět	et-i
přecvičit	i
předanit	i
předbělit	i
předchladit	i
předcházet	et-i
předcvičit	i
předepnout	ne
předhodit	i
předhonit	i
předhánět	et-i
předjíždět	et-i
předklenout	ne
předklonit	i
předklánět	et-i
předkovat	a
předkreslit	i
předkrájet	et-i
předkynout	ne
předkácet	et-i
předladit	i
předletět	et-i
předleštit	i
předložit	i
předlužit	i
předláždit	i
předmísit	i
přednatočit	i
přednožit	i
přednášet	et-i
předpažit	i
předplatit	i
předplácet	et-i
předpustit	i
předpřeložit	i
předražit	i
předrnčet	et-i
předrtit	i
předráždit	i
předržet	et-i
předsadit	i
předskočit	i
předsmažit	i
předsoušet	et-i
předstoupit	i
předstrčit	i
předsunout	ne
předsušit	i
předsázet	et-i
předtančit	i
předtočit	i
předtápět	et-i
předtáčet	et-i
předtřídit	i
předurčit	i
předuveřejnit	i
předvařit	i
předvolit	i
předvyplnit	i
předvytvořit	i
předvádět	et-i
předvářet	et-i
předvěsit	i
předvěstit	i
předzajistit	i
předzavádět	et-i
předzkreslit	i
předznačit	i
předzvědět	et-i
předčinit	i
předčistit	i
předčit	i
předělit	i
předřadit	i
přefandit	i
přefotit	i
přefrčet	et-i
přehloubit	i
přehltit	i
přehlučet	et-i
přehlušit	i
přehlásit	i
přehlížet	et-i
přehnojit	i
přehnout	ne
přehodit	i
přehodnotit	i
přeholit	i
přehořet	et-i
přehradit	i
přehrnout	ne
přehrčet	et-i
přehustit	i
přehvězdit	i
přehánět	et-i
přeházet	et-i
přehřmět	et-i
přejinačit	i
přejíždět	et-i
překabátit	i
překazit	i
překlenout	ne
překlohnit	i
překlonit	i
překlánět	et-i
překlápět	et-i
překlížit	i
překotit	i
překoulet	et-i
překoupit	i
překouzlit	i
překouřit	i
překovat	a
překořenit	i
překreslit	i
překrojit	i
překroutit	i
překročit	i
překrájet	et-i
překulit	i
překutálet	et-i
překvasit	i
překynout	ne
překypět	et-i
překyselit	i
překysličit	i
překážet	et-i
překřičet	et-i
překřížit	i
přeladit	i
přelanařit	i
přeletět	et-i
přeleštit	i
přeležet	et-i
přelidnit	i
přelodit	i
přeložit	i
přeléčit	i
přelíčit	i
přemastit	i
přemejšlet	et-i
přemladit	i
přemlátit	i
přemnožit	i
přemokřit	i
přemostit	i
přemoudřet	et-i
přemrazit	i
přemrštit	i
přemísit	i
přemístit	i
přemýšlet	et-i
přeměnit	i
přeměřit	i
přenosit	i
přenáhlit	i
přenášet	et-i
přeobsadit	i
přeonačit	i
přeoplodit	i
přeostřit	i
přeozvučit	i
přepařit	i
přepažit	i
přepepřit	i
přeplachtit	i
přeplatit	i
přeplazit	i
přeplnit	i
přeplynout	ne
přeplácet	et-i
přepláštit	i
přeplížit	i
přepnout	ne
přepodstatnit	i
přepojistit	i
přepojit	i
přepouštět	et-i
přepražit	i
přepustit	i
přepájet	et-i
přepálit	i
přepůlit	i
přerazit	i
přerodit	i
přerojit	i
přerozdělit	i
přerozvracet	et-i
přerušit	i
přerážet	et-i
přesadit	i
přeschválit	i
přesdvědčit	i
přesedět	et-i
přeskladnit	i
přeskočit	i
přesladit	i
přesloužit	i
přesmažit	i
přesolit	i
přesoustružit	i
přestavět	et-i
přestoupit	i
přestrašit	i
přestrojit	i
přestátnit	i
přestřelit	i
přestřílet	et-i
přesunout	ne
přesušit	i
přesvištět	et-i
přesvítit	i
přesvědčit	i
přesvětit	i
přesvětlit	i
přesytit	i
přesázet	et-i
přesídlit	i
přetančit	i
přetlačit	i
přetlumočit	i
přetláčet	et-i
přetnout	ne
přetočit	i
přetroškařit	i
přetrpět	et-i
přetučnět	et-i
přetvořit	i
přetvářet	et-i
přetápět	et-i
přetáčet	et-i
přetížit	i
přetěsnit	i
přetřídit	i
přeudit	i
přeudílet	et-i
přeuložit	i
přeusnášet	et-i
přeučinit	i
přeučit	i
převalit	i
převařit	i
převelet	et-i
převinout	ne
převlažit	i
převlhčit	i
převláčet	et-i
převolit	i
převonět	et-i
převracet	et-i
převrstvit	i
převrátit	i
převtělit	i
převychovat	a
převypodložit	i
převyprávět	et-i
převádět	et-i
převálet	et-i
převářet	et-i
převážet	et-i
převážit	i
převíjet	et-i
převýšit	i
převěsit	i
přezachovat	a
přezaplatit	i
přezbrojit	i
přezelenit	i
přezkoušet	et-i
přezměnit	i
přeznačit	i
přezrušit	i
přezvětšit	i
přezávodit	i
přezářit	i
přeúchylkařit	i
přeúhořit	i
přeúplatkařit	i
přeúpět	et-i
přeústupkařit	i
přečalounit	i
přečernit	i
přečistit	i
přečíslit	i
přeřadit	i
přešetřit	i
přešinout	ne
přešišatit	i
přeškolit	i
přeškrtit	i
přeškvařit	i
přeškvířit	i
přešlechtit	i
přešrotit	i
přešumět	et-i
přešupajdit	i
přežehlit	i
přežulit	i
přibalit	i
přibarvit	i
přibatolit	i
přiblížit	i
přibrousit	i
přibruslit	i
přibrzdit	i
přiburácet	et-i
přibájit	i
přibásnit	i
přibíjet	et-i
přichovat	a
přichumelit	i
přichutit	i
přichvátit	i
přichytit	i
přicházet	et-i
přichýlit	i
přiclonit	i
přiclánět	et-i
přidanit	i
přidrandit	i
přidražit	i
přidružit	i
přidržet	et-i
přidusit	i
přidělit	i
přifařit	i
přifičet	et-i
přifotit	i
přifrčet	et-i
přifunět	et-i
přihasit	i
přihladit	i
přihlásit	i
přihlížet	et-i
přihmouřit	i
přihnojit	i
přihnout	ne
přihodit	i
přihojit	i
přihoršit	i
přihradit	i
přihranit	i
přihrnout	ne
přihrotit	i
přihrčet	et-i
přihustit	i
přihánět	et-i
přiházet	et-i
přijíždět	et-i
přiklohnit	i
přiklonit	i
přiklánět	et-i
přiklápět	et-i
přiklátit	i
přiklížit	i
přikotvit	i
přikoulet	et-i
přikoupit	i
přikouzlit	i
přikovat	a
přikořenit	i
přikreslit	i
přikrojit	i
přikročit	i
přikrájet	et-i
přikrátit	i
přikráčet	et-i
přikrášlit	i
přikrčit	i
přikuchtit	i
přikulit	i
přikutit	i
přikutálet	et-i
přikvačit	i
přikvičet	et-i
přikymácet	et-i
přikyselit	i
přikřížit	i
přiladit	i
přilepšit	i
přiletět	et-i
přiležet	et-i
přilichotit	i
přilnout	ne
přiloudit	i
přiložit	i
přilícit	i
přilíčit	i
přimastit	i
přimhouřit	i
přimladit	i
přimořit	i
přimrazit	i
přimyslit	i
přimísit	i
přimýšlet	et-i
přiměřit	i
přinožit	i
přinutit	i
přináležet	et-i
přinášet	et-i
přiostřit	i
přiotrávit	i
připažit	i
připepřit	i
připevnit	i
připečetit	i
připlachtit	i
připlatit	i
připloužit	i
připlužit	i
připlynout	ne
připlácet	et-i
připlížit	i
připnout	ne
připodobnit	i
připojistit	i
připojit	i
připomenout	ne
připosrazit	i
připostrčit	i
připotácet	et-i
připouštět	et-i
připovědět	et-i
připozdit	i
připražit	i
připustit	i
připájet	et-i
připálit	i
připíjet	et-i
připřeložit	i
přirachotit	i
přirazit	i
přirozvracet	et-i
přirušit	i
přirychlit	i
přirážet	et-i
přisadit	i
přiskotačit	i
přiskočit	i
přisladit	i
přisloužit	i
přislíbit	i
přismažit	i
přisněžit	i
přisolit	i
přisoudit	i
přisoustružit	i
přispořit	i
přispíšit	i
přistavět	et-i
přistoupit	i
přistrojit	i
přistrčit	i
přistínit	i
přisunout	ne
přisupět	et-i
přisvištět	et-i
přisvojit	i
přisvítit	i
přisvědčit	i
přisvětlit	i
přisázet	et-i
přitahnout	ne
přitančit	i
přiteplit	i
přitlačit	i
přitmelit	i
přitočit	i
přitroškařit	i
přitulit	i
přitužit	i
přitvořit	i
přitvrdit	i
přitvářet	et-i
přitápět	et-i
přitáčet	et-i
přitížit	i
přitěsnit	i
přitřídit	i
přiudit	i
přiuhradit	i
přiusnášet	et-i
přiuspokojit	i
přiučinit	i
přiučit	i
přivalit	i
přivanout	ne
přivařit	i
přivinout	ne
přivlastnit	i
přivlažit	i
přivláčet	et-i
přivodit	i
přivolit	i
přivonět	et-i
přivplácet	et-i
přivracet	et-i
přivrátit	i
přivtělit	i
přivypodložit	i
přivzdušnit	i
přivábit	i
přivádět	et-i
přiválet	et-i
přivápnit	i
přivázat	a
přivážet	et-i
přivážit	i
přivíjet	et-i
přivěsit	i
přizachovat	a
přizaplatit	i
přizbrojit	i
přizdržet	et-i
přizelenit	i
přizemnit	i
přizměnit	i
přizrušit	i
přizvonit	i
přizvánět	et-i
přičernit	i
přičinit	i
přičlenit	i
přičmoudit	i
přičmudit	i
přičoudit	i
přiřadit	i
přiředit	i
přiřítit	i
přišinout	ne
přiškolit	i
přiškrtit	i
přiškvařit	i
přiškvířit	i
přišlechtit	i
přišmrdolit	i
přišpejlit	i
přišpendlit	i
přišpičatit	i
přišrotit	i
přišumět	et-i
přišupajdit	i
přiženit	i
přátelit	i
přímit	i
přímospustit	i
přísedět	et-i
příslušet	et-i
přísnět	et-i
příčit	i
příštipkařit	i
příživničit	i
půjčit	i
půlit	i
rachotit	i
radit	i
rafičit	i
randit	i
ranit	i
rathovatět	et-i
razit	i
rašit	i
rdousit	i
rejdit	i
repetit	i
revolucionařit	i
rezatět	et-i
rezavět	et-i
rezivět	et-i
rezovatět	et-i
rmoutit	i
rochnit	i
rochňat	a
rodinkařit	i
rodit	i
rohovatět	et-i
rohovět	et-i
rojit	i
rolničit	i
ronit	i
rosit	i
rosolovatět	et-i
roubit	i
rozbahnit	i
rozbalit	i
rozbečet	et-i
rozblátit	i
rozbolavět	et-i
rozbolestnit	i
rozbolet	et-i
rozbouřit	i
rozbočit	i
rozbořit	i
rozbrebentit	i
rozbrečet	et-i
rozbrnět	et-i
rozbruslit	i
rozbručet	et-i
rozbrázdit	i
rozbujet	et-i
rozbujnět	et-i
rozburácet	et-i
rozbučet	et-i
rozbušit	i
rozbydlet	et-i
rozbzučet	et-i
rozbásnit	i
rozbíjet	et-i
rozběsnit	i
rozchlípit	i
rozchodit	i
rozchvátit	i
rozcházet	et-i
rozchřestit	i
rozcitlivět	et-i
rozcvičit	i
rozdivočet	et-i
rozdovádět	et-i
rozdrnčet	et-i
rozdrolit	i
rozdrtit	i
rozdružit	i
rozdráždit	i
rozdunět	et-i
rozdurdit	i
rozdvojit	i
rozdychtit	i
rozdílet	et-i
rozdělit	i
rozebrat	a
rozehnout	ne
rozehřmět	et-i
rozemnout	ne
rozesadit	i
rozesmutnit	i
rozestavět	et-i
rozestoupit	i
rozestřílet	et-i
rozezkoušet	et-i
rozezvonit	i
rozezvučet	et-i
rozežvanit	i
rozfunět	et-i
rozhalit	i
rozhasit	i
rozhašteřit	i
rozhihňat	a
rozhlaholit	i
rozhlučet	et-i
rozhlásit	i
rozhlížet	et-i
rozhodit	i
rozhojnit	i
rozhorlit	i
rozhostit	i
rozhovořit	i
rozhořet	et-i
