# lemma	p-sg1	p-sg2	p-sg3	p-du1	p-du2	p-du3	p-pl1	p-pl2	p-pl3	imp2sg	lptcp	supine ("-" = derive)
akceptirati	akceptiram	akceptiraš	akceptira	akceptirava	akceptirata	akceptirata	akceptiramo	akceptirate	akceptirajo	-	-	-	-	-
aklamirati	aklamiram	aklamiraš	aklamira	aklamirava	aklamirata	aklamirata	aklamiramo	aklamirate	aklamirajo	-	-	-	-	-
aklimatizirati	aklimatiziram	aklimatiziraš	aklimatizira	aklimatizirava	aklimatizirata	aklimatizirata	aklimatiziramo	aklimatizirate	aklimatizirajo	-	-	-	-	-
akoladirati	akoladiram	akoladiraš	akoladira	akoladirava	akoladirata	akoladirata	akoladiramo	akoladirate	akoladirajo	-	-	-	-	-
akontirati	akontiram	akontiraš	akontira	akontirava	akontirata	akontirata	akontiramo	akontirate	akontirajo	-	-	-	-	-
akreditirati	akreditiram	akreditiraš	akreditira	akreditirava	akreditirata	akreditirata	akreditiramo	akreditirate	akreditirajo	-	-	-	-	-
aktivirati	aktiviram	aktiviraš	aktivira	aktivirava	aktivirata	aktivirata	aktiviramo	aktivirate	aktivirajo	-	-	-	-	-
aktualizirati	aktualiziram	aktualiziraš	aktualizira	aktualizirava	aktualizirata	aktualizirata	aktualiziramo	aktualizirate	aktualizirajo	-	-	-	-	-
akulturirati	akulturiram	akulturiraš	akulturira	akulturirava	akulturirata	akulturirata	akulturiramo	akulturirate	akulturirajo	-	-	-	-	-
akumulirati	akumuliram	akumuliraš	akumulira	akumulirava	akumulirata	akumulirata	akumuliramo	akumulirate	akumulirajo	-	-	-	-	-
akutirati	akutiram	akutiraš	akutira	akutirava	akutirata	akutirata	akutiramo	akutirate	akutirajo	-	-	-	-	-
akvarelirati	akvareliram	akvareliraš	akvarelira	akvarelirava	akvarelirata	akvarelirata	akvareliramo	akvarelirate	akvarelirajo	-	-	-	-	-
akvirirati	akviriram	akviriraš	akvirira	akvirirava	akvirirata	akvirirata	akviriramo	akvirirate	akvirirajo	-	-	-	-	-
alarmirati	alarmiram	alarmiraš	alarmira	alarmirava	alarmirata	alarmirata	alarmiramo	alarmirate	alarmirajo	-	-	-	-	-
alegorizirati	alegoriziram	alegoriziraš	alegorizira	alegorizirava	alegorizirata	alegorizirata	alegoriziramo	alegorizirate	alegorizirajo	-	-	-	-	-
alibizirati	alibiziram	alibiziraš	alibizira	alibizirava	alibizirata	alibizirata	alibiziramo	alibizirate	alibizirajo	-	-	-	-	-
alienirati	alieniram	alieniraš	alienira	alienirava	alienirata	alienirata	alieniramo	alienirate	alienirajo	-	-	-	-	-
alkalizirati	alkaliziram	alkaliziraš	alkalizira	alkalizirava	alkalizirata	alkalizirata	alkaliziramo	alkalizirate	alkalizirajo	-	-	-	-	-
alkoholizirati	alkoholiziram	alkoholiziraš	alkoholizira	alkoholizirava	alkoholizirata	alkoholizirata	alkoholiziramo	alkoholizirate	alkoholizirajo	-	-	-	-	-
alocirati	alociram	alociraš	alocira	alocirava	alocirata	alocirata	alociramo	alocirate	alocirajo	-	-	-	-	-
alterirati	alteriram	alteriraš	alterira	alterirava	alterirata	alterirata	alteriramo	alterirate	alterirajo	-	-	-	-	-
alternirati	alterniram	alterniraš	alternira	alternirava	alternirata	alternirata	alterniramo	alternirate	alternirajo	-	-	-	-	-
aludirati	aludiram	aludiraš	aludira	aludirava	aludirata	aludirata	aludiramo	aludirate	aludirajo	-	-	-	-	-
alumniti	alumnem	alumneš	alumne	alumneva	alumneta	alumneta	alumnemo	alumnete	alumnejo	-	-	-	-	-
amalgamirati	amalgamiram	amalgamiraš	amalgamira	amalgamirava	amalgamirata	amalgamirata	amalgamiramo	amalgamirate	amalgamirajo	-	-	-	-	-
amandmirati	amandmiram	amandmiraš	amandmira	amandmirava	amandmirata	amandmirata	amandmiramo	amandmirate	amandmirajo	-	-	-	-	-
amaterizirati	amateriziram	amateriziraš	amaterizira	amaterizirava	amaterizirata	amaterizirata	amateriziramo	amaterizirate	amaterizirajo	-	-	-	-	-
amerikanizirati	amerikaniziram	amerikaniziraš	amerikanizira	amerikanizirava	amerikanizirata	amerikanizirata	amerikaniziramo	amerikanizirate	amerikanizirajo	-	-	-	-	-
amnestirati	amnestiram	amnestiraš	amnestira	amnestirava	amnestirata	amnestirata	amnestiramo	amnestirate	amnestirajo	-	-	-	-	-
amortizirati	amortiziram	amortiziraš	amortizira	amortizirava	amortizirata	amortizirata	amortiziramo	amortizirate	amortizirajo	-	-	-	-	-
amplificirati	amplificiram	amplificiraš	amplificira	amplificirava	amplificirata	amplificirata	amplificiramo	amplificirate	amplificirajo	-	-	-	-	-
amputirati	amputiram	amputiraš	amputira	amputirava	amputirata	amputirata	amputiramo	amputirate	amputirajo	-	-	-	-	-
anagramirati	anagramiram	anagramiraš	anagramira	anagramirava	anagramirata	anagramirata	anagramiramo	anagramirate	anagramirajo	-	-	-	-	-
analizirati	analiziram	analiziraš	analizira	analizirava	analizirata	analizirata	analiziramo	analizirate	analizirajo	-	-	-	-	-
analogizirati	analogiziram	analogiziraš	analogizira	analogizirava	analogizirata	analogizirata	analogiziramo	analogizirate	analogizirajo	-	-	-	-	-
anatemizirati	anatemiziram	anatemiziraš	anatemizira	anatemizirava	anatemizirata	anatemizirata	anatemiziramo	anatemizirate	anatemizirajo	-	-	-	-	-
anatomizirati	anatomiziram	anatomiziraš	anatomizira	anatomizirava	anatomizirata	anatomizirata	anatomiziramo	anatomizirate	anatomizirajo	-	-	-	-	-
aneksirati	aneksiram	aneksiraš	aneksira	aneksirava	aneksirata	aneksirata	aneksiramo	aneksirate	aneksirajo	-	-	-	-	-
anektirati	anektiram	anektiraš	anektira	anektirava	anektirata	anektirata	anektiramo	anektirate	anektirajo	-	-	-	-	-
anestetizirati	anestetiziram	anestetiziraš	anestetizira	anestetizirava	anestetizirata	anestetizirata	anestetiziramo	anestetizirate	anestetizirajo	-	-	-	-	-
anestezirati	anesteziram	anesteziraš	anestezira	anestezirava	anestezirata	anestezirata	anesteziramo	anestezirate	anestezirajo	-	-	-	-	-
angažirati	angažiram	angažiraš	angažira	angažirava	angažirata	angažirata	angažiramo	angažirate	angažirajo	-	-	-	-	-
anglizirati	angliziram	angliziraš	anglizira	anglizirava	anglizirata	anglizirata	angliziramo	anglizirate	anglizirajo	-	-	-	-	-
anihilirati	anihiliram	anihiliraš	anihilira	anihilirava	anihilirata	anihilirata	anihiliramo	anihilirate	anihilirajo	-	-	-	-	-
animirati	animiram	animiraš	animira	animirava	animirata	animirata	animiramo	animirate	animirajo	-	-	-	-	-
anketirati	anketiram	anketiraš	anketira	anketirava	anketirata	anketirata	anketiramo	anketirate	anketirajo	-	-	-	-	-
anodizirati	anodiziram	anodiziraš	anodizira	anodizirava	anodizirata	anodizirata	anodiziramo	anodizirate	anodizirajo	-	-	-	-	-
anonimizirati	anonimiziram	anonimiziraš	anonimizira	anonimizirava	anonimizirata	anonimizirata	anonimiziramo	anonimizirate	anonimizirajo	-	-	-	-	-
anotirati	anotiram	anotiraš	anotira	anotirava	anotirata	anotirata	anotiramo	anotirate	anotirajo	-	-	-	-	-
antagonizirati	antagoniziram	antagoniziraš	antagonizira	antagonizirava	antagonizirata	antagonizirata	antagoniziramo	antagonizirate	antagonizirajo	-	-	-	-	-
antedatirati	antedatiram	antedatiraš	antedatira	antedatirava	antedatirata	antedatirata	antedatiramo	antedatirate	antedatirajo	-	-	-	-	-
anticipirati	anticipiram	anticipiraš	anticipira	anticipirava	anticipirata	anticipirata	anticipiramo	anticipirate	anticipirajo	-	-	-	-	-
antidatirati	antidatiram	antidatiraš	antidatira	antidatirava	antidatirata	antidatirata	antidatiramo	antidatirate	antidatirajo	-	-	-	-	-
antologizirati	antologiziram	antologiziraš	antologizira	antologizirava	antologizirata	antologizirata	antologiziramo	antologizirate	antologizirajo	-	-	-	-	-
antropomorfizirati	antropomorfiziram	antropomorfiziraš	antropomorfizira	antropomorfizirava	antropomorfizirata	antropomorfizirata	antropomorfiziramo	antropomorfizirate	antropomorfizirajo	-	-	-	-	-
anulirati	anuliram	anuliraš	anulira	anulirava	anulirata	anulirata	anuliramo	anulirate	anulirajo	-	-	-	-	-
anđelesti	anđeledem	anđeledeš	anđelede	anđeledeva	anđeledeta	anđeledeta	anđeledemo	anđeledete	anđeledejo	anđeledi	anđeledel	-	anđeledla	-
apelirati	apeliram	apeliraš	apelira	apelirava	apelirata	apelirata	apeliramo	apelirate	apelirajo	-	-	-	-	-
apercipirati	apercipiram	apercipiraš	apercipira	apercipirava	apercipirata	apercipirata	apercipiramo	apercipirate	apercipirajo	-	-	-	-	-
aplaudirati	aplaudiram	aplaudiraš	aplaudira	aplaudirava	aplaudirata	aplaudirata	aplaudiramo	aplaudirate	aplaudirajo	-	-	-	-	-
aplavdirati	aplavdiram	aplavdiraš	aplavdira	aplavdirava	aplavdirata	aplavdirata	aplavdiramo	aplavdirate	aplavdirajo	-	-	-	-	-
aplicirati	apliciram	apliciraš	aplicira	aplicirava	aplicirata	aplicirata	apliciramo	aplicirate	aplicirajo	-	-	-	-	-
apnati	apnam	apnaš	apna	apnava	apnata	apnata	apnamo	apnate	apnajo	-	-	-	-	-
apostrofirati	apostrofiram	apostrofiraš	apostrofira	apostrofirava	apostrofirata	apostrofirata	apostrofiramo	apostrofirate	apostrofirajo	-	-	-	-	-
apreciirati	apreciiram	apreciiraš	apreciira	apreciirava	apreciirata	apreciirata	apreciiramo	apreciirate	apreciirajo	-	-	-	-	-
apretirati	apretiram	apretiraš	apretira	apretirava	apretirata	apretirata	apretiramo	apretirate	apretirajo	-	-	-	-	-
aproksimirati	aproksimiram	aproksimiraš	aproksimira	aproksimirava	aproksimirata	aproksimirata	aproksimiramo	aproksimirate	aproksimirajo	-	-	-	-	-
apropriirati	apropriiram	apropriiraš	apropriira	apropriirava	apropriirata	apropriirata	apropriiramo	apropriirate	apropriirajo	-	-	-	-	-
arabizirati	arabiziram	arabiziraš	arabizira	arabizirava	arabizirata	arabizirata	arabiziramo	arabizirate	arabizirajo	-	-	-	-	-
aranžirati	aranžiram	aranžiraš	aranžira	aranžirava	aranžirata	aranžirata	aranžiramo	aranžirate	aranžirajo	-	-	-	-	-
arbitrirati	arbitriram	arbitriraš	arbitrira	arbitrirava	arbitrirata	arbitrirata	arbitriramo	arbitrirate	arbitrirajo	-	-	-	-	-
aretirati	aretiram	aretiraš	aretira	aretirava	aretirata	aretirata	aretiramo	aretirate	aretirajo	-	-	-	-	-
argumentirati	argumentiram	argumentiraš	argumentira	argumentirava	argumentirata	argumentirata	argumentiramo	argumentirate	argumentirajo	-	-	-	-	-
arhaizirati	arhaiziram	arhaiziraš	arhaizira	arhaizirava	arhaizirata	arhaizirata	arhaiziramo	arhaizirate	arhaizirajo	-	-	-	-	-
arhivirati	arhiviram	arhiviraš	arhivira	arhivirava	arhivirata	arhivirata	arhiviramo	arhivirate	arhivirajo	-	-	-	-	-
arizirati	ariziram	ariziraš	arizira	arizirava	arizirata	arizirata	ariziramo	arizirate	arizirajo	-	-	-	-	-
armirati	armiram	armiraš	armira	armirava	armirata	armirata	armiramo	armirate	armirajo	-	-	-	-	-
