# lemma	class (a i uje ne)
pomižikniti	ne
pomrkniti	ne
pomrzniti	ne
pomuzniti	ne
ponatisniti	ne
ponikniti	ne
poplahniti	ne
poplakniti	ne
poriniti	ne
posahniti	ne
poslati	a
posluhniti	ne
posmehniti	ne
posmrkniti	ne
posmukniti	ne
pospomniti	ne
potakniti	ne
potegniti	ne
potihniti	ne
potisniti	ne
potoniti	ne
potrzniti	ne
potuhniti	ne
poveniti	ne
poverniti	ne
povezniti	ne
povohuniti	ne
povrniti	ne
povzdigniti	ne
povzdihniti	ne
pozahodniti	ne
pozakleniti	ne
počeniti	ne
počepniti	ne
pošepniti	ne
pošvigniti	ne
požmigniti	ne
požmrkniti	ne
praskniti	ne
prasniti	ne
prdniti	ne
prebegniti	ne
prebliskniti	ne
preblisniti	ne
prebrniti	ne
precvikniti	ne
predahniti	ne
predizpolniti	ne
predpomniti	ne
predprazniti	ne
predrgniti	ne
predrzniti	ne
preganiti	ne
pregrizniti	ne
pregrniti	ne
prekiniti	ne
prekopicniti	ne
prekreniti	ne
prekucniti	ne
premakniti	ne
preminiti	ne
premolkniti	ne
premrzniti	ne
prenagniti	ne
prenapihniti	ne
prenikniti	ne
preobrniti	ne
preokreniti	ne
prepikniti	ne
preplakniti	ne
prepljusniti	ne
prepogniti	ne
preraztegniti	ne
preriniti	ne
presahniti	ne
presuniti	ne
pretakniti	ne
pretegniti	ne
pretisniti	ne
prevezniti	ne
prevrniti	ne
prevzdigniti	ne
prešiniti	ne
prešpikniti	ne
preščipniti	ne
prežlahtniti	ne
prhniti	ne
prhutniti	ne
pribegniti	ne
pricurniti	ne
pridahniti	ne
pridihniti	ne
pridrgniti	ne
pridvigniti	ne
prifrkniti	ne
prigrizniti	ne
prigrniti	ne
prijazniti	ne
priklekniti	ne
prikleniti	ne
prilizniti	ne
primakniti	ne
primrzniti	ne
prinikniti	ne
pripesniti	ne
pripogniti	ne
pririniti	ne
prisluhniti	ne
prismukniti	ne
prisuniti	ne
pritakniti	ne
pritegniti	ne
pritisniti	ne
pritlehniti	ne
privihniti	ne
privzdigniti	ne
prišepniti	ne
priškrniti	ne
priškrtniti	ne
priščipniti	ne
pronicniti	ne
pronikniti	ne
prskniti	ne
puhniti	ne
pukniti	ne
pušniti	ne
ravsniti	ne
razbegniti	ne
razbrizgniti	ne
razganiti	ne
razgrniti	ne
razkleniti	ne
razkrehniti	ne
razlegniti	ne
razmahniti	ne
razmakniti	ne
razpahniti	ne
razpesniti	ne
razpihniti	ne
razpljusniti	ne
razpotegniti	ne
razprhniti	ne
razprsniti	ne
razriniti	ne
raztegniti	ne
razvezniti	ne
razčesniti	ne
reskniti	ne
retvitniti	ne
revskniti	ne
revsniti	ne
rigniti	ne
rikniti	ne
riniti	ne
ritniti	ne
rukniti	ne
rvati	a
sahniti	ne
scvrkniti	ne
scvrkotniti	ne
sfrkniti	ne
sikniti	ne
siniti	ne
skleniti	ne
sklizniti	ne
skokniti	ne
skomigniti	ne
skomizgniti	ne
skovikniti	ne
skreniti	ne
skrkniti	ne
skrniti	ne
smrkniti	ne
smukniti	ne
snifniti	ne
sopihniti	ne
sopniti	ne
sopojasniti	ne
spahniti	ne
spihniti	ne
splahniti	ne
splakniti	ne
splesniti	ne
spodmakniti	ne
spodriniti	ne
spodrsniti	ne
spodtakniti	ne
spodvihniti	ne
spomniti	a
spopolniti	ne
spoprijazniti	ne
spotakniti	ne
spotegniti	ne
sprdniti	ne
spreobrniti	ne
sprevrniti	ne
sprhniti	ne
srebniti	ne
srkniti	ne
stakniti	ne
stegniti	ne
stekniti	ne
stigniti	ne
stisniti	ne
stokniti	ne
stopicniti	ne
stresniti	ne
strniti	ne
suniti	ne
takniti	ne
tapniti	ne
tegniti	ne
tekniti	ne
telebniti	ne
tkati	a
tleskniti	ne
tlesniti	ne
toniti	ne
topotniti	ne
treniti	ne
trepniti	ne
treskniti	ne
tresniti	ne
trezniti	ne
trgati	a
trkniti	ne
trofniti	ne
trzniti	ne
tvitniti	ne
twitniti	ne
twittniti	ne
ubegniti	ne
udrihniti	ne
uganiti	ne
ugasniti	ne
ugrezniti	ne
ugrizniti	ne
ukiniti	ne
ukleniti	ne
ukreniti	ne
ulekniti	ne
umakniti	ne
umolkniti	ne
upihniti	ne
uplahniti	ne
upogniti	ne
uprasniti	ne
uresniti	ne
usahniti	ne
usekniti	ne
utegniti	ne
utihniti	ne
utoniti	ne
utripniti	ne
utrniti	ne
uzdigniti	ne
uščeniti	ne
uščipniti	ne
vbrizgniti	ne
vdahniti	ne
vdihniti	ne
vdrgniti	ne
veniti	ne
vgrezniti	ne
vgrizniti	ne
vikniti	ne
vkleniti	ne
vlekniti	ne
vnikniti	ne
vniti	ne
vpesniti	ne
vpihniti	ne
vpikniti	ne
vplakniti	ne
vpotegniti	ne
vriniti	ne
vriskniti	ne
vrisniti	ne
vrniti	ne
vsekniti	ne
vstisniti	ne
vtakniti	ne
vtisniti	ne
vzbuhniti	ne
vzdigniti	ne
vzdihniti	ne
vzdvigniti	ne
vzklikniti	ne
vzkrikniti	ne
vznikniti	ne
vzprhniti	ne
vščipniti	ne
zabliskniti	ne
zablisniti	ne
zabuhniti	ne
zacahniti	ne
zadrgniti	ne
zadrleskniti	ne
zadrlesniti	ne
zadrsniti	ne
zafrkniti	ne
zagolsniti	ne
zagrezniti	ne
zagrizniti	ne
zagrniti	ne
zakleniti	ne
zakolniti	ne
zakopniti	ne
zakrkniti	ne
zakrniti	ne
zalegniti	ne
zaloputniti	ne
zamahniti	ne
zamakniti	ne
zamežikniti	ne
zamolkniti	ne
zamrzniti	ne
zaobrniti	ne
zapahniti	ne
zapesniti	ne
zapikniti	ne
zaplesniti	ne
zapljuskniti	ne
zapljusniti	ne
zapogniti	ne
zapopolniti	ne
zapotegniti	ne
zariniti	ne
zaripniti	ne
zasukniti	ne
zasuniti	ne
zasužniti	ne
zatakniti	ne
zategniti	ne
zatisniti	ne
zatleskniti	ne
zatoniti	ne
zatreskniti	ne
zatresniti	ne
zatrzniti	ne
zavihniti	ne
zavrisniti	ne
zavrniti	ne
zavzdihniti	ne
začrniti	ne
zašepniti	ne
zašvistniti	ne
zbegniti	ne
zbuniti	ne
zdihniti	ne
zdrgniti	ne
zdrkniti	ne
zdrsniti	ne
zdruzniti	ne
zdrzniti	ne
zehniti	ne
zevniti	ne
zezniti	ne
zganiti	ne
zgasniti	ne
zginiti	ne
zgrezniti	ne
zgrniti	ne
zicniti	ne
ziniti	ne
zlakotniti	ne
zlačniti	ne
zlekniti	ne
zmakniti	ne
zmigniti	ne
zmrdniti	ne
zmrzniti	ne
zmuzniti	ne
zriniti	ne
zvati	a
zviniti	ne
zvizniti	ne
zvrniti	ne
čapniti	ne
čavsniti	ne
čehniti	ne
čikniti	ne
čipniti	ne
čivkniti	ne
čmokniti	ne
čmrkniti	ne
čofniti	ne
čofotniti	ne
čohniti	ne
čopniti	ne
črhniti	ne
čukniti	ne
čvekniti	ne
šapniti	ne
šavsniti	ne
šepniti	ne
šibniti	ne
šicniti	ne
šikniti	ne
šiniti	ne
šklepniti	ne
škljocniti	ne
šklocniti	ne
škrcniti	ne
škripniti	ne
škrtniti	ne
šljukniti	ne
šlukniti	ne
šmrkniti	ne
špikniti	ne
špricniti	ne
špukniti	ne
štihniti	ne
štrbunkniti	ne
štrcniti	ne
štrkniti	ne
šusniti	ne
šutniti	ne
švicniti	ne
švigniti	ne
švisniti	ne
švistniti	ne
švrkniti	ne
ščapniti	ne
ščipniti	ne
žokniti	ne
žugniti	ne
žvajzniti	ne
žvenkniti	ne
žvižgniti	ne
