# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
'γγίζω	-	-	-	'γγίζομε	-	-	'γγιζα	'γγιζες	'γγιζε	'γγίζαμε	'γγίζατε	'γγίζαν	'γγιξα	'γγιξες	'γγιξε	'γγίξαμε	'γγίξατε	'γγίξαν	'γγιζε	'γγίζετε	-
άγω	-	-	-	-	-	-	—	—	—	—	—	—	‑ήγαγα	‑ήγαγες	‑ήγαγε	‑αγάγαμε	‑αγάγατε	‑ήγαγαν	—	—	-
έλκω	-	-	-	-	-	-	είλκα	είλκες	είλκε	έλκαμε	έλκατε	έλκαν	είλξα	είλξες	είλξε	έλξαμε	έλξατε	έλξαν	έλκε	έλκετε	-
έρπω	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	[{έρπε}]	έρπετε	-
έρχομαι	έρχομαι	έρχεσαι	έρχεται	ερχόμαστε	έρχεστε	έρχονται	ερχόμουν	ερχόσουν	ερχόταν	ερχόμασταν	ερχόσασταν	έρχονταν	ήλθα	ήλθες	ήλθε	ήλθαμε	ήλθατε	ήλθαν	έλα	ελάτε	-
έχε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχει	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχεις	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχετε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχοντας	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχουμε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχουν	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχουνε	έχω	έχεις	έχει	έχομε	έχετε	έχουν	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	έχοντας
έχω	-	-	-	-	-	-	είχα	είχες	είχε	είχαμε	είχατε	είχαν	-	-	-	-	-	-	έχε	έχετε	-
ήμασταν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήμαστε	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήμουν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήμουνα	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήσασταν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήσαστε	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήσουν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήσουνα	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήταν	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
ήτανε	είμαι	είσαι	είναι	είμαστε1	-	είναι	-	-	-	-	-	-	-	-	-	-	-	-	—	—	όντας
αίρω	-	-	-	-	-	-	ήρα	ήρες	ήρε	ήραμε	ήρατε	ήραν	ήρα	ήρες	ήρε	άραμε	άρατε	άραν	άρε	άρετε	-
αβαντζάρω	-	-	-	-	-	-	αβαντζάριζα	αβαντζάριζες	αβαντζάριζε	αβαντζάραμε	αβαντζάρατε	αβαντζάραν	αβαντζάρισα	αβαντζάρισες	αβαντζάρισε	αβαντζάραμε	αβαντζάρατε	αβαντζάραν	αβαντζάριζε	αβαντζάρετε	-
αβαντσάρω	-	-	-	-	-	-	αβαντσάριζα	αβαντσάριζες	αβαντσάριζε	αβαντσάραμε	αβαντσάρατε	αβαντσάραν	αβαντσάρισα	αβαντσάρισες	αβαντσάρισε	αβαντσάραμε	αβαντσάρατε	αβαντσάραν	αβαντσάριζε	αβαντσάρετε	-
αβαράρω	-	-	-	-	-	-	αβάραρα	αβάραρες	αβάραρε	αβαράραμε	αβαράρατε	αβάραραν	αβάραρα	αβάραρες	αβάραρε	αβαράραμε	αβαράρατε	αβάραραν	αβάραρε	αβαράρετε	-
αβγατίζομαι	αβγατίζομαι	αβγατίζεσαι	αβγατίζεται	αβγατιζόμαστε	αβγατίζεστε	αβγατίζονται	αβγατιζόμουν	αβγατιζόσουν	αβγατιζόταν	αβγατιζόμασταν	αβγατιζόσασταν	αβγατίζονταν	αβγατίστηκα	αβγατίστηκες	αβγατίστηκε	αβγατιστήκαμε	αβγατιστήκατε	αβγατίστηκαν	αβγατίσου	αβγατιστείτε	-
αβγατίζω	-	-	-	-	-	-	αβγάτιζα	αβγάτιζες	αβγάτιζε	αβγατίζαμε	αβγατίζατε	αβγάτιζαν	αβγάτισα	αβγάτισες	αβγάτισε	αβγατίσαμε	αβγατίσατε	αβγάτισαν	αβγάτιζε	αβγατίζετε	-
αβγοκόβω	-	-	-	-	-	-	αβγόκοβα	αβγόκοβες	αβγόκοβε	αβγοκόβαμε	αβγοκόβατε	αβγοκόβαν	αβγόκοψα	αβγόκοψες	αβγόκοψε	αβγοκόψαμε	αβγοκόψατε	αβγοκόψαν	αβγόκοβε	αβγοκόβετε	-
αβδελλιάζω	-	-	-	-	-	-	αβδέλλιαζα	αβδέλλιαζες	αβδέλλιαζε	αβδελλιάζαμε	αβδελλιάζατε	αβδέλλιαζαν	αβδέλλιασα	αβδέλλιασες	αβδέλλιασε	αβδελλιάσαμε	αβδελλιάσατε	αβδέλλιασαν	αβδέλλιαζε	αβδελλιάζετε	-
αβδελλώνω	-	-	-	-	-	-	αβδέλλωνα	αβδέλλωνες	αβδέλλωνε	αβδελλώναμε	αβδελλώνατε	αβδέλλωναν	αβδέλλωσα	αβδέλλωσες	αβδέλλωσε	αβδελλώσαμε	αβδελλώσατε	αβδέλλωσαν	αβδέλλωνε	αβδελλώνετε	-
αγαθεύω	-	-	-	-	-	-	αγάθευα	αγάθευες	αγάθευε	αγαθεύαμε	αγαθεύατε	αγάθευαν	αγάθεψα	αγάθεψες	αγάθεψε	αγαθέψαμε	αγαθέψατε	αγάθεψαν	αγάθευε	αγαθέψτε	-
αγαλλιάζω	-	-	-	-	-	-	αγαλλίαζα	αγαλλίαζες	αγαλλίαζε	αγαλλιάζαμε	αγαλλιάζατε	αγαλλίαζαν	αγαλλίασα	αγαλλίασες	αγαλλίασε	αγαλλιάσαμε	αγαλλιάσατε	αγαλλίασαν	αγαλλίαζε	αγαλλιάζετε	-
αγανακτώ	αγανακτώ	αγανακτείς	αγανακτεί	αγανακτούμε	αγανακτείτε	αγανακτούν	αγανακτούσα	αγανακτούσες	αγανακτούσε	αγανακτούσαμε	αγανακτούσατε	αγανακτούσαν	αγανάκτησα	αγανάκτησες	αγανάκτησε	αγανακτήσαμε	αγανακτήσατε	αγανάκτησαν	αγανάκτησε	αγανακτήστε	αγανακτώντας
αγαναχτώ	αγαναχτώ	αγαναχτείς	αγαναχτεί	αγαναχτούμε	αγαναχτείτε	αγαναχτούν	αγαναχτούσα	αγαναχτούσες	αγαναχτούσε	αγαναχτούσαμε	αγαναχτούσατε	αγαναχτούσαν	αγανάχτησα	αγανάχτησες	αγανάχτησε	αγαναχτήσαμε	αγαναχτήσατε	αγανάχτησαν	αγανάχτησε	αγαναχτήσετε	αγαναχτώντας
αγαντάρω	-	-	-	-	-	-	αγάνταρα	αγάνταρες	αγάνταρε	αγαντάραμε	αγαντάρατε	αγάνταραν	αγάνταρα	αγάνταρες	αγάνταρε	αγαντάραμε	αγαντάρατε	αγάνταραν	αγάνταρε	αγαντάρετε	-
αγαπάω	-	αγαπάς	αγαπά	αγαπάμε	αγαπάτε	αγαπάν	αγάπαγα	αγάπαγες	αγάπαγε	αγαπάγαμε	αγαπάγατε	αγάπαγαν	αγάπησα	αγάπησες	αγάπησε	αγαπήσαμε	αγαπήσατε	αγάπησαν	αγάπα	αγαπάτε	αγαπώντας
αγαπίζω	-	-	-	-	-	-	αγάπιζα	αγάπιζες	αγάπιζε	αγαπίζαμε	αγαπίζατε	αγάπιζαν	αγάπισα	αγάπισες	αγάπισε	αγαπίσαμε	αγαπίσατε	αγάπισαν	αγάπιζε	αγαπίζετε	-
αγαπιέμαι	αγαπιέμαι	αγαπιέσαι	αγαπιέται	αγαπιόμαστε	αγαπιέστε	αγαπιούνται	αγαπιόμουν	αγαπιόσουν	αγαπιόταν	αγαπιόμασταν	αγαπιόσασταν	αγαπιούνταν	αγαπήθηκα	αγαπήθηκες	αγαπήθηκε	αγαπηθήκαμε	αγαπηθήκατε	αγαπήθηκαν	αγαπήσου	αγαπηθείτε	—
αγαπώ	αγαπάω	αγαπάς	αγαπά	αγαπάμε	αγαπάτε	αγαπάν	αγάπαγα	αγάπαγες	αγάπαγε	αγαπάγαμε	αγαπάγατε	αγάπαγαν	αγάπησα	αγάπησες	αγάπησε	αγαπήσαμε	αγαπήσατε	αγάπησαν	αγάπα	αγαπάτε	αγαπώντας
αγγέλλω	-	-	-	-	-	-	άγγελλα	άγγελλες	άγγελλε	αγγέλλαμε	αγγέλλατε	αγγέλλαν	ήγγειλα	ήγγειλες	ήγγειλε	αγγείλαμε	αγγείλατε	ήγγειλαν	άγγειλε	αγγέλλετε	-
αγγέλω	-	-	-	αγγέλομε	-	-	άγγελα	άγγελες	άγγελε	αγγέλαμε	αγγέλατε	άγγελαν	άγγειλα	άγγειλες	άγγειλε	αγγείλαμε	αγγείλατε	άγγειλαν	άγγειλε	αγγέλετε	-
αγγίζομαι	αγγίζομαι	αγγίζεσαι	αγγίζεται	αγγιζόμαστε	αγγίζεστε	αγγίζονται	αγγιζόμουν	αγγιζόσουν	αγγιζόταν	αγγιζόμασταν	αγγιζόσασταν	αγγίζονταν	αγγίχτηκα	αγγίχτηκες	αγγίχτηκε	αγγιχτήκαμε	αγγιχτήκατε	αγγίχτηκαν	αγγίξου	αγγιχτείτε	-
αγγίζω	-	-	-	-	-	-	άγγιζα	άγγιζες	άγγιζε	αγγίζαμε	αγγίζατε	άγγιζαν	άγγιξα	άγγιξες	άγγιξε	αγγίξαμε	αγγίξατε	άγγιξαν	άγγιζε	αγγίζετε	-
αγγαρεύομαι	αγγαρεύομαι	αγγαρεύεσαι	αγγαρεύεται	αγγαρευόμαστε	αγγαρευόσαστε1	αγγαρεύονται	αγγαρευόμουν	αγγαρευόσουν	αγγαρευόταν	αγγαρευόμασταν	αγγαρευόσασταν	αγγαρευόντανε	αγγαρεύτηκα	αγγαρεύτηκες	αγγαρεύτηκε	αγγαρευτήκαμε	αγγαρευτήκατε	αγγαρευτήκανε	αγγαρέψου	αγγαρευτείτε	-
αγγαρεύω	-	-	-	-	-	-	αγγάρευα	αγγάρευες	αγγάρευε	αγγαρεύαμε	αγγαρεύατε	αγγάρευαν	αγγάρεψα	αγγάρεψες	αγγάρεψε	αγγαρέψαμε	αγγαρέψατε	αγγάρεψαν	αγγάρευε	αγγαρέψτε	-
αγγελοθωρώ	αγγελοθωρώ	αγγελοθωρείς	αγγελοθωρεί	αγγελοθωρούμε	αγγελοθωρείτε	αγγελοθωρούν	αγγελοθωρούσα	αγγελοθωρούσες	αγγελοθωρούσε	αγγελοθωρούσαμε	αγγελοθωρούσατε	αγγελοθωρούσαν	αγγελοθώρησα	αγγελοθώρησες	αγγελοθώρησε	αγγελοθωρήσαμε	αγγελοθωρήσατε	αγγελοθωρήσαν	αγγελοθώρησε	αγγελοθωρήστε	αγγελοθωρώντας
αγγελοκρούω	-	-	-	-	-	-	αγγελόκρουα	αγγελόκρουες	αγγελόκρουε	αγγελοκρούαμε	αγγελοκρούατε	αγγελοκρούαν	αγγελόκρουσα	αγγελόκρουσες	αγγελόκρουσε	αγγελοκρούσαμε	αγγελοκρούσατε	αγγελοκρούσαν	αγγελόκρουε	αγγελοκρούετε	-
αγγλοποιούμαι	αγγλοποιούμαι	αγγλοποιείσαι	αγγλοποιείται	αγγλοποιούμαστε	αγγλοποιείστε	αγγλοποιούνται	αγγλοποιιόμουν	αγγλοποιιόσουν	αγγλοποιιόταν	αγγλοποιιόμασταν	αγγλοποιιόσασταν	αγγλοποιιούνταν	αγγλοποιήθηκα	αγγλοποιήθηκες	αγγλοποιήθηκε	αγγλοποιηθήκαμε	αγγλοποιηθήκατε	αγγλοποιήθηκαν	αγγλοποιήσου	αγγλοποιείστε	—
αγγλοποιώ	αγγλοποιώ	αγγλοποιείς	αγγλοποιεί	αγγλοποιούμε	αγγλοποιείτε	αγγλοποιούν	αγγλοποιούσα	αγγλοποιούσες	αγγλοποιούσε	αγγλοποιούσαμε	αγγλοποιούσατε	αγγλοποιούσαν	αγγλοποίησα	αγγλοποίησες	αγγλοποίησε	αγγλοποιήσαμε	αγγλοποιήσατε	αγγλοποίησαν	αγγλοποίησε	αγγλοποιήστε	αγγλοποιώντας
αγιάζομαι	αγιάζομαι	αγιάζεσαι	αγιάζεται	αγιαζόμαστε	αγιάζεστε	αγιάζονται	αγιαζόμουν	αγιαζόσουν	αγιαζόταν	αγιαζόμασταν	αγιαζόσασταν	αγιάζονταν	αγιάστηκα	αγιάστηκες	αγιάστηκε	αγιαστήκαμε	αγιαστήκατε	αγιάστηκαν	αγιάσου	αγιαστείτε	-
αγιάζω	-	-	-	αγιάζομε	-	-	άγιαζα	άγιαζες	άγιαζε	αγιάζαμε	αγιάζατε	άγιαζαν	άγιασα	άγιασες	άγιασε	αγιάσαμε	αγιάσατε	άγιασαν	άγιαζε	αγιάζετε	-
αγιοποιούμαι	αγιοποιούμαι	αγιοποιείσαι	αγιοποιείται	αγιοποιούμαστε	αγιοποιείστε	αγιοποιούνται	αγιοποιιόμουν	αγιοποιιόσουν	αγιοποιιόταν	αγιοποιιόμασταν	αγιοποιιόσασταν	αγιοποιιούνταν	αγιοποιήθηκα	αγιοποιήθηκες	αγιοποιήθηκε	αγιοποιηθήκαμε	αγιοποιηθήκατε	αγιοποιήθηκαν	αγιοποιήσου	αγιοποιείστε	—
αγιοποιώ	αγιοποιώ	αγιοποιείς	αγιοποιεί	αγιοποιούμε	αγιοποιείτε	αγιοποιούν	αγιοποιούσα	αγιοποιούσες	αγιοποιούσε	αγιοποιούσαμε	αγιοποιούσατε	αγιοποιούσαν	αγιοποίησα	αγιοποίησες	αγιοποίησε	αγιοποιήσαμε	αγιοποιήσατε	αγιοποίησαν	αγιοποίησε	αγιοποιήστε	αγιοποιώντας
αγκαζάρω	-	-	-	-	-	-	αγκαζάριζα	αγκαζάριζες	αγκαζάριζε	αγκαζάραμε	αγκαζάρατε	αγκαζάραν	αγκαζάρισα	αγκαζάρισες	αγκαζάρισε	αγκαζάραμε	αγκαζάρατε	αγκαζάραν	αγκαζάριζε	αγκαζάρετε	-
αγκαλιάζομαι	αγκαλιάζομαι	αγκαλιάζεσαι	αγκαλιάζεται	αγκαλιαζόμαστε	αγκαλιάζεστε	αγκαλιάζονται	αγκαλιαζόμουν	αγκαλιαζόσουν	αγκαλιαζόταν	αγκαλιαζόμασταν	αγκαλιαζόσασταν	αγκαλιάζονταν	αγκαλιάστηκα	αγκαλιάστηκες	αγκαλιάστηκε	αγκαλιαστήκαμε	αγκαλιαστήκατε	αγκαλιάστηκαν	αγκαλιάσου	αγκαλιαστείτε	-
αγκαλιάζω	-	-	-	-	-	-	αγκάλιαζα	αγκάλιαζες	αγκάλιαζε	αγκαλιάζαμε	αγκαλιάζατε	αγκάλιαζαν	αγκάλιασα	αγκάλιασες	αγκάλιασε	αγκαλιάσαμε	αγκαλιάσατε	αγκάλιασαν	αγκάλιαζε	αγκαλιάζετε	-
αγκιστρώνομαι	αγκιστρώνομαι	αγκιστρώνεσαι	αγκιστρώνεται	αγκιστρωνόμαστε	αγκιστρωνόσαστε1	αγκιστρώνονται	αγκιστρωνόμουν	αγκιστρωνόσουν	αγκιστρωνόταν	αγκιστρωνόμασταν	αγκιστρωνόσασταν	αγκιστρωνόντανε	αγκιστρώθηκα	αγκιστρώθηκες	αγκιστρώθηκε	αγκιστρωθήκαμε	αγκιστρωθήκατε	αγκιστρωθήκανε	αγκιστρώσου	αγκιστρωθείτε	-
αγκιστρώνω	-	-	-	-	-	-	αγκίστρωνα	αγκίστρωνες	αγκίστρωνε	αγκιστρώναμε	αγκιστρώνατε	αγκίστρωναν	αγκίστρωσα	αγκίστρωσες	αγκίστρωσε	αγκιστρώσαμε	αγκιστρώσατε	αγκίστρωσαν	αγκίστρωνε	αγκιστρώνετε	-
αγκομαχάω	-	αγκομαχάς	αγκομαχά	αγκομαχάμε	αγκομαχάτε	αγκομαχάν	αγκομάχαγα	αγκομάχαγες	αγκομάχαγε	αγκομαχάγαμε	αγκομαχάγατε	αγκομάχαγαν	αγκομάχησα	αγκομάχησες	αγκομάχησε	αγκομαχήσαμε	αγκομαχήσατε	αγκομάχησαν	αγκομάχησε	αγκομαχάτε	αγκομαχώντας
αγκομαχώ	αγκομαχάω	αγκομαχάς	αγκομαχά	αγκομαχάμε	αγκομαχάτε	αγκομαχάν	αγκομάχαγα	αγκομάχαγες	αγκομάχαγε	αγκομαχάγαμε	αγκομαχάγατε	αγκομάχαγαν	αγκομάχησα	αγκομάχησες	αγκομάχησε	αγκομαχήσαμε	αγκομαχήσατε	αγκομάχησαν	αγκομάχα	αγκομαχάτε	αγκομαχώντας
αγκριώνω	-	-	-	-	-	-	αγκρίωνα	αγκρίωνες	αγκρίωνε	αγκριώναμε	αγκριώνατε	αγκρίωναν	αγκρίωσα	αγκρίωσες	αγκρίωσε	αγκριώσαμε	αγκριώσατε	αγκρίωσαν	αγκρίωνε	αγκριώνετε	-
αγκυλώνομαι	αγκυλώνομαι	αγκυλώνεσαι	αγκυλώνεται	αγκυλωνόμαστε	αγκυλωνόσαστε1	αγκυλώνονται	αγκυλωνόμουν	αγκυλωνόσουν	αγκυλωνόταν	αγκυλωνόμασταν	αγκυλωνόσασταν	αγκυλωνόντανε	αγκυλώθηκα	αγκυλώθηκες	αγκυλώθηκε	αγκυλωθήκαμε	αγκυλωθήκατε	αγκυλωθήκανε	αγκυλώσου	αγκυλωθείτε	-
αγκυλώνω	-	-	-	-	-	-	αγκύλωνα	αγκύλωνες	αγκύλωνε	αγκυλώναμε	αγκυλώνατε	αγκυλώναν	αγκύλωσα	αγκύλωσες	αγκύλωσε	αγκυλώσαμε	αγκυλώσατε	αγκυλώσαν	αγκύλωνε	αγκυλώνετε	-
αγκωνιάζομαι	αγκωνιάζομαι	αγκωνιάζεσαι	αγκωνιάζεται	αγκωνιαζόμαστε	αγκωνιάζεστε	αγκωνιάζονται	αγκωνιαζόμουν	αγκωνιαζόσουν	αγκωνιαζόταν	αγκωνιαζόμασταν	αγκωνιαζόσασταν	αγκωνιάζονταν	αγκωνιάστηκα	αγκωνιάστηκες	αγκωνιάστηκε	αγκωνιαστήκαμε	αγκωνιαστήκατε	αγκωνιάστηκαν	αγκωνιάσου	αγκωνιαστείτε	-
αγκωνιάζω	-	-	-	-	-	-	αγκώνιαζα	αγκώνιαζες	αγκώνιαζε	αγκωνιάζαμε	αγκωνιάζατε	αγκωνιάζαν	αγκώνιασα	αγκώνιασες	αγκώνιασε	αγκωνιάσαμε	αγκωνιάσατε	αγκωνιάσαν	αγκώνιαζε	αγκωνιάζετε	-
αγλαΐζω	-	-	-	-	-	-	αγλάιζα	αγλάιζες	αγλάιζε	αγλαΐζαμε	αγλαΐζατε	αγλάιζαν	αγλάισα	αγλάισες	αγλάισε	αγλαΐσαμε	αγλαΐσατε	αγλάισαν	αγλάιζε	αγλαΐζετε	-
αγναντεύω	-	-	-	-	-	-	αγνάντευα	αγνάντευες	αγνάντευε	αγναντεύαμε	αγναντεύατε	αγνάντευαν	αγνάντεψα	αγνάντεψες	αγνάντεψε	αγναντέψαμε	αγναντέψατε	αγνάντεψαν	αγνάντευε	αγναντέψτε	-
αγνοούμαι	αγνοούμαι	αγνοείσαι	αγνοείται	αγνοούμαστε	αγνοείστε	αγνοούνται	αγνοιόμουν	αγνοιόσουν	αγνοιόταν	αγνοιόμασταν	αγνοιόσασταν	αγνοιούνταν	αγνοήθηκα	αγνοήθηκες	αγνοήθηκε	αγνοηθήκαμε	αγνοηθήκατε	αγνοήθηκαν	αγνοήσου	αγνοείστε	—
αγνοώ	αγνοώ	αγνοείς	αγνοεί	αγνοούμε	αγνοείτε	αγνοούν	αγνοούσα	αγνοούσες	αγνοούσε	αγνοούσαμε	αγνοούσατε	αγνοούσαν	αγνόησα	αγνόησες	αγνόησε	αγνοήσαμε	αγνοήσατε	αγνοήσαν	αγνόησε	αγνοήστε	αγνοώντας
αγοράζομαι	αγοράζομαι	αγοράζεσαι	αγοράζεται	αγοραζόμαστε	αγοράζεστε	αγοράζονται	αγοραζόμουν	αγοραζόσουν	αγοραζόταν	αγοραζόμασταν	αγοραζόσασταν	αγοράζονταν	αγοράστηκα	αγοράστηκες	αγοράστηκε	αγοραστήκαμε	αγοραστήκατε	αγοράστηκαν	αγοράσου	αγοραστείτε	-
αγοράζω	-	-	-	-	-	-	αγόραζα	αγόραζες	αγόραζε	αγοράζαμε	αγοράζατε	αγοράζαν	αγόρασα	αγόρασες	αγόρασε	αγοράσαμε	αγοράσατε	αγοράσαν	αγόραζε	αγοράζετε	-
αγορεύω	-	-	-	-	-	-	αγόρευα	αγόρευες	αγόρευε	αγορεύαμε	αγορεύατε	αγορεύαν	αγόρευσα	αγόρευσες	αγόρευσε	αγορέψαμε	αγορέψατε	αγόρευσαν	αγόρευε	αγορεύετε	-
αγοροφέρνω	-	-	-	-	-	-	αγορόφερνα	αγορόφερνες	αγορόφερνε	αγοροφέρναμε	αγοροφέρνατε	αγοροφέρναν	-	-	-	-	-	-	αγορόφερνε	αγοροφέρνετε	-
αγριεύομαι	αγριεύομαι	αγριεύεσαι	αγριεύεται	αγριευόμαστε	αγριευόσαστε1	αγριεύονται	αγριευόμουν	αγριευόσουν	αγριευόταν	αγριευόμασταν	αγριευόσασταν	αγριευόντανε	αγριεύτηκα	αγριεύτηκες	αγριεύτηκε	αγριευτήκαμε	αγριευτήκατε	αγριευτήκανε	αγριέψου	αγριευτείτε	-
αγριεύω	-	-	-	-	-	-	αγρίευα	αγρίευες	αγρίευε	αγριεύαμε	αγριεύατε	αγρίευαν	αγρίεψα	αγρίεψες	αγρίεψε	αγριέψαμε	αγριέψατε	αγρίεψαν	αγρίευε	αγριέψτε	-
αγριοκοιτάζομαι	αγριοκοιτάζομαι	αγριοκοιτάζεσαι	αγριοκοιτάζεται	αγριοκοιταζόμαστε	αγριοκοιτάζεστε	αγριοκοιτάζονται	αγριοκοιταζόμουν	αγριοκοιταζόσουν	αγριοκοιταζόταν	αγριοκοιταζόμασταν	αγριοκοιταζόσασταν	αγριοκοιτάζονταν	αγριοκοιτάχτηκα	αγριοκοιτάχτηκες	αγριοκοιτάχτηκε	αγριοκοιταχτήκαμε	αγριοκοιταχτήκατε	αγριοκοιτάχτηκαν	αγριοκοιτάξου	αγριοκοιταχτείτε	-
αγρυπνάω	-	αγρυπνάς	αγρυπνά	αγρυπνάμε	αγρυπνάτε	αγρυπνάν	αγρυπνούσα	αγρυπνούσες	αγρυπνούσε	αγρυπνάγαμε	αγρυπνάγατε	αγρυπνάγανε	αγρύπνησα	αγρύπνησες	αγρύπνησε	αγρυπνήσαμε	αγρυπνήσατε	αγρυπνήσαν	αγρύπνα	αγρυπνάτε	αγρυπνώντας
αγρυπνώ	αγρυπνάω	αγρυπνάς	αγρυπνάει	αγρυπνάμε	αγρυπνάτε	αγρυπνάν	αγρυπνούσα	αγρυπνούσες	αγρυπνούσε	αγρυπνάγαμε	αγρυπνάγατε	αγρυπνάγανε	αγρύπνησα	αγρύπνησες	αγρύπνησε	αγρυπνήσαμε	αγρυπνήσατε	αγρυπνήσαν	αγρύπνα	αγρυπνήστε	αγρυπνώντας
αγχώνομαι	αγκώνομαι	αγκώνεσαι	αγκώνεται	αγκωνόμαστε	αγκωνόσαστε1	αγκώνονται	αγκωνόμουν	αγκωνόσουν	αγκωνόταν	αγκωνόμασταν	αγκωνόσασταν	αγκωνόντανε	αγκώθηκα	αγκώθηκες	αγκώθηκε	αγκωθήκαμε	αγκωθήκατε	αγκωθήκανε	αγκώσου	αγκωθείτε	-
αγχώνω	-	-	-	-	-	-	άγχωνα	άγχωνες	άγχωνε	αγχώναμε	αγχώνατε	άγχωναν	άγχωσα	άγχωσες	άγχωσε	αγχώσαμε	αγχώσατε	άγχωσαν	άγχωνε	αγχώνετε	-
αγωνίζομαι	αγωνίζομαι	αγωνίζεσαι	αγωνίζεται	αγωνιζόμαστε	αγωνίζεστε	αγωνίζονται	αγωνιζόμουν	αγωνιζόσουν	αγωνιζόταν	αγωνιζόμασταν	αγωνιζόσασταν	αγωνίζονταν	αγωνίστηκα	αγωνίστηκες	αγωνίστηκε	αγωνιστήκαμε	αγωνιστήκατε	αγωνίστηκαν	αγωνίσου	αγωνιστείτε	-
αγωνιώ	αγωνιώ	αγωνιείς	αγωνιεί	αγωνιούμε	αγωνιείτε	αγωνιούν	αγωνιούσα	αγωνιούσες	αγωνιούσε	αγωνιούσαμε	αγωνιούσατε	αγωνιούσαν	-	-	-	-	-	-	-	αγωνιάτε	-
αδειάζομαι	αδειάζομαι	αδειάζεσαι	αδειάζεται	αδειαζόμαστε	αδειάζεστε	αδειάζονται	αδειαζόμουν	αδειαζόσουν	αδειαζόταν	αδειαζόμασταν	αδειαζόσασταν	αδειάζονταν	αδειάστηκα	αδειάστηκες	αδειάστηκε	αδειαστήκαμε	αδειαστήκατε	αδειάστηκαν	αδειάσου	αδειαστείτε	-
αδειάζω	-	-	-	-	-	-	άδειαζα	άδειαζες	άδειαζε	αδειάζαμε	αδειάζατε	άδειαζαν	άδειασα	άδειασες	άδειασε	αδειάσαμε	αδειάσατε	άδειασαν	άδειαζε	αδειάζετε	-
αδελφώνομαι	αδελφώνομαι	αδελφώνεσαι	αδελφώνεται	αδελφωνόμαστε	αδελφωνόσαστε1	αδελφώνονται	αδελφωνόμουν	αδελφωνόσουν	αδελφωνόταν	αδελφωνόμασταν	αδελφωνόσασταν	αδελφωνόντανε	αδελφώθηκα	αδελφώθηκες	αδελφώθηκε	αδελφωθήκαμε	αδελφωθήκατε	αδελφωθήκανε	αδελφώσου	αδελφωθείτε	-
