# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
αναπληρώνομαι	αναπληρώνομαι	αναπληρώνεσαι	αναπληρώνεται	αναπληρωνόμαστε	αναπληρωνόσαστε1	αναπληρώνονται	αναπληρωνόμουν	αναπληρωνόσουν	αναπληρωνόταν	αναπληρωνόμασταν	αναπληρωνόσασταν	αναπληρωνόντανε	αναπληρώθηκα	αναπληρώθηκες	αναπληρώθηκε	αναπληρωθήκαμε	αναπληρωθήκατε	αναπληρωθήκανε	αναπληρώσου	αναπληρωθείτε	-
αναπληρώνω	-	-	-	-	-	-	αναπλήρωνα	αναπλήρωνες	αναπλήρωνε	αναπληρώναμε	αναπληρώνατε	αναπλήρωναν	αναπλήρωσα	αναπλήρωσες	αναπλήρωσε	αναπληρώσαμε	αναπληρώσατε	αναπλήρωσαν	αναπλήρωνε	αναπληρώνετε	-
αναπνέω	-	-	-	-	-	-	ανάπνεα	ανάπνεες	ανάπνεε	αναπνέαμε	αναπνέατε	ανάπνεαν	ανάπνευσα	ανάπνευσες	ανάπνευσε	αναπνεύσαμε	αναπνεύσατε	ανάπνευσαν	ανάπνεε	αναπνέετε	-
αναποδίζω	-	-	-	-	-	-	αναπόδιζα	αναπόδιζες	αναπόδιζε	αναποδίζαμε	αναποδίζατε	αναποδίζαν	αναπόδισα	αναπόδισες	αναπόδισε	αναποδίσαμε	αναποδίσατε	αναποδίσαν	αναπόδιζε	αναποδίζετε	-
αναποδιάζω	-	-	-	-	-	-	αναπόδιαζα	αναπόδιαζες	αναπόδιαζε	αναποδιάζαμε	αναποδιάζατε	αναποδιάζαν	αναπόδιασα	αναπόδιασες	αναπόδιασε	αναποδιάσαμε	αναποδιάσατε	αναποδιάσαν	αναπόδιαζε	αναποδιάζετε	-
αναποδογυρίζομαι	αναποδογυρίζομαι	αναποδογυρίζεσαι	αναποδογυρίζεται	αναποδογυριζόμαστε	αναποδογυρίζεστε	αναποδογυρίζονται	αναποδογυριζόμουν	αναποδογυριζόσουν	αναποδογυριζόταν	αναποδογυριζόμασταν	αναποδογυριζόσασταν	αναποδογυρίζονταν	αναποδογυρίστηκα	αναποδογυρίστηκες	αναποδογυρίστηκε	αναποδογυριστήκαμε	αναποδογυριστήκατε	αναποδογυρίστηκαν	αναποδογυρίσου	αναποδογυριστείτε	-
αναποδογυρίζω	-	-	-	-	-	-	αναποδογύριζα	αναποδογύριζες	αναποδογύριζε	αναποδογυρίζαμε	αναποδογυρίζατε	αναποδογυρίζαν	αναποδογύρισα	αναποδογύρισες	αναποδογύρισε	αναποδογυρίσαμε	αναποδογυρίσατε	αναποδογυρίσαν	αναποδογύριζε	αναποδογυρίζετε	-
αναπολώ	αναπολώ	αναπολείς	αναπολεί	αναπολούμε	αναπολείτε	αναπολούν	αναπολούσα	αναπολούσες	αναπολούσε	αναπολούσαμε	αναπολούσατε	αναπολούσαν	αναπόλησα	αναπόλησες	αναπόλησε	αναπολήσαμε	αναπολήσατε	αναπολήσαν	αναπόλησε	αναπολήστε	αναπολώντας
αναπτερώνομαι	αναπτερώνομαι	αναπτερώνεσαι	αναπτερώνεται	αναπτερωνόμαστε	αναπτερωνόσαστε1	αναπτερώνονται	αναπτερωνόμουν	αναπτερωνόσουν	αναπτερωνόταν	αναπτερωνόμασταν	αναπτερωνόσασταν	αναπτερωνόντανε	αναπτερώθηκα	αναπτερώθηκες	αναπτερώθηκε	αναπτερωθήκαμε	αναπτερωθήκατε	αναπτερωθήκανε	αναπτερώσου	αναπτερωθείτε	-
αναπτερώνω	-	-	-	-	-	-	αναπτέρωνα	αναπτέρωνες	αναπτέρωνε	αναπτερώναμε	αναπτερώνατε	αναπτέρωναν	αναπτέρωσα	αναπτέρωσες	αναπτέρωσε	αναπτερώσαμε	αναπτερώσατε	αναπτέρωσαν	αναπτέρωνε	αναπτερώνετε	-
