# lemma(infinitive)	V;NFIN	V;GER	V;PTCP;MASC;SG	V;PTCP;FEM;SG	V;PTCP;MASC;PL	V;PTCP;FEM;PL	V;IND;PRS;1;SG	V;IND;PRS;1;PL	V;IND;PRS;2;SG	V;IND;PRS;2;PL	V;IND;PRS;3;SG	V;IND;PRS;3;PL	V;IND;IPFV;1;SG	V;IND;IPFV;1;PL	V;IND;IPFV;2;SG	V;IND;IPFV;2;PL	V;IND;IPFV;3;SG	V;IND;IPFV;3;PL	V;IND;PRET;1;SG	V;IND;PRET;1;PL	V;IND;PRET;2;SG	V;IND;PRET;2;PL	V;IND;PRET;3;SG	V;IND;PRET;3;PL	V;IND;PLUP;1;SG	V;IND;PLUP;1;PL	V;IND;PLUP;2;SG	V;IND;PLUP;2;PL	V;IND;PLUP;3;SG	V;IND;PLUP;3;PL	V;IND;FUT;1;SG	V;IND;FUT;1;PL	V;IND;FUT;2;SG	V;IND;FUT;2;PL	V;IND;FUT;3;SG	V;IND;FUT;3;PL	V;COND;1;SG	V;COND;1;PL	V;COND;2;SG	V;COND;2;PL	V;COND;3;SG	V;COND;3;PL	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	V;SBJV;PRS;3;SG	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	V;SBJV;PST;1;PL	V;SBJV;PST;2;SG	V;SBJV;PST;2;PL	V;SBJV;PST;3;SG	V;SBJV;PST;3;PL	V;SBJV;FUT;1;SG	V;SBJV;FUT;1;PL	V;SBJV;FUT;2;SG	V;SBJV;FUT;2;PL	V;SBJV;FUT;3;SG	V;SBJV;FUT;3;PL	V;INF;1;SG	V;INF;1;PL	V;INF;2;SG	V;INF;2;PL	V;INF;3;SG	V;INF;3;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
abaloucar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abalouquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abalouque	abalouquemos	abalouques	abalouquedes	abalouque	abalouquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abancar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abanquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abanque	abanquemos	abanques	abanquedes	abanque	abanquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abanicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abaniquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abanique	abaniquemos	abaniques	abaniquedes	abanique	abaniquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abastecer	-	-	-	-	-	-	abastezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abasteza	abastezamos	abastezas	abastezades	abasteza	abastezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abdicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abdiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abdique	abdiquemos	abdiques	abdiquedes	abdique	abdiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abducir	-	-	-	-	-	-	abduzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abduza	abduzamos	abduzas	abduzades	abduza	abduzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abergar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aberguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abergue	aberguemos	abergues	aberguedes	abergue	aberguen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abetocar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abetoquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abetoque	abetoquemos	abetoques	abetoquedes	abetoque	abetoquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abique	abiquemos	abiques	abiquedes	abique	abiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abolir	-	-	-	-	-	-	abulo	-	-	-	-	abolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abula	abulamos	abulas	abulades	abula	abulam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aborrecer	-	-	-	-	-	-	aborrezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aborreza	aborrezamos	aborrezas	aborrezades	aborreza	aborrezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abranguer	-	-	-	-	-	-	abrango	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abranga	abrangamos	abrangas	abrangades	abranga	abrangam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abrazar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abracei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abrace	abracemos	abraces	abracedes	abrace	abracen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abraçar	-	-	-	-	-	-	-	-	-	-	-	abraçam	abraçava	abraçávamos	abraçavas	abraçávades	abraçava	abraçavam	abracei	-	abraçache	-	-	abraçaram	-	abraçáramos	-	abraçárades	-	abraçaram	-	-	-	-	-	abraçarám	abraçaria	abraçaríamos	abraçarias	abraçaríades	abraçaria	abraçariam	abrace	abracemos	abraces	abracedes	abrace	abracem	abraçasse	abraçássemos	abraçasses	abraçássedes	abraçasse	abraçassem	-	-	-	-	-	abraçarem	-	-	-	-	-	abraçarem	-	-
abrigar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abriguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abrigue	abriguemos	abrigues	abriguedes	abrigue	abriguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abrir	-	-	aberto	aberta	abertos	abertas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
absorver	-	-	-	-	-	-	-	-	-	-	-	absorvem	absorvia	absorvíamos	absorvias	absorvíades	absorvia	absorviam	absorvi	-	absorveche	-	-	absorveram	-	absorvêramos	-	absorvêrades	-	absorveram	-	-	-	-	-	absorverám	absorveria	absorveríamos	absorverias	absorveríades	absorveria	absorveriam	-	-	-	-	-	absorvam	absorvesse	absorvêssemos	absorvesses	absorvêssedes	absorvesse	absorvessem	-	-	-	-	-	absorverem	-	-	-	-	-	absorverem	-	-
abster	-	-	-	-	-	-	abstenho	-	absténs	-	abstém	abstenhem	abstinha	abstiñamos	abstinhas	abstiñades	abstinha	abstinham	abstive	abstivemos	abstiveche	abstivestes	absteve	abstiveram	abstivera	abstiveramos	abstiveras	abstiverades	abstivera	abstiveram	-	-	-	-	-	-	-	-	-	-	-	-	abstenha	abstenhamos	abstenhas	abstenhades	abstenha	abstenham	abstivese	abstivésemos	abstiveses	abstivésedes	abstivese	abstivesen	abstiver	abstivermos	abstiveres	abstiverdes	abstiver	abstiverem	-	-	-	-	-	-	abstém	-
abstraer	-	-	abstraído	abstraída	abstraídos	abstraídas	abstraio	-	-	-	-	-	-	abstraïamos	-	abstraïades	-	-	-	-	abstraíches	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abstraia	abstraiamos	abstraias	abstraiades	abstraia	abstraian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abstrair	-	-	abstraído	abstraída	abstraídos	abstraídas	abstraio	abstraímo-nos	abstrais	abstraídes	abstrai	abstraem	-	abstraíamo-nos	-	abstraíades	-	abstraíam	abstraim	abstraímo-nos	abstraíche	abstraístes	-	abstraíram	abstraíra	abstraíramo-nos	abstraíras	abstraírades	abstraíra	abstraíram	-	-	-	-	-	abstrair-se-ão	abstrair-me-ia	abstrair-nos-íamos	abstrair-te-ias	abstrair-vos-íais	abstrair-se-ia	abstrair-se-iam	abstraia	abstraiamos	abstraias	abstraiades	abstraia	abstraiam	abstraísse	abstraíssemos	abstraísses	abstraíssedes	abstraísse	abstraíssem	-	-	abstraíres	-	-	abstraírem	-	-	abstraíres	-	-	abstraírem	abstrai	abstraí
acaer	-	-	acaído	acaída	acaídos	acaídas	acaio	-	-	-	-	-	-	acaïamos	-	acaïades	-	-	-	-	acaíches	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acaia	acaiamos	acaias	acaiades	acaia	acaian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
acanhar	-	-	-	-	-	-	-	-	-	-	-	acanham	acanhava	acanhávamos	acanhavas	acanhávades	acanhava	acanhavam	-	-	acanhache	-	-	acanharam	-	acanháramos	-	acanhárades	-	acanharam	-	-	-	-	-	acanharám	acanharia	acanharíamos	acanharias	acanharíades	acanharia	acanhariam	-	-	-	-	-	acanhem	acanhasse	acanhássemos	acanhasses	acanhássedes	acanhasse	acanhassem	-	-	-	-	-	acanharem	-	-	-	-	-	acanharem	-	-
acantazar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acantacei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acantace	acantacemos	acantaces	acantacedes	acantace	acantacen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
acantaçar	-	-	-	-	-	-	-	-	-	-	-	acantaçam	acantaçava	acantaçávamos	acantaçavas	acantaçávades	acantaçava	acantaçavam	acantacei	-	acantaçache	-	-	acantaçaram	-	acantaçáramos	-	acantaçárades	-	acantaçaram	-	-	-	-	-	acantaçarám	acantaçaria	acantaçaríamos	acantaçarias	acantaçaríades	acantaçaria	acantaçariam	acantace	acantacemos	acantaces	acantacedes	acantace	acantacem	acantaçasse	acantaçássemos	acantaçasses	acantaçássedes	acantaçasse	acantaçassem	-	-	-	-	-	acantaçarem	-	-	-	-	-	acantaçarem	-	-
achanzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	achancei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	achance	achancemos	achances	achancedes	achance	achancen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
achegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acheguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	achegue	acheguemos	achegues	acheguedes	achegue	acheguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aconchegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aconcheguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aconchegue	aconcheguemos	aconchegues	aconcheguedes	aconchegue	aconcheguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
acontecer	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aconteza	acontezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
acougar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acouguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acougue	acouguemos	acougues	acouguedes	acougue	acouguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
acrecer	-	-	-	-	-	-	acrezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acreza	acrezamos	acrezas	acrezades	acreza	acrezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aderir	-	-	-	-	-	-	adiro	-	-	-	-	aderem	aderia	aderíamos	aderias	aderíades	aderia	aderiam	aderi	-	aderiche	-	-	aderiram	-	aderíramos	-	aderírades	-	aderiram	-	-	-	-	-	aderirám	aderiria	aderiríamos	aderirias	aderiríades	aderiria	adeririam	adira	adiramos	adiras	adirades	adira	adiram	aderisse	aderíssemos	aderisses	aderíssedes	aderisse	aderissem	-	-	-	-	-	aderirem	-	-	-	-	-	aderirem	-	-
adherir	-	-	-	-	-	-	adhiro	-	adhires	-	adhire	adhiren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adhira	adhiramos	adhiras	adhirades	adhira	adhiran	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adhire	-
adiar	-	-	-	-	-	-	-	-	-	-	-	adiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adique	adiquemos	adiques	adiquedes	adique	adiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adivinhar	-	-	-	-	-	-	-	-	-	-	-	adivinham	adivinhava	adivinhávamos	adivinhavas	adivinhávades	adivinhava	adivinhavam	-	-	adivinhache	-	-	adivinharam	-	adivinháramos	-	adivinhárades	-	adivinharam	-	-	-	-	-	adivinharám	adivinharia	adivinharíamos	adivinharias	adivinharíades	adivinharia	adivinhariam	-	-	-	-	-	adivinhem	adivinhasse	adivinhássemos	adivinhasses	adivinhássedes	adivinhasse	adivinhassem	-	-	-	-	-	adivinharem	-	-	-	-	-	adivinharem	-	-
adjetivar	-	-	-	-	-	-	-	-	-	-	-	adjetivam	adjetivava	adjetivávamos	adjetivavas	adjetivávades	adjetivava	adjetivavam	-	-	adjetivache	-	-	adjetivaram	-	adjetiváramos	-	adjetivárades	-	adjetivaram	-	-	-	-	-	adjetivarám	adjetivaria	adjetivaríamos	adjetivarias	adjetivaríades	adjetivaria	adjetivariam	-	-	-	-	-	adjetivem	adjetivasse	adjetivássemos	adjetivasses	adjetivássedes	adjetivasse	adjetivassem	-	-	-	-	-	adjetivarem	-	-	-	-	-	adjetivarem	-	-
adoecer	-	-	-	-	-	-	adoezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adoeza	adoezamos	adoezas	adoezades	adoeza	adoezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adormecer	-	-	-	-	-	-	adormezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adormeza	adormezamos	adormezas	adormezades	adormeza	adormezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adorminhar	-	-	-	-	-	-	-	-	-	-	-	adorminham	adorminhava	adorminhávamos	adorminhavas	adorminhávades	adorminhava	adorminhavam	-	-	adorminhache	-	-	adorminharam	-	adorminháramos	-	adorminhárades	-	adorminharam	-	-	-	-	-	adorminharám	adorminharia	adorminharíamos	adorminharias	adorminharíades	adorminharia	adorminhariam	-	-	-	-	-	adorminhem	adorminhasse	adorminhássemos	adorminhasses	adorminhássedes	adorminhasse	adorminhassem	-	-	-	-	-	adorminharem	-	-	-	-	-	adorminharem	-	-
aducir	-	-	-	-	-	-	aduzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aduza	aduzamos	aduzas	aduzades	aduza	aduzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
advertir	-	-	-	-	-	-	advirto	-	-	-	-	advertem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	advirta	advirtamos	advirtas	advirtades	advirta	advirtam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
afacer	-	-	afeito	afeita	afeitos	afeitas	afago	-	afás	-	afai	afán	-	-	-	-	-	-	afixen	afixemos	afixeches	afixestes	afixo	afixeron	afixera	afixeramos	afixeras	afixerades	afixera	afixeran	afarei	afaremos	afarás	afaredes	afará	afarán	afaría	afariamos	afarías	afariades	afaría	afarían	afaga	afagamos	afagas	afagades	afaga	afagan	afixese	afixésemos	afixeses	afixésedes	afixese	afixesen	afixer	afixermos	afixeres	afixerdes	afixer	afixeren	-	-	-	-	-	-	afai	-
afagar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afaguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afague	afaguemos	afagues	afaguedes	afague	afaguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
afegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afeguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afegue	afeguemos	afegues	afeguedes	afegue	afeguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aferir	-	-	-	-	-	-	afiro	-	-	-	-	aferem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afira	afiramos	afiras	afirades	afira	afiram	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
afiar	-	-	-	-	-	-	-	-	-	-	-	afiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aficar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afique	afiquemos	afiques	afiquedes	afique	afiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
afogar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afoguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afogue	afoguemos	afogues	afoguedes	afogue	afoguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aformigar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aformiguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aformigue	aformiguemos	aformigues	aformiguedes	aformigue	aformiguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
afuar	-	-	-	-	-	-	-	-	-	-	-	afuam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afuem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
afungar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afunguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afungue	afunguemos	afungues	afunguedes	afungue	afunguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
agir	-	-	-	-	-	-	ajo	-	-	-	-	agem	agia	agíamos	agias	agíades	agia	agiam	agi	-	agiche	-	-	agiram	-	agíramos	-	agírades	-	agiram	-	-	-	-	-	agirám	agiria	agiríamos	agirias	agiríades	agiria	agiriam	aja	ajamos	ajas	ajades	aja	ajam	agisse	agíssemos	agisses	agíssedes	agisse	agissem	-	-	-	-	-	agirem	-	-	-	-	-	agirem	-	-
agradecer	-	-	-	-	-	-	agradezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agradeza	agradezamos	agradezas	agradezades	agradeza	agradezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
agredir	-	-	-	-	-	-	agrido	-	agrides	-	agride	agridem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agrida	agridamos	agridas	agridades	agrida	agridam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agride	-
agregar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agreguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agregue	agreguemos	agregues	agreguedes	agregue	agreguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aguzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agucei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aguce	agucemos	aguces	agucedes	aguce	agucen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alagar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alaguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alague	alaguemos	alagues	alaguedes	alague	alaguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alambicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alambiquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alambique	alambiquemos	alambiques	alambiquedes	alambique	alambiquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alancar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alanquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alanque	alanquemos	alanques	alanquedes	alanque	alanquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
albergar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alberguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	albergue	alberguemos	albergues	alberguedes	albergue	alberguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
albiscar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	albisquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	albisque	albisquemos	albisques	albisquedes	albisque	albisquen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alborecer	-	-	-	-	-	-	alborezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alboreza	alborezamos	alborezas	alborezades	alboreza	alborezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alcanzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alcancei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alcance	alcancemos	alcances	alcancedes	alcance	alcancen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alcançar	-	-	-	-	-	-	-	-	-	-	-	alcançam	alcançava	alcançávamos	alcançavas	alcançávades	alcançava	alcançavam	alcancei	-	alcançache	-	-	alcançaram	-	alcançáramos	-	alcançárades	-	alcançaram	-	-	-	-	-	alcançarám	alcançaria	alcançaríamos	alcançarias	alcançaríades	alcançaria	alcançariam	alcance	alcancemos	alcances	alcancedes	alcance	alcancem	alcançasse	alcançássemos	alcançasses	alcançássedes	alcançasse	alcançassem	-	-	-	-	-	alcançarem	-	-	-	-	-	alcançarem	-	-
alfabetizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alfabeticen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
almorzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	almorcei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	almorce	almorcemos	almorces	almorcedes	almorce	almorcen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
almorçar	-	-	-	-	-	-	-	-	-	-	-	almorçam	almorçava	almorçávamos	almorçavas	almorçávades	almorçava	almorçavam	almorcei	-	almorçache	-	-	almorçaram	-	almorçáramos	-	almorçárades	-	almorçaram	-	-	-	-	-	almorçarám	almorçaria	almorçaríamos	almorçarias	almorçaríades	almorçaria	almorçariam	almorce	almorcemos	almorces	almorcedes	almorce	almorcem	almorçasse	almorçássemos	almorçasses	almorçássedes	almorçasse	almorçassem	-	-	-	-	-	almorçarem	-	-	-	-	-	almorçarem	-	-
alongar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alonguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alongue	alonguemos	alongues	alonguedes	alongue	alonguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alporizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alporicei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alporice	alporicemos	alporices	alporicedes	alporice	alporicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alugar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aluguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alugue	aluguemos	alugues	aluguedes	alugue	aluguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aluscar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alusque	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
