# lemma(infinitive)	V;NFIN	V;GER	V;PTCP;MASC;SG	V;PTCP;FEM;SG	V;PTCP;MASC;PL	V;PTCP;FEM;PL	V;IND;PRS;1;SG	V;IND;PRS;1;PL	V;IND;PRS;2;SG	V;IND;PRS;2;PL	V;IND;PRS;3;SG	V;IND;PRS;3;PL	V;IND;IPFV;1;SG	V;IND;IPFV;1;PL	V;IND;IPFV;2;SG	V;IND;IPFV;2;PL	V;IND;IPFV;3;SG	V;IND;IPFV;3;PL	V;IND;PRET;1;SG	V;IND;PRET;1;PL	V;IND;PRET;2;SG	V;IND;PRET;2;PL	V;IND;PRET;3;SG	V;IND;PRET;3;PL	V;IND;PLUP;1;SG	V;IND;PLUP;1;PL	V;IND;PLUP;2;SG	V;IND;PLUP;2;PL	V;IND;PLUP;3;SG	V;IND;PLUP;3;PL	V;IND;FUT;1;SG	V;IND;FUT;1;PL	V;IND;FUT;2;SG	V;IND;FUT;2;PL	V;IND;FUT;3;SG	V;IND;FUT;3;PL	V;COND;1;SG	V;COND;1;PL	V;COND;2;SG	V;COND;2;PL	V;COND;3;SG	V;COND;3;PL	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	V;SBJV;PRS;3;SG	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	V;SBJV;PST;1;PL	V;SBJV;PST;2;SG	V;SBJV;PST;2;PL	V;SBJV;PST;3;SG	V;SBJV;PST;3;PL	V;SBJV;FUT;1;SG	V;SBJV;FUT;1;PL	V;SBJV;FUT;2;SG	V;SBJV;FUT;2;PL	V;SBJV;FUT;3;SG	V;SBJV;FUT;3;PL	V;INF;1;SG	V;INF;1;PL	V;INF;2;SG	V;INF;2;PL	V;INF;3;SG	V;INF;3;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
empequenecer	-	-	-	-	-	-	empequenezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	empequeneza	empequenezamos	empequenezas	empequenezades	empequeneza	empequenezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
empezar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	empecei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	empece	empecemos	empeces	empecedes	empece	empecen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
empeçar	-	-	-	-	-	-	-	-	-	-	-	empeçam	empeçava	empeçávamos	empeçavas	empeçávades	empeçava	empeçavam	empecei	-	empeçache	-	-	empeçaram	-	empeçáramos	-	empeçárades	-	empeçaram	-	-	-	-	-	empeçarám	empeçaria	empeçaríamos	empeçarias	empeçaríades	empeçaria	empeçariam	empece	empecemos	empeces	empecedes	empece	empecem	empeçasse	empeçássemos	empeçasses	empeçássedes	empeçasse	empeçassem	-	-	-	-	-	empeçarem	-	-	-	-	-	empeçarem	-	-
emporcar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	emporquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	emporque	emporquemos	emporques	emporquedes	emporque	emporquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
empregar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	empreguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	empregue	empreguemos	empregues	empreguedes	empregue	empreguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
encalcar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encalquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encalque	encalquemos	encalques	encalquedes	encalque	encalquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
encampecer	-	-	-	-	-	-	encampezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encampeza	encampezamos	encampezas	encampezades	encampeza	encampezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
encargar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encarguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encargue	encarguemos	encargues	encarguedes	encargue	encarguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
encharcar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encharquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encharque	encharquemos	encharques	encharquedes	encharque	encharquen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
encruar	-	-	-	-	-	-	-	-	-	-	-	encruam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	encruem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
