# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
iwwerlueden	-	-	iwwerluets	iwwerluet	-	iwwerluet	-	iwwerluet	iwwerluet	iwwerlueden
iwwerreechen	-	-	-	-	-	-	-	-	-	iwwerreecht
iwwerschreiwen	-	-	iwwerschreifs	iwwerschreift	-	iwwerschreift	-	iwwerschreif	iwwerschreift	iwwerschriwwen
iwwersetzen	-	-	-	-	-	-	-	-	-	iwwersat
iwwerspillen	-	-	-	-	-	-	-	-	-	iwwerspillt
iwwerweisen	-	-	-	-	-	-	-	-	-	iwwerwisen
iwwerzeegen	-	-	-	-	-	-	-	-	-	iwwerzeegt
jauwen	-	-	jaufs	jauft	-	jauft	-	jauf	jauft	gejauft
joen	-	-	jees	jeet	-	-	-	-	-	-
jäizen	-	-	-	-	-	-	-	-	-	gejaut
kafen	-	-	keefs	keeft	-	kaaft	-	-	kaaft	kaaft
kaschten	-	-	-	-	-	-	-	-	-	kascht
kazen	-	-	kaaz	kaazt	-	kaazt	-	-	kaazt	gekaazt
kennen	-	-	-	-	-	-	-	-	-	kannt
klaken	-	-	klaaks	klaakt	-	klaakt	-	-	klaakt	geklaakt
klammen	-	-	klëmms	klëmmt	-	-	-	-	-	geklommen
kleeden	-	-	kleets	kleet	-	kleet	-	kleet	kleet	gekleet
kliewen	-	-	kliefs	klieft	-	klieft	-	klief	klieft	geklieft
kléngen	-	-	-	-	-	-	-	-	-	geklongen
knieden	-	-	kniets	kniet	-	kniet	-	kniet	kniet	gekniet
kommen	-	-	kënns	kënnt	-	-	-	-	-	komm
krazen	-	-	kraaz	kraazt	-	kraazt	-	-	kraazt	gekraazt
kropen	-	-	kroops	kroopt	-	kroopt	-	-	kroopt	gekroopt
kräischen	-	-	-	-	-	-	-	-	-	gekrasch
kréien	-	-	-	-	-	-	-	-	-	kritt
kënnen	-	kann	kanns	kann	-	-	-	-	-	konnt
lafen	-	-	leefs	leeft	-	laaft	-	-	laaft	gelaf
landen	-	-	lants	lant	-	lant	-	lant	lant	gelant
leeden	-	-	leets	leet	-	leet	-	leet	leet	geleet
leegnen	-	-	-	-	-	-	-	-	-	geleegent
leeën	-	-	-	-	-	-	-	-	-	geluecht
leiden	-	-	leits	leit	-	leit	-	leit	leit	gelidden
leien	-	-	läis	läit	-	-	-	-	-	geleeën
liesen	-	-	-	-	-	-	-	-	-	gelies
liewen	-	-	liefs	lieft	-	lieft	-	lief	lieft	gelieft
loossen	-	-	léiss	léisst	-	-	-	-	-	gelooss
lueden	-	-	luets	luet	-	luet	-	luet	luet	gelueden
luewen	-	-	luefs	lueft	-	lueft	-	luef	lueft	gelueft
léiden	-	-	-	-	-	-	-	-	-	geléit
léien	-	-	litts	litt	-	litt	-	-	litt	gelunn
léieren	-	-	-	-	-	-	-	-	-	geléiert
léiwen	-	-	léifs	léift	-	léift	-	léif	léift	geléift
maachen	-	-	méchs	mécht	-	-	-	-	-	-
man	-	-	-	-	-	-	-	-	-	gemat
matfillen	-	-	-	-	-	-	-	-	-	matgefillt
matschreiwen	-	-	-	-	-	-	-	-	-	matgeschriwwen
matspillen	-	-	-	-	-	-	-	-	-	matgespillt
meiden	-	-	meits	meit	-	meit	-	meit	meit	gemidden
mepriséieren	mepriséierten	mepriséierten	mepriséierts	-	mepriséierten	-	mepriséierten	mepriséiert	-	-
miessen	-	-	-	-	-	-	-	-	-	gemiess
molen	-	-	mools	moolt	-	moolt	-	-	moolt	gemoolt
moossen	-	-	-	-	-	-	-	-	-	gemooss
muelen	-	-	-	-	-	-	-	-	-	gemuel
nennen	-	-	-	-	-	-	-	-	-	genannt
netzen	-	-	-	-	-	-	-	-	-	genat
nidderloossen	-	-	-	-	-	-	-	-	-	niddergelooss
nofillen	-	-	-	-	-	-	-	-	-	nogefillt
nofollegen	-	-	-	-	-	-	-	-	-	nogefollegt
nokafen	-	-	-	-	-	-	-	-	-	nokaaft
nospillen	-	-	-	-	-	-	-	-	-	nogespillt
offléissen	-	-	-	-	-	-	-	-	-	ofgefloss
ofgesinn	ofgesinn	-	-	-	-	-	-	-	-	ofgesinn
ofginn	ofginn	-	-	-	-	-	-	-	-	ofginn
oflafen	-	-	-	-	-	-	-	-	-	ofgelaf
ofleeën	-	-	-	-	-	-	-	-	-	ofgeluecht
ofschafen	-	-	-	-	-	-	-	-	-	ofgeschaaft
ofschléissen	-	-	-	-	-	-	-	-	-	ofgeschloss
ofschreiwen	-	-	-	-	-	-	-	-	-	ofgeschriwwen
ofsetzen	-	-	-	-	-	-	-	-	-	ofgesat
ofspillen	-	-	-	-	-	-	-	-	-	ofgespillt
ofspriechen	-	-	-	-	-	-	-	-	-	ofgesprach
ofsteigen	-	-	-	-	-	-	-	-	-	ofgestigen
ofwäschen	-	-	-	-	-	-	-	-	-	ofgewäsch
ootmen	-	-	otems	otemt	-	otemt	-	otem	otemt	geotemt
operstoen	-	-	-	-	-	-	-	-	-	operstanen
opfaassen	-	-	-	-	-	-	-	-	-	opgefaasst
opféieren	-	-	-	-	-	-	-	-	-	opgeféiert
ophalen	-	-	-	-	-	-	-	-	-	opgehalen
opmaachen	-	-	-	-	-	-	-	-	-	opgemaach
opreegen	-	-	-	-	-	-	-	-	-	opgereegt
opschloen	-	-	-	-	-	-	-	-	-	opgeschloen
opschléissen	-	-	-	-	-	-	-	-	-	opgeschloss
opschreiwen	-	-	-	-	-	-	-	-	-	opgeschriwwen
opsetzen	-	-	-	-	-	-	-	-	-	opgesat
opsteigen	-	-	-	-	-	-	-	-	-	opgestigen
opstoen	-	-	-	-	-	-	-	-	-	opgestan
optrieden	-	-	-	-	-	-	-	-	-	opgetratt
opwéckelen	-	-	-	-	-	-	-	-	-	opgewéckelt
paken	-	-	peeks	peekt	-	paakt	-	-	paakt	gepaakt
päifen	-	-	-	-	-	-	-	-	-	gepaff
quëllen	-	-	-	-	-	-	-	-	-	gequollen
rafen	-	-	reefs	reeft	-	raaft	-	-	raaft	geraf
rechnen	-	-	rechens	rechent	-	rechent	-	rechen	rechent	gerechent
reiden	-	-	reits	reit	-	reit	-	reit	reit	geridden
reiwen	-	-	reifs	reift	-	reift	-	reif	reift	geriwwen
rennen	-	-	-	-	-	-	-	-	-	gerannt
richen	-	-	-	-	-	-	-	-	-	geroch
rieden	-	-	riets	riet	-	riet	-	riet	riet	geriet
riichtbéien	-	-	-	-	-	-	-	-	-	riichtgebéit
roden	-	-	réits	réit	-	rot	-	rot	rot	geroden
rosen	-	-	-	-	-	-	-	-	-	geroost
rueden	-	-	ruets	ruet	-	ruet	-	ruet	ruet	geruet
ruffen	-	-	riffs	rifft	-	-	-	-	-	geruff
räissen	-	-	-	-	-	-	-	-	-	gerass
réieren	-	-	-	-	-	-	-	-	-	geréiert
sangen	-	-	séngs	séngt	-	-	-	-	-	gesongen
saufen	-	-	säifs	säift	-	-	-	-	-	gesoff
schafen	-	-	schaafs	schaaft	-	schaaft	-	-	schaaft	geschaaft
schalen	-	-	schaals	schaalt	-	schaalt	-	-	schaalt	geschaalt
scheeden	-	-	scheets	scheet	-	scheet	-	scheet	scheet	gescheet
schieren	-	-	-	-	-	-	-	-	-	geschuer
schloen	-	-	schléis	schléit	-	-	-	-	-	geschloen
schlofen	-	-	schléifs	schléift	-	schlooft	-	-	schlooft	geschlof
schläichen	-	-	-	-	-	-	-	-	-	geschlach
schläifen	-	-	-	-	-	-	-	-	-	geschlaff
schläissen	-	-	-	-	-	-	-	-	-	geschlass
schléissen	-	-	-	-	-	-	-	-	-	geschloss
schmidden	-	-	schmitts	schmitt	-	schmitt	-	schmitt	schmitt	geschmitt
schmusen	-	-	-	-	-	-	-	-	-	geschmusst
schmäissen	-	-	-	-	-	-	-	-	-	geschmass
schneiden	-	-	schneits	schneit	-	schneit	-	schneit	schneit	geschnidden
schreiwen	-	-	schreifs	schreift	-	schreift	-	schreif	schreift	geschriwwen
schwaachfalen	-	-	-	-	-	-	-	-	-	geschwaachfaalt
schwammen	-	-	schwëmms	schwëmmt	-	-	-	-	-	geschwommen
schwieren	-	-	-	-	-	-	-	-	-	geschwuer
schwiewen	-	-	schwiefs	schwieft	-	schwieft	-	schwief	schwieft	geschwieft
schwätzen	-	-	-	-	-	-	-	-	-	geschwat
schwéngen	-	-	-	-	-	-	-	-	-	geschwongen
schwëllen	-	-	-	-	-	-	-	-	-	geschwollen
schäissen	-	-	-	-	-	-	-	-	-	geschass
schéissen	-	-	-	-	-	-	-	-	-	geschoss
schëdden	-	-	schëtts	schëtt	-	schëtt	-	schëtt	schëtt	geschott
schënnen	-	-	-	-	-	-	-	-	-	geschannt
setzen	-	-	-	-	-	-	-	-	-	gesat
sinn	sinn	sinn	bass	ass	sinn	sidd	sinn	sief	sidd	gewiescht
sollen	-	-	-	-	-	-	-	-	-	sollen
spanen	-	-	-	-	-	-	-	-	-	gespaant
spannen	-	-	spënns	spënnt	-	-	-	-	-	gesponnen
spionéieren	spionéierten	spionéierten	spionéierts	-	spionéierten	-	spionéierten	spionéiert	-	-
spiren	-	-	spiers	spiert	-	spiert	-	-	spiert	gespuert
spläissen	-	-	-	-	-	-	-	-	-	gesplass
sprangen	-	-	spréngs	spréngt	-	-	-	-	-	gesprongen
spreeden	-	-	spreets	spreet	-	spreet	-	spreet	spreet	gespreet
spriechen	-	-	spréchs	sprécht	-	-	-	-	-	gesprach
späizen	-	-	-	-	-	-	-	-	-	gespaut
spären	-	-	späers	späert	-	späert	-	-	späert	gespaart
stamen	-	-	staams	staamt	-	staamt	-	-	staamt	gestaamt
steiwen	-	-	steifs	steift	-	steift	-	steif	steift	gesteift
stellen	-	-	-	-	-	-	-	-	-	gestallt
stiechen	-	-	stéchs	stécht	-	-	-	-	-	gestach
stielen	-	-	-	-	-	-	-	-	-	gestuel
stierwen	-	-	stierfs	stierft	-	stierft	-	stierf	stierft	gestuerwen
stoen	-	-	-	-	-	-	-	-	-	gestan
