# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
ëmschreiwen	-	-	-	-	-	-	-	-	-	ëmgeschriwwen
ëmsetzen	-	-	-	-	-	-	-	-	-	ëmgesat
ëmsteigen	-	-	-	-	-	-	-	-	-	ëmgestigen
ëmstellen	-	-	-	-	-	-	-	-	-	ëmstallt
ëmänneren	-	-	-	-	-	-	-	-	-	ëmgeännert
ënnerbréngen	-	-	-	-	-	-	-	-	-	ënnerbruecht
ënnerhillegen	-	-	-	-	-	-	-	-	-	ënnerhillegt
ënnerhuelen	-	-	ënnerhëls	ënnerhëlt	-	-	-	-	-	ënnerholl
ënnerleeën	-	-	-	-	-	-	-	-	-	ënnergeluecht
ënnerleien	-	-	ënnerläis	ënnerläit	-	-	-	-	-	ënnerleeën
ënnermaueren	-	-	-	-	-	-	-	-	-	ënnermauert
ënnerriichten	-	-	-	-	-	-	-	-	-	ënnerriicht
ënnerschreiwen	-	-	ënnerschreifs	ënnerschreift	-	ënnerschreift	-	ënnerschreif	ënnerschreift	ënnerschriwwen
ënnerschätzen	-	-	-	-	-	-	-	-	-	ënnerschat
ënnersichen	-	-	-	-	-	-	-	-	-	ënnersicht
ënnerstellen	-	-	-	-	-	-	-	-	-	ënnerstallt
ënnersträichen	-	-	-	-	-	-	-	-	-	ënnerstrach
ënnerstëtzen	-	-	-	-	-	-	-	-	-	ënnerstëtzt
ënnertunnelen	-	-	-	-	-	-	-	-	-	ënnertunnelt
