# lemma	auxiliary (har | er | er/har), mined from kaikki head templates
tilbringe	har
tilfredsstille	har
titrere	har
tjekke	har
tjære	har
to	har
tolerere	har
tomle	er/har
tone	har
tortere	har
trille	har
tromme	har
trone	har
tryne	har
tråde	er/har
trælle	har
tude	har
turde	har
tutte	har
tvivle	har
tyde	har
tygge	har
tyre	har
tårne	har
tælle	har
tæppe	er/har
tærske	er/har
tøve	har
uddele	har
udenadslære	har
udholde	har
udleve	har
udlicitere	har
udrette	har
udskælde	har
udstede	har
udstråle	har
udstyre	har
udtale	har
udtrykke	har
udvise	har
ugle	er/har
undersøge	har
valke	er/har
vande	har
varpe	har
vedgå	har
velsigne	har
vende	har
verfe	har
vidne	har
vinke	har
vise	har
viske	har
vogte	har
vrage	er/har
vurdere	har
vågne	er
vægte	har
væmmes	har
være	har
værke	har
værne	har
værpe	har
væve	har
ynde	har
ytre	har
åbenbare	har
ånde	har
ælde	har
ælte	har
æske	har
øffe	har
økse	har
