# lemma	p1sg	p3sg	da	pst1sg	nud	tud	imp2sg	gu	takse ("-" = derive)
kõhklema	-	-	kõhelda	-	kõhelnud	kõheldud	-	kõhelgu	kõheldakse
kõlbama	-	-	kõlvata	-	kõlvanud	kõlvatud	-	kõlvaku	kõlvatakse
kõndima	kõnnin	kõnnib	-	-	-	kõnnitud	kõnni	-	kõnnitakse
külvama	-	-	külvata	-	-	-	-	külvaku	-
kündma	künnan	künnab	künda	kündsin	-	küntud	künna	kündku	küntakse	kündis	kündev
kütma	kütan	kütab	kütta	kütsin	-	köetud	küta	kütku	köetakse	küttis	küttev
laastama	-	-	laastata	-	-	-	-	laastaku	-	-	-
laduma	laon	laob	-	-	-	laotud	lao	-	laotakse
lakkuma	lakun	lakub	-	-	-	lakutud	laku	-	lakutakse
laskma	lasen	laseb	lasta	lasin	-	lastud	lase	lasku	lastakse	lasi	laskev
laulma	laulan	laulab	-	laulsin	-	lauldud	laula	-	lauldakse	laulis	laulev
lehkama	-	-	lehata	-	lehanud	lehatud	-	lehaku	lehatakse
leidma	leian	leiab	leida	leidsin	-	leitud	leia	leidku	leitakse	leidis	leidev
lendama	-	-	lennata	-	lennanud	lennatud	-	lennaku	lennatakse
leppima	lepin	lepib	-	-	-	lepitud	lepi	-	lepitakse
liikuma	liigun	liigub	-	-	-	liigutud	liigu	-	liigutakse
liitma	liidan	liidab	liita	liitsin	-	liidetud	liida	liitku	liidetakse	liitis	liitev
looma	-	-	luua	lõin	-	loodud	-	-	luuakse	lõi	-
lootma	loodan	loodab	loota	lootsin	-	loodetud	looda	lootku	loodetakse	lootis	lootev
lugema	loen	loeb	-	-	-	loetud	loe	-	loetakse
lõhnama	-	-	lõhnata	-	-	-	-	lõhnaku	-
lõikama	-	-	lõigata	-	lõiganud	lõigatud	-	lõigaku	lõigatakse
lõõskama	-	-	lõõsata	-	lõõsanud	lõõsatud	-	lõõsaku	lõõsatakse
lööma	-	-	lüüa	lõin	-	löödud	-	-	lüüakse
lükkama	-	-	lükata	-	lükanud	lükatud	-	lükaku	lükatakse
lüpsma	lüpsan	lüpsab	lüpsta	lüpsin	-	lüpstud	lüpsa	lüpsku	lüpstakse	lüpsis	lüpsev
mahtuma	mahun	mahub	-	-	-	mahutud	mahu	-	mahutakse
maitsma	maitsen	maitseb	maitsta	maitsesin	-	maitstud	maitse	maitsku	maitstakse	maitses	maitsev
maksma	maksan	maksab	maksta	maksin	-	makstud	maksa	maksku	makstakse	maksis	maksev
marssima	marsin	marsib	-	-	-	marsitud	marsi	-	marsitakse
matma	matan	matab	matta	matsin	-	maetud	mata	matku	maetakse	mattis	mattev
mekkima	mekin	mekib	-	-	-	mekitud	meki	-	mekitakse
minema	lähen	läheb	minna	läksin	läinud	mindud	mine	mingu	minnakse
murdma	murran	murrab	murda	murdsin	-	murtud	murra	murdku	murtakse	murdis	murdev
muutma	muudan	muudab	muuta	muutsin	-	muudetud	muuda	muutku	muudetakse	muutis	muutev
mähkima	mähin	mähib	-	-	-	mähitud	mähi	-	mähitakse
märkama	-	-	märgata	-	märganud	märgatud	-	märgaku	märgatakse
märkima	märgin	märgib	-	-	-	märgitud	märgi	-	märgitakse
mõistma	mõistan	mõistab	mõista	mõistsin	-	mõistetud	mõista	mõistku	mõistetakse	mõistis	mõistev
mõtlema	-	-	mõelda	-	mõelnud	mõeldud	-	mõelgu	mõeldakse
mõõtma	mõõdan	mõõdab	mõõta	mõõtsin	-	mõõdetud	mõõda	mõõtku	mõõdetakse	mõõtis	mõõtev
möllama	-	-	möllata	-	-	-	-	möllaku	-
möönma	möönan	möönab	-	möönsin	-	mööndud	mööna	-	mööndakse	möönis	möönev
müüma	-	-	müüa	-	-	müüdud	-	-	müüakse
naasma	naasen	naaseb	naasta	naasin	-	naastud	naase	naasku	naastakse	naasis	naasev
naerma	naeran	naerab	-	naersin	-	naerdud	naera	-	naerdakse	naeris	naerev
nautima	naudin	naudib	-	-	-	nauditud	naudi	-	nauditakse
neelama	-	-	neelata	-	-	-	-	neelaku	-
niitma	niidan	niidab	niita	niitsin	-	niidetud	niida	niitku	niidetakse	niitis	niitev
nikkuma	nikun	nikub	-	-	-	nikutud	niku	-	nikutakse
nokkima	nokin	nokib	-	-	-	nokitud	noki	-	nokitakse
norskama	-	-	norsata	-	norsanud	norsatud	-	norsaku	norsatakse	-	-
nutma	nutan	nutab	nutta	nutsin	-	nutetud	nuta	nutku	nutetakse	nuttis	nuttev
nägema	näen	näeb	näha	nägin	näinud	nähtud	näe	nähku	nähakse
näitama	-	-	näidata	-	näidanud	näidatud	-	näidaku	näidatakse
näitlema	-	-	näidelda	-	näidelnud	näideldud	-	näidelgu	näideldakse	-	-
näppama	-	-	näpata	-	näpanud	näpatud	-	näpaku	näpatakse
näppima	näpin	näpib	-	-	-	näpitud	näpi	-	näpitakse
nõelama	-	-	nõelata	-	-	-	-	nõelaku	-
nõudma	nõuan	nõuab	nõuda	nõudsin	-	nõutud	nõua	nõudku	nõutakse	nõudis	nõudev
nülgima	nülin	nülib	-	-	-	nülitud	nüli	-	nülitakse
ohjama	-	-	ohjata	-	-	-	-	ohjaku	-
olema	olen	on	olla	olin	olnud	oldud	-	olgu	ollakse	-	-	on
ootama	-	-	oodata	-	oodanud	oodatud	-	oodaku	oodatakse
oskama	-	-	osata	-	osanud	osatud	-	osaku	osatakse
ostma	ostan	ostab	osta	ostsin	-	ostetud	osta	ostku	ostetakse	ostis	ostev
paistma	paistan	paistab	paista	paistsin	-	paistetud	paista	paistku	paistetakse	paistis	paistev
pakkuma	pakun	pakub	-	-	-	pakutud	paku	-	pakutakse
panema	-	-	panna	panin	pannud	pandud	-	pangu	pannakse	pani	-
parkima	pargin	pargib	-	-	-	pargitud	pargi	-	pargitakse
