# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;3;SG;MASC	V;PST;3;SG;FEM	V;PST;3;SG;NEUT	V;PST;3;PL;MASC;HUM	V;PST;3;PL	V;IMP;2;SG	V;IMP;1;PL	V;IMP;2;PL	V;NFIN  ("-" = productive default)
wtargnąć	-	-	-	-	-	-	wtargnę	wtargniesz	wtargnie	wtargniemy	wtargniecie	wtargną	-	wtargnęła	wtargnęło	wtargnęli	wtargnęły	wtargnij	wtargnijmy	wtargnijcie	-
wtaskać	-	-	-	-	-	-	wtaskam	wtaskasz	wtaska	wtaskamy	wtaskacie	wtaskają	-	-	-	-	-	wtaskaj	wtaskajmy	wtaskajcie	-
wtaskiwać	wtaskuję	wtaskujesz	wtaskuje	wtaskujemy	wtaskujecie	wtaskują	-	-	-	-	-	-	-	-	-	-	-	wtaskuj	wtaskujmy	wtaskujcie	-
wtaszczać	wtaszczam	wtaszczasz	wtaszcza	wtaszczamy	wtaszczacie	wtaszczają	-	-	-	-	-	-	-	-	-	-	-	wtaszczaj	wtaszczajmy	wtaszczajcie	-
wtaszczyć	-	-	-	-	-	-	wtaszczę	wtaszczysz	wtaszczy	wtaszczymy	wtaszczycie	wtaszczą	-	-	-	-	-	wtaszcz	wtaszczmy	wtaszczcie	-
wtentegować	-	-	-	-	-	-	wtenteguję	wtentegujesz	wtenteguje	wtentegujemy	wtentegujecie	wtentegują	-	-	-	-	-	wtenteguj	wtentegujmy	wtentegujcie	-
wtoczyć	-	-	-	-	-	-	wtoczę	wtoczysz	wtoczy	wtoczymy	wtoczycie	wtoczą	-	-	-	-	-	wtocz	wtoczmy	wtoczcie	-
wtopić	-	-	-	-	-	-	wtopię	wtopisz	wtopi	wtopimy	wtopicie	wtopią	-	-	-	-	-	wtop	wtopmy	wtopcie	-
wtrajać	wtrajam	wtrajasz	wtraja	wtrajamy	wtrajacie	wtrajają	-	-	-	-	-	-	-	-	-	-	-	wtrajaj	wtrajajmy	wtrajajcie	-
wtranżalać	wtranżalam	wtranżalasz	wtranżala	wtranżalamy	wtranżalacie	wtranżalają	-	-	-	-	-	-	-	-	-	-	-	wtranżalaj	wtranżalajmy	wtranżalajcie	-
