# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;3;SG;MASC	V;PST;3;SG;FEM	V;PST;3;SG;NEUT	V;PST;3;PL;MASC;HUM	V;PST;3;PL	V;IMP;2;SG	V;IMP;1;PL	V;IMP;2;PL	V;NFIN  ("-" = productive default)
abdykować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abdykuj	abdykujmy	abdykujcie	-
ablaktować	ablaktuję	ablaktujesz	ablaktuje	ablaktujemy	ablaktujecie	ablaktują	-	-	-	-	-	-	-	-	-	-	-	ablaktuj	ablaktujmy	ablaktujcie	-
ablegrować	ablegruję	ablegrujesz	ablegruje	ablegrujemy	ablegrujecie	ablegrują	-	-	-	-	-	-	-	-	-	-	-	ablegruj	ablegrujmy	ablegrujcie	-
abonować	abonuję	abonujesz	abonuje	abonujemy	abonujecie	abonują	-	-	-	będziemy abonowały	będziecie abonowały	będą abonowały	-	-	-	-	-	abonuj	abonujmy	abonujcie	-
abradować	abraduję	abradujesz	abraduje	abradujemy	abradujecie	abradują	-	-	-	-	-	-	-	-	-	-	-	abraduj	abradujmy	abradujcie	-
abrogować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abroguj	abrogujmy	abrogujcie	-
abrysować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	abrysuj	abrysujmy	abrysujcie	-
absentować	absentuję	absentujesz	absentuje	absentujemy	absentujecie	absentują	-	-	-	-	-	-	-	-	-	-	-	absentuj	absentujmy	absentujcie	-
absolutyzować	absolutyzuję	absolutyzujesz	absolutyzuje	absolutyzujemy	absolutyzujecie	absolutyzują	-	-	-	-	-	-	-	-	-	-	-	absolutyzuj	absolutyzujmy	absolutyzujcie	-
absolwować	absolwuję	absolwujesz	absolwuje	absolwujemy	absolwujecie	absolwują	-	-	-	-	-	-	-	-	-	-	-	absolwuj	absolwujmy	absolwujcie	-
absorbować	absorbuję	absorbujesz	absorbuje	absorbujemy	absorbujecie	absorbują	-	-	-	będziemy absorbowały	będziecie absorbowały	będą absorbowały	-	-	-	-	-	absorbuj	absorbujmy	absorbujcie	-
abstrahować	abstrahuję	abstrahujesz	abstrahuje	abstrahujemy	abstrahujecie	abstrahują	-	-	-	-	-	-	-	-	-	-	-	abstrahuj	abstrahujmy	abstrahujcie	-
absurdalizować	absurdalizuję	absurdalizujesz	absurdalizuje	absurdalizujemy	absurdalizujecie	absurdalizują	-	-	-	-	-	-	-	-	-	-	-	absurdalizuj	absurdalizujmy	absurdalizujcie	-
absztyfikować	absztyfikuję	absztyfikujesz	absztyfikuje	absztyfikujemy	absztyfikujecie	absztyfikują	-	-	-	-	-	-	-	-	-	-	-	absztyfikuj	absztyfikujmy	absztyfikujcie	-
abszytować	abszytuję	abszytujesz	abszytuje	abszytujemy	abszytujecie	abszytują	-	-	-	-	-	-	-	-	-	-	-	abszytuj	abszytujmy	abszytujcie	-
acetylować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acetyluj	acetylujmy	acetylujcie	-
achać	acham	achasz	acha	achamy	achacie	achają	-	-	-	-	-	-	-	-	-	-	-	achaj	achajmy	achajcie	-
achnąć	-	-	-	-	-	-	achnę	achniesz	achnie	achniemy	achniecie	achną	-	achnęła	achnęło	achnęli	achnęły	achnij	achnijmy	achnijcie	-
adaptować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adaptuj	adaptujmy	adaptujcie	-
adiektywizować	adiektywizuję	adiektywizujesz	adiektywizuje	adiektywizujemy	adiektywizujecie	adiektywizują	-	-	-	-	-	-	-	-	-	-	-	adiektywizuj	adiektywizujmy	adiektywizujcie	-
adiustować	adiustuję	adiustujesz	adiustuje	adiustujemy	adiustujecie	adiustują	-	-	-	-	-	-	-	-	-	-	-	adiustuj	adiustujmy	adiustujcie	-
adiutantować	adiutantuję	adiutantujesz	adiutantuje	adiutantujemy	adiutantujecie	adiutantują	-	-	-	-	-	-	-	-	-	-	-	adiutantuj	adiutantujmy	adiutantujcie	-
adjektywizować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adjektywizuj	adjektywizujmy	adjektywizujcie	-
administrować	administruję	administrujesz	administruje	administrujemy	administrujecie	administrują	-	-	-	-	-	-	-	-	-	-	-	administruj	administrujmy	administrujcie	-
admirować	admiruję	admirujesz	admiruje	admirujemy	admirujecie	admirują	-	-	-	-	-	-	-	-	-	-	-	admiruj	admirujmy	admirujcie	-
adnotować	adnotuję	adnotujesz	adnotuje	adnotujemy	adnotujecie	adnotują	-	-	-	-	-	-	-	-	-	-	-	adnotuj	adnotujmy	adnotujcie	-
adoptować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adoptuj	adoptujmy	adoptujcie	-
adornować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	adornuj	adornujmy	adornujcie	-
adorować	adoruję	adorujesz	adoruje	adorujemy	adorujecie	adorują	-	-	-	-	-	-	-	-	-	-	-	adoruj	adorujmy	adorujcie	-
adresować	adresuję	adresujesz	adresuje	adresujemy	adresujecie	adresują	-	-	-	-	-	-	-	-	-	-	-	adresuj	adresujmy	adresujcie	-
adrować	adruję	adrujesz	adruje	adrujemy	adrujecie	adrują	-	-	-	-	-	-	-	-	-	-	-	adruj	adrujmy	adrujcie	-
adsorbować	adsorbuję	adsorbujesz	adsorbuje	adsorbujemy	adsorbujecie	adsorbują	-	-	-	-	-	-	-	-	-	-	-	adsorbuj	adsorbujmy	adsorbujcie	-
adwokatować	adwokatuję	adwokatujesz	adwokatuje	adwokatujemy	adwokatujecie	adwokatują	-	-	-	-	-	-	-	-	-	-	-	adwokatuj	adwokatujmy	adwokatujcie	-
aerosolować	aerosoluję	aerosolujesz	aerosoluje	aerosolujemy	aerosolujecie	aerosolują	-	-	-	-	-	-	-	-	-	-	-	aerosoluj	aerosolujmy	aerosolujcie	-
aerozolować	aerozoluję	aerozolujesz	aerozoluje	aerozolujemy	aerozolujecie	aerozolują	-	-	-	-	-	-	-	-	-	-	-	aerozoluj	aerozolujmy	aerozolujcie	-
afektować	afektuję	afektujesz	afektuje	afektujemy	afektujecie	afektują	-	-	-	-	-	-	-	-	-	-	-	afektuj	afektujmy	afektujcie	-
afiliować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afiliuj	afiliujmy	afiliujcie	-
afirmować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afirmuj	afirmujmy	afirmujcie	-
afiszować	afiszuję	afiszujesz	afiszuje	afiszujemy	afiszujecie	afiszują	-	-	-	-	-	-	-	-	-	-	-	afiszuj	afiszujmy	afiszujcie	-
afrontować	afrontuję	afrontujesz	afrontuje	afrontujemy	afrontujecie	afrontują	-	-	-	-	-	-	-	-	-	-	-	afrontuj	afrontujmy	afrontujcie	-
afrykanizować	afrykanizuję	afrykanizujesz	afrykanizuje	afrykanizujemy	afrykanizujecie	afrykanizują	-	-	-	-	-	-	-	-	-	-	-	afrykanizuj	afrykanizujmy	afrykanizujcie	-
agitować	agituję	agitujesz	agituje	agitujemy	agitujecie	agitują	-	-	-	-	-	-	-	-	-	-	-	agituj	agitujmy	agitujcie	-
aglomerować	aglomeruję	aglomerujesz	aglomeruje	aglomerujemy	aglomerujecie	aglomerują	-	-	-	-	-	-	-	-	-	-	-	aglomeruj	aglomerujmy	aglomerujcie	-
aglomeryzować	aglomeryzuję	aglomeryzujesz	aglomeryzuje	aglomeryzujemy	aglomeryzujecie	aglomeryzują	-	-	-	-	-	-	-	-	-	-	-	aglomeryzuj	aglomeryzujmy	aglomeryzujcie	-
aglutynować	aglutynuję	aglutynujesz	aglutynuje	aglutynujemy	aglutynujecie	aglutynują	-	-	-	-	-	-	-	-	-	-	-	aglutynuj	aglutynujmy	aglutynujcie	-
agnoskować	agnoskuję	agnoskujesz	agnoskuje	agnoskujemy	agnoskujecie	agnoskują	-	-	-	-	-	-	-	-	-	-	-	agnoskuj	agnoskujmy	agnoskujcie	-
agrawować	agrawuję	agrawujesz	agrawuje	agrawujemy	agrawujecie	agrawują	-	-	-	-	-	-	-	-	-	-	-	agrawuj	agrawujmy	agrawujcie	-
agregatować	agregatuję	agregatujesz	agregatuje	agregatujemy	agregatujecie	agregatują	-	-	-	-	-	-	-	-	-	-	-	agregatuj	agregatujmy	agregatujcie	-
agregować	agreguję	agregujesz	agreguje	agregujemy	agregujecie	agregują	-	-	-	-	-	-	-	-	-	-	-	agreguj	agregujmy	agregujcie	-
akademizować	akademizuję	akademizujesz	akademizuje	akademizujemy	akademizujecie	akademizują	-	-	-	-	-	-	-	-	-	-	-	akademizuj	akademizujmy	akademizujcie	-
akać	akam	akasz	aka	akamy	akacie	akają	-	-	-	-	-	-	-	-	-	-	-	akaj	akajmy	akajcie	-
akcentować	akcentuję	akcentujesz	akcentuje	akcentujemy	akcentujecie	akcentują	-	-	-	-	-	-	-	-	-	-	-	akcentuj	akcentujmy	akcentujcie	-
akceptować	akceptuję	akceptujesz	akceptuje	akceptujemy	akceptujecie	akceptują	-	-	-	-	-	-	-	-	-	-	-	akceptuj	akceptujmy	akceptujcie	-
aklamować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aklamuj	aklamujmy	aklamujcie	-
aklimatyzować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aklimatyzuj	aklimatyzujmy	aklimatyzujcie	-
akomodować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	akomoduj	akomodujmy	akomodujcie	-
akompaniować	akompaniuję	akompaniujesz	akompaniuje	akompaniujemy	akompaniujecie	akompaniują	-	-	-	-	-	-	-	-	-	-	-	akompaniuj	akompaniujmy	akompaniujcie	-
akredytować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	akredytuj	akredytujmy	akredytujcie	-
aksamicić	aksamicę	aksamicisz	aksamici	aksamicimy	aksamicicie	aksamicą	-	-	-	-	-	-	-	-	-	-	-	aksamić	aksamićmy	aksamićcie	-
aktorować	aktoruję	aktorujesz	aktoruje	aktorujemy	aktorujecie	aktorują	-	-	-	-	-	-	-	-	-	-	-	aktoruj	aktorujmy	aktorujcie	-
aktualizować	aktualizuję	aktualizujesz	aktualizuje	aktualizujemy	aktualizujecie	aktualizują	-	-	-	-	-	-	-	-	-	-	-	aktualizuj	aktualizujmy	aktualizujcie	-
aktykować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aktykuj	aktykujmy	aktykujcie	-
aktywizować	aktywizuję	aktywizujesz	aktywizuje	aktywizujemy	aktywizujecie	aktywizują	-	-	-	-	-	-	-	-	-	-	-	aktywizuj	aktywizujmy	aktywizujcie	-
aktywować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aktywuj	aktywujmy	aktywujcie	-
akumulować	akumuluję	akumulujesz	akumuluje	akumulujemy	akumulujecie	akumulują	-	-	-	-	-	-	-	-	-	-	-	akumuluj	akumulujmy	akumulujcie	-
akwirować	akwiruję	akwirujesz	akwiruje	akwirujemy	akwirujecie	akwirują	-	-	-	-	-	-	-	-	-	-	-	akwiruj	akwirujmy	akwirujcie	-
alarmować	alarmuję	alarmujesz	alarmuje	alarmujemy	alarmujecie	alarmują	-	-	-	-	-	-	-	-	-	-	-	alarmuj	alarmujmy	alarmujcie	-
alegoryzować	alegoryzuję	alegoryzujesz	alegoryzuje	alegoryzujemy	alegoryzujecie	alegoryzują	-	-	-	-	-	-	-	-	-	-	-	alegoryzuj	alegoryzujmy	alegoryzujcie	-
alegować	aleguję	alegujesz	aleguje	alegujemy	alegujecie	alegują	-	-	-	-	-	-	-	-	-	-	-	aleguj	alegujmy	alegujcie	-
alembikować	alembikuję	alembikujesz	alembikuje	alembikujemy	alembikujecie	alembikują	-	-	-	-	-	-	-	-	-	-	-	alembikuj	alembikujmy	alembikujcie	-
alergizować	alergizuję	alergizujesz	alergizuje	alergizujemy	alergizujecie	alergizują	-	-	-	-	-	-	-	-	-	-	-	alergizuj	alergizujmy	alergizujcie	-
algorytmizować	algorytmizuję	algorytmizujesz	algorytmizuje	algorytmizujemy	algorytmizujecie	algorytmizują	-	-	-	-	-	-	-	-	-	-	-	algorytmizuj	algorytmizujmy	algorytmizujcie	-
alienować	alienuję	alienujesz	alienuje	alienujemy	alienujecie	alienują	-	-	-	-	-	-	-	-	-	-	-	alienuj	alienujmy	alienujcie	-
alimentować	alimentuję	alimentujesz	alimentuje	alimentujemy	alimentujecie	alimentują	-	-	-	-	-	-	-	-	-	-	-	alimentuj	alimentujmy	alimentujcie	-
alkalizować	alkalizuję	alkalizujesz	alkalizuje	alkalizujemy	alkalizujecie	alkalizują	-	-	-	-	-	-	-	-	-	-	-	alkalizuj	alkalizujmy	alkalizujcie	-
alkilować	alkiluję	alkilujesz	alkiluje	alkilujemy	alkilujecie	alkilują	-	-	-	-	-	-	-	-	-	-	-	alkiluj	alkilujmy	alkilujcie	-
alkoholizować	alkoholizuję	alkoholizujesz	alkoholizuje	alkoholizujemy	alkoholizujecie	alkoholizują	-	-	-	-	-	-	-	-	-	-	-	alkoholizuj	alkoholizujmy	alkoholizujcie	-
alodynować	alodynuję	alodynujesz	alodynuje	alodynujemy	alodynujecie	alodynują	-	-	-	-	-	-	-	-	-	-	-	alodynuj	alodynujmy	alodynujcie	-
alokować	alokuję	alokujesz	alokuje	alokujemy	alokujecie	alokują	-	-	-	-	-	-	-	-	-	-	-	alokuj	alokujmy	alokujcie	-
alternować	alternuję	alternujesz	alternuje	alternujemy	alternujecie	alternują	-	-	-	-	-	-	-	-	-	-	-	alternuj	alternujmy	alternujcie	-
alterować	alteruję	alterujesz	alteruje	alterujemy	alterujecie	alterują	-	-	-	-	-	-	-	-	-	-	-	alteruj	alterujmy	alterujcie	-
aluminiować	aluminiuję	aluminiujesz	aluminiuje	aluminiujemy	aluminiujecie	aluminiują	-	-	-	-	-	-	-	-	-	-	-	aluminiuj	aluminiujmy	aluminiujcie	-
amalgamować	amalgamuję	amalgamujesz	amalgamuje	amalgamujemy	amalgamujecie	amalgamują	-	-	-	-	-	-	-	-	-	-	-	amalgamuj	amalgamujmy	amalgamujcie	-
amarantowieć	amarantowieję	amarantowiejesz	amarantowieje	amarantowiejemy	amarantowiejecie	amarantowieją	-	-	-	-	-	-	-	amarantowiała	amarantowiało	-	amarantowiały	amarantowiej	amarantowiejmy	amarantowiejcie	-
ambarasować	ambarasuję	ambarasujesz	ambarasuje	ambarasujemy	ambarasujecie	ambarasują	-	-	-	-	-	-	-	-	-	-	-	ambarasuj	ambarasujmy	ambarasujcie	-
ambarkować	ambarkuję	ambarkujesz	ambarkuje	ambarkujemy	ambarkujecie	ambarkują	-	-	-	-	-	-	-	-	-	-	-	ambarkuj	ambarkujmy	ambarkujcie	-
ambasadorować	ambasadoruję	ambasadorujesz	ambasadoruje	ambasadorujemy	ambasadorujecie	ambasadorują	-	-	-	-	-	-	-	-	-	-	-	ambasadoruj	ambasadorujmy	ambasadorujcie	-
ambicjonować	ambicjonuję	ambicjonujesz	ambicjonuje	ambicjonujemy	ambicjonujecie	ambicjonują	-	-	-	-	-	-	-	-	-	-	-	ambicjonuj	ambicjonujmy	ambicjonujcie	-
amerykanizować	amerykanizuję	amerykanizujesz	amerykanizuje	amerykanizujemy	amerykanizujecie	amerykanizują	-	-	-	-	-	-	-	-	-	-	-	amerykanizuj	amerykanizujmy	amerykanizujcie	-
aminować	aminuję	aminujesz	aminuje	aminujemy	aminujecie	aminują	-	-	-	-	-	-	-	-	-	-	-	aminuj	aminujmy	aminujcie	-
amnestionować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	amnestionuj	amnestionujmy	amnestionujcie	-
amnestiować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	amnestiuj	amnestiujmy	amnestiujcie	-
amoniakować	amoniakuję	amoniakujesz	amoniakuje	amoniakujemy	amoniakujecie	amoniakują	-	-	-	-	-	-	-	-	-	-	-	amoniakuj	amoniakujmy	amoniakujcie	-
amortyzować	amortyzuję	amortyzujesz	amortyzuje	amortyzujemy	amortyzujecie	amortyzują	-	-	-	-	-	-	-	-	-	-	-	amortyzuj	amortyzujmy	amortyzujcie	-
amplifikować	amplifikuję	amplifikujesz	amplifikuje	amplifikujemy	amplifikujecie	amplifikują	-	-	-	-	-	-	-	-	-	-	-	amplifikuj	amplifikujmy	amplifikujcie	-
amputować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	amputuj	amputujmy	amputujcie	-
anagramować	anagramuję	anagramujesz	anagramuje	anagramujemy	anagramujecie	anagramują	-	-	-	-	-	-	-	-	-	-	-	anagramuj	anagramujmy	anagramujcie	-
analizować	analizuję	analizujesz	analizuje	analizujemy	analizujecie	analizują	-	-	-	będziemy analizowały	będziecie analizowały	będą analizowały	-	-	-	-	-	analizuj	analizujmy	analizujcie	-
analogizować	analogizuję	analogizujesz	analogizuje	analogizujemy	analogizujecie	analogizują	-	-	-	-	-	-	-	-	-	-	-	analogizuj	analogizujmy	analogizujcie	-
anarchizować	anarchizuję	anarchizujesz	anarchizuje	anarchizujemy	anarchizujecie	anarchizują	-	-	-	-	-	-	-	-	-	-	-	anarchizuj	anarchizujmy	anarchizujcie	-
anatomizować	anatomizuję	anatomizujesz	anatomizuje	anatomizujemy	anatomizujecie	anatomizują	-	-	-	-	-	-	-	-	-	-	-	anatomizuj	anatomizujmy	anatomizujcie	-
anektować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	anektuj	anektujmy	anektujcie	-
anemizować	anemizuję	anemizujesz	anemizuje	anemizujemy	anemizujecie	anemizują	-	-	-	-	-	-	-	-	-	-	-	anemizuj	anemizujmy	anemizujcie	-
angażować	angażuję	angażujesz	angażuje	angażujemy	angażujecie	angażują	-	-	-	-	-	-	-	-	-	-	-	angażuj	angażujmy	angażujcie	-
angielszczyć	angielszczę	angielszczysz	angielszczy	angielszczymy	angielszczycie	angielszczą	-	-	-	-	-	-	-	-	-	-	-	angielszcz	angielszczmy	angielszczcie	-
anglezować	anglezuję	anglezujesz	anglezuje	anglezujemy	anglezujecie	anglezują	-	-	-	-	-	-	-	-	-	-	-	anglezuj	anglezujmy	anglezujcie	-
anglizować	anglizuję	anglizujesz	anglizuje	anglizujemy	anglizujecie	anglizują	-	-	-	-	-	-	-	-	-	-	-	anglizuj	anglizujmy	anglizujcie	-
angobować	angobuję	angobujesz	angobuje	angobujemy	angobujecie	angobują	-	-	-	-	-	-	-	-	-	-	-	angobuj	angobujmy	angobujcie	-
anieleć	anieleję	anielejesz	anieleje	anielejemy	anielejecie	anieleją	-	-	-	-	-	-	-	anielała	anielało	-	anielały	anielej	anielejmy	anielejcie	-
anielić	anielę	anielisz	anieli	anielimy	anielicie	anielą	-	-	-	-	-	-	-	-	-	-	-	aniel	anielmy	anielcie	-
anihilować	anihiluję	anihilujesz	anihiluje	anihilujemy	anihilujecie	anihilują	-	-	-	-	-	-	-	-	-	-	-	anihiluj	anihilujmy	anihilujcie	-
animalizować	animalizuję	animalizujesz	animalizuje	animalizujemy	animalizujecie	animalizują	-	-	-	-	-	-	-	-	-	-	-	animalizuj	animalizujmy	animalizujcie	-
animizować	animizuję	animizujesz	animizuje	animizujemy	animizujecie	animizują	-	-	-	-	-	-	-	-	-	-	-	animizuj	animizujmy	animizujcie	-
animować	animuję	animujesz	animuje	animujemy	animujecie	animują	-	-	-	-	-	-	-	-	-	-	-	animuj	animujmy	animujcie	-
ankietować	ankietuję	ankietujesz	ankietuje	ankietujemy	ankietujecie	ankietują	-	-	-	-	-	-	-	-	-	-	-	ankietuj	ankietujmy	ankietujcie	-
ankietyzować	ankietyzuję	ankietyzujesz	ankietyzuje	ankietyzujemy	ankietyzujecie	ankietyzują	-	-	-	-	-	-	-	-	-	-	-	ankietyzuj	ankietyzujmy	ankietyzujcie	-
ankrować	ankruję	ankrujesz	ankruje	ankrujemy	ankrujecie	ankrują	-	-	-	-	-	-	-	-	-	-	-	ankruj	ankrujmy	ankrujcie	-
anodować	anoduję	anodujesz	anoduje	anodujemy	anodujecie	anodują	-	-	-	-	-	-	-	-	-	-	-	anoduj	anodujmy	anodujcie	-
anodyzować	anodyzuję	anodyzujesz	anodyzuje	anodyzujemy	anodyzujecie	anodyzują	-	-	-	-	-	-	-	-	-	-	-	anodyzuj	anodyzujmy	anodyzujcie	-
anonimizować	anonimizuję	anonimizujesz	anonimizuje	anonimizujemy	anonimizujecie	anonimizują	-	-	-	-	-	-	-	-	-	-	-	anonimizuj	anonimizujmy	anonimizujcie	-
anonsować	anonsuję	anonsujesz	anonsuje	anonsujemy	anonsujecie	anonsują	-	-	-	-	-	-	-	-	-	-	-	anonsuj	anonsujmy	anonsujcie	-
antagonizować	antagonizuję	antagonizujesz	antagonizuje	antagonizujemy	antagonizujecie	antagonizują	-	-	-	-	-	-	-	-	-	-	-	antagonizuj	antagonizujmy	antagonizujcie	-
antedatować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	antedatuj	antedatujmy	antedatujcie	-
antropomorfizować	antropomorfizuję	antropomorfizujesz	antropomorfizuje	antropomorfizujemy	antropomorfizujecie	antropomorfizują	-	-	-	-	-	-	-	-	-	-	-	antropomorfizuj	antropomorfizujmy	antropomorfizujcie	-
antycypować	antycypuję	antycypujesz	antycypuje	antycypujemy	antycypujecie	antycypują	-	-	-	-	-	-	-	-	-	-	-	antycypuj	antycypujmy	antycypujcie	-
antydatować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	antydatuj	antydatujmy	antydatujcie	-
antykizować	antykizuję	antykizujesz	antykizuje	antykizujemy	antykizujecie	antykizują	-	-	-	-	-	-	-	-	-	-	-	antykizuj	antykizujmy	antykizujcie	-
antyszambrować	antyszambruję	antyszambrujesz	antyszambruje	antyszambrujemy	antyszambrujecie	antyszambrują	-	-	-	-	-	-	-	-	-	-	-	antyszambruj	antyszambrujmy	antyszambrujcie	-
anulować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	anuluj	anulujmy	anulujcie	-
apatycznieć	apatycznieję	apatyczniejesz	apatycznieje	apatyczniejemy	apatyczniejecie	apatycznieją	-	-	-	-	-	-	-	apatyczniała	apatyczniało	-	apatyczniały	apatyczniej	apatyczniejmy	apatyczniejcie	-
apelować	apeluję	apelujesz	apeluje	apelujemy	apelujecie	apelują	-	-	-	-	-	-	-	-	-	-	-	apeluj	apelujmy	apelujcie	-
apercypować	apercypuję	apercypujesz	apercypuje	apercypujemy	apercypujecie	apercypują	-	-	-	-	-	-	-	-	-	-	-	apercypuj	apercypujmy	apercypujcie	-
aplaudować	aplauduję	aplaudujesz	aplauduje	aplaudujemy	aplaudujecie	aplaudują	-	-	-	-	-	-	-	-	-	-	-	aplauduj	aplaudujmy	aplaudujcie	-
aplauzować	aplauzuję	aplauzujesz	aplauzuje	aplauzujemy	aplauzujecie	aplauzują	-	-	-	-	-	-	-	-	-	-	-	aplauzuj	aplauzujmy	aplauzujcie	-
aplegierować	aplegieruję	aplegierujesz	aplegieruje	aplegierujemy	aplegierujecie	aplegierują	-	-	-	-	-	-	-	-	-	-	-	aplegieruj	aplegierujmy	aplegierujcie	-
aplegrować	aplegruję	aplegrujesz	aplegruje	aplegrujemy	aplegrujecie	aplegrują	-	-	-	-	-	-	-	-	-	-	-	aplegruj	aplegrujmy	aplegrujcie	-
aplikować	aplikuję	aplikujesz	aplikuje	aplikujemy	aplikujecie	aplikują	-	-	-	-	-	-	-	-	-	-	-	aplikuj	aplikujmy	aplikujcie	-
apologizować	apologizuję	apologizujesz	apologizuje	apologizujemy	apologizujecie	apologizują	-	-	-	-	-	-	-	-	-	-	-	apologizuj	apologizujmy	apologizujcie	-
aportować	aportuję	aportujesz	aportuje	aportujemy	aportujecie	aportują	-	-	-	-	-	-	-	-	-	-	-	aportuj	aportujmy	aportujcie	-
apostołować	apostołuję	apostołujesz	apostołuje	apostołujemy	apostołujecie	apostołują	-	-	-	-	-	-	-	-	-	-	-	apostołuj	apostołujmy	apostołujcie	-
apostrofować	apostrofuję	apostrofujesz	apostrofuje	apostrofujemy	apostrofujecie	apostrofują	-	-	-	-	-	-	-	-	-	-	-	apostrofuj	apostrofujmy	apostrofujcie	-
apoteozować	apoteozuję	apoteozujesz	apoteozuje	apoteozujemy	apoteozujecie	apoteozują	-	-	-	-	-	-	-	-	-	-	-	apoteozuj	apoteozujmy	apoteozujcie	-
aprecjonować	aprecjonuję	aprecjonujesz	aprecjonuje	aprecjonujemy	aprecjonujecie	aprecjonują	-	-	-	-	-	-	-	-	-	-	-	aprecjonuj	aprecjonujmy	aprecjonujcie	-
apretować	apretuję	apretujesz	apretuje	apretujemy	apretujecie	apretują	-	-	-	-	-	-	-	-	-	-	-	apretuj	apretujmy	apretujcie	-
apreturować	apreturuję	apreturujesz	apreturuje	apreturujemy	apreturujecie	apreturują	-	-	-	-	-	-	-	-	-	-	-	apreturuj	apreturujmy	apreturujcie	-
aprobować	aprobuję	aprobujesz	aprobuje	aprobujemy	aprobujecie	aprobują	-	-	-	-	-	-	-	-	-	-	-	aprobuj	aprobujmy	aprobujcie	-
aproksymować	aproksymuję	aproksymujesz	aproksymuje	aproksymujemy	aproksymujecie	aproksymują	-	-	-	-	-	-	-	-	-	-	-	aproksymuj	aproksymujmy	aproksymujcie	-
aprowidować	aprowiduję	aprowidujesz	aprowiduje	aprowidujemy	aprowidujecie	aprowidują	-	-	-	-	-	-	-	-	-	-	-	aprowiduj	aprowidujmy	aprowidujcie	-
aprowizować	aprowizuję	aprowizujesz	aprowizuje	aprowizujemy	aprowizujecie	aprowizują	-	-	-	-	-	-	-	-	-	-	-	aprowizuj	aprowizujmy	aprowizujcie	-
arabizować	arabizuję	arabizujesz	arabizuje	arabizujemy	arabizujecie	arabizują	-	-	-	-	-	-	-	-	-	-	-	arabizuj	arabizujmy	arabizujcie	-
aranżować	aranżuję	aranżujesz	aranżuje	aranżujemy	aranżujecie	aranżują	-	-	-	-	-	-	-	-	-	-	-	aranżuj	aranżujmy	aranżujcie	-
arbitrażować	arbitrażuję	arbitrażujesz	arbitrażuje	arbitrażujemy	arbitrażujecie	arbitrażują	-	-	-	-	-	-	-	-	-	-	-	arbitrażuj	arbitrażujmy	arbitrażujcie	-
archaizować	archaizuję	archaizujesz	archaizuje	archaizujemy	archaizujecie	archaizują	-	-	-	-	-	-	-	-	-	-	-	archaizuj	archaizujmy	archaizujcie	-
archiwizować	archiwizuję	archiwizujesz	archiwizuje	archiwizujemy	archiwizujecie	archiwizują	-	-	-	-	-	-	-	-	-	-	-	archiwizuj	archiwizujmy	archiwizujcie	-
arendować	arenduję	arendujesz	arenduje	arendujemy	arendujecie	arendują	-	-	-	-	-	-	-	-	-	-	-	arenduj	arendujmy	arendujcie	-
aresztować	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aresztuj	aresztujmy	aresztujcie	-
arfować	arfuję	arfujesz	arfuje	arfujemy	arfujecie	arfują	-	-	-	-	-	-	-	-	-	-	-	arfuj	arfujmy	arfujcie	-
argumentować	argumentuję	argumentujesz	argumentuje	argumentujemy	argumentujecie	argumentują	-	-	-	-	-	-	-	-	-	-	-	argumentuj	argumentujmy	argumentujcie	-
aromatyzować	aromatyzuję	aromatyzujesz	aromatyzuje	aromatyzujemy	aromatyzujecie	aromatyzują	-	-	-	-	-	-	-	-	-	-	-	aromatyzuj	aromatyzujmy	aromatyzujcie	-
