# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
aanmekaarskryf	-	-	aanmekaargeskryf	-	-
aanmekaarskrywe	-	-	aanmekaargeskrywe	-	-
aanmekaarslaan	-	-	aanmekaargeslaan	-	-
aanmekaarsluit	-	-	aanmekaargesluit	-	-
aanmekaarsmee	-	-	aanmekaargesmee	-	-
aanmekaarsmelt	-	-	aanmekaargesmelt	-	-
aanmekaarspring	-	-	aanmekaargespring	-	-
aanmekaarsweis	-	-	aanmekaargesweis	-	-
aanmekaartimmer	-	-	aanmekaargetimmer	-	-
aanmekaarvleg	-	-	aanmekaargevleg	-	-
aanmekaarvoeg	-	-	aanmekaargevoeg	-	-
aanmekaarvries	-	-	aanmekaargevries	-	-
aanmekaarwerk	-	-	aanmekaargewerk	-	-
aanmeld	-	-	aangemeld	-	-
aanmeng	-	-	aangemeng	-	-
aanmerk	-	-	aangemerk	-	-
aanmoedig	-	-	aangemoedig	-	-
aanmonster	-	-	aangemonster	-	-
aanmunt	-	-	aangemunt	-	-
aannaai	-	-	aangenaai	-	-
aanneem	-	-	aangeneem	-	-
aanpak	-	-	aangepak	-	-
aanpap	-	-	aangepap	-	-
aanpas	-	-	aangepas	-	-
aanpeil	-	-	aangepeil	-	-
aanpiekel	-	-	aangepiekel	-	-
aanplak	-	-	aangeplak	-	-
aanplant	-	-	aangeplant	-	-
aanpleister	-	-	aangepleister	-	-
aanpoer	-	-	aangepoer	-	-
aanpoer-poer	-	-	aangepoer-poer	-	-
aanpor	-	-	aangepor	-	-
aanpraat	-	-	aangepraat	-	-
aanprys	-	-	aangeprys	-	-
aanraai	-	-	aangeraai	-	-
aanraak	-	-	aangeraak	-	-
aanrand	-	-	aangerand	-	-
aanreik	-	-	aangereik	-	-
aanreken	-	-	aangereken	-	-
aanrig	-	-	aangerig	-	-
aanroei	-	-	aangeroei	-	-
aanroep	-	-	aangeroep	-	-
aanroer	-	-	aangeroer	-	-
aanrol	-	-	aangerol	-	-
aanruk	-	-	aangeruk	-	-
aanry	-	-	aangery	-	-
aanryg	-	-	aangeryg	-	-
aanseil	-	-	aangeseil	-	-
aansien	-	-	aangesien	-	-
aansit	-	-	aangesit	-	-
aanskaf	-	-	aangeskaf	-	-
aanskakel	-	-	aangeskakel	-	-
aanskiet	-	-	aangeskiet	-	-
aanskou	-	-	aanskou	-	-
aanskroef	-	-	aangeskroef	-	-
aanskroewe	-	-	aangeskroewe	-	-
aanskryf	-	-	aangeskryf	-	-
aanskrywe	-	-	aangeskrywe	-	-
aanskuif	-	-	aangeskuif	-	-
aanskuiwe	-	-	aangeskuiwe	-	-
aanslaan	-	-	aangeslaan	-	-
aansleep	-	-	aangesleep	-	-
aanslenter	-	-	aangeslenter	-	-
aanslib	-	-	aangeslib	-	-
aanslik	-	-	aangeslik	-	-
aanslinger	-	-	aangeslinger	-	-
aanslof	-	-	aangeslof	-	-
aansluip	-	-	aangesluip	-	-
aansluit	-	-	aangesluit	-	-
aansmeer	-	-	aangesmeer	-	-
aansnel	-	-	aangesnel	-	-
aansny	-	-	aangesny	-	-
aansoek	-	-	aangesoek	-	-
aanspeel	-	-	aangespeel	-	-
aanspeld	-	-	aangespeld	-	-
aanspelde	-	-	aangespelde	-	-
aanspoel	-	-	aangespoel	-	-
aanspoor	-	-	aangespoor	-	-
aanspreek	-	-	aangespreek	-	-
aanstaan	-	-	aangestaan	-	-
aanstaar	-	-	aangestaar	-	-
aanstap	-	-	aangestap	-	-
aansteek	-	-	aangesteek	aanstekende	-
aanstel	-	-	aangestel	-	-
aansterk	-	-	aangesterk	-	-
aanstig	-	-	aangestig	-	-
aanstip	-	-	aangestip	-	-
aanstook	-	-	aangestook	-	-
aanstoom	-	-	aangestoom	-	-
aanstoot	-	-	aangestoot	-	-
aanstorm	-	-	aangestorm	-	-
aanstreep	-	-	aangestreep	-	-
aanstrik	-	-	aangestrik	-	-
aanstroom	-	-	aangestroom	-	-
aanstruikel	-	-	aangestruikel	-	-
aanstryk	-	-	aangestryk	-	-
aanstuur	-	-	aangestuur	-	-
aansuiwer	-	-	aangesuiwer	-	-
aansukkel	-	-	aangesukkel	-	-
aansuur	-	-	aangesuur	-	-
aansweef	-	-	aangesweef	-	-
aanswel	-	-	aangeswel	-	-
aanswem	-	-	aangeswem	-	-
aanswerm	-	-	aangeswerm	-	-
aanswewe	-	-	aangeswewe	-	-
aansê	-	-	aangesê	-	-
aantas	-	-	aangetas	-	-
aanteel	-	-	aangeteel	-	-
aanteken	-	-	aangeteken	-	-
aantik	-	-	aangetik	-	-
aantoon	-	-	aangetoon	-	-
aantou	-	-	aangetou	-	-
aantree	-	-	aangetree	-	-
aantref	-	-	aangetref	-	-
aantrek	-	-	aangetrek	-	-
aantrippel	-	-	aangetrippel	-	-
aantrou	-	-	aangetrou	-	-
aantyg	aangetyg	-	-	-	-
aanvaar	-	-	aangevaar	aanvaardende	-
aanval	-	-	aangeval	-	-
aanvang	-	-	aangevang	-	-
aanvat	-	-	aangevat	-	-
aanveg	-	-	aangeveg	aanvegtende	-
aanvlie	-	-	aangevlie	-	-
aanvlieg	-	-	aangevlieg	-	-
aanvloei	-	-	aangevloei	-	-
aanvly	-	-	aangevly	-	-
aanvoel	-	-	aangevoel	-	-
aanvoer	-	-	aangevoer	-	-
aanvoor	-	-	aangevoor	-	-
aanvra	-	-	aangevra	-	-
aanvraag	-	-	aangevraag	aanvraende	-
aanvreet	-	-	aangevreet	-	-
aanvryf	-	-	aangevryf	-	-
aanvrywe	-	-	aangevrywe	-	-
aanvul	-	-	aangevul	-	-
aanvuur	-	-	aangevuur	-	-
aanwaai	-	-	aangewaai	-	-
aanwaggel	-	-	aangewaggel	-	-
aanwakker	-	-	aangewakker	-	-
aanwandel	-	-	aangewandel	-	-
aanwas	-	-	aangewas	-	-
aanwen	-	-	aangewen	-	-
aanwend	-	-	aangewend	-	-
aanwerf	-	-	aangewerf	-	-
aanwerk	-	-	aangewerk	-	-
aanwerwe	-	-	aangewerwe	-	-
aanwikkel	-	-	aangewikkel	-	-
aanwip	-	-	aangewip	-	-
aanwys	-	-	aangewys	-	-
aarlaat	-	-	aargelaat	-	-
achternasit	agternasit	-	agternagesit	-	-
afbaken	-	-	afgebaken	-	-
afbars	-	-	afgebars	-	-
afbedel	-	-	afgebedel	-	-
afbeeld	-	-	afgebeeld	-	-
afbeitel	-	-	afgebeitel	-	-
afbel	-	-	afgebel	-	-
afbestel	-	-	afbestel	-	-
afbetaal	-	-	afbetaal	-	-
afbeul	-	-	afgebeul	-	-
afbeweeg	-	-	afbeweeg	-	-
afbid	-	-	afgebid	-	-
afbind	-	-	afgebind	-	-
afblaar	-	-	afgeblaar	-	-
afblaas	-	-	afgeblaas	-	-
afbly	-	-	afgebly	-	-
afboek	-	-	afgeboek	-	-
afboender	-	-	afgeboender	-	-
afboener	-	-	afgeboener	-	-
afborsel	-	-	afgeborsel	-	-
afbou	-	-	afgebou	-	-
afbrand	-	-	afgebrand	-	-
afbreek	-	-	afgebreek	-	-
afbrei	-	-	afgebrei	-	-
afbring	-	-	afgebring	-	-
