# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
afwys	-	-	afgewys	-	-
ag	-	-	-	agtende	-
ageer	-	-	ageer	-	-
agterbly	-	-	agtergebly	-	-
agterhaal	-	-	agterhaal	-	-
agterhou	-	-	agtergehou	-	-
agterkom	-	-	agtergekom	-	-
agterlaat	-	-	agtergelaat	-	-
agternadoen	-	-	agternagedoen	-	-
agternadraf	-	-	agternagedraf	-	-
agternadrawwe	-	-	agternagedrawwe	-	-
agternagooi	-	-	agternagegooi	-	-
agternakom	-	-	agternagekom	-	-
agternakruip	-	-	agternagekruip	-	-
agternakyk	-	-	agternagekyk	-	-
agternaloop	-	-	agternageloop	-	-
agternapraat	-	-	agternagepraat	-	-
agternasnel	-	-	agternagesnel	-	-
agternaspring	-	-	agternagespring	-	-
agternastuur	-	-	agternagestuur	-	-
agternasê	-	-	agternagesê	-	-
agteroorbuie	-	-	agteroorgebuie	-	-
agteroorbuig	-	-	agteroorgebuig	-	-
agteroorgooi	-	-	agteroorgegooi	-	-
agteroorkantel	-	-	agteroorgekantel	-	-
agteroorleun	-	-	agteroorgeleun	-	-
agteroorlê	-	-	agteroorgelê	-	-
agteroorsit	-	-	agteroorgesit	-	-
agteroorslaan	-	-	agteroorgeslaan	-	-
agteroorsteier	-	-	agteroorgesteier	-	-
agteroorstort	-	-	agteroorgestort	-	-
agteroorval	-	-	agteroorgeval	-	-
agteropskop	-	-	agteropgeskop	-	-
agterraak	-	-	agtergeraak	-	-
agterstaan	-	-	agtergestaan	-	-
agterstel	-	-	agtergestel	-	-
agteruitbeweeg	-	-	agteruitbeweeg	-	-
agteruitboer	-	-	agteruitgeboer	-	-
agteruitdeins	-	-	agteruitgedeins	-	-
agteruitgaan	-	-	agteruitgegaan	-	-
agteruitgooi	agteruitgegooi	-	-	-	-
agteruitkruip	-	-	agteruitgekruip	-	-
agteruitry	-	-	agteruitgery	-	-
agteruitsit	-	-	agteruitgesit	-	-
agteruitspring	-	-	agteruitgespring	-	-
agteruitstaan	-	-	agteruitgestaan	-	-
agteruitsteier	-	-	agteruitgesteier	-	-
agteruitstel	-	-	agteruitgestel	-	-
agteruittrap	-	-	agteruitgetrap	-	-
agteruitwyk	-	-	agteruitgewyk	-	-
agtervolg	-	-	agtervolg	-	-
arriveer	-	-	-	arriverende	-
arseer	-	-	arseer	-	-
asemhaal	-	-	asemgehaal	asemhalende	-
asemskep	-	-	asemgeskep	-	-
baar	-	-	-	barende	-
baasraak	-	-	baasgeraak	-	-
baasspeel	-	-	baasgespeel	-	-
babasit	-	-	babagesit	-	-
bak	-	-	-	bakkende	-
baklei	-	-	baklei	-	-
bakstaan	-	-	bakgestaan	-	-
baktrek	-	-	bakgetrek	-	-
baljaar	-	-	baljaar	-	-
bandvat	-	-	bandgevat	-	-
bangmaak	-	-	banggemaak	-	-
bangpraat	-	-	banggepraat	-	-
baseer	-	-	-	baserende	-
beaam	-	-	beaam	-	-
beangs	-	-	beangs	-	-
beangstig	-	-	beangstig	-	-
beantwoord	-	-	beantwoord	-	-
bearbei	-	-	bearbei	-	-
beargumenteer	-	-	beargumenteer	-	-
bebliksem	-	-	bebliksem	-	-
beboet	-	-	beboet	-	-
bebogger	-	-	bebogger	-	-
bebos	-	-	bebos	-	-
bebou	-	-	bebou	-	-
bebrou	-	-	bebrou	-	-
bedaar	-	-	bedaar	-	-
bedank	-	-	bedank	-	-
bedeel	-	-	bedeel	-	-
bedek	-	-	bedek	-	-
bedelf	-	-	bedelf	-	-
bedelwe	-	-	bedelwe	-	-
bederf	-	-	bederf	-	-
bederwe	-	-	bederwe	-	-
bedien	-	-	bedien	-	-
bedil	-	-	bedil	-	-
beding	-	-	beding	-	-
bedink	-	-	bedink	-	-
bedissel	-	-	bedissel	-	-
bednatmaak	-	-	bednatgemaak	-	-
bedoel	-	-	bedoel	-	-
bedonder	-	-	bedonder	-	-
bedonner	-	-	bedonner	-	-
bedoos	-	-	bedoos	-	-
bedot	-	-	bedot	-	-
bedou	-	-	bedou	-	-
bedra	-	-	bedra	-	-
bedraad	-	-	bedraad	-	-
bedraag	-	-	bedraag	-	-
bedrae	-	-	bedrae	-	-
bedreig	-	-	bedreig	-	-
bedrieg	-	-	bedrieg	-	-
bedrieë	-	-	bedrieë	-	-
bedrink	-	-	bedrink	-	-
bedroef	-	-	bedroef	-	-
bedroewe	-	-	bedroewe	-	-
bedruip	-	-	bedruip	-	-
bedruk	-	-	bedruk	-	-
bedrup	-	-	bedrup	-	-
bedryf	-	-	bedryf	bedrywende	-
bedrywe	-	-	bedrywe	-	-
bedui	-	-	bedui	-	-
beduie	-	-	beduie	-	-
beduimel	-	-	beduimel	-	-
beduiwel	-	-	beduiwel	-	-
beduwel	-	-	beduwel	-	-
bedwelm	-	-	bedwelm	-	-
bedwing	-	-	bedwing	-	-
bedêm	-	-	bedêm	-	-
beef	-	-	-	bewende	-
beetgryp	-	-	beetgegryp	-	-
beethê	-	-	beetgehad	-	-
beetkry	-	-	beetgekry	-	-
beetneem	-	-	beetgeneem	-	-
beetpak	-	-	beetgepak	-	-
beetvat	-	-	beetgevat	-	-
befloers	-	-	befloers	-	-
befoeter	-	-	befoeter	-	-
befomfaai	-	-	befomfaai	-	-
befonds	-	-	befonds	-	-
befonkfaai	-	-	befonkfaai	-	-
begaan	-	-	begaan	-	-
begeef	-	-	begeef	-	-
begeer	-	-	begeer	-	-
begeester	-	-	begeester	-	-
begelei	-	-	begelei	-	-
begenadig	-	-	begenadig	-	-
begewe	-	-	begewe	-	-
begiet	-	-	begiet	-	-
begiftig	-	-	begiftig	-	-
begin	-	-	begin	-	-
begin-begin	-	-	begin-begin	-	-
beginne	-	-	beginne	-	-
begint	-	-	begint	-	-
begluur	-	-	begluur	-	-
begogel	-	-	begogel	-	-
begoël	-	-	begoël	-	-
begraaf	-	-	begraaf	-	-
begras	-	-	begras	-	-
begrawe	-	-	begrawe	begrawende	-
begrens	-	-	begrens	-	-
begroei	-	-	begroei	-	-
begroet	-	-	begroet	-	-
begroot	-	-	begroot	-	-
begruis	-	-	begruis	-	-
begryp	-	-	begryp	-	-
behaag	-	-	behaag	-	-
behaal	-	-	behaal	-	-
behae	-	-	behae	-	-
behandel	-	-	behandel	-	-
behang	-	-	behang	-	-
behartig	-	-	behartig	-	-
beheer	-	-	beheer	-	-
beheers	-	-	beheers	-	-
beheks	-	-	beheks	-	-
behelp	-	-	behelp	-	-
behels	-	-	behels	-	-
behoed	-	-	behoed	-	-
behoede	-	-	behoede	-	-
behoef	-	-	behoef	-	-
behoewe	-	-	behoewe	-	-
behoor	-	-	behoor	-	-
behoort	-	-	behoort	-	-
behou	-	-	behou	-	-
behouer	-	-	behouer	-	-
behuis	-	-	behuis	-	-
bejammer	-	-	bejammer	-	-
bejeën	-	-	bejeën	-	-
bekamp	-	-	bekamp	-	-
bekap	-	-	bekap	-	-
bekeer	-	-	bekeer	-	-
beken	-	-	beken	-	-
bekendmaak	-	-	bekendgemaak	-	-
bekendstel	-	-	bekendgestel	-	-
bekis	-	-	bekis	-	-
bekla	-	-	bekla	-	-
beklaag	-	-	beklaag	-	-
beklad	-	-	beklad	-	-
beklae	-	-	beklae	-	-
beklee	-	-	beklee	-	-
bekleed	-	-	bekleed	-	-
beklem	-	-	beklem	-	-
beklemtoon	-	-	beklemtoon	-	-
beklim	-	-	beklim	-	-
beklink	-	-	beklink	-	-
beklop	-	-	beklop	-	-
beklou	-	-	beklou	-	-
beklouter	-	-	beklouter	-	-
beknel	-	-	beknel	-	-
beknor	-	-	beknor	-	-
bekom	-	-	bekom	-	-
bekommer	-	-	bekommer	-	-
bekonkel	-	-	bekonkel	-	-
bekook	-	-	bekook	-	-
bekoop	-	-	bekoop	-	-
bekoor	-	-	bekoor	-	-
bekors	-	-	bekors	-	-
bekostig	-	-	bekostig	-	-
bekrabbel	-	-	bekrabbel	-	-
bekragtig	-	-	bekragtig	-	-
bekrans	-	-	bekrans	-	-
bekrap	-	-	bekrap	-	-
bekras	-	-	bekras	-	-
bekreun	-	-	bekreun	-	-
bekrimp	-	-	bekrimp	-	-
bekroon	-	-	bekroon	bekronende	-
bekruip	-	-	bekruip	-	-
bekwaam	-	-	bekwaam	-	-
bekyk	-	-	bekyk	-	-
belaag	-	-	belaag	-	-
belaai	-	-	belaai	-	-
belae	-	-	belae	-	-
beland	-	-	beland	-	-
belangstel	-	-	belanggestel	-	-
belas	-	-	belas	-	-
belaster	-	-	belaster	-	-
beledig	-	-	beledig	-	-
beleef	-	-	beleef	-	-
beleg	-	-	beleg	-	-
belemmer	-	-	belemmer	-	-
belet	-	-	belet	-	-
belewe	-	-	belewe	-	-
beleër	-	-	beleër	-	-
belieg	-	-	belieg	-	-
beliewe	-	-	beliewe	-	-
belig	-	-	belig	-	-
beliggaam	-	-	beliggaam	-	-
beloer	-	-	beloer	-	-
beloof	-	-	beloof	-	-
beloon	-	-	beloon	-	-
beloop	-	-	beloop	-	-
belowe	-	-	belowe	belowende	-
beluister	-	-	beluister	-	-
bely	-	-	bely	-	-
belyn	-	-	belyn	-	-
belê	-	-	belê	-	-
bemaak	-	-	bemaak	-	-
bemagtig	-	-	bemagtig	-	-
beman	-	-	beman	-	-
bemantel	-	-	bemantel	-	-
bemark	-	-	bemark	-	-
bemeester	-	-	bemeester	-	-
bemerk	-	-	bemerk	-	-
bemes	-	-	bemes	-	-
bemiddel	-	-	bemiddel	-	-
bemin	-	-	bemin	-	-
bemis	-	-	bemis	-	-
bemoeder	-	-	bemoeder	-	-
bemoedig	-	-	bemoedig	-	-
bemoei	-	-	bemoei	-	-
bemoeilik	-	-	bemoeilik	-	-
bemoer	-	-	bemoer	-	-
bemors	-	-	bemors	-	-
benadeel	-	-	benadeel	-	-
benader	-	-	benader	-	-
benadruk	-	-	benadruk	-	-
benat	-	-	benat	-	-
beneem	-	-	beneem	-	-
beneuk	-	-	beneuk	-	-
benewel	-	-	benewel	-	-
benieu	-	-	benieu	-	-
benodig	-	-	benodig	-	-
benoem	-	-	benoem	-	-
benou	-	-	benou	-	-
benut	-	-	benut	-	-
benuttig	-	-	benuttig	-	-
benuwe	-	-	benuwe	-	-
beny	-	-	beny	-	-
beoefen	-	-	beoefen	-	-
beoog	-	-	beoog	-	-
beoordeel	-	-	beoordeel	-	-
beopdrag	-	-	beopdrag	-	-
bepaal	-	-	bepaal	-	-
bepak	-	-	bepak	-	-
bepantser	-	-	bepantser	-	-
bepeins	-	-	bepeins	-	-
beperk	-	-	beperk	-	-
bepis	-	-	bepis	-	-
beplak	-	-	beplak	-	-
beplan	-	-	beplan	-	-
beplant	-	-	beplant	-	-
bepleister	-	-	bepleister	-	-
bepleit	-	-	bepleit	-	-
beploeg	-	-	beploeg	-	-
beploeë	-	-	beploeë	-	-
bepoeier	-	-	bepoeier	-	-
bepraat	-	-	bepraat	-	-
beproef	-	-	beproef	-	-
beproewe	-	-	beproewe	-	-
bepunt	-	-	bepunt	-	-
bepêrel	-	-	bepêrel	-	-
beraadslaag	-	-	beraadslaag	-	-
beraam	-	-	beraam	-	-
berank	-	-	berank	-	-
beredder	-	-	beredder	-	-
beredeneer	-	-	beredeneer	-	-
bereg	-	-	bereg	-	-
berei	-	-	berei	-	-
bereik	-	-	bereik	-	-
bereis	-	-	bereis	-	-
bereken	-	-	bereken	-	-
bergklim	-	-	berggeklim	-	-
berig	-	-	berig	berigtende	-
bering	-	-	bering	-	-
berispe	-	-	berispe	-	-
beroem	-	-	beroem	-	-
beroep	-	-	beroep	-	-
beroer	-	-	beroer	-	-
berokken	-	-	berokken	-	-
beroof	-	-	beroof	berowende	-
berook	-	-	berook	-	-
berou	-	-	berou	-	-
berowe	-	-	berowe	-	-
beruik	-	-	beruik	-	-
berus	-	-	berus	-	-
berym	-	-	berym	-	-
besaad	-	-	besaad	-	-
beseer	-	-	beseer	beserende	-
besef	-	-	besef	beseffende	-
beseil	-	-	beseil	-	-
beset	-	-	beset	besettende	-
beseël	-	-	beseël	-	-
besiel	-	-	besiel	-	-
besien	-	-	besien	-	-
besighou	-	-	besiggehou	-	-
besigtig	-	-	besigtig	-	-
besin	-	-	besin	-	-
besing	-	-	besing	-	-
besink	-	-	besink	-	-
besit	-	-	besit	-	-
beskaaf	-	-	beskaaf	-	-
beskaam	-	-	beskaam	-	-
beskadig	-	-	beskadig	-	-
beskawe	-	-	beskawe	-	-
beskender	-	-	beskender	-	-
beskerm	-	-	beskerm	-	-
beskiet	-	-	beskiet	-	-
beskik	-	-	beskik	-	-
beskikbaarstel	-	-	beskikbaargestel	-	-
beskilder	-	-	beskilder	-	-
beskimp	-	-	beskimp	-	-
beskinder	-	-	beskinder	-	-
beskou	-	-	beskou	-	-
beskryf	-	-	beskryf	beskrywende	-
beskrywe	-	-	beskrywe	-	-
beskuldig	-	-	beskuldig	-	-
beskut	-	-	beskut	-	-
beskyn	-	-	beskyn	-	-
beskyt	-	-	beskyt	-	-
beslaan	-	-	beslaan	-	-
besleg	-	-	besleg	-	-
beslis	-	-	beslis	-	-
besluit	-	-	besluit	-	-
besmeer	-	-	besmeer	-	-
besmet	-	-	besmet	-	-
besnaar	-	-	besnaar	-	-
besnoei	-	-	besnoei	-	-
besnuffel	-	-	besnuffel	-	-
besny	-	-	besny	-	-
besoedel	-	-	besoedel	-	-
besoek	-	-	besoek	-	-
besoldig	-	-	besoldig	-	-
besondig	-	-	besondig	-	-
besorg	-	-	besorg	-	-
besorge	-	-	besorge	-	-
bespaar	-	-	bespaar	-	-
bespan	-	-	bespan	-	-
bespat	-	-	bespat	-	-
bespeel	-	-	bespeel	-	-
bespeur	-	-	bespeur	-	-
bespied	-	-	bespied	bespied	-
bespiede	-	-	bespiede	-	-
bespiegel	-	-	bespiegel	-	-
bespieël	-	-	bespieël	-	-
bespikkel	-	-	bespikkel	-	-
bespoedig	-	-	bespoedig	-	-
bespoel	-	-	bespoel	-	-
bespot	-	-	bespot	-	-
bespreek	-	-	bespreek	-	-
bespring	-	-	bespring	-	-
besprinkel	-	-	besprinkel	-	-
besproei	-	-	besproei	-	-
bespuit	-	-	bespuit	-	-
bespyker	-	-	bespyker	-	-
bessemer	-	-	bessemer	-	-
bessemerstaal	-	-	bessemerstaal	-	-
bestaan	-	-	bestaan	bestaande	-
bestee	-	-	bestee	-	-
besteel	-	-	besteel	-	-
bestel	-	-	bestel	-	-
bestem	-	-	bestem	-	-
bestempel	-	-	bestempel	-	-
bestendig	-	-	bestendig	-	-
besterf	-	-	besterf	-	-
besterwe	-	-	besterwe	-	-
besteë	-	-	besteë	-	-
bestier	-	-	bestier	-	-
bestook	-	-	bestook	-	-
bestorm	-	-	bestorm	-	-
bestraal	-	-	bestraal	-	-
bestraat	-	-	bestraat	-	-
bestraf	-	-	bestraf	-	-
bestrawwe	-	-	bestrawwe	-	-
bestrooi	-	-	bestrooi	-	-
bestry	-	-	bestry	-	-
bestryk	-	-	bestryk	-	-
bestudeer	-	-	bestudeer	-	-
bestuif	-	-	bestuif	-	-
bestuiwe	-	-	bestuiwe	-	-
bestuur	-	-	bestuur	-	-
bestyg	-	-	bestyg	-	-
besuinig	-	-	besuinig	-	-
besuip	-	-	besuip	-	-
besuur	-	-	besuur	-	-
beswaar	-	-	beswaar	-	-
beswadder	-	-	beswadder	-	-
besweer	-	-	besweer	-	-
beswyk	-	-	beswyk	-	-
beswym	-	-	beswym	-	-
besôre	-	-	besôre	-	-
betaal	-	-	betaal	betalende	-
betaam	-	-	betaam	-	-
betakel	-	-	betakel	-	-
betas	-	-	betas	-	-
beteken	-	-	beteken	-	-
betekent	-	-	betekent	-	-
beteuel	-	-	beteuel	-	-
beteël	-	-	beteël	-	-
betig	-	-	betig	-	-
betitel	-	-	betitel	-	-
betittel	-	-	betittel	-	-
betoog	-	-	betoog	-	-
betoon	-	-	betoon	-	-
betoor	-	-	betoor	-	-
betower	-	-	betower	-	-
betrag	-	-	betrag	-	-
betrap	-	-	betrap	-	-
betree	-	-	betree	-	-
betref	-	-	betref	-	-
betrek	-	-	betrek	-	-
betreur	-	-	betreur	-	-
betrou	-	-	betrou	-	-
betuie	-	-	betuie	-	-
betuig	-	-	betuig	-	-
betwis	-	-	betwis	-	-
betwyfel	-	-	betwyfel	-	-
bevaar	-	-	bevaar	-	-
beval	-	-	beval	-	-
bevark	-	-	bevark	-	-
bevat	-	-	bevat	-	-
beveel	-	-	beveel	-	-
beveg	-	-	beveg	bevegtende	-
beveilig	-	-	beveilig	-	-
bevestig	-	-	bevestig	-	-
bevind	-	-	bevind	-	-
bevlek	-	-	bevlek	-	-
bevlie	-	-	bevlie	-	-
bevlieg	-	-	bevlieg	-	-
bevlieë	-	-	bevlieë	-	-
bevloer	-	-	bevloer	-	-
bevlytig	-	-	bevlytig	-	-
bevoel	-	-	bevoel	-	-
bevog	-	-	bevog	-	-
bevogtig	-	-	bevogtig	-	-
bevolk	-	-	bevolk	-	-
bevoog	-	-	bevoog	-	-
bevoogde	-	-	bevoogdes	-	-
bevoordeel	-	-	bevoordeel	-	-
bevoorraad	-	-	bevoorraad	-	-
bevoorreg	-	-	bevoorreg	-	-
bevorder	-	-	bevorder	-	-
bevraagteken	-	-	bevraagteken	-	-
bevrag	-	-	bevrag	-	-
bevredig	-	-	bevredig	-	-
bevreet	-	-	bevreet	-	-
bevriend	-	-	bevriend	-	-
bevries	-	-	bevries	-	-
bevrind	-	-	bevrind	-	-
bevrug	-	-	bevrug	-	-
bevry	-	-	bevry	-	-
bevuil	-	-	bevuil	-	-
bewaak	-	-	bewaak	-	-
bewaar	-	-	bewaar	-	-
bewaarheid	-	-	bewaarheid	-	-
bewandel	-	-	bewandel	-	-
bewapen	-	-	bewapen	-	-
bewe	-	-	-	bewende	-
beweeg	-	-	beweeg	bewegende	-
beween	-	-	beween	-	-
beweer	-	-	beweer	-	-
bewei	-	-	bewei	-	-
bewerk	-	-	bewerk	-	-
bewerkstellig	-	-	bewerkstellig	-	-
beweë	-	-	beweë	-	-
bewierook	-	-	bewierook	-	-
bewillig	-	-	bewillig	-	-
bewimpel	-	-	bewimpel	-	-
bewolk	-	-	bewolk	-	-
bewonder	-	-	bewonder	-	-
bewoon	-	-	bewoon	-	-
bewoord	-	-	bewoord	-	-
bewys	-	-	bewys	-	-
beywer	-	-	beywer	-	-
beëdig	-	-	beëdig	-	-
beëindig	-	-	beëindig	-	-
beërf	-	-	beërf	-	-
beërwe	-	-	beërwe	-	-
beïndruk	-	-	beïndruk	-	-
beïnvloed	-	-	beïnvloed	-	-
bid	-	-	-	biddende	-
biedêm	-	-	biedêm	-	-
binnebring	-	-	binnegebring	-	-
binnedring	-	-	binnegedring	-	-
binnegaan	-	-	binnegegaan	-	-
binnehaal	-	-	binnegehaal	-	-
binnehou	-	-	binnegehou	-	-
binnekom	-	-	binnegekom	-	-
binnekry	-	-	binnegekry	-	-
binnelaat	-	-	binnegelaat	-	-
binnelei	-	-	binnegelei	-	-
binneloods	-	-	binnegeloods	-	-
binneloop	-	-	binnegeloop	-	-
binnenooi	-	-	binnegenooi	-	-
binneroep	-	-	binnegeroep	-	-
binneruk	-	-	binnegeruk	-	-
binnery	-	-	binnegery	-	-
binneseil	-	-	binnegeseil	-	-
binnesmokkel	-	-	binnegesmokkel	-	-
binnestap	-	-	binnegestap	-	-
binnestorm	-	-	binnegestorm	-	-
binnestrompel	-	-	binnegestrompel	-	-
binnestroom	-	-	binnegestroom	-	-
binnesypel	-	-	binnegesypel	-	-
binnetree	-	-	binnegetree	-	-
binnetrek	-	-	binnegetrek	-	-
binnevaar	-	-	binnegevaar	-	-
binneval	-	-	binnegeval	-	-
binnevlieg	-	-	binnegevlieg	-	-
binnevloei	-	-	binnegevloei	-	-
binnevra	-	-	binnegevra	-	-
binnewaai	-	-	binnegewaai	-	-
binnewerk	-	-	binnegewerk	-	-
blaas	-	-	-	plasende	-
bladsteek	-	-	bladgesteek	-	-
blansjeer	-	-	blansjeer	-	-
blindstaar	-	-	blindgestaar	-	-
blinkvryf	-	-	blinkgevryf	-	-
bloedlaat	-	-	bloedgelaat	-	-
blokkeer	-	-	blokkeer	-	-
blootgee	-	-	blootgegee	-	-
blootlê	-	-	blootgelê	-	-
blootstaan	-	-	blootgestaan	-	-
blootstel	-	-	blootgestel	-	-
bloupoets	-	-	blougepoets	-	-
bly	-	-	-	blywende	-
bobly	-	-	bogebly	-	-
boegseer	-	-	boegseer	-	-
boekevat	-	-	boekegevat	-	-
boekhou	-	-	boekgehou	-	-
boetseer	-	-	boetseer	-	-
bohou	-	-	bogehou	-	-
bokappel	-	-	bogekappel	-	-
bokom	-	-	bogekom	-	-
bokspring	-	-	bokgespring	-	-
bontpraat	-	-	bontgepraat	-	-
bontspring	-	-	bontgespring	-	-
bontstaan	-	-	bontgestaan	-	-
bontval	-	-	bontgeval	-	-
bontvat	-	-	bontgevat	-	-
boomklim	-	-	boomgeklim	-	-
boor	-	-	-	borende	-
borgstaan	-	-	borggestaan	-	-
bosseer	-	-	bosseer	-	-
bot	-	-	-	bot	-
botvier	-	-	botgevier	-	-
braak	-	-	-	brakende	-
branderplankry	-	-	branderplankgery	-	-
branderroei	-	-	brandergeroei	-	-
branderry	-	-	brandergery	-	-
brandslaan	-	-	brandgeslaan	-	-
brandstig	-	-	brandgestig	-	-
braveer	-	-	braveer	-	-
breek	-	-	-	brekende	-
brosjeer	-	-	brosjeer	-	-
bruineer	-	-	bruineer	-	-
buitelaat	-	-	buitegelaat	-	-
buiteloods	-	-	buitegeloods	-	-
buitesluit	-	-	buitegesluit	-	-
buitestaan	-	-	buitegestaan	-	-
buitewerp	-	-	buitegewerp	-	-
buitmaak	-	-	buitgemaak	-	-
buk	-	-	-	bukkende	-
busry	-	-	busgery	-	-
bybestel	-	-	bybestel	-	-
bybetaal	-	-	bybetaal	-	-
bybly	-	-	bygebly	-	-
byboek	-	-	bygeboek	-	-
bybou	-	-	bygebou	-	-
bybring	-	-	bygebring	-	-
bydam	-	-	bygedam	-	-
bydra	-	-	bygedra	-	-
byeenbring	-	-	byeengebring	-	-
byeenkom	-	-	byeengekom	-	-
byeenroep	-	-	byeengeroep	-	-
byeentel	-	-	byeengetel	-	-
byeentrek	-	-	byeengetrek	-	-
byeenvoeg	-	-	byeengevoeg	-	-
bygee	-	-	bygegee	-	-
bygooi	-	-	bygegooi	-	-
byhaal	-	-	bygehaal	-	-
byhou	-	-	bygehou	-	-
byhuur	-	-	bygehuur	-	-
bykom	-	-	bygekom	-	-
bykry	-	-	bygekry	-	-
bylas	-	-	bygelas	-	-
byleer	-	-	bygeleer	-	-
byloop	-	-	bygeloop	-	-
bylê	-	-	bygelê	-	-
bymekaarbly	-	-	bymekaargebly	-	-
bymekaarbring	-	-	bymekaargebring	-	-
bymekaardryf	-	-	bymekaargedryf	-	-
bymekaardrywe	-	-	bymekaargedrywe	-	-
bymekaargooi	-	-	bymekaargegooi	-	-
bymekaarhark	-	-	bymekaargehark	-	-
bymekaarhou	-	-	bymekaargehou	-	-
bymekaarja	-	-	bymekaargeja	-	-
bymekaarjaag	-	-	bymekaargejaag	-	-
bymekaarjae	-	-	bymekaargejae	-	-
bymekaarkeer	-	-	bymekaargekeer	-	-
bymekaarkom	-	-	bymekaargekom	-	-
bymekaarkrap	-	-	bymekaargekrap	-	-
bymekaarkry	-	-	bymekaargekry	-	-
bymekaarmaak	-	-	bymekaargemaak	-	-
bymekaarpas	-	-	bymekaargepas	-	-
bymekaarplant	-	-	bymekaargeplant	-	-
bymekaarreken	-	-	bymekaargereken	-	-
bymekaarroep	-	-	bymekaargeroep	-	-
bymekaarsit	-	-	bymekaargesit	-	-
bymekaarskraap	-	-	bymekaargeskraap	-	-
bymekaarslaan	-	-	bymekaargeslaan	-	-
bymekaarstaan	-	-	bymekaargestaan	-	-
bymekaartel	-	-	bymekaargetel	-	-
bymekaartrek	-	-	bymekaargetrek	-	-
bymekaarvoeg	-	-	bymekaargevoeg	-	-
bymeng	-	-	bygemeng	-	-
bypas	-	-	bygepas	-	-
byplant	-	-	bygeplant	-	-
byreken	-	-	bygereken	-	-
bysaai	-	-	bygesaai	-	-
bysit	-	-	bygesit	-	-
byskilder	-	-	bygeskilder	-	-
byskink	-	-	bygeskink	-	-
byskryf	-	-	bygeskryf	-	-
byskrywe	-	-	bygeskrywe	-	-
byskuif	-	-	bygeskuif	-	-
bysleep	-	-	bygesleep	-	-
bysmyt	-	-	bygesmyt	-	-
byspring	-	-	bygespring	-	-
bystaan	-	-	bygestaan	-	-
bystort	-	-	bygestort	-	-
bysê	-	-	bygesê	-	-
bytel	-	-	bygetel	-	-
bytrek	-	-	bygetrek	-	-
byval	-	-	bygeval	-	-
byverdien	-	-	byverdien	-	-
byvoeg	-	-	bygevoeg	-	-
byvul	-	-	bygevul	-	-
bywerk	-	-	bygewerk	-	-
bywoon	-	-	bygewoon	-	-
chauffeer	-	-	chauffeer	-	-
chloreer	-	-	chloreer	-	-
chromeer	-	-	chromeer	-	-
coiffeer	-	-	coiffeer	-	-
daarstel	-	-	daargestel	-	-
dagsê	-	-	daggesê	-	-
damgooi	-	-	damgegooi	-	-
danksê	-	-	dankgesê	-	-
dans	-	-	-	dans	-
dateer	-	-	dateer	-	-
debuteer	-	-	-	debuterende	-
deelneem	-	-	deelgeneem	-	-
deshonereer	deshonoreer	-	gedeshonoreer	-	-
deurbabbel	-	-	deurgebabbel	-	-
deurbak	-	-	deurgebak	-	-
deurbars	-	-	deurgebars	-	-
deurblaai	-	-	deurgeblaai	-	-
deurblaas	-	-	deurgeblaas	-	-
deurboor	-	-	deurboor	-	-
deurborduur	-	-	deurgeborduur	-	-
deurbrand	-	-	deurgebrand	-	-
deurbreek	-	-	deurbreek	-	-
deurbring	-	-	deurgebring	-	-
deurbuie	-	-	deurgebuie	-	-
deurbuig	-	-	deurgebuig	-	-
deurbyt	-	-	deurgebyt	-	-
deurdans	-	-	deurgedans	-	-
deurdink	-	-	deurdink	-	-
deurdra	-	-	deurgedra	-	-
deurdraai	-	-	deurgedraai	-	-
deurdraf	-	-	deurgedraf	-	-
deurdrenk	-	-	deurdrenk	-	-
deurdring	-	-	deurdring	-	-
deurdruk	-	-	deurgedruk	-	-
deurdryf	-	-	deurgedryf	-	-
deurdrywe	-	-	deurgedrywe	-	-
deureengroei	-	-	deureengegroei	-	-
deureenhaspel	-	-	deureengehaspel	-	-
deureenmeng	-	-	deureengemeng	-	-
deureenweef	-	-	deureengeweef	-	-
deurgaan	-	-	deurgegaan	-	-
deurgee	-	-	deurgegee	-	-
deurgiet	-	-	deurgegiet	-	-
deurglip	-	-	deurgeglip	-	-
deurgloei	-	-	deurgegloei	-	-
deurgly	-	-	deurgegly	-	-
deurgooi	-	-	deurgegooi	-	-
deurgraaf	-	-	deurgegraaf	-	-
deurgrawe	-	-	deurgegrawe	-	-
deurgroei	-	-	deurgegroei	-	-
deurgrond	-	-	deurgrond	-	-
deurhaak	-	-	deurgehaak	-	-
deurhaal	-	-	deurgehaal	-	-
deurhak	-	-	deurgehak	-	-
deurhang	-	-	deurgehang	-	-
deurhelp	-	-	deurgehelp	-	-
deurhol	-	-	deurgehol	-	-
deurhuiwer	-	-	deurhuiwer	-	-
deurja	-	-	deurgeja	-	-
deurjaag	-	-	deurgejaag	-	-
deurjae	-	-	deurgejae	-	-
deurkam	-	-	deurgekam	-	-
deurkap	-	-	deurgekap	-	-
deurklief	-	-	deurgeklief	-	-
deurklim	-	-	deurgeklim	-	-
deurklink	-	-	deurgeklink	-	-
deurknaap	-	-	deurgeknaag	-	-
deurknee	-	-	deurgeknee	-	-
deurknie	-	-	deurgeknie	-	-
deurknik	-	-	deurgeknik	-	-
deurkom	-	-	deurgekom	-	-
deurkomponeer	-	-	deurgekomponeer	-	-
