# lemma(infinitive)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG;IPFV	V;IND;PST;2;SG;IPFV	V;IND;PST;3;SG;IPFV	V;IND;PST;1;PL;IPFV	V;IND;PST;2;PL;IPFV	V;IND;PST;3;PL;IPFV	V;IND;PST;1;SG;PFV	V;IND;PST;2;SG;PFV	V;IND;PST;3;SG;PFV	V;IND;PST;1;PL;PFV	V;IND;PST;2;PL;PFV	V;IND;PST;3;PL;PFV	V;1;SG;IND;FUT	V;2;SG;IND;FUT	V;3;SG;IND;FUT	V;1;PL;IND;FUT	V;2;PL;IND;FUT	V;3;PL;IND;FUT	V;1;SG;COND	V;2;SG;COND	V;3;SG;COND	V;1;PL;COND	V;2;PL;COND	V;3;PL;COND	V;1;SG;SBJV;PRS	V;2;SG;SBJV;PRS	V;3;SG;SBJV;PRS	V;1;PL;SBJV;PRS	V;2;PL;SBJV;PRS	V;3;PL;SBJV;PRS	V;1;SG;SBJV;PST;IPFV	V;2;SG;SBJV;PST;IPFV	V;3;SG;SBJV;PST;IPFV	V;1;PL;SBJV;PST;IPFV	V;2;PL;SBJV;PST;IPFV	V;3;PL;SBJV;PST;IPFV	V;2;SG;IMP	V;1;PL;IMP	V;2;PL;IMP	V;NFIN	V.PTCP;PST	V.CVB;PRS  ("-" = productive default)
cacalassar	cacalasse	-	-	-	-	-	cacalassava	-	-	cacalassaviam	cacalassaviatz	-	cacalassei	cacalasseras	cacalasset	cacalassem	cacalasseriatz	cacalasseran	-	-	-	cacalassaram	cacalassaratz	-	cacalassariá	cacalassariàs	-	cacalassarem	cacalassaretz	-	-	-	-	cacalassassiam	cacalassassiatz	cacalassan	cacalassesse	-	cacalassesse	cacalassessiam	cacalassessiatz	cacalassesson	-	cacalassassiam	-	-	-	-
cachar	cache	-	-	-	-	-	cachava	-	-	cachaviam	cachaviatz	-	cachei	cacheras	cachet	cachem	cacheriatz	cacheran	-	-	-	cacharam	cacharatz	-	cachariá	cachariàs	-	cacharem	cacharetz	-	-	-	-	cachassiam	cachassiatz	cachan	cachesse	-	cachesse	cachessiam	cachessiatz	cachesson	-	cachassiam	-	-	-	-
cagar	-	-	-	-	-	-	cagava	-	-	cagaviam	cagaviatz	-	-	-	-	-	-	-	-	-	-	cagaram	cagaratz	-	cagariá	cagariàs	-	cagarem	cagaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
calar	cale	-	-	-	-	-	calava	-	-	calaviam	calaviatz	-	calei	caleras	calet	calem	caleriatz	caleran	-	-	-	calaram	calaratz	-	calariá	calariàs	-	calarem	calaretz	-	-	-	-	calassiam	calassiatz	calan	calesse	-	calesse	calessiam	calessiatz	calesson	-	calassiam	-	-	-	-
caler	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	caler	calgut	-
calfar	calfe	-	-	-	-	-	calfava	-	-	calfaviam	calfaviatz	-	calfei	calferas	calfet	calfem	calferiatz	calferan	-	-	-	calfaram	calfaratz	-	calfariá	calfariàs	-	calfarem	calfaretz	-	-	-	-	calfassiam	calfassiatz	calfan	calfesse	-	calfesse	calfessiam	calfessiatz	calfesson	-	calfassiam	-	-	-	-
cantar	cante	-	-	-	-	-	cantava	-	-	cantaviam	cantaviatz	-	cantei	canteras	cantet	cantem	canteriatz	canteran	-	-	-	cantaram	cantaratz	-	cantariá	cantariàs	-	cantarem	cantaretz	-	-	-	-	cantassiam	cantassiatz	cantan	cantesse	-	cantesse	cantessiam	cantessiatz	cantesson	-	cantassiam	-	-	-	-
carrejar	-	carreges	-	-	-	-	carrejava	-	-	carrejaviam	carrejaviatz	-	-	-	-	-	-	-	-	-	-	carrejaram	carrejaratz	-	carrejariá	carrejariàs	-	carrejarem	carrejaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
caufar	caufe	-	-	-	-	-	caufava	-	-	caufaviam	caufaviatz	-	caufei	cauferas	caufet	caufem	cauferiatz	cauferan	-	-	-	caufaram	caufaratz	-	caufariá	caufariàs	-	caufarem	caufaretz	-	-	-	-	caufassiam	caufassiatz	caufan	caufesse	-	caufesse	caufessiam	caufessiatz	caufesson	-	caufassiam	-	-	-	-
cavar	cave	-	-	-	-	-	cavava	-	-	cavaviam	cavaviatz	-	cavei	caveras	cavet	cavem	caveriatz	caveran	-	-	-	cavaram	cavaratz	-	cavariá	cavariàs	-	cavarem	cavaretz	-	-	-	-	cavassiam	cavassiatz	cavan	cavesse	-	cavesse	cavessiam	cavessiatz	cavesson	-	cavassiam	-	-	-	-
caçar	-	caces	-	-	-	-	caçava	-	-	caçaviam	caçaviatz	-	-	-	-	-	-	-	-	-	-	caçaram	caçaratz	-	caçariá	caçariàs	-	caçarem	caçaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
caïnar	caïne	-	-	-	-	-	caïnava	-	-	caïnaviam	caïnaviatz	-	caïnei	caïneras	caïnet	caïnem	caïneriatz	caïneran	-	-	-	caïnaram	caïnaratz	-	caïnariá	caïnariàs	-	caïnarem	caïnaretz	-	-	-	-	caïnassiam	caïnassiatz	caïnan	caïnesse	-	caïnesse	caïnessiam	caïnessiatz	caïnesson	-	caïnassiam	-	-	-	-
cercar	-	-	-	-	-	-	cercava	-	-	cercaviam	cercaviatz	-	-	-	-	-	-	-	-	-	-	cercaram	cercaratz	-	cercariá	cercariàs	-	cercarem	cercaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chantar	chante	-	-	-	-	-	chantava	-	-	chantaviam	chantaviatz	-	chantei	chanteras	chantet	chantem	chanteriatz	chanteran	-	-	-	chantaram	chantaratz	-	chantariá	chantariàs	-	chantarem	chantaretz	-	-	-	-	chantassiam	chantassiatz	chantan	chantesse	-	chantesse	chantessiam	chantessiatz	chantesson	-	chantassiam	-	-	-	-
charrar	charre	-	-	-	-	-	charrava	-	-	charraviam	charraviatz	-	charrei	charreras	charret	charrem	charreriatz	charreran	-	-	-	charraram	charraratz	-	charrariá	charrariàs	-	charrarem	charraretz	-	-	-	-	charrassiam	charrassiatz	charran	charresse	-	charresse	charressiam	charressiatz	charresson	-	charrassiam	-	-	-	-
chucar	-	-	-	-	-	-	chucava	-	-	chucaviam	chucaviatz	-	-	-	-	-	-	-	-	-	-	chucaram	chucaratz	-	chucariá	chucariàs	-	chucarem	chucaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
clavar	clave	-	-	-	-	-	clavava	-	-	clavaviam	clavaviatz	-	clavei	claveras	clavet	clavem	claveriatz	claveran	-	-	-	clavaram	clavaratz	-	clavariá	clavariàs	-	clavarem	clavaretz	-	-	-	-	clavassiam	clavassiatz	clavan	clavesse	-	clavesse	clavessiam	clavessiatz	clavesson	-	clavassiam	-	-	-	-
clavelar	clavele	-	-	-	-	-	clavelava	-	-	clavelaviam	clavelaviatz	-	clavelei	claveleras	clavelet	clavelem	claveleriatz	claveleran	-	-	-	clavelaram	clavelaratz	-	clavelariá	clavelariàs	-	clavelarem	clavelaretz	-	-	-	-	clavelassiam	clavelassiatz	clavelan	clavelesse	-	clavelesse	clavelessiam	clavelessiatz	clavelesson	-	clavelassiam	-	-	-	-
colcar	-	-	-	-	-	-	colcava	-	-	colcaviam	colcaviatz	-	-	-	-	-	-	-	-	-	-	colcaram	colcaratz	-	colcariá	colcariàs	-	colcarem	colcaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cosinar	cosine	-	-	-	-	-	cosinava	-	-	cosinaviam	cosinaviatz	-	cosinei	cosineras	cosinet	cosinem	cosineriatz	cosineran	-	-	-	cosinaram	cosinaratz	-	cosinariá	cosinariàs	-	cosinarem	cosinaretz	-	-	-	-	cosinassiam	cosinassiatz	cosinan	cosinesse	-	cosinesse	cosinessiam	cosinessiatz	cosinesson	-	cosinassiam	-	-	-	-
creire	cresi	creses	crei	cresèm	cresètz	creson	cresiái	cresiás	cresiá	cresiam	cresiatz	cresián	-	-	-	-	-	-	-	-	-	-	-	-	creiriái	creiriás	creiriá	creiriam	creiriatz	creirián	crega	-	crega	cregam	cregatz	cregan	creguèsse	-	creguèsse	creguèssem	creguèssetz	creguèsson	crei	cregam	cresètz	creire	cregut	-
cridar	cride	-	-	-	-	-	cridava	-	-	cridaviam	cridaviatz	-	cridei	crideras	cridet	cridem	crideriatz	crideran	-	-	-	cridaram	cridaratz	-	cridariá	cridariàs	-	cridarem	cridaretz	-	-	-	-	cridassiam	cridassiatz	cridan	cridesse	-	cridesse	cridessiam	cridessiatz	cridesson	-	cridassiam	-	-	-	-
crompar	crompe	-	-	-	-	-	crompava	-	-	crompaviam	crompaviatz	-	crompei	cromperas	crompet	crompem	cromperiatz	cromperan	-	-	-	cromparam	cromparatz	-	crompariá	crompariàs	-	cromparem	cromparetz	-	-	-	-	crompassiam	crompassiatz	crompan	crompesse	-	crompesse	crompessiam	crompessiatz	crompesson	-	crompassiam	-	-	-	-
créser	cresi	creses	cres	cresèm	cresètz	creson	cresiái	cresiás	cresiá	cresiam	cresiatz	cresián	-	-	-	-	-	-	-	-	-	-	-	-	cresriái	cresriás	cresriá	cresriam	cresriatz	cresrián	crega	-	crega	cregam	cregatz	cregan	creguèsse	-	creguèsse	creguèssem	creguèssetz	creguèsson	cres	cregam	cresètz	créser	cregut	-
càser	càsi	càses	càs	casèm	casètz	càson	casiái	casiás	casiá	casiam	casiatz	casián	-	-	-	-	-	-	-	-	-	-	-	-	casriái	casriás	casriá	casriam	casriatz	casrián	càsa	-	càsa	casam	casatz	càsan	casèsse	-	casèsse	casèssem	casèssetz	casèsson	càs	casam	casètz	càser	casut	-
daissar	daisse	-	-	-	-	-	daissava	-	-	daissaviam	daissaviatz	-	daissei	daisseras	daisset	daissem	daisseriatz	daisseran	-	-	-	daissaram	daissaratz	-	daissariá	daissariàs	-	daissarem	daissaretz	-	-	-	-	daissassiam	daissassiatz	daissan	daissesse	-	daissesse	daissessiam	daissessiatz	daissesson	-	daissassiam	-	-	-	-
davalar	davale	-	-	-	-	-	davalava	-	-	davalaviam	davalaviatz	-	davalei	davaleras	davalet	davalem	davaleriatz	davaleran	-	-	-	davalaram	davalaratz	-	davalariá	davalariàs	-	davalarem	davalaretz	-	-	-	-	davalassiam	davalassiatz	davalan	davalesse	-	davalesse	davalessiam	davalessiatz	davalesson	-	davalassiam	-	-	-	-
deure	devi	deves	deu	devèm	devètz	devon	deviái	deviás	deviá	deviam	deviatz	devián	deguèri	deguères	deguèt	deguèrem	deguèretz	deguèron	deurai	deuràs	deurà	deurem	deuretz	deuràn	deuriái	deuriás	deuriá	deuriam	deuriatz	deurián	dega	-	dega	degam	degatz	degan	deguèsse	-	deguèsse	deguèssem	deguèssetz	deguèsson	deu	degam	devètz	deure	degut	-
dever	devi	deves	deu	devèm	devètz	devon	deviái	deviás	deviá	deviam	deviatz	devián	deguèri	deguères	deguèt	deguèrem	deguèretz	deguèron	deurai	deuràs	deurà	deurem	deuretz	deuràn	deuriái	deuriás	deuriá	deuriam	deuriatz	deurián	dega	-	dega	degam	degatz	degan	deguèsse	-	deguèsse	deguèssem	deguèssetz	deguèsson	deu	degam	devètz	dever	degut	-
devinar	devine	-	-	-	-	-	devinava	-	-	devinaviam	devinaviatz	-	devinei	devineras	devinet	devinem	devineriatz	devineran	-	-	-	devinaram	devinaratz	-	devinariá	devinariàs	-	devinarem	devinaretz	-	-	-	-	devinassiam	devinassiatz	devinan	devinesse	-	devinesse	devinessiam	devinessiatz	devinesson	-	devinassiam	-	-	-	-
dintrar	dintre	-	-	-	-	-	dintrava	-	-	dintraviam	dintraviatz	-	dintrei	dintreras	dintret	dintrem	dintreriatz	dintreran	-	-	-	dintraram	dintraratz	-	dintrariá	dintrariàs	-	dintrarem	dintraretz	-	-	-	-	dintrassiam	dintrassiatz	dintran	dintresse	-	dintresse	dintressiam	dintressiatz	dintresson	-	dintrassiam	-	-	-	-
dire	dii	dises	ditz	disèm	disètz	dison	disia	disias	disiá	disiam	disiatz	disián	diguèri	diguères	diguèt	diguèrem	diguèretz	diguèron	dirai	diràs	dirà	direm	diretz	diràn	diriái	diriás	diriá	diriam	diriatz	dirián	diga	-	diga	digam	digatz	digan	diguèsse	-	diguèsse	diguèssem	diguèssetz	diguèsson	diga	digam	digatz	dire	dich	-
doblidar	doblide	-	-	-	-	-	doblidava	-	-	doblidaviam	doblidaviatz	-	doblidei	doblideras	doblidet	doblidem	doblideriatz	doblideran	-	-	-	doblidaram	doblidaratz	-	doblidariá	doblidariàs	-	doblidarem	doblidaretz	-	-	-	-	doblidassiam	doblidassiatz	doblidan	doblidesse	-	doblidesse	doblidessiam	doblidessiatz	doblidesson	-	doblidassiam	-	-	-	-
dobtar	dobte	-	-	-	-	-	dobtava	-	-	dobtaviam	dobtaviatz	-	dobtei	dobteras	dobtet	dobtem	dobteriatz	dobteran	-	-	-	dobtaram	dobtaratz	-	dobtariá	dobtariàs	-	dobtarem	dobtaretz	-	-	-	-	dobtassiam	dobtassiatz	dobtan	dobtesse	-	dobtesse	dobtessiam	dobtessiatz	dobtesson	-	dobtassiam	-	-	-	-
drelinar	dreline	-	-	-	-	-	drelinava	-	-	drelinaviam	drelinaviatz	-	drelinei	drelineras	drelinet	drelinem	drelineriatz	drelineran	-	-	-	drelinaram	drelinaratz	-	drelinariá	drelinariàs	-	drelinarem	drelinaretz	-	-	-	-	drelinassiam	drelinassiatz	drelinan	drelinesse	-	drelinesse	drelinessiam	drelinessiatz	drelinesson	-	drelinassiam	-	-	-	-
empachar	empache	-	-	-	-	-	empachava	-	-	empachaviam	empachaviatz	-	empachei	empacheras	empachet	empachem	empacheriatz	empacheran	-	-	-	empacharam	empacharatz	-	empachariá	empachariàs	-	empacharem	empacharetz	-	-	-	-	empachassiam	empachassiatz	empachan	empachesse	-	empachesse	empachessiam	empachessiatz	empachesson	-	empachassiam	-	-	-	-
empassar	empasse	-	-	-	-	-	empassava	-	-	empassaviam	empassaviatz	-	empassei	empasseras	empasset	empassem	empasseriatz	empasseran	-	-	-	empassaram	empassaratz	-	empassariá	empassariàs	-	empassarem	empassaretz	-	-	-	-	empassassiam	empassassiatz	empassan	empassesse	-	empassesse	empassessiam	empassessiatz	empassesson	-	empassassiam	-	-	-	-
empegar	-	-	-	-	-	-	empegava	-	-	empegaviam	empegaviatz	-	-	-	-	-	-	-	-	-	-	empegaram	empegaratz	-	empegariá	empegariàs	-	empegarem	empegaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
emplegar	-	-	-	-	-	-	emplegava	-	-	emplegaviam	emplegaviatz	-	-	-	-	-	-	-	-	-	-	emplegaram	emplegaratz	-	emplegariá	emplegariàs	-	emplegarem	emplegaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
emplenar	emplene	-	-	-	-	-	emplenava	-	-	emplenaviam	emplenaviatz	-	emplenei	empleneras	emplenet	emplenem	empleneriatz	empleneran	-	-	-	emplenaram	emplenaratz	-	emplenariá	emplenariàs	-	emplenarem	emplenaretz	-	-	-	-	emplenassiam	emplenassiatz	emplenan	emplenesse	-	emplenesse	emplenessiam	emplenessiatz	emplenesson	-	emplenassiam	-	-	-	-
enganar	engane	-	-	-	-	-	enganava	-	-	enganaviam	enganaviatz	-	enganei	enganeras	enganet	enganem	enganeriatz	enganeran	-	-	-	enganaram	enganaratz	-	enganariá	enganariàs	-	enganarem	enganaretz	-	-	-	-	enganassiam	enganassiatz	enganan	enganesse	-	enganesse	enganessiam	enganessiatz	enganesson	-	enganassiam	-	-	-	-
engeissar	engeisse	-	-	-	-	-	engeissava	-	-	engeissaviam	engeissaviatz	-	engeissei	engeisseras	engeisset	engeissem	engeisseriatz	engeisseran	-	-	-	engeissaram	engeissaratz	-	engeissariá	engeissariàs	-	engeissarem	engeissaretz	-	-	-	-	engeissassiam	engeissassiatz	engeissan	engeissesse	-	engeissesse	engeissessiam	engeissessiatz	engeissesson	-	engeissassiam	-	-	-	-
ensajar	-	ensages	-	-	-	-	ensajava	-	-	ensajaviam	ensajaviatz	-	-	-	-	-	-	-	-	-	-	ensajaram	ensajaratz	-	ensajariá	ensajariàs	-	ensajarem	ensajaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escafar	escafe	-	-	-	-	-	escafava	-	-	escafaviam	escafaviatz	-	escafei	escaferas	escafet	escafem	escaferiatz	escaferan	-	-	-	escafaram	escafaratz	-	escafariá	escafariàs	-	escafarem	escafaretz	-	-	-	-	escafassiam	escafassiatz	escafan	escafesse	-	escafesse	escafessiam	escafessiatz	escafesson	-	escafassiam	-	-	-	-
escampar	escampe	-	-	-	-	-	escampava	-	-	escampaviam	escampaviatz	-	escampei	escamperas	escampet	escampem	escamperiatz	escamperan	-	-	-	escamparam	escamparatz	-	escampariá	escampariàs	-	escamparem	escamparetz	-	-	-	-	escampassiam	escampassiatz	escampan	escampesse	-	escampesse	escampessiam	escampessiatz	escampesson	-	escampassiam	-	-	-	-
escobar	escobe	-	-	-	-	-	escobava	-	-	escobaviam	escobaviatz	-	escobei	escoberas	escobet	escobem	escoberiatz	escoberan	-	-	-	escobaram	escobaratz	-	escobariá	escobariàs	-	escobarem	escobaretz	-	-	-	-	escobassiam	escobassiatz	escoban	escobesse	-	escobesse	escobessiam	escobessiatz	escobesson	-	escobassiam	-	-	-	-
escotar	escote	-	-	-	-	-	escotava	-	-	escotaviam	escotaviatz	-	escotei	escoteras	escotet	escotem	escoteriatz	escoteran	-	-	-	escotaram	escotaratz	-	escotariá	escotariàs	-	escotarem	escotaretz	-	-	-	-	escotassiam	escotassiatz	escotan	escotesse	-	escotesse	escotessiam	escotessiatz	escotesson	-	escotassiam	-	-	-	-
escriure	escrivi	escrives	escriu	escrivèm	escrivètz	escrivon	escriviái	escriviás	escriviá	escriviam	escriviatz	escrivián	-	-	-	-	-	-	-	-	-	-	-	-	escriuriái	escriuriás	escriuriá	escriuriam	escriuriatz	escriurián	escriga	-	escrigas	escrigam	escrigatz	escrigan	escriguèsse	-	escriguèsse	escriguèssem	escriguèssetz	escriguèsson	escriu	escrigam	escrivètz	escriure	escrich	-
esperar	espere	-	-	-	-	-	esperava	-	-	esperaviam	esperaviatz	-	esperei	espereras	esperet	esperem	espereriatz	espereran	-	-	-	esperaram	esperaratz	-	esperariá	esperariàs	-	esperarem	esperaretz	-	-	-	-	esperassiam	esperassiatz	esperan	esperesse	-	esperesse	esperessiam	esperessiatz	esperesson	-	esperassiam	-	-	-	-
espetar	espete	-	-	-	-	-	espetava	-	-	espetaviam	espetaviatz	-	espetei	espeteras	espetet	espetem	espeteriatz	espeteran	-	-	-	espetaram	espetaratz	-	espetariá	espetariàs	-	espetarem	espetaretz	-	-	-	-	espetassiam	espetassiatz	espetan	espetesse	-	espetesse	espetessiam	espetessiatz	espetesson	-	espetassiam	-	-	-	-
espolsar	espolse	-	-	-	-	-	espolsava	-	-	espolsaviam	espolsaviatz	-	espolsei	espolseras	espolset	espolsem	espolseriatz	espolseran	-	-	-	espolsaram	espolsaratz	-	espolsariá	espolsariàs	-	espolsarem	espolsaretz	-	-	-	-	espolsassiam	espolsassiatz	espolsan	espolsesse	-	espolsesse	espolsessiam	espolsessiatz	espolsesson	-	espolsassiam	-	-	-	-
estofar	estofe	-	-	-	-	-	estofava	-	-	estofaviam	estofaviatz	-	estofei	estoferas	estofet	estofem	estoferiatz	estoferan	-	-	-	estofaram	estofaratz	-	estofariá	estofariàs	-	estofarem	estofaretz	-	-	-	-	estofassiam	estofassiatz	estofan	estofesse	-	estofesse	estofessiam	estofessiatz	estofesson	-	estofassiam	-	-	-	-
faire	fau	fas	fa	fasèm	fasètz	fan	fasiái	fasiás	fasiá	fasiam	fasiatz	fasián	faguèri	faguères	faguèt	faguèrem	faguèretz	faguèron	farai	faràs	farà	farem	faretz	faràn	fariái	fariás	fariá	fariam	fariatz	farián	faga	-	faga	fagam	fagatz	fagan	faguèsse	-	faguèsse	faguèssem	faguèssetz	faguèsson	fai	fagam	fasètz	fa	fach	-
fer	fau	fas	fa	fasèm	fasètz	fan	fasiái	fasiás	fasiá	fasiam	fasiatz	fasián	-	-	-	-	-	-	-	-	-	-	-	-	fariái	fariás	fariá	fariam	fariatz	farián	faga	-	faga	fagam	fagatz	fagan	faguèsse	-	faguèsse	faguèssem	faguèssetz	faguèsson	fai	fagam	fasètz	-	fach	-
girar	gire	-	-	-	-	-	girava	-	-	giraviam	giraviatz	-	girei	gireras	giret	girem	gireriatz	gireran	-	-	-	giraram	giraratz	-	girariá	girariàs	-	girarem	giraretz	-	-	-	-	girassiam	girassiatz	giran	giresse	-	giresse	giressiam	giressiatz	giresson	-	girassiam	-	-	-	-
ignorar	ignore	-	-	-	-	-	ignorava	-	-	ignoraviam	ignoraviatz	-	ignorei	ignoreras	ignoret	ignorem	ignoreriatz	ignoreran	-	-	-	ignoraram	ignoraratz	-	ignorariá	ignorariàs	-	ignorarem	ignoraretz	-	-	-	-	ignorassiam	ignorassiatz	ignoran	ignoresse	-	ignoresse	ignoressiam	ignoressiatz	ignoresson	-	ignorassiam	-	-	-	-
interdire	interdisi	interdises	interditz	interdisèm	interdisètz	interdison	interdisiái	interdisiás	interdisiá	interdisiam	interdisiatz	interdisián	-	-	-	-	-	-	-	-	-	-	-	-	interdiriái	interdiriás	interdiriá	interdiriam	interdiriatz	interdirián	interdiga	-	interdiga	interdigam	interdigatz	interdigan	interdiguèsse	-	interdiguèsse	interdiguèssem	interdiguèssetz	interdiguèsson	interdiga	interdigam	interdigatz	interdire	interdich	-
jurar	jure	-	-	-	-	-	jurava	-	-	juraviam	juraviatz	-	jurei	jureras	juret	jurem	jureriatz	jureran	-	-	-	juraram	juraratz	-	jurariá	jurariàs	-	jurarem	juraretz	-	-	-	-	jurassiam	jurassiatz	juran	juresse	-	juresse	juressiam	juressiatz	juresson	-	jurassiam	-	-	-	-
jutjar	-	jutges	-	-	-	-	jutjava	-	-	jutjaviam	jutjaviatz	-	-	-	-	-	-	-	-	-	-	jutjaram	jutjaratz	-	jutjariá	jutjariàs	-	jutjarem	jutjaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lavar	lave	-	-	-	-	-	lavava	-	-	lavaviam	lavaviatz	-	lavei	laveras	lavet	lavem	laveriatz	laveran	-	-	-	lavaram	lavaratz	-	lavariá	lavariàs	-	lavarem	lavaretz	-	-	-	-	lavassiam	lavassiatz	lavan	lavesse	-	lavesse	lavessiam	lavessiatz	lavesson	-	lavassiam	-	-	-	-
manjar	-	manges	-	-	-	-	manjava	-	-	manjaviam	manjaviatz	-	-	-	-	-	-	-	-	-	-	manjaram	manjaratz	-	manjariá	manjariàs	-	manjarem	manjaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
marchar	marche	-	-	-	-	-	marchava	-	-	marchaviam	marchaviatz	-	marchei	marcheras	marchet	marchem	marcheriatz	marcheran	-	-	-	marcharam	marcharatz	-	marchariá	marchariàs	-	marcharem	marcharetz	-	-	-	-	marchassiam	marchassiatz	marchan	marchesse	-	marchesse	marchessiam	marchessiatz	marchesson	-	marchassiam	-	-	-	-
menar	mene	-	-	-	-	-	menava	-	-	menaviam	menaviatz	-	menei	meneras	menet	menem	meneriatz	meneran	-	-	-	menaram	menaratz	-	menariá	menariàs	-	menarem	menaretz	-	-	-	-	menassiam	menassiatz	menan	menesse	-	menesse	menessiam	menessiatz	menesson	-	menassiam	-	-	-	-
parlar	parle	-	-	-	-	-	parlava	-	-	parlaviam	parlaviatz	-	parlei	parleras	parlet	parlem	parleriatz	parleran	-	-	-	parlaram	parlaratz	-	parlariá	parlariàs	-	parlarem	parlaretz	-	-	-	-	parlassiam	parlassiatz	parlan	parlesse	-	parlesse	parlessiam	parlessiatz	parlesson	-	parlassiam	-	-	-	-
passar	passe	-	-	-	-	-	passava	-	-	passaviam	passaviatz	-	passei	passeras	passet	passem	passeriatz	passeran	-	-	-	passaram	passaratz	-	passariá	passariàs	-	passarem	passaretz	-	-	-	-	passassiam	passassiatz	passan	passesse	-	passesse	passessiam	passessiatz	passesson	-	passassiam	-	-	-	-
plorar	plore	-	-	-	-	-	plorava	-	-	ploraviam	ploraviatz	-	plorei	ploreras	ploret	plorem	ploreriatz	ploreran	-	-	-	ploraram	ploraratz	-	plorariá	plorariàs	-	plorarem	ploraretz	-	-	-	-	plorassiam	plorassiatz	ploran	ploresse	-	ploresse	ploressiam	ploressiatz	ploresson	-	plorassiam	-	-	-	-
poder	pòdi	pòdes	pòt	podèm	podètz	pòdon	podiái	podiás	podiá	podiam	podiatz	podián	poguèri	poguères	poguèt	poguèrem	poguèretz	poguèron	poirai	poiràs	poirà	poirem	poiretz	poiràn	poiriái	poiriás	poiriá	poiriam	poiriatz	poirián	pòsca	-	pòsca	poscam	poscatz	pòscan	poguèsse	-	poguèsse	poguèssem	poguèssetz	poguèsson	pòsca	poscam	poscatz	poder	pogut	-
proïbir	-	-	-	-	-	-	proïbissii	proïbissies	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	proïbisse	-	-	-	-	-
pujar	-	puges	-	-	-	-	pujava	-	-	pujaviam	pujaviatz	-	-	-	-	-	-	-	-	-	-	pujaram	pujaratz	-	pujariá	pujariàs	-	pujarem	pujaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
remenar	remene	-	-	-	-	-	remenava	-	-	remenaviam	remenaviatz	-	remenei	remeneras	remenet	remenem	remeneriatz	remeneran	-	-	-	remenaram	remenaratz	-	remenariá	remenariàs	-	remenarem	remenaretz	-	-	-	-	remenassiam	remenassiatz	remenan	remenesse	-	remenesse	remenessiam	remenessiatz	remenesson	-	remenassiam	-	-	-	-
rosegar	-	-	-	-	-	-	rosegava	-	-	rosegaviam	rosegaviatz	-	-	-	-	-	-	-	-	-	-	rosegaram	rosegaratz	-	rosegariá	rosegariàs	-	rosegarem	rosegaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
saber	-	-	sap	sabèm	sabètz	sabon	sabiái	sabiás	sabiá	sabiam	sabiatz	sabián	saupèri	saupères	saupèt	saupèrem	saupèretz	saupèron	sauprai	saupràs	sauprà	sauprem	saupretz	saupràn	saupriái	saupriás	saupriá	saupriam	saupriatz	sauprián	sàpia	-	sàpia	sapiam	sapiatz	sàpian	saupèsse	-	saupèsse	saupèssem	saupèssetz	saupèsson	sap	sapiam	sabètz	saber	sauput	-
salar	sale	-	-	-	-	-	salava	-	-	salaviam	salaviatz	-	salei	saleras	salet	salem	saleriatz	saleran	-	-	-	salaram	salaratz	-	salariá	salariàs	-	salarem	salaretz	-	-	-	-	salassiam	salassiatz	salan	salesse	-	salesse	salessiam	salessiatz	salesson	-	salassiam	-	-	-	-
sèire	sèsi	sèses	sèi	sesèm	sesètz	sèson	sesiái	sesiás	sesiá	sesiam	sesiatz	sesián	seguèri	seguères	seguèt	seguèrem	seguèretz	seguèron	seirai	seiràs	seirà	seirem	seiretz	seiràn	seiriái	seiriás	seiriá	seiriam	seiriatz	seirián	sèga	-	sèga	sègam	sègatz	sègan	seguèsse	-	seguèsse	seguèssem	seguèssetz	seguèsson	sèi	segam	sesètz	sèire	-	-
