# lemma(infinitive)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG;IPFV	V;IND;PST;2;SG;IPFV	V;IND;PST;3;SG;IPFV	V;IND;PST;1;PL;IPFV	V;IND;PST;2;PL;IPFV	V;IND;PST;3;PL;IPFV	V;IND;PST;1;SG;PFV	V;IND;PST;2;SG;PFV	V;IND;PST;3;SG;PFV	V;IND;PST;1;PL;PFV	V;IND;PST;2;PL;PFV	V;IND;PST;3;PL;PFV	V;1;SG;IND;FUT	V;2;SG;IND;FUT	V;3;SG;IND;FUT	V;1;PL;IND;FUT	V;2;PL;IND;FUT	V;3;PL;IND;FUT	V;1;SG;COND	V;2;SG;COND	V;3;SG;COND	V;1;PL;COND	V;2;PL;COND	V;3;PL;COND	V;1;SG;SBJV;PRS	V;2;SG;SBJV;PRS	V;3;SG;SBJV;PRS	V;1;PL;SBJV;PRS	V;2;PL;SBJV;PRS	V;3;PL;SBJV;PRS	V;1;SG;SBJV;PST;IPFV	V;2;SG;SBJV;PST;IPFV	V;3;SG;SBJV;PST;IPFV	V;1;PL;SBJV;PST;IPFV	V;2;PL;SBJV;PST;IPFV	V;3;PL;SBJV;PST;IPFV	V;2;SG;IMP	V;1;PL;IMP	V;2;PL;IMP	V;NFIN	V.PTCP;PST	V.CVB;PRS  ("-" = productive default)
armar	arme	-	-	-	-	-	armava	-	-	armaviam	armaviatz	-	armei	armeras	armet	armem	armeriatz	armeran	-	-	-	armaram	armaratz	-	armariá	armariàs	-	armarem	armaretz	-	-	-	-	armassiam	armassiatz	arman	armesse	-	armesse	armessiam	armessiatz	armesson	-	armassiam	-	-	-	-
arpar	arpe	-	-	-	-	-	arpava	-	-	arpaviam	arpaviatz	-	arpei	arperas	arpet	arpem	arperiatz	arperan	-	-	-	arparam	arparatz	-	arpariá	arpariàs	-	arparem	arparetz	-	-	-	-	arpassiam	arpassiatz	arpan	arpesse	-	arpesse	arpessiam	arpessiatz	arpesson	-	arpassiam	-	-	-	-
arribar	arribe	-	-	-	-	-	arribava	-	-	arribaviam	arribaviatz	-	arribei	arriberas	arribet	arribem	arriberiatz	arriberan	-	-	-	arribaram	arribaratz	-	arribariá	arribariàs	-	arribarem	arribaretz	-	-	-	-	arribassiam	arribassiatz	arriban	arribesse	-	arribesse	arribessiam	arribessiatz	arribesson	-	arribassiam	-	-	-	-
arroïnar	arroïne	-	-	-	-	-	arroïnava	-	-	arroïnaviam	arroïnaviatz	-	arroïnei	arroïneras	arroïnet	arroïnem	arroïneriatz	arroïneran	-	-	-	arroïnaram	arroïnaratz	-	arroïnariá	arroïnariàs	-	arroïnarem	arroïnaretz	-	-	-	-	arroïnassiam	arroïnassiatz	arroïnan	arroïnesse	-	arroïnesse	arroïnessiam	arroïnessiatz	arroïnesson	-	arroïnassiam	-	-	-	-
asagar	-	-	-	-	-	-	asagava	-	-	asagaviam	asagaviatz	-	-	-	-	-	-	-	-	-	-	asagaram	asagaratz	-	asagariá	asagariàs	-	asagarem	asagaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
asaigar	-	-	-	-	-	-	asaigava	-	-	asaigaviam	asaigaviatz	-	-	-	-	-	-	-	-	-	-	asaigaram	asaigaratz	-	asaigariá	asaigariàs	-	asaigarem	asaigaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
asclar	ascle	-	-	-	-	-	asclava	-	-	asclaviam	asclaviatz	-	asclei	ascleras	asclet	asclem	ascleriatz	ascleran	-	-	-	asclaram	asclaratz	-	asclariá	asclariàs	-	asclarem	asclaretz	-	-	-	-	asclassiam	asclassiatz	asclan	asclesse	-	asclesse	asclessiam	asclessiatz	asclesson	-	asclassiam	-	-	-	-
assajar	-	assages	-	-	-	-	assajava	-	-	assajaviam	assajaviatz	-	-	-	-	-	-	-	-	-	-	assajaram	assajaratz	-	assajariá	assajariàs	-	assajarem	assajaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
assanar	assane	-	-	-	-	-	assanava	-	-	assanaviam	assanaviatz	-	assanei	assaneras	assanet	assanem	assaneriatz	assaneran	-	-	-	assanaram	assanaratz	-	assanariá	assanariàs	-	assanarem	assanaretz	-	-	-	-	assanassiam	assanassiatz	assanan	assanesse	-	assanesse	assanessiam	assanessiatz	assanesson	-	assanassiam	-	-	-	-
assecar	-	-	-	-	-	-	assecava	-	-	assecaviam	assecaviatz	-	-	-	-	-	-	-	-	-	-	assecaram	assecaratz	-	assecariá	assecariàs	-	assecarem	assecaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
