# Dutch irregular verbs — mined from the kaikki ∩ Apertium agreement,
# restricted to the lemmas the rule engine misses (empty-lexicon capture,
# scripts/nld/capture_irregulars.sh). Exact match.
# Regenerate: python3 scripts/nld/mine_verbs.py
# lemma	stem	pres	past_sg	past_pl	pp	imp	prespart
skeeleren	skeeler	skeeler,skeelert,skeelert,skeeleren,skeeleren,skeeleren	skeelerde	skeelerden	geskeelerd	skeeler	skeelerend
skiën	ski	ski,skiet,skiet,skiën,skiën,skiën	skiede	skieden	geskied	ski	skiënd
slaan	sla	sla,slaat,slaat,slaan,slaan,slaan	sloeg	sloegen	geslagen	sla	slaand
slapen	slaap	slaap,slaapt,slaapt,slapen,slapen,slapen	sliep	sliepen	geslapen	slaap	slapend
sleeën	slee	slee,sleet,sleet,sleeën,sleeën,sleeën	sleede	sleeden	gesleed	slee	sleeënd
slenteren	slenter	slenter,slentert,slentert,slenteren,slenteren,slenteren	slenterde	slenterden	geslenterd	slenter	slenterend
slijpen	slijp	slijp,slijpt,slijpt,slijpen,slijpen,slijpen	sleep	slepen	geslepen	slijp	slijpend
slijten	slijt	slijt,slijt,slijt,slijten,slijten,slijten	sleet	sleten	gesleten	slijt	slijtend
slingeren	slinger	slinger,slingert,slingert,slingeren,slingeren,slingeren	slingerde	slingerden	geslingerd	slinger	slingerend
slinken	slink	slink,slinkt,slinkt,slinken,slinken,slinken	slonk	slonken	geslonken	slink	slinkend
sluimeren	sluimer	sluimer,sluimert,sluimert,sluimeren,sluimeren,sluimeren	sluimerde	sluimerden	gesluimerd	sluimer	sluimerend
sluipen	sluip	sluip,sluipt,sluipt,sluipen,sluipen,sluipen	sloop	slopen	geslopen	sluip	sluipend
sluiten	sluit	sluit,sluit,sluit,sluiten,sluiten,sluiten	sloot	sloten	gesloten	sluit	sluitend
smelten	smelt	smelt,smelt,smelt,smelten,smelten,smelten	smolt	smolten	gesmolten	smelt	smeltend
smijten	smijt	smijt,smijt,smijt,smijten,smijten,smijten	smeet	smeten	gesmeten	smijt	smijtend
sms'en	sms	sms,sms't,sms't,sms'en,sms'en,sms'en	sms'te	sms'ten	ge-sms't	sms	sms'end
snijden	snij	snij,snijdt,snijdt,snijden,snijden,snijden	sneed	sneden	gesneden	snij	snijdend
snuiten	snuit	snuit,snuit,snuit,snuiten,snuiten,snuiten	snoot	snoten	gesnoten	snuit	snuitend
snuiven	snuif	snuif,snuift,snuift,snuiven,snuiven,snuiven	snoof	snoven	gesnoven	snuif	snuivend
spannen	span	span,spant,spant,spannen,spannen,spannen	spande	spanden	gespannen	span	spannend
spetteren	spetter	spetter,spettert,spettert,spetteren,spetteren,spetteren	spetterde	spetterden	gespetterd	spetter	spetterend
spijkeren	spijker	spijker,spijkert,spijkert,spijkeren,spijkeren,spijkeren	spijkerde	spijkerden	gespijkerd	spijker	spijkerend
spijten	spijt	spijt,spijt,spijt,spijten,spijten,spijten	speet	speten	gespeten	spijt	spijtend
splijten	splijt	splijt,splijt,splijt,splijten,splijten,splijten	spleet	spleten	gespleten	splijt	splijtend
sponsoren	sponsor	sponsor,sponsort,sponsort,sponsoren,sponsoren,sponsoren	sponsorde	sponsorden	gesponsord	sponsor	sponsorend
spreken	spreek	spreek,spreekt,spreekt,spreken,spreken,spreken	sprak	spraken	gesproken	spreek	sprekend
springen	spring	spring,springt,springt,springen,springen,springen	sprong	sprongen	gesprongen	spring	springend
spruiten	spruit	spruit,spruit,spruit,spruiten,spruiten,spruiten	sproot	sproten	gesproten	spruit	spruitend
spuiten	spuit	spuit,spuit,spuit,spuiten,spuiten,spuiten	spoot	spoten	gespoten	spuit	spuitend
spuwen	spuw	spuw,spuwt,spuwt,spuwen,spuwen,spuwen	spuwde	spuwden	gespuwd	spuw	spuwend
staan	sta	sta,staat,staat,staan,staan,staan	stond	stonden	gestaan	sta	staand
steigeren	steiger	steiger,steigert,steigert,steigeren,steigeren,steigeren	steigerde	steigerden	gesteigerd	steiger	steigerend
steken	steek	steek,steekt,steekt,steken,steken,steken	stak	staken	gestoken	steek	stekend
stelen	steel	steel,steelt,steelt,stelen,stelen,stelen	stal	stalen	gestolen	steel	stelend
sterven	sterf	sterf,sterft,sterft,sterven,sterven,sterven	stierf	stierven	gestorven	sterf	stervend
stijgen	stijg	stijg,stijgt,stijgt,stijgen,stijgen,stijgen	steeg	stegen	gestegen	stijg	stijgend
stinken	stink	stink,stinkt,stinkt,stinken,stinken,stinken	stonk	stonken	gestonken	stink	stinkend
stoten	stoot	stoot,stoot,stoot,stoten,stoten,stoten	stootte	stootten	gestoten	stoot	stotend
strijden	strijd	strijd,strijdt,strijdt,strijden,strijden,strijden	streed	streden	gestreden	strijd	strijdend
strijken	strijk	strijk,strijkt,strijkt,strijken,strijken,strijken	streek	streken	gestreken	strijk	strijkend
stuiteren	stuiter	stuiter,stuitert,stuitert,stuiteren,stuiteren,stuiteren	stuiterde	stuiterden	gestuiterd	stuiter	stuiterend
stuiven	stuif	stuif,stuift,stuift,stuiven,stuiven,stuiven	stoof	stoven	gestoven	stuif	stuivend
stuwen	stuw	stuw,stuwt,stuwt,stuwen,stuwen,stuwen	stuwde	stuwden	gestuwd	stuw	stuwend
subsidiëren	subsidieer	subsidieer,subsidieert,subsidieert,subsidiëren,subsidiëren,subsidiëren	subsidieerde	subsidieerden	gesubsidieerd	subsidieer	subsidiërend
sudderen	sudder	sudder,suddert,suddert,sudderen,sudderen,sudderen	sudderde	sudderden	gesudderd	sudder	sudderend
tatoeëren	tatoeëer	tatoeëer,tatoeëert,tatoeëert,tatoeëren,tatoeëren,tatoeëren	tatoeëerde	tatoeëerden	getatoeëerd	tatoeëer	tatoeërend
teisteren	teister	teister,teistert,teistert,teisteren,teisteren,teisteren	teisterde	teisterden	geteisterd	teister	teisterend
toeteren	toeter	toeter,toetert,toetert,toeteren,toeteren,toeteren	toeterde	toeterden	getoeterd	toeter	toeterend
toveren	tover	tover,tovert,tovert,toveren,toveren,toveren	toverde	toverden	getoverd	tover	toverend
traliën	tralie	tralie,traliet,traliet,traliën,traliën,traliën	traliede	tralieden	getralied	tralie	traliënd
treden	treed	treed,treedt,treedt,treden,treden,treden	trad	traden	getreden	treed	tredend
treffen	tref	tref,treft,treft,treffen,treffen,treffen	trof	troffen	getroffen	tref	treffend
trekken	trek	trek,trekt,trekt,trekken,trekken,trekken	trok	trokken	getrokken	trek	trekkend
tuchtigen	tuchtig	tuchtig,tuchtigt,tuchtigt,tuchtigen,tuchtigen,tuchtigen	tuchtigde	tuchtigden	getuchtigd	tuchtig	tuchtigend
upgraden	upgrade	upgrade,upgradet,upgradet,upgraden,upgraden,upgraden	upgradede	upgradeden	geüpgraded	upgrade	upgradend
uploaden	upload	upload,uploadt,uploadt,uploaden,uploaden,uploaden	uploadde	uploadden	geüpload	upload	uploadend
urineren	urineer	urineer,urineert,urineert,urineren,urineren,urineren	urineerde	urineerden	geürineerd	urineer	urinerend
vallen	val	val,valt,valt,vallen,vallen,vallen	viel	vielen	gevallen	val	vallend
vangen	vang	vang,vangt,vangt,vangen,vangen,vangen	ving	vingen	gevangen	vang	vangend
varen	vaar	vaar,vaart,vaart,varen,varen,varen	voer	voeren	gevaren	vaar	varend
variëren	varieer	varieer,varieert,varieert,variëren,variëren,variëren	varieerde	varieerden	gevarieerd	varieer	variërend
vechten	vecht	vecht,vecht,vecht,vechten,vechten,vechten	vocht	vochten	gevochten	vecht	vechtend
verafschuwen	verafschuw	verafschuw,verafschuwt,verafschuwt,verafschuwen,verafschuwen,verafschuwen	verafschuwde	verafschuwden	verafschuwd	verafschuw	verafschuwend
veranderen	verander	verander,verandert,verandert,veranderen,veranderen,veranderen	veranderde	veranderden	veranderd	verander	veranderend
verankeren	veranker	veranker,verankert,verankert,verankeren,verankeren,verankeren	verankerde	verankerden	verankerd	veranker	verankerend
verbannen	verban	verban,verbant,verbant,verbannen,verbannen,verbannen	verbande	verbanden	verbannen	verban	verbannend
verbasteren	verbaster	verbaster,verbastert,verbastert,verbasteren,verbasteren,verbasteren	verbasterde	verbasterden	verbasterd	verbaster	verbasterend
verbergen	verberg	verberg,verbergt,verbergt,verbergen,verbergen,verbergen	verborg	verborgen	verborgen	verberg	verbergend
verbeteren	verbeter	verbeter,verbetert,verbetert,verbeteren,verbeteren,verbeteren	verbeterde	verbeterden	verbeterd	verbeter	verbeterend
verbieden	verbied	verbied,verbiedt,verbiedt,verbieden,verbieden,verbieden	verbood	verboden	verboden	verbied	verbiedend
verbijsteren	verbijster	verbijster,verbijstert,verbijstert,verbijsteren,verbijsteren,verbijsteren	verbijsterde	verbijsterden	verbijsterd	verbijster	verbijsterend
verbinden	verbind	verbind,verbindt,verbindt,verbinden,verbinden,verbinden	verbond	verbonden	verbonden	verbind	verbindend
verbitteren	verbitter	verbitter,verbittert,verbittert,verbitteren,verbitteren,verbitteren	verbitterde	verbitterden	verbitterd	verbitter	verbitterend
verblijven	verblijf	verblijf,verblijft,verblijft,verblijven,verblijven,verblijven	verbleef	verbleven	verbleven	verblijf	verblijvend
verbreken	verbreek	verbreek,verbreekt,verbreekt,verbreken,verbreken,verbreken	verbrak	verbraken	verbroken	verbreek	verbrekend
verbuigen	verbuig	verbuig,verbuigt,verbuigt,verbuigen,verbuigen,verbuigen	verboog	verbogen	verbogen	verbuig	verbuigend
verdedigen	verdedig	verdedig,verdedigt,verdedigt,verdedigen,verdedigen,verdedigen	verdedigde	verdedigden	verdedigd	verdedig	verdedigend
verdelen	verdeel	verdeel,verdeelt,verdeelt,verdelen,verdelen,verdelen	verdeelde	verdeelden	verdeeld	verdeel	verdelend
verdenken	verdenk	verdenk,verdenkt,verdenkt,verdenken,verdenken,verdenken	verdacht	verdachten	verdacht	verdenk	verdenkend
verdoen	verdoe	verdoe,verdoet,verdoet,verdoen,verdoen,verdoen	verdeed	verdeden	verdaan	verdoe	verdoend
verdragen	verdraag	verdraag,verdraagt,verdraagt,verdragen,verdragen,verdragen	verdroeg	verdroegen	verdragen	verdraag	verdragend
verdrievoudigen	verdrievoudig	verdrievoudig,verdrievoudigt,verdrievoudigt,verdrievoudigen,verdrievoudigen,verdrievoudigen	verdrievoudigde	verdrievoudigden	verdrievoudigd	verdrievoudig	verdrievoudigend
verdrijven	verdrijf	verdrijf,verdrijft,verdrijft,verdrijven,verdrijven,verdrijven	verdreef	verdreven	verdreven	verdrijf	verdrijvend
verdringen	verdring	verdring,verdringt,verdringt,verdringen,verdringen,verdringen	verdrong	verdrongen	verdrongen	verdring	verdringend
verdrinken	verdrink	verdrink,verdrinkt,verdrinkt,verdrinken,verdrinken,verdrinken	verdronk	verdronken	verdronken	verdrink	verdrinkend
verduisteren	verduister	verduister,verduistert,verduistert,verduisteren,verduisteren,verduisteren	verduisterde	verduisterden	verduisterd	verduister	verduisterend
verdwijnen	verdwijn	verdwijn,verdwijnt,verdwijnt,verdwijnen,verdwijnen,verdwijnen	verdween	verdwenen	verdwenen	verdwijn	verdwijnend
vereenvoudigen	vereenvoudig	vereenvoudig,vereenvoudigt,vereenvoudigt,vereenvoudigen,vereenvoudigen,vereenvoudigen	vereenvoudigde	vereenvoudigden	vereenvoudigd	vereenvoudig	vereenvoudigend
vereeuwigen	vereeuwig	vereeuwig,vereeuwigt,vereeuwigt,vereeuwigen,vereeuwigen,vereeuwigen	vereeuwigde	vereeuwigden	vereeuwigd	vereeuwig	vereeuwigend
verenigen	verenig	verenig,verenigt,verenigt,verenigen,verenigen,verenigen	verenigde	verenigden	verenigd	verenig	verenigend
verergeren	vererger	vererger,verergert,verergert,verergeren,verergeren,verergeren	verergerde	verergerden	verergerd	vererger	verergerend
vergaan	verga	verga,vergaat,vergaat,vergaan,vergaan,vergaan	verging	vergingen	vergaan	verga	vergaand
vergaderen	vergader	vergader,vergadert,vergadert,vergaderen,vergaderen,vergaderen	vergaderde	vergaderden	vergaderd	vergader	vergaderend
vergelden	vergeld	vergeld,vergeldt,vergeldt,vergelden,vergelden,vergelden	vergold	vergolden	vergolden	vergeld	vergeldend
vergelen	vergeel	vergeel,vergeelt,vergeelt,vergelen,vergelen,vergelen	vergeelde	vergeelden	vergeeld	vergeel	vergelend
vergelijken	vergelijk	vergelijk,vergelijkt,vergelijkt,vergelijken,vergelijken,vergelijken	vergeleek	vergeleken	vergeleken	vergelijk	vergelijkend
vergeten	vergeet	vergeet,vergeet,vergeet,vergeten,vergeten,vergeten	vergat	vergaten	vergeten	vergeet	vergetend
vergeven	vergeef	vergeef,vergeeft,vergeeft,vergeven,vergeven,vergeven	vergaf	vergaven	vergeven	vergeef	vergevend
vergiftigen	vergiftig	vergiftig,vergiftigt,vergiftigt,vergiftigen,vergiftigen,vergiftigen	vergiftigde	vergiftigden	vergiftigd	vergiftig	vergiftigend
verglijden	verglijd	verglijd,verglijdt,verglijdt,verglijden,verglijden,verglijden	vergleed	vergleden	vergleden	verglijd	verglijdend
vergrijpen	vergrijp	vergrijp,vergrijpt,vergrijpt,vergrijpen,vergrijpen,vergrijpen	vergreep	vergrepen	vergrepen	vergrijp	vergrijpend
verhangen	verhang	verhang,verhangt,verhangt,verhangen,verhangen,verhangen	verhing	verhingen	verhangen	verhang	verhangend
verheffen	verhef	verhef,verheft,verheft,verheffen,verheffen,verheffen	verhief	verhieven	verheven	verhef	verheffend
verhelpen	verhelp	verhelp,verhelpt,verhelpt,verhelpen,verhelpen,verhelpen	verhielp	verhielpen	verholpen	verhelp	verhelpend
verhinderen	verhinder	verhinder,verhindert,verhindert,verhinderen,verhinderen,verhinderen	verhinderde	verhinderden	verhinderd	verhinder	verhinderend
verhongeren	verhonger	verhonger,verhongert,verhongert,verhongeren,verhongeren,verhongeren	verhongerde	verhongerden	verhongerd	verhonger	verhongerend
verkiezen	verkies	verkies,verkiest,verkiest,verkiezen,verkiezen,verkiezen	verkoos	verkozen	verkozen	verkies	verkiezend
verkondigen	verkondig	verkondig,verkondigt,verkondigt,verkondigen,verkondigen,verkondigen	verkondigde	verkondigden	verkondigd	verkondig	verkondigend
verkopen	verkoop	verkoop,verkoopt,verkoopt,verkopen,verkopen,verkopen	verkocht	verkochten	verkocht	verkoop	verkopend
verkoperen	verkoper	verkoper,verkopert,verkopert,verkoperen,verkoperen,verkoperen	verkoperde	verkoperden	verkoperd	verkoper	verkoperend
verkrijgen	verkrijg	verkrijg,verkrijgt,verkrijgt,verkrijgen,verkrijgen,verkrijgen	verkreeg	verkregen	verkregen	verkrijg	verkrijgend
verlenen	verleen	verleen,verleent,verleent,verlenen,verlenen,verlenen	verleende	verleenden	verleend	verleen	verlenend
verliezen	verlies	verlies,verliest,verliest,verliezen,verliezen,verliezen	verloor	verloren	verloren	verlies	verliezend
verloederen	verloeder	verloeder,verloedert,verloedert,verloederen,verloederen,verloederen	verloederde	verloederden	verloederd	verloeder	verloederend
verlopen	verloop	verloop,verloopt,verloopt,verlopen,verlopen,verlopen	verliep	verliepen	verlopen	verloop	verlopend
verluchtigen	verluchtig	verluchtig,verluchtigt,verluchtigt,verluchtigen,verluchtigen,verluchtigen	verluchtigde	verluchtigden	verluchtigd	verluchtig	verluchtigend
vermageren	vermager	vermager,vermagert,vermagert,vermageren,vermageren,vermageren	vermagerde	vermagerden	vermagerd	vermager	vermagerend
vermeerderen	vermeerder	vermeerder,vermeerdert,vermeerdert,vermeerderen,vermeerderen,vermeerderen	vermeerderde	vermeerderden	vermeerderd	vermeerder	vermeerderend
vermenigvuldigen	vermenigvuldig	vermenigvuldig,vermenigvuldigt,vermenigvuldigt,vermenigvuldigen,vermenigvuldigen,vermenigvuldigen	vermenigvuldigde	vermenigvuldigden	vermenigvuldigd	vermenigvuldig	vermenigvuldigend
vermijden	vermijd	vermijd,vermijdt,vermijdt,vermijden,vermijden,vermijden	vermeed	vermeden	vermeden	vermijd	vermijdend
verminderen	verminder	verminder,vermindert,vermindert,verminderen,verminderen,verminderen	verminderde	verminderden	verminderd	verminder	verminderend
vermogen	vermag	vermag,vermag,vermag,vermogen,vermogen,vermogen	vermocht	vermochten	vermogen	vermag	vermogend
vernederen	verneder	verneder,vernedert,vernedert,vernederen,vernederen,vernederen	vernederde	vernederden	vernederd	verneder	vernederend
vernemen	verneem	verneem,verneemt,verneemt,vernemen,vernemen,vernemen	vernam	vernamen	vernomen	verneem	vernemend
vernietigen	vernietig	vernietig,vernietigt,vernietigt,vernietigen,vernietigen,vernietigen	vernietigde	vernietigden	vernietigd	vernietig	vernietigend
verontreinigen	verontreinig	verontreinig,verontreinigt,verontreinigt,verontreinigen,verontreinigen,verontreinigen	verontreinigde	verontreinigden	verontreinigd	verontreinig	verontreinigend
verontschuldigen	verontschuldig	verontschuldig,verontschuldigt,verontschuldigt,verontschuldigen,verontschuldigen,verontschuldigen	verontschuldigde	verontschuldigden	verontschuldigd	verontschuldig	verontschuldigend
veroordelen	veroordeel	veroordeel,veroordeelt,veroordeelt,veroordelen,veroordelen,veroordelen	veroordeelde	veroordeelden	veroordeeld	veroordeel	veroordelend
verorberen	verorber	verorber,verorbert,verorbert,verorberen,verorberen,verorberen	verorberde	verorberden	verorberd	verorber	verorberend
verouderen	verouder	verouder,veroudert,veroudert,verouderen,verouderen,verouderen	verouderde	verouderden	verouderd	verouder	verouderend
veroveren	verover	verover,verovert,verovert,veroveren,veroveren,veroveren	veroverde	veroverden	veroverd	verover	veroverend
verpieteren	verpieter	verpieter,verpietert,verpietert,verpieteren,verpieteren,verpieteren	verpieterde	verpieterden	verpieterd	verpieter	verpieterend
verpletteren	verpletter	verpletter,verplettert,verplettert,verpletteren,verpletteren,verpletteren	verpletterde	verpletterden	verpletterd	verpletter	verpletterend
verraden	verraad	verraad,verraadt,verraadt,verraden,verraden,verraden	verried	verrieden	verraden	verraad	verradend
verrijzen	verrijs	verrijs,verrijst,verrijst,verrijzen,verrijzen,verrijzen	verrees	verrezen	verrezen	verrijs	verrijzend
verschieten	verschiet	verschiet,verschiet,verschiet,verschieten,verschieten,verschieten	verschoot	verschoten	verschoten	verschiet	verschietend
verschijnen	verschijn	verschijn,verschijnt,verschijnt,verschijnen,verschijnen,verschijnen	verscheen	verschenen	verschenen	verschijn	verschijnend
verschuilen	verschuil	verschuil,verschuilt,verschuilt,verschuilen,verschuilen,verschuilen	verschool	verscholen	verscholen	verschuil	verschuilend
verschuiven	verschuif	verschuif,verschuift,verschuift,verschuiven,verschuiven,verschuiven	verschoof	verschoven	verschoven	verschuif	verschuivend
verslaan	versla	versla,verslaat,verslaat,verslaan,verslaan,verslaan	versloeg	versloegen	verslagen	versla	verslaand
verslechteren	verslechter	verslechter,verslechtert,verslechtert,verslechteren,verslechteren,verslechteren	verslechterde	verslechterden	verslechterd	verslechter	verslechterend
verslijten	verslijt	verslijt,verslijt,verslijt,verslijten,verslijten,verslijten	versleet	versleten	versleten	verslijt	verslijtend
verslinden	verslind	verslind,verslindt,verslindt,verslinden,verslinden,verslinden	verslond	verslonden	verslonden	verslind	verslindend
versmelten	versmelt	versmelt,versmelt,versmelt,versmelten,versmelten,versmelten	versmolt	versmolten	versmolten	versmelt	versmeltend
versnipperen	versnipper	versnipper,versnippert,versnippert,versnipperen,versnipperen,versnipperen	versnipperde	versnipperden	versnipperd	versnipper	versnipperend
versomberen	versomber	versomber,versombert,versombert,versomberen,versomberen,versomberen	versomberde	versomberden	versomberd	versomber	versomberend
verstaan	versta	versta,verstaat,verstaat,verstaan,verstaan,verstaan	verstond	verstonden	verstaan	versta	verstaand
verstenen	versteen	versteen,versteent,versteent,verstenen,verstenen,verstenen	versteende	versteenden	versteend	versteen	verstenend
verstoten	verstoot	verstoot,verstoot,verstoot,verstoten,verstoten,verstoten	verstootte	verstootten	verstoten	verstoot	verstotend
verstrijken	verstrijk	verstrijk,verstrijkt,verstrijkt,verstrijken,verstrijken,verstrijken	verstreek	verstreken	verstreken	verstrijk	verstrijkend
vertegenwoordigen	vertegenwoordig	vertegenwoordig,vertegenwoordigt,vertegenwoordigt,vertegenwoordigen,vertegenwoordigen,vertegenwoordigen	vertegenwoordigde	vertegenwoordigden	vertegenwoordigd	vertegenwoordig	vertegenwoordigend
vertrekken	vertrek	vertrek,vertrekt,vertrekt,vertrekken,vertrekken,vertrekken	vertrok	vertrokken	vertrokken	vertrek	vertrekkend
vervaardigen	vervaardig	vervaardig,vervaardigt,vervaardigt,vervaardigen,vervaardigen,vervaardigen	vervaardigde	vervaardigden	vervaardigd	vervaardig	vervaardigend
vervallen	verval	verval,vervalt,vervalt,vervallen,vervallen,vervallen	verviel	vervielen	vervallen	verval	vervallend
vervangen	vervang	vervang,vervangt,vervangt,vervangen,vervangen,vervangen	verving	vervingen	vervangen	vervang	vervangend
vervelen	verveel	verveel,verveelt,verveelt,vervelen,vervelen,vervelen	verveelde	verveelden	verveeld	verveel	vervelend
vervliegen	vervlieg	vervlieg,vervliegt,vervliegt,vervliegen,vervliegen,vervliegen	vervloog	vervlogen	vervlogen	vervlieg	vervliegend
verwelkomen	verwelkom	verwelkom,verwelkomt,verwelkomt,verwelkomen,verwelkomen,verwelkomen	verwelkomde	verwelkomden	verwelkomd	verwelkom	verwelkomend
verwerpen	verwerp	verwerp,verwerpt,verwerpt,verwerpen,verwerpen,verwerpen	verwierp	verwierpen	verworpen	verwerp	verwerpend
verwerven	verwerf	verwerf,verwerft,verwerft,verwerven,verwerven,verwerven	verwierf	verwierven	verworven	verwerf	verwervend
verwijderen	verwijder	verwijder,verwijdert,verwijdert,verwijderen,verwijderen,verwijderen	verwijderde	verwijderden	verwijderd	verwijder	verwijderend
verwijten	verwijt	verwijt,verwijt,verwijt,verwijten,verwijten,verwijten	verweet	verweten	verweten	verwijt	verwijtend
verwijzen	verwijs	verwijs,verwijst,verwijst,verwijzen,verwijzen,verwijzen	verwees	verwezen	verwezen	verwijs	verwijzend
verwilderen	verwilder	verwilder,verwildert,verwildert,verwilderen,verwilderen,verwilderen	verwilderde	verwilderden	verwilderd	verwilder	verwilderend
verwittigen	verwittig	verwittig,verwittigt,verwittigt,verwittigen,verwittigen,verwittigen	verwittigde	verwittigden	verwittigd	verwittig	verwittigend
verwonderen	verwonder	verwonder,verwondert,verwondert,verwonderen,verwonderen,verwonderen	verwonderde	verwonderden	verwonderd	verwonder	verwonderend
verwringen	verwring	verwring,verwringt,verwringt,verwringen,verwringen,verwringen	verwrong	verwrongen	verwrongen	verwring	verwringend
verzadigen	verzadig	verzadig,verzadigt,verzadigt,verzadigen,verzadigen,verzadigen	verzadigde	verzadigden	verzadigd	verzadig	verzadigend
verzekeren	verzeker	verzeker,verzekert,verzekert,verzekeren,verzekeren,verzekeren	verzekerde	verzekerden	verzekerd	verzeker	verzekerend
verzenden	verzend	verzend,verzendt,verzendt,verzenden,verzenden,verzenden	verzond	verzonden	verzonden	verzend	verzendend
verzinnen	verzin	verzin,verzint,verzint,verzinnen,verzinnen,verzinnen	verzon	verzonnen	verzonnen	verzin	verzinnend
verzoeken	verzoek	verzoek,verzoekt,verzoekt,verzoeken,verzoeken,verzoeken	verzocht	verzochten	verzocht	verzoek	verzoekend
verzuipen	verzuip	verzuip,verzuipt,verzuipt,verzuipen,verzuipen,verzuipen	verzoop	verzopen	verzopen	verzuip	verzuipend
verzwinden	verzwind	verzwind,verzwindt,verzwindt,verzwinden,verzwinden,verzwinden	verzwond	verzwonden	verzwonden	verzwind	verzwindend
vestigen	vestig	vestig,vestigt,vestigt,vestigen,vestigen,vestigen	vestigde	vestigden	gevestigd	vestig	vestigend
vinden	vind	vind,vindt,vindt,vinden,vinden,vinden	vond	vonden	gevonden	vind	vindend
vlechten	vlecht	vlecht,vlecht,vlecht,vlechten,vlechten,vlechten	vlocht	vlochten	gevlochten	vlecht	vlechtend
vlieden	vlied	vlied,vliedt,vliedt,vlieden,vlieden,vlieden	vlood	vloden	gevloden	vlied	vliedend
vliegen	vlieg	vlieg,vliegt,vliegt,vliegen,vliegen,vliegen	vloog	vlogen	gevlogen	vlieg	vliegend
vlieten	vliet	vliet,vliet,vliet,vlieten,vlieten,vlieten	vloot	vloten	gevloten	vliet	vlietend
vlinderen	vlinder	vlinder,vlindert,vlindert,vlinderen,vlinderen,vlinderen	vlinderde	vlinderden	gevlinderd	vlinder	vlinderend
voederen	voeder	voeder,voedert,voedert,voederen,voederen,voederen	voederde	voederden	gevoederd	voeder	voederend
volbrengen	volbreng	volbreng,volbrengt,volbrengt,volbrengen,volbrengen,volbrengen	volbracht	volbrachten	volbracht	volbreng	volbrengend
voldoen	voldoe	voldoe,voldoet,voldoet,voldoen,voldoen,voldoen	voldeed	voldeden	voldaan	voldoe	voldoend
voleindigen	voleindig	voleindig,voleindigt,voleindigt,voleindigen,voleindigen,voleindigen	voleindigde	voleindigden	voleindigd	voleindig	voleindigend
volharden	volhard	volhard,volhardt,volhardt,volharden,volharden,volharden	volhardde	volhardden	volhard	volhard	volhardend
volstaan	volsta	volsta,volstaat,volstaat,volstaan,volstaan,volstaan	volstond	volstonden	volstaan	volsta	volstaand
voltooien	voltooi	voltooi,voltooit,voltooit,voltooien,voltooien,voltooien	voltooide	voltooiden	voltooid	voltooi	voltooiend
voltrekken	voltrek	voltrek,voltrekt,voltrekt,voltrekken,voltrekken,voltrekken	voltrok	voltrokken	voltrokken	voltrek	voltrekkend
voorkomen	voorkom	voorkom,voorkomt,voorkomt,voorkomen,voorkomen,voorkomen	voorkwam	voorkwamen	voorgekomen	voorkom	voorkomend
voorspellen	voorspel	voorspel,voorspelt,voorspelt,voorspellen,voorspellen,voorspellen	voorspelde	voorspelden	voorspeld	voorspel	voorspellend
voorzien	voorzie	voorzie,voorziet,voorziet,voorzien,voorzien,voorzien	voorzag	voorzagen	voorzien	voorzie	voorziend
vorderen	vorder	vorder,vordert,vordert,vorderen,vorderen,vorderen	vorderde	vorderden	gevorderd	vorder	vorderend
vragen	vraag	vraag,vraagt,vraagt,vragen,vragen,vragen	vroeg	vroegen	gevraagd	vraag	vragend
vreten	vreet	vreet,vreet,vreet,vreten,vreten,vreten	vrat	vraten	gevreten	vreet	vretend
vriezen	vries	vries,vriest,vriest,vriezen,vriezen,vriezen	vroor	vroren	gevroren	vries	vriezend
vrijen	vrij	vrij,vrijt,vrijt,vrijen,vrijen,vrijen	vree	vreeën	gevreeën	vrij	vrijend
waarschuwen	waarschuw	waarschuw,waarschuwt,waarschuwt,waarschuwen,waarschuwen,waarschuwen	waarschuwde	waarschuwden	gewaarschuwd	waarschuw	waarschuwend
wapperen	wapper	wapper,wappert,wappert,wapperen,wapperen,wapperen	wapperde	wapperden	gewapperd	wapper	wapperend
wedijveren	wedijver	wedijver,wedijvert,wedijvert,wedijveren,wedijveren,wedijveren	wedijverde	wedijverden	gewedijverd	wedijver	wedijverend
weergalmen	weergalm	weergalm,weergalmt,weergalmt,weergalmen,weergalmen,weergalmen	weergalmde	weergalmden	weergalmd	weergalm	weergalmend
weerhouden	weerhou	weerhou,weerhoudt,weerhoudt,weerhouden,weerhouden,weerhouden	weerhield	weerhielden	weerhouden	weerhou	weerhoudend
weerkaatsen	weerkaats	weerkaats,weerkaatst,weerkaatst,weerkaatsen,weerkaatsen,weerkaatsen	weerkaatste	weerkaatsten	weerkaatst	weerkaats	weerkaatsend
weerleggen	weerleg	weerleg,weerlegt,weerlegt,weerleggen,weerleggen,weerleggen	weerlegde	weerlegden	weerlegd	weerleg	weerleggend
weerspiegelen	weerspiegel	weerspiegel,weerspiegelt,weerspiegelt,weerspiegelen,weerspiegelen,weerspiegelen	weerspiegelde	weerspiegelden	weerspiegeld	weerspiegel	weerspiegelend
weerstaan	weersta	weersta,weerstaat,weerstaat,weerstaan,weerstaan,weerstaan	weerstond	weerstonden	weerstaan	weersta	weerstaand
wegen	weeg	weeg,weegt,weegt,wegen,wegen,wegen	woog	wogen	gewogen	weeg	wegend
