# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
אַרײַנמאַכן	-	-	-	-	-	-	-	-	-	אַרײַנגעמאַכט	-
אַרײַנרײַסן	-	-	-	-	-	-	-	-	אַרײַןרײַסנדיק	אַרײַנגעריסן	-
אַרײַנשטעלן	-	-	-	-	-	-	-	-	-	אַרײַנגעשטעלט	-
אַרײַנשיקן	-	-	-	-	-	-	-	-	-	אַרײַנגעשיקט	-
אַרײַנשרײַבן	-	-	-	-	-	-	-	-	-	אַרײַנגעשריבן	-
אַװעקברענגען	-	-	-	-	-	-	-	-	אַוועקברענגענדיק	אַוועקגעברענגט	-
אָבסטרויִרן	-	-	-	-	-	-	-	-	-	אָבסטרויִרט	-
אָבסערווירן	-	-	-	-	-	-	-	-	-	אָבסערווירט	-
אָטכאַיען	-	-	-	-	-	-	-	-	-	אָטכאַיעט	-
אָנהויפֿן	-	-	-	-	-	-	-	-	-	אָנגעהויפֿט	-
אָנהייבן	-	-	-	-	-	-	-	-	אָןהייבנדיק	אָנגעהויבן	-
אָנוואַרעמען	-	-	-	-	-	-	-	-	-	אָנגעוואַרעמט	-
אָנווערן	-	-	-	-	-	-	-	-	-	אָנגעוואָרן	-
אָנחזירן	-	-	-	-	-	-	-	-	-	אָנגעחזירט	-
אָנטאָן	-	-	-	-	-	-	-	-	אָןטוענדיק	אָנגעטאָן	-
אָנכאַפּן	-	-	-	-	-	-	-	-	-	אָנגעכאַפּט	-
אָנפֿיצקען	-	-	-	-	-	-	-	-	אָנפֿיצקנדיק	אָנגעפֿיצקעט	-
אָנפֿירן	-	-	-	-	-	-	-	-	אָנפֿירנענדיק	אָנגעפֿירנט	-
אָנצינדן	-	-	-	-	-	-	-	-	אָןצינדנדיק	אָנגעצונדן	-
אָנקומען	-	-	-	-	-	-	-	-	אָןקומענדיק	אָןגעקומען	-
אָנקלאָגן	-	-	-	-	-	-	-	-	-	אָנקלאָגט	-
אָנרויגענען	-	-	-	-	-	-	-	-	אָנרויגענדיק	אָנגערויגענט	-
אָנרופֿן	-	-	-	-	-	-	-	-	אָןרופֿנדיק	אָןגערופֿט	-
אָנרירן	-	-	-	-	-	-	-	-	אָןרירנדיק	אָןגערירן	-
אָנרײַסן	-	-	-	-	-	-	-	-	-	אָנגעריסן	-
אָנשיכּורן	-	-	-	-	-	-	-	-	אָנשישכּורנדיק	אָנגעשיכּורט	-
אָנשפּאַרן	-	-	-	-	-	-	-	-	אָןשפּאַרנדיק	אָןגעשפּאַרט	-
אָפּבאַרשטן	-	-	-	-	-	-	-	-	-	אָפּגעבאָרשטן	-
אָפּבערשטן	-	-	-	-	-	-	-	-	-	אָפּגעבערשט	-
אָפּבײַסן	-	-	-	-	-	-	-	-	-	אָפּגעביסן	-
אָפּהאַלטן	-	-	-	-	-	-	-	-	-	אָפּגעהאַלט	-
אָפּוואַקסן	-	-	-	-	-	-	-	-	-	אָפּגעוואַקסן	-
אָפּחתמענען	-	-	-	-	-	-	-	-	אָפּחתמענדיק	אָפּגעחתמעט	-
אָפּטאָן	-	-	-	-	-	-	-	-	אָפּטוענדיק	אָפּגעטאָן	-
