# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
וויאַלען	וויאַלע	וויאַלעסט	וויאַלעט	-	וויאַלעט	-	וויאַלע	וויאַלעט	-	געוויאַלעט	-
וויאַנען	וויאַנע	וויאַנעסט	וויאַנעט	-	וויאַנעט	-	וויאַנע	וויאַנעט	-	געוויאַנעט	-
ווינטשן	-	-	-	-	-	-	-	-	-	געוווּנטשן	-
וויסן	ווייס	ווייסט	ווייס	ווייסן	ווייסט	ווייסן	-	-	-	געוווּסט	-
וועגן	-	-	-	-	-	-	-	-	-	געווויגן	-
וועלן	-	-	-	-	-	-	-	-	-	געוואָלט	-
ווענדן	-	-	ווענדט	-	ווענדט	-	-	ווענדט	-	-	-
ווערן	-	-	-	-	-	-	-	-	-	געוואָרן	-
ווײַזן	-	-	-	-	-	-	-	-	-	געוויזן	-
זאָלן	-	-	זאָל	-	-	-	-	-	-	-	-
זויגן	-	-	-	-	-	-	-	-	-	געזויגן	-
זידן	-	-	זידט	-	זידט	-	-	זידט	-	געזאָטן	-
זייגן	-	-	-	-	-	-	-	-	-	געזויגן	-
זייען	זיי	זייסט	זייט	-	זייט	-	זיי	זייט	-	געזייט	-
זינגען	-	-	-	-	-	-	-	-	-	געזונגען	-
זיצן	-	-	-	-	-	-	-	-	-	געזעסן	-
זען	-	-	-	זעען	-	זעען	-	-	זעענדיק	געזען	-
זשענירן	-	-	-	-	-	-	-	-	-	זשענירט	-
זײַן	בין	ביסט	איז	-	-	-	-	-	זײַענדיק	געווען	-
חלש׳ן	חלש	-	-	-	-	-	-	-	-	גע׳חלש׳ט	-
חנפֿענען	חנפֿע	חנפֿעסט	חנפֿעט	-	חנפֿעט	-	חנפֿע	חנפֿעט	-	געחנפֿעט	-
חתמענען	חתמע	חתמעסט	חתמעט	-	חתמעט	-	חתמע	חתמעט	-	געחתמעט	-
טאַטויִרן	-	-	-	-	-	-	-	-	-	טאַטויִרט	-
טאָן	טו	טוסט	טוט	טוען	טוט	טוען	טו	טוט	טוענדיק	געטאָן	-
טאָרן	-	-	טאָר	-	-	-	טאָרע	טאָרעט	-	-	-
טון	-	-	-	טוען	-	טוען	-	-	טוענדיק	געטון	-
טונקען	טונק	טונקסט	טונקט	-	טונקט	-	טונק	טונקט	-	געטונקט	-
טייטן	-	-	-	-	-	-	-	-	-	געטייט	-
טעלעגראַפֿירן	-	-	-	-	-	-	-	-	-	טעלעגראַפֿירט	-
טעלעפּאָרטירן	-	-	-	-	-	-	-	-	-	טעלעפּאָרטירט	-
טעלעפֿאָנירן	-	-	-	-	-	-	-	-	-	טעלעפֿאָנירט	-
טראַכטן	-	-	-	-	-	-	-	-	-	געטראַכט	-
טראָגן	-	-	-	-	-	-	-	-	-	געטראָגן	-
טרייסטן	-	טרײסט	-	-	-	-	-	-	-	געטרייסט	-
טרינקען	טרינק	טרינקסט	טרינקט	-	טרינקט	-	טרינק	טרינקט	-	געטרונקען	-
טריקענען	טריקן	טריקנסט	טריקנט	-	טריקנט	-	טריקן	טריקנט	-	געטריקנט	-
טרעטן	-	-	-	-	-	-	-	-	-	געטראָטנ	-
טרענקען	טרענק	טרענקסט	טרענקט	-	טרענקט	-	טרענק	טרענקט	-	געטראָנקען	-
טרעפֿן	-	-	-	-	-	-	-	-	-	געטראָפֿן	-
טרעשטשען	טרעשטש	טרעשטשסט	טרעשטשט	-	טרעשטשט	-	טרעשטש	טרעשטשט	-	געטרעשטשט	-
טרײַבן	-	-	-	-	-	-	-	-	-	געטריבן	-
טשעפּן	טשעפּע	טשעפּעסט	טשעפּעט	-	טשעפּעט	-	טשעפּע	טשעפּעט	-	געטשעפּעט	-
ירשענען	ירשנע	ירשנעסט	ירשנעט	ירשנען	ירשנעט	ירשנען	ירשנע	ירשנעט	ירשנענדיק	געירשנט	-
כלײַען	כלײַע	כלײַעסט	כלײַעט	-	כלײַעט	-	כלײַע	כלײַעט	-	געכלײַעט	-
לאַנדן	-	-	לאַנדט	-	לאַנדט	-	-	לאַנדט	-	געלאַנדעט	-
לאַנצירן	-	-	-	-	-	-	-	-	-	לאַנצירט	-
לאָדן	-	-	לאָדט	-	לאָדט	-	-	לאָדט	-	געלאָדן	-
לויפֿן	-	-	-	-	-	-	-	-	-	געלאָפֿן	-
ליגן	-	-	-	-	-	-	-	-	-	געלעגן	-
לייטן	-	-	-	-	-	-	-	-	-	געלייט	-
לייקענען	לייקן	לייקנסט	לייקנט	-	לייקנט	-	לייקן	לייקנט	-	געלייקנט	-
לעכצן	-	לעכצט	-	-	-	-	-	-	-	-	-
לעשן	-	-	-	-	-	-	-	-	-	געלאָשן	-
לײַדן	-	-	לײַדט	-	לײַדט	-	-	לײַדט	-	געליטן	-
לײַכטן	-	-	-	-	-	-	-	-	-	געלויכטן	-
לײַען	-	-	-	-	-	-	-	-	-	געליִען	-
מאָפן	-	מאָפֿסט	-	-	-	-	-	-	-	-	-
מאָרדן	-	-	מאָרדט	-	מאָרדט	-	-	מאָרדט	-	-	-
מוזן	-	-	מוז	-	-	-	-	-	-	-	-
מיטאַרבעטן	-	-	-	-	-	-	-	-	-	מיטגעאַרבעט	-
מיטגיין	-	-	-	-	-	-	-	-	מיטגייענדיק	מיטגעגאַנגען	-
מיטנעמען	-	-	-	-	-	-	-	-	-	מיטגענומען	-
מיסטיקן	-	-	-	-	-	-	-	-	-	געמיסטיקט	-
מישפּטן	-	-	-	-	-	-	-	-	-	געמישפּט	-
ממיתן	-	ממיתט	-	-	-	-	-	-	-	-	-
מעגן	-	-	מעג	-	-	-	-	-	-	-	-
מעלדן	-	-	מעלדט	-	מעלדט	-	-	מעלדט	-	געמאָלדן	-
מעלקן	-	-	-	-	-	-	-	-	-	געמאָלקן	-
מעסטן	-	מעסט	-	-	-	-	-	-	-	געמאָסטן	-
מפּלען	מפּלע	מפּלעסט	מפּלעט	-	מפּלעט	-	מפּלע	מפּלעט	-	געמפּלעט	-
משפּטן	-	-	-	-	-	-	-	-	-	געמשפּט	-
מײַדן	-	-	מײַדט	-	מײַדט	-	-	מײַדט	-	געמיטן	-
נאָכגיין	-	-	-	-	-	-	-	-	נאָכגייענדיק	נאָכגעגאַנגען	-
נאָכטאָן	-	-	-	-	-	-	-	-	נאָכטוענדיק	נאָכגעטאָן	-
נאָכטײַטן	-	-	-	-	-	-	-	-	-	נאָכגעטײַט	-
נאָכיאָגן	-	-	-	-	-	-	-	-	-	נאָכגעיאָגט	-
נאָכלויפֿן	-	-	-	-	-	-	-	-	-	נאָכגעלאָפֿן	-
נאָכסלידעווען	-	-	-	-	-	-	-	-	-	נאָכגעסלידעוועט	-
נאָכפֿאָלגן	-	-	-	-	-	-	-	-	-	נאָכגעפֿאָלגט	-
נאָכציילן	-	-	-	-	-	-	-	-	-	נאָכגעציילט	-
נאָכקוקן	-	-	-	-	-	-	-	-	-	נאָכגעקוקט	-
נאָכשטופּן	-	-	-	-	-	-	-	-	-	נאָכגעשטופּט	-
נאָכשלאַדעווען	-	-	-	-	-	-	-	-	נאָכשלאַדעוונדיק	נאָכגעשלאַדעוועט	-
ניין	-	-	-	נייען	-	נייען	-	-	נייענדיק	-	-
נייען	ניי	נייסט	נייט	-	נייט	-	ניי	נייט	-	גענייט	-
ניסן	-	-	-	-	-	-	-	-	-	גענאָסן	-
נע־ונדעווען	-	-	-	-	-	-	-	-	navenadevendik	genavenadevet	navenadeven
נעמען	-	-	-	-	-	-	-	-	-	גענומען	-
נערווירן	-	-	-	-	-	-	-	-	-	נערווירט	-
סטאַזשירן	-	-	-	-	-	-	-	-	-	סטאַזשירט	-
סיגנאַליזירן	-	-	-	-	-	-	-	-	-	סיגנאַליזירט	-
סעקולאַריזירן	-	-	-	-	-	-	-	-	-	סעקולאַריזירט	-
עכאָיִרן	-	-	-	-	-	-	-	-	-	עכאָיִרט	-
עסן	-	-	-	-	-	-	-	-	-	געגעסן	-
עפֿענען	עפֿן	עפֿנסט	עפֿנט	-	עפֿנט	-	עפֿן	עפֿנט	-	געעפֿנט	-
עפֿעקטיווירן	-	-	-	-	-	-	-	-	-	עפֿעקטיווירט	-
ערלעדיגן	-	-	-	-	-	-	-	-	-	געערלעדיגט	-
פּאַסירן	-	-	-	-	-	-	-	-	-	פּאַסירט	-
פּאַשען	פּאַש	פּאַשסט	פּאַשט	-	פּאַשט	-	פּאַש	פּאַשט	-	געפּאַשט	-
פּאָלירן	-	-	-	-	-	-	-	-	-	פּאָלירט	-
פּובליקירן	-	-	-	-	-	-	-	-	-	פּובליקירט	-
פּולוועריזירן	-	-	-	-	-	-	-	-	-	פּולוועריזירט	-
פּוסט־און־פּאַסעווען	-	-	-	-	-	-	-	-	-	פּוסט־און־פּאַסעוועט	-
פּסקענען	פּסקן	פּסקנסט	פּסקנט	-	פּסקנט	-	פּסקן	פּסקנט	-	געפּסקנט	-
פּראָטעזשירן	-	-	-	-	-	-	-	-	-	פּראָטעזשירט	-
פּראָצעסירן	-	-	-	-	-	-	-	-	-	פּראָצעסירט	-
פּרעפֿערירן	-	-	-	-	-	-	-	-	-	פּרעפֿערירט	-
פֿאַלן	-	-	-	-	-	-	-	-	-	געפֿאַלן	-
פֿאַנגען	-	-	-	-	-	-	-	-	-	געפֿאַנגען	-
פֿאַסטן	-	פֿאַסט	-	-	-	-	-	-	-	געפֿאַסט	-
פֿאַראַכטן	-	-	-	-	-	-	-	-	-	פֿאַראַכט	-
פֿאַרבינדן	-	-	פֿאַרבינדט	-	פֿאַרבינדט	-	-	פֿאַרבינדט	-	פֿאַרבונדן	-
פֿאַרבלאָנדזשען	פֿאַרבלאָנדזש	פֿאַרבלאָנדזשסט	פֿאַרבלאָנדזשט	-	פֿאַרבלאָנדזשט	-	פֿאַרבלאָנדזש	פֿאַרבלאָנדזשט	-	פֿאַרבלאָנדזשט	-
פֿאַרבן	-	-	-	-	-	-	-	-	-	געפֿאָרבן	-
פֿאַרבענען	-	-	-	-	-	-	-	-	-	פֿאַרברענט	-
פֿאַרברעכן	-	-	-	-	-	-	-	-	-	פֿאַרבראָכן	-
פֿאַרברענגען	-	-	-	-	-	-	-	-	-	פֿאַרבראַכט	-
פֿאַרבײַאײַלן	-	-	-	-	-	-	-	-	-	פֿאַרבײַגעאײַלט	-
פֿאַרבײַגיין	-	-	-	-	-	-	-	-	פֿאַרבײַגייענדיק	פֿאַרבײַגעגאַנגען	-
פֿאַרבײַטן	-	-	-	-	-	-	-	-	-	פֿאַרביטן	-
פֿאַרבײַלאָזן	-	-	-	-	-	-	-	-	-	פֿאַרבײַגעלאָזט	-
פֿאַרבײַלויפֿן	-	-	-	-	-	-	-	-	-	פֿאַרבײַגעלאָפֿן	-
פֿאַרבײַסן	-	-	-	-	-	-	-	-	-	פֿאַרביסן	-
פֿאַרבײַפֿאָרן	-	-	-	-	-	-	-	-	-	פֿאַרבײַגעפֿאָרן	-
פֿאַרבײַפֿליִען	-	-	-	-	-	-	-	-	-	פֿאַרבײַגעפֿלויגן	-
פֿאַרגוואַלדיקן	-	-	-	-	-	-	-	-	-	פֿאַרגװאַלדיקט	-
פֿאַרגיין	-	-	-	גייען	-	גייען	-	-	גייענדיק	פֿאַרגאַנגען	-
פֿאַרגינען	-	-	-	-	-	-	-	-	-	פֿאַרגונען	-
פֿאַרגיפֿטן	-	-	-	-	-	-	-	-	-	פֿאַרגיפֿט	-
פֿאַרגלײַכן	-	-	-	-	-	-	-	-	-	פֿאַרגליכן	-
פֿאַרגעבן	פֿאַרגיב	פֿאַרגיסט	פֿאַרגיט	פֿאַרגיבן	פֿאַרגיט	פֿאַרגיבן	פֿאַרגיב	פֿאַרגיט	-	פֿאַרגעבן	-
פֿאַרגעסן	-	-	-	-	-	-	-	-	-	פֿאַרגעסן	-
פֿאַרדאַרבן	-	-	-	-	-	-	-	-	-	פֿאַרדאָרבן	-
פֿאַרדינגען	-	-	-	-	-	-	-	-	-	פֿאַרדונגען	-
פֿאַרדרייען	פֿאַרדריי	פֿאַרדרייסט	פֿאַרדרייט	-	פֿאַרדרייט	-	פֿאַרדריי	פֿאַרדרייט	-	פֿאַרדרייט	-
פֿאַרדריסן	-	-	-	-	-	-	-	-	-	פֿאַרדראָסן	-
פֿאַרהויכן	-	-	-	-	-	-	-	-	-	געפֿאַרהויכט	-
פֿאַרוואַלטן	-	-	-	-	-	-	-	-	-	פֿאַרוואַלט	-
פֿאַרוויגן	פֿאַרוויגט	פֿאַרוויגטסט	-	פֿאַרוויגטן	-	פֿאַרוויגטן	פֿאַרוויגט	-	פֿאַרוויגטנדיק	געפֿאַרוויגט	-
פֿאַרוויסטן	-	-	-	-	-	-	-	-	-	פֿאַרוויסט	-
פֿאַרטרעטן	-	-	-	-	-	-	-	-	-	פֿאַרטראָטן	-
פֿאַריתומען	-	-	-	-	-	-	-	-	-	געפֿאַריתומט	-
פֿאַרכאַפּן	-	-	-	-	-	-	-	-	-	געפֿאַרכאַפּט	-
פֿאַרלירן	-	-	-	-	-	-	-	-	-	פֿאַרלוירן	-
פֿאַרלענדן	-	-	פֿאַרלענדט	-	פֿאַרלענדט	-	-	פֿאַרלענדט	-	פֿאַרלענדעט	-
פֿאַרמישפּטן	-	-	-	-	-	-	-	-	-	פֿאַרמישפּטן	-
פֿאַרמעסטן	-	פֿאַרמעסט	-	-	-	-	-	-	-	פֿאַרמאָסטן	-
פֿאַרמשפּטן	-	-	-	-	-	-	-	-	-	פֿאַרמשפּטן	-
פֿאַרנייען	פֿאַרניי	פֿאַרנייסט	פֿאַרנייט	-	פֿאַרנייט	-	פֿאַרניי	פֿאַרנייט	-	פֿאַרנייט	-
פֿאַרעסן	-	-	-	-	-	-	-	-	-	געפֿאַרעסט	-
פֿאַרפּראָסטעווען	פֿאַרפּראָסטעוו	פֿאַרפּראָסטעווסט	פֿאַרפּראָסטעווט	-	פֿאַרפּראָסטעווט	-	פֿאַרפּראָסטעוו	פֿאַרפּראָסטעווט	-	-	-
פֿאַרפֿאַסטן	-	-	-	-	-	-	-	-	-	פֿאַרפֿאַסט	-
פֿאַרצייכענען	פֿאַרצייכן	פֿאַרצייכנסט	פֿאַרצייכנט	-	פֿאַרצייכנט	-	פֿאַרצייכן	פֿאַרצייכנט	-	פֿאַרצייכנט	-
פֿאַרקנעכטן	-	-	-	-	-	-	-	-	-	פֿאַרקנעכט	-
פֿאַרראָטן	-	-	-	-	-	-	-	-	-	פֿאַרראָטן	-
פֿאַרריכטן	-	-	-	-	-	-	-	-	-	פֿאַרראָכטן	-
פֿאַררעכטן	-	-	-	-	-	-	-	-	-	פֿאַרראָכטן	-
פֿאַררײַסן	-	-	-	-	-	-	-	-	-	פֿאַרריסן	-
פֿאַרשטאַרבן	-	-	-	-	-	-	-	-	-	פֿאַרשטאָרבן	-
פֿאַרשטיין	-	-	-	פֿאַרשטייען	-	פֿאַרשטייען	-	-	פֿאַרשטענדיק	פֿאַרשטאַנען	-
פֿאַרשפּרייטן	-	-	-	-	-	-	-	-	-	פֿאַרשפּרייט	-
פֿאַרשפּרעכן	-	-	-	-	-	-	-	-	-	פֿאַרשפּראָכן	-
פֿאַרשרצן	-	פֿאַרשרצט	-	-	-	-	-	-	-	-	-
פֿאָטאָגראַפֿירן	-	-	-	-	-	-	-	-	-	פֿאָטאָגראַפֿירט	-
פֿאָרוואַרפֿן	-	-	-	-	-	-	-	-	-	פֿאָרגעוואָרפֿן	-
פֿאָרויסגיין	-	-	-	-	-	-	-	-	פֿאָרויסגייענדיק	פֿאָרויסגעגאַנגען	-
פֿאָרויסזאָגן	-	-	-	-	-	-	-	-	-	פֿאָרויסגעזאָגט	-
פֿאָרויסזען	-	-	-	-	-	-	-	-	פֿאָרויסזעענדיק	פֿאָרויסגעזען	-
פֿאָרויספֿילן	-	-	-	-	-	-	-	-	-	פֿאָרויסגעפֿילט	-
פֿאָרן	-	-	-	-	-	-	-	-	-	געפֿאָרן	-
פֿונאַנדעראַרבעטן	-	-	-	-	-	-	-	-	-	פֿונאַנדערגעאַרבעט	-
פֿונאַנדערבויען	-	-	-	-	-	-	-	-	-	פֿונאַנדערגעבויט	-
פֿונאַנדערבינדן	-	-	-	-	-	-	-	-	-	פֿונאַנדערגעבונדן	-
פֿונאַנדערבליִען	-	-	-	-	-	-	-	-	פֿונאַנדערבליִנדיק	פֿונאַנדערגעבליִט	-
פֿונאַנדערגיין	-	-	-	-	-	-	-	-	פֿונאַנדערגייענדיק	פֿונאַנדערגעגאַנגען	-
פֿונאַנדערהענגען	-	-	-	-	-	-	-	-	-	פֿונאַנדערגעהאַנגען	-
פֿונאַנדערנעמען	-	-	-	-	-	-	-	-	-	פֿונאַנדערגענומען	-
פֿונאַנדערעפֿענען	-	-	-	-	-	-	-	-	פֿונאַנדערעפֿנענדיק	-	-
פֿונאַנדערפֿאַלן	-	-	-	-	-	-	-	-	-	פֿונאַנדערגעפֿאַלן	-
פֿונאַנדעררײַסן	-	-	-	-	-	-	-	-	-	פֿונאַנדערגעריסן	-
פֿיגורירן	-	-	-	-	-	-	-	-	-	פֿיגורירט	-
פֿירברענגען	-	-	-	-	-	-	-	-	-	פֿירגעברענגט	-
פֿליִען	פֿלי	פֿליסט	פֿליט	-	פֿליט	-	פֿלי	פֿליט	-	געפֿלויגן	-
פֿליסן	-	-	-	-	-	-	-	-	-	געפֿלאָסן	-
פֿלעכטן	-	-	-	-	-	-	-	-	-	געפֿלאָכטן	-
פֿרייען	פֿריי	פֿרייסט	פֿרייט	-	פֿרייט	-	פֿריי	פֿרייט	-	געפֿרייט	-
פֿרירן	-	-	-	-	-	-	-	-	-	געפֿרוירן	-
פֿרעסן	-	-	-	-	-	-	-	-	-	געפֿרעסן	-
צבֿועטשען	צבֿועטש	צבֿועטשסט	צבֿועטשט	-	צבֿועטשט	-	צבֿועטש	צבֿועטשט	-	צבֿועטשט	-
צובינדן	-	-	-	-	-	-	-	-	-	צוגעבונדן	-
צוגיין	-	-	-	-	-	-	-	-	צוגייענדיק	צוגעגאַנגען	-
צוגעוווינען	-	-	-	-	-	-	-	-	-	צוגעוווינט	-
צוגעוויינען	-	-	-	-	-	-	-	-	-	צוגעוויינט	-
צוואָגן	-	-	-	-	-	-	-	-	-	געצוואָגן	-
צוזאַמענאַרבעטן	-	-	-	-	-	-	-	-	-	צוזאַמענגעאַרבעט	-
צוזאַמענשטויסן	-	-	-	-	-	-	-	-	-	צוזאַמענגעשטויסן	-
צוזאַמענשטעלן	-	-	-	-	-	-	-	-	-	צוזאַמענגעשטעלט	-
צוטראַכטן	-	-	-	-	-	-	-	-	-	צוגעטראַכט	-
צונויפֿהעפֿטן	-	-	-	-	-	-	-	-	-	צונויפֿגעהאָפֿטן	-
צונויפֿציִען	-	-	-	-	-	-	-	-	-	צונויפֿגעצויגן	-
צונויפֿשטויסן	-	-	-	-	-	-	-	-	-	צונויפֿגעשטויסן	-
צופּן	-	-	-	-	-	-	-	-	-	געצופּט	-
צוציִען	צוצי	צוציסט	צוציט	-	צוציט	-	צוצי	צוציט	-	צוגעצויגן	-
צוריקגעבן	-	-	-	-	-	-	-	-	-	צוריקגעגעבן	-
צוריקהאַלטן	-	-	-	-	-	-	-	-	-	צוריקגעהאַלטן	-
צוריקווײַזן	-	-	-	-	-	-	-	-	-	צוריקגעוויזן	-
צוריקלויפֿן	-	-	-	-	-	-	-	-	-	צוריקגעלאָפֿן	-
צוריקקומען	-	-	-	-	-	-	-	-	-	צוריקגעקומען	-
צורעכטמאַכן	-	-	-	-	-	-	-	-	-	צורעכטגעמאַכט	-
ציִען	צי	ציסט	ציט	-	ציט	-	צי	ציט	-	געצויגן	-
צייכענען	צייכן	צייכנסט	צייכנט	-	צייכנט	-	צייכן	צייכנט	-	געצייכנט	-
צינדן	-	-	צינדט	-	צינדט	-	-	צינדט	-	געצונדן	-
צעברעכן	-	-	-	-	-	-	-	-	-	צעבראָכן	-
צעממיתן	-	צעממיתט	-	-	-	-	-	-	-	-	-
צעפֿאַלן	-	-	-	-	-	-	-	-	-	צעפֿאַלן	-
צעפֿליִען	צעפֿלי	צעפֿליסט	צעפֿליט	-	צעפֿליט	-	צעפֿלי	צעפֿליט	-	צעפֿלויגן	-
צעפֿלעכטן	-	-	-	-	-	-	-	-	-	צעפֿלאָכטן	-
צערעווען	-	-	-	-	-	-	-	-	-	געצערעוועט	-
צערײַבן	-	-	-	-	-	-	-	-	-	צעריבן	-
צערײַסן	-	-	-	-	-	-	-	-	-	צעריסן	-
צעשנײַדן	-	-	צעשנײַדט	-	צעשנײַדט	-	-	צעשנײַדט	-	צעשניטן	-
קאַלקירן	-	-	-	-	-	-	-	-	-	קאַלקירט	-
קאַראַמעליזירן	-	-	-	-	-	-	-	-	-	קאַראַמעליזירט	-
קאָלאָניזירן	-	-	-	-	-	-	-	-	-	קאָלאָניזירט	-
קאָמאַנדירן	-	-	-	-	-	-	-	-	-	קאָמאַנדירט	-
קאָנטאַקטירן	-	-	-	-	-	-	-	-	-	קאָנטאַקטירט	-
קאָנטראָלירן	-	-	-	-	-	-	-	-	-	קאָנטראָלירט	-
קאָסטן	-	קאָסט	-	-	-	-	-	-	-	געקאָסט	-
קוועלן	-	-	-	-	-	-	-	-	-	געקוואָלן	-
קוילען	-	-	-	-	-	-	-	-	-	געקױלט	-
קומען	-	-	-	-	-	-	-	-	-	געקומען	-
קימען	-	-	-	-	-	-	-	-	-	געקימען	-
קליידן	-	-	קליידט	-	קליידט	-	-	קליידט	-	געקליידעט	-
קלינגען	-	-	-	-	-	-	-	-	-	געקלונגען	-
קלײַבן	-	-	-	-	-	-	-	-	-	געקלײַבן	-
קניִען	קני	קניסט	קניט	-	קניט	-	קני	קניט	-	געקניט	-
קנעטן	-	-	-	-	-	-	-	-	-	געקנאָטן	-
קענען	-	-	קען	-	-	-	-	-	-	-	-
קריטיקירן	-	-	-	-	-	-	-	-	-	קריטיקירט	-
קריכן	-	-	-	-	-	-	-	-	-	געקראָכן	-
קרעכצן	-	קרעכצט	-	-	-	-	-	-	-	-	-
ראַזירן	-	-	-	-	-	-	-	-	-	ראַזירט	-
ראַזירען	ראַזיר	ראַזירסט	ראַזירט	-	ראַזירט	-	ראַזיר	ראַזירט	-	ראַזירט	-
ראַטן	-	-	-	-	-	-	-	-	-	געראַטן	-
ראָטן	-	-	-	-	-	-	-	-	-	געראָטן	-
רוען	רו	רוסט	רוט	-	רוט	-	רו	רוט	-	גערוט	-
רופֿן	-	-	-	-	-	-	-	-	-	גערופֿן	-
ריכטן	-	-	-	-	-	-	-	-	-	געריכט	-
רינען	-	-	-	-	-	-	-	-	-	גערונען	-
רעגענען	רעגן	רעגנסט	רעגנט	-	רעגנט	-	רעגן	רעגנט	-	גערעגנט	-
רעדאַגירן	-	-	-	-	-	-	-	-	-	רעדאַגירט	-
רעדאַקטירן	-	-	-	-	-	-	-	-	-	רעדאַקטירט	-
רעדן	-	-	רעדט	-	רעדט	-	-	רעדט	-	-	-
רעהאַביליטירן	-	-	-	-	-	-	-	-	-	רעהאַביליטירט	-
רעוואָלטירן	-	-	-	-	-	-	-	-	-	רעוואָלטירט	-
רעזערווירן	-	-	-	-	-	-	-	-	-	רעזערווירט	-
רעכענען	רעכן	רעכנסט	רעכנט	-	רעכנט	-	רעכן	רעכנט	-	גערעכנט	-
רײַבן	-	-	-	-	-	-	-	-	-	געריבן	-
רײַסן	-	-	-	-	-	-	-	-	-	געריסן	-
שאַמפּונירן	-	-	-	-	-	-	-	-	-	שאַמפּונירט	-
שאַפֿן	-	-	-	-	-	-	-	-	-	געשאַפֿן	-
שאַצן	-	שאַצט	-	-	-	-	-	-	-	-	-
שאָבן	-	-	-	-	-	-	-	-	-	געשאָבן	-
שווימען	-	-	-	-	-	-	-	-	-	געשוווּמען	-
שווענקען	שווענק	שווענקסט	שווענקט	-	שווענקט	-	שווענק	שווענקט	-	געשווענקט	-
שווערן	-	-	-	-	-	-	-	-	-	געשוואָרן	-
שווײַגן	-	-	-	-	-	-	-	-	-	געשוויגן	-
שחטן	-	-	-	-	-	-	-	-	-	געשחטן	-
שטאַרבן	-	-	-	-	-	-	-	-	-	געשטאָרבן	-
שטודירן	-	-	-	-	-	-	-	-	-	שטודירט	-
שטויסן	-	-	-	-	-	-	-	-	-	געשטויסן	-
שטורכען	שטורך	שטורכסט	שטורכט	-	שטורכט	-	שטורך	שטורכט	-	-	-
שטיין	-	-	-	שטייען	-	שטייען	-	-	שטייענדיק	געשטאַנען	-
שטינקען	שטינק	שטינקסט	שטינקט	-	שטינקט	-	שטינק	שטינקט	-	געשטונקען	-
שטעכן	-	-	-	-	-	-	-	-	-	געשטאָכן	-
שטראָפֿן	-	-	-	-	-	-	-	-	-	געשטראָפֿן	-
שטײַגן	-	-	-	-	-	-	-	-	-	געשטויגן	-
שיטן	-	-	-	-	-	-	-	-	-	געשאָטן	-
שיידן	-	-	שיידט	-	שיידט	-	-	שיידט	-	-	-
שילטן	-	-	-	-	-	-	-	-	-	געשאָלטן	-
שיסן	-	-	-	-	-	-	-	-	-	געשאָסן	-
שיפֿרירן	-	-	-	-	-	-	-	-	-	שיפֿרירט	-
שלאָגן	-	-	-	-	-	-	-	-	-	געשלאָגן	-
שלאָפֿן	-	-	-	-	-	-	-	-	-	געשלאָפֿן	-
שלוקערצן	-	שלוקערצט	-	-	-	-	-	-	-	-	-
שלינגען	-	-	-	-	-	-	-	-	-	געשלונגען	-
שליסן	-	-	-	-	-	-	-	-	-	געשלאָסן	-
שלײַפֿן	-	-	-	-	-	-	-	-	-	געשליפֿן	-
שמדן	-	-	שמדט	-	שמדט	-	-	שמדט	-	-	-
שמידן	-	-	שמידט	-	שמידט	-	-	שמידט	-	-	-
שמעלצן	-	-	-	-	-	-	-	-	-	געשמאָלצן	-
שמײַסן	-	-	-	-	-	-	-	-	-	געשמיסן	-
שנײַדן	-	-	שנײַדט	-	שנײַדט	-	-	שנײַדט	-	געשניטן	-
שעכטן	-	-	-	-	-	-	-	-	-	געשאָכטן	-
שעלטן	-	-	-	-	-	-	-	-	-	געשאָלטן	-
שענקען	שענק	שענקסט	שענקט	-	שענקט	-	שענק	שענקט	-	געשאָנקען	-
שערן	-	-	-	-	-	-	-	-	-	געשוירן	-
שפּאַלטן	-	-	-	-	-	-	-	-	-	געשפּאָלטן	-
שפּאַצירן	-	-	-	-	-	-	-	-	-	שפּאַצירט	-
שפּיאָנירן	-	-	-	-	-	-	-	-	-	שפּיאָנירט	-
שפּינען	-	-	-	-	-	-	-	-	-	געשפּונען	-
שפּרינגען	-	-	-	-	-	-	-	-	-	געשפּרונגען	-
שפּײַען	-	-	-	-	-	-	-	-	-	געשפּיגן	-
שרעקן	-	-	-	-	-	-	-	-	-	געשראָקן	-
שרײַבן	-	-	-	-	-	-	-	-	-	געשריבן	-
שרײַען	-	-	-	-	-	-	-	-	-	געשריגן	-
