# lemma	past	future	present	infinitive
התאחד	התאחד	יתאחד	מתאחד	-
התאים	התאים	יתאים	מתאים	-
התאכזב	התאכזב	יתאכזב	מתאכזב	להתאכזב
התאלמן	התאלמן	יתאלמן	מתאלמן	-
התאמן	התאמן	יתאמן	מתאמן	להתאמן
התאמץ	התאמץ	יתאמץ	מתאמץ	להתאמץ
התאסלם	התאסלם	יתאסלם	מתאסלם	-
התאסף	התאסף	יתאסף	מתאסף	להתאסף
התאפיין	התאפין	יתאפין	מתאפין	-
התאפק	התאפק	יתאפק	מתאפק	-
התאפר	התאפר	יתאפר	מתאפר	-
התאקלם	התאקלם	יתאקלם	מתאקלם	-
התארגן	התארגן	יתארגן	מתארגן	להתארגן
התבדח	התבדח	יתבדח	מתבדח	להתבדח
התבודד	התבודד	יתבודד	מתבודד	להתבודד
התבונן	התבונן	יתבונן	מתבונן	-
התבוסס	התבוסס	יתבוסס	מתבוסס	-
התבזבז	התבזבז	יתבזבז	מתבזבז	להתבזבז
התבטא	התבטא	יתבטא	מתבטא	להתבטא
התבטל	התבטל	יתבטל	מתבטל	-
התבכיין	התבכין	יתבכין	מתבכין	-
התבלבל	התבלבל	יתבלבל	מתבלבל	להתבלבל
התבלה	התבלה	יתבלה	מתבלה	להתבלות
התבקש	התבקש	יתבקש	מתבקש	להתבקש
התבשל	התבשל	יתבשל	מתבשל	להתבשל
התגאה	התגאה	יתגאה	מתגאה	-
התגבר	התגבר	יתגבר	מתגבר	להתגבר
התגבש	התגבש	יתגבש	מתגבש	-
התגונן	התגונן	יתגונן	מתגונן	-
התגורר	התגורר	יתגורר	מתגורר	-
התגייס	התגיס	יתגיס	מתגיס	-
התגייר	התגיר	יתגיר	מתגיר	-
התגלגל	התגלגל	יתגלגל	מתגלגל	להתגלגל
התגלה	התגלה	יתגלה	מתגלה	להתגלות
התגלח	התגלח	יתגלח	מתגלח	להתגלח
התגעגע	התגעגע	יתגעגע	מתגעגע	להתגעגע
התגרש	התגרש	יתגרש	מתגרש	להתגרש
התגשם	התגשם	יתגשם	מתגשם	-
התהווה	התהוה	יתהוה	מתהוה	-
התוודע	התודע	יתודע	מתודע	-
התווה	התוה	יתוה	מתוה	-
התווכח	התווכח	יתווכח	מתווכח	להתווכח
התוכח	התוכח	יתוכח	מתוכח	להתוכח
התחבא	התחבא	יתחבא	מתחבא	להתחבא
התחבר	התחבר	יתחבר	מתחבר	להתחבר
התחדד	התחדד	יתחדד	מתחדד	-
התחדש	התחדש	יתחדש	מתחדש	-
התחזק	התחזק	יתחזק	מתחזק	-
התחיל	התחיל	יתחיל	מתחיל	להתחיל
התחלק	התחלק	יתחלק	מתחלק	-
התחמם	התחמם	יתחמם	מתחמם	להתחמם
התחמק	התחמק	יתחמק	מתחמק	-
התחנך	התחנך	יתחנך	מתחנך	להתחנך
התחנן	התחנן	יתחנן	מתחנן	להתחנן
התחסן	התחסן	יתחסן	מתחסן	-
התחפש	התחפש	יתחפש	מתחפש	להתחפש
התחרה	התחרה	יתחרה	מתחרה	-
התחרט	התחרט	יתחרט	מתחרט	להתחרט
התחשב	התחשב	יתחשב	מתחשב	-
התחשמל	התחשמל	יתחשמל	מתחשמל	להתחשמל
