# lemma	past	future	present	infinitive
כיוון	כון	יכון	מכון	-
כיווץ	כוץ	יכוץ	מכוץ	-
כיזב	כיזב	יכזב	מכזב	לכזב
כיחד	כחד	יכחד	מכחד	-
כייס	כיס	יכיס	מכיס	-
כיכב	כיכב	יככב	מככב	לככב
כילה	כילה	יכלה	מכלה	לכלות
כינה	כנה	יכנה	מכנה	-
כינס	כינס	יכנס	מכנס	לכנס
כיסה	כיסה	יכסה	מכסה	לכסות
כיפר	כיפר	יכפר	מכפר	לכפר
כיתר	כיתר	יכתר	מכתר	לכתר
כלא	כלא	יכלא	כולא	-
כלה	כלה	יכלה	כלה	לכלות
כלל	כלל	יכלל	כולל	-
כמה	כמה	יכמה	כמה	לכמוה
כסה	כסה	יכסה	כוסה	-
כעס	כעס	יכעס	כועס	לכעוס
כפה	כפה	יכפה	כופה	לכפות
כפל	כפל	יכפול	כופל	לכפול
כפף	כפף	יכפף	כופף	-
כפתר	כפתר	יכפתר	מכפתר	-
כרה	כרה	יכרה	כורה	-
כרך	כרך	יכרך	כורך	-
כרסם	כרסם	יכרסם	מכרסם	-
כרע	כרע	יכרע	כורע	לכרוע
כרת	כרת	יכרות	כורת	לכרות
כשל	כשל	יכשל	כושל	-
כתב	כתב	יכתוב	כותב	לכתוב
כתש	כתש	יכתש	כותש	-
לבלב	לבלב	ילבלב	מלבלב	-
לבש	לבש	ילבש	לובש	ללבוש
לגם	לגם	ילגם	לוגם	-
להה	להה	ילהה	לוהה	-
להט	להט	ילהט	לוהט	ללהוט
לובן	לבן	ילבן	מלבן	-
לווה	לוה	ילוה	לווה	-
לוקק	לוקק	ילוקק	מלוקק	-
לחץ	לחץ	ילחץ	לוחץ	ללחוץ
לחש	לחש	ילחש	לוחש	ללחוש
ליבב	ליבב	ילבב	מלבב	ללבב
ליבן	ליבן	ילבן	מלבן	ללבן
ליווה	לוה	ילוה	מלוה	-
ליטף	ליטף	ילטף	מלטף	ללטף
ליטש	לטש	ילטש	מלטש	-
לימד	לימד	ילמד	מלמד	ללמד
ליקט	לקט	ילקט	מלקט	-
ליקק	ליקק	ילקק	מלקק	ללקק
לכד	לכד	ילכד	לוכד	-
לכלך	לכלך	ילכלך	מלכלך	-
לכסן	לכסן	ילכסן	מלכסן	-
למד	למד	ילמד	לומד	ללמוד
לן	לן	ילון	לן	ללון
לעז	לעז	ילעז	לועז	-
לעס	לעס	ילעס	לועס	-
לקה	לקה	ילקה	לוקה	ללקות
לקח	לקח	ייקח	לוקח	ליקוח
לקט	לקט	ילקט	לוקט	-
לש	לש	ילוש	לש	ללוש
מאס	מאס	ימאס	מואס	-
מדד	מדד	ימדוד	מודד	למדוד
מהל	מהל	ימהל	מוהל	-
מהר	מהר	ימהר	מוהר	-
מוזג	מוזג	ימוזג	ממוזג	-
מוטט	מוטט	ימוטט	ממוטט	למוטט
מולא	מולא	ימולא	ממולא	-
מומן	ממן	יממן	מממן	-
מופה	מופה	ימופה	ממופה	-
מוקש	מוקש	ימוקש	ממוקש	-
מותג	מתג	ימתג	ממתג	-
מזג	מזג	ימזג	מוזג	-
מחזר	מחזר	ימחזר	ממחזר	-
מחל	מחל	ימחל	מוחל	-
מחץ	מחץ	ימחץ	מוחץ	-
מחק	מחק	ימחק	מוחק	-
מיאן	מיאן	ימאן	ממאן	למאן
מיהר	מיהר	ימהר	ממהר	למהר
מיזג	מיזג	ימזג	ממזג	למזג
מיין	מיין	ימיין	ממיין	למיין
מילא	מילא	ימלא	ממלא	למלא
מימן	ממן	יממן	מממן	-
מימש	ממש	יממש	מממש	-
מינה	מנה	ימנה	ממנה	-
מיעט	מעט	ימעט	ממעט	-
מיפה	מיפה	ימפה	ממפה	למפות
מיקד	מקד	ימקד	ממקד	-
מיקם	מיקם	ימקם	ממקם	למקם
מיתן	מיתן	ימתן	ממתן	למתן
מכר	מכר	ימכור	מוכר	למכור
מל	מל	ימול	מל	-
מלא	מלא	ימלא	מלא	למלוא
מלך	מלך	ימלוך	מולך	למלוך
מלמל	מלמל	ימלמל	ממלמל	-
מלצר	מלצר	ימלצר	ממלצר	-
מנה	מנה	ימנה	מונה	למנות
מנע	מנע	ימנע	מונע	למנוע
מסה	מסה	ימסה	מוסה	-
מסך	מסך	ימסך	מוסך	-
מספר	מספר	ימספר	ממספר	-
מסר	מסר	ימסור	מוסר	למסור
מעד	מעד	ימעד	מועד	-
מעך	מעך	ימעך	מועך	למעוך
מעל	מעל	ימעל	מועל	למעול
מצא	מצא	ימצא	מוצא	למצוא
מצמץ	מצמץ	ימצמץ	ממצמץ	-
מצץ	מצץ	ימצוץ	מוצץ	למצוץ
מרד	מרד	ימרוד	מורד	למרוד
מרח	מרח	ימרח	מורח	למרוח
מרט	מרט	ימרט	מורט	-
מרמר	מרמר	ימרמר	ממרמר	-
מרפק	מרפק	ימרפק	ממרפק	-
משח	משח	ימשח	מושח	למשוח
משך	משך	ימשוך	מושך	למשוך
משל	משל	ימשול	מושל	למשול
משמע	משמע	ימשמע	ממשמע	-
מת	מת	ימות	מת	למות
מתח	מתח	ימתח	מותח	-
נאבד	נאבד	יאבד	נאבד	-
נאבק	נאבק	ייאבק	נאבק	להיאבק
נאגר	נאגר	ייאגר	נאגר	להיאגר
נאהב	נאהב	ייאהב	נאהב	להיאהב
נאהד	נאהד	ייאהד	נאהד	להיאהד
נאות	נאות	יאות	נאות	-
נאחז	נאחז	ייאחז	נאחז	להיאחז
נאכל	נאכל	ייאכל	נאכל	להיאכל
נאכף	נאכף	ייאכף	נאכף	להיאכף
נאמן	נאמן	ייאמן	נאמן	להיאמן
נאמר	נאמר	יאמר	נאמר	-
נאף	נאף	ינאף	נואף	לנאוף
נאץ	נאץ	ינאץ	נואץ	-
נאצל	נאצל	ייאצל	נאצל	להיאצל
נאשם	נאשם	יאשם	נאשם	-
נבדק	נבדק	ייבדק	נבדק	להיבדק
נבהל	נבהל	יבהל	נבהל	-
נבח	נבח	ייבח	נובח	ליבוח
נבחר	נבחר	ייבחר	נבחר	להיבחר
נבל	נבל	ייבול	נובל	ליבול
נבנה	נבנה	ייבנה	נבנה	להיבנות
נבע	נבע	ינבע	נובע	-
נבעת	נבעת	יבעת	נבעת	-
נברא	נברא	ייברא	נברא	להיברא
נגאל	נגאל	ייגאל	נגאל	להיגאל
נגד	נגד	ינגוד	נוגד	לנגוד
נגה	נגה	ייגה	נוגה	ליגוה
נגח	נגח	יגח	נוגח	-
נגלה	נגלה	ייגלה	נגלה	להיגלות
נגמר	נגמר	ייגמר	נגמר	להיגמר
נגנב	נגנב	ייגנב	נגנב	להיגנב
נגע	נגע	ייגע	נוגע	ליגוע
נגעל	נגעל	יגעל	נגעל	-
נגרם	נגרם	יגרם	נגרם	-
נד	נד	ינוד	נד	-
נדב	נדב	ידב	נודב	-
נדד	נדד	ינדד	נודד	-
נדחה	נדחה	יידחה	נדחה	להידחות
נדפס	נדפס	ידפס	נדפס	-
נדקר	נדקר	ידקר	נדקר	-
נדרס	נדרס	יידרס	נדרס	להידרס
נהג	נהג	ינהג	נוהג	לנהוג
נהגה	נהגה	ייהגה	נהגה	להיהגות
נהיה	נהיה	-	נהיה	-
נהנה	נהנה	ייהנה	נהנה	ליהנות
נהק	נהק	ינהק	נוהק	-
נהר	נהר	ינהר	נוהר	לנהור
נהרג	נהרג	ייהרג	נהרג	להיהרג
נהרס	נהרס	יהרס	נהרס	-
נודע	נודע	יודע	נודע	-
נוכח	נוכח	יוכח	נוכח	-
נולד	נולד	יולד	נולד	-
נוסד	נוסד	יוסד	נוסד	-
נוסה	נוסה	ינוסה	מנוסה	-
נוסף	נוסף	יוסף	נוסף	-
נועד	נועד	יועד	נועד	-
נופף	נופף	ינופף	מנופף	-
נושע	נושע	ייושע	נושע	להיושע
נותר	נותר	יותר	נותר	-
נזהר	נזהר	יזהר	נזהר	-
נזכר	נזכר	ייזכר	נזכר	להיזכר
נזף	נזף	ינזף	נוזף	-
נזר	נזר	ינזר	נזר	-
נזרק	נזרק	יזרק	נזרק	-
נח	נח	ינוח	נח	לנוח
נחל	נחל	ינחל	נוחל	לנחול
נחלץ	נחלץ	יחלץ	נחלץ	-
נחלק	נחלק	ייחלק	נחלק	להיחלק
נחנק	נחנק	יחנק	נחנק	-
נחס	נחס	ינחס	מנחס	-
נחקר	נחקר	ייחקר	נחקר	להיחקר
נחשב	נחשב	ייחשב	נחשב	להיחשב
נחת	נחת	ינחת	נוחת	-
נטה	נטה	ייטה	נוטה	לנטות
נטל	נטל	ייטול	נוטל	ליטול
נטמע	נטמע	יטמע	נטמע	-
נטע	נטע	ייטע	נוטע	ליטוע
נטר	נטר	יטר	נוטר	-
נטש	נטש	יטש	נוטש	-
ניאץ	נאץ	ינאץ	מנאץ	-
ניבא	ניבא	ינבא	מנבא	לנבא
ניגב	נגב	ינגב	מנגב	-
ניגן	ניגן	ינגן	מנגן	לנגן
ניגש	ניגש	ייגש	ניגש	לגשת
נידד	נדד	ינדד	מנדד	-
נידה	נדה	ינדה	מנדה	-
ניהל	נהל	ינהל	מנהל	-
ניווט	נוט	ינוט	מנוט	-
ניחם	ניחם	ינחם	מנחם	לנחם
ניחש	ניחש	ינחש	מנחש	לנחש
ניטל	ניטל	יינטל	ניטל	להינטל
ניכה	נכה	ינכה	מנכה	-
ניכר	ניכר	ינכר	מנכר	לנכר
ניכש	נכש	ינכש	מנכש	-
ניסה	ניסה	ינסה	מנסה	לנסות
ניסח	נסח	ינסח	מנסח	-
ניסר	נסר	ינסר	מנסר	-
ניער	נער	ינער	מנער	-
ניפה	נפה	ינפה	מנפה	-
ניפח	נפח	ינפח	מנפח	-
ניפץ	ניפץ	ינפץ	מנפץ	לנפץ
ניצב	ניצב	-	ניצב	-
ניצח	ניצח	ינצח	מנצח	לנצח
ניצל	ניצל	ינצל	מנצל	לנצל
ניצר	ניצר	ינצר	מנצר	לנצר
ניקב	נקב	ינקב	מנקב	-
ניקה	ניקה	ינקה	מנקה	לנקות
ניקז	נקז	ינקז	מנקז	-
ניקר	נקר	ינקר	מנקר	-
נישא	נישא	יינשא	נישא	להינשא
נישה	נשה	ינשה	מנשה	-
נישק	נישק	ינשק	מנשק	לנשק
ניתב	נתב	ינתב	מנתב	-
ניתח	נתח	ינתח	מנתח	-
ניתן	ניתן	יינתן	ניתן	להינתן
ניתק	נתק	ינתק	מנתק	-
ניתר	נתר	ינתר	מנתר	-
נכווה	נכווה	ייכווה	נכווה	להיכוות
נכלל	נכלל	יכלל	נכלל	-
נכלם	נכלם	ייכלם	נכלם	להיכלם
נכמר	נכמר	יכמר	נכמר	-
נכנס	נכנס	ייכנס	נכנס	להיכנס
נכנע	נכנע	יכנע	נכנע	-
נכס	נכס	יכס	נוכס	-
נכרת	נכרת	ייכרת	נכרת	להיכרת
נכשל	נכשל	ייכשל	נכשל	להיכשל
נכתב	נכתב	ייכתב	נכתב	להיכתב
נלחם	נלחם	יילחם	נלחם	להילחם
נלקח	נלקח	ילקח	נלקח	-
נם	נם	ינום	נם	לנום
נמאס	נמאס	יימאס	נמאס	להימאס
נמהל	נמהל	ימהל	נמהל	-
נמחק	נמחק	ימחק	נמחק	-
נמכר	נמכר	יימכר	נמכר	להימכר
נמלט	נמלט	יימלט	נמלט	להימלט
נמנע	נמנע	ימנע	נמנע	-
נמס	נמס	יימס	נמס	להימס
נמצא	נמצא	יימצא	נמצא	להימצא
נמשך	נמשך	יימשך	נמשך	להימשך
ננעל	ננעל	יינעל	ננעל	להינעל
נס	נס	ינוס	נס	לנוס
נסגר	נסגר	ייסגר	נסגר	להיסגר
נסוג	נסוג	יסוג	נסוג	-
נסח	נסח	יסח	נוסח	-
נסחף	נסחף	ייסחף	נסחף	להיסחף
נסך	נסך	יסך	נוסך	-
נסע	נסע	יסע	נוסע	-
נע	נע	ינוע	נע	לנוע
נעל	נעל	ינעל	נועל	לנעול
נעלם	נעלם	ייעלם	נעלם	להיעלם
נעם	נעם	ינעם	נעים	לנעום
נענע	נענע	ינענע	מנענע	-
נענש	נענש	יענש	נענש	-
נעץ	נעץ	ינעץ	נועץ	-
נער	נער	ינער	נוער	לנעור
נעשה	נעשה	ייעשה	נעשה	להיעשות
נפגע	נפגע	ייפגע	נפגע	להיפגע
נפגש	נפגש	ייפגש	נפגש	להיפגש
נפח	נפח	ייפח	נופח	ליפוח
נפטר	נפטר	ייפטר	נפטר	להיפטר
נפל	נפל	ייפול	נופל	ליפול
נפצע	נפצע	יפצע	נפצע	-
נפרד	נפרד	ייפרד	נפרד	להיפרד
נפש	נפש	ינפוש	נופש	לנפוש
נפתח	נפתח	יפתח	נפתח	-
נצעק	נצעק	יצעק	נצעק	-
נצר	נצר	ינצור	נוצר	לנצור
נקב	נקב	יקב	נוקב	-
נקבע	נקבע	יקבע	נקבע	-
נקבר	נקבר	ייקבר	נקבר	להיקבר
נקם	נקם	יקם	נוקם	-
נקנה	נקנה	ייקנה	נקנה	להיקנות
נקע	נקע	יקע	נוקע	-
נקר	נקר	יקר	נוקר	-
נקרא	נקרא	ייקרא	נקרא	להיקרא
נקרש	נקרש	יקרש	נקרש	-
נקש	נקש	ינקש	נוקש	-
נראה	נראה	ייראה	נראה	להיראות
נרגן	נרגן	ירגן	נרגן	-
נרגע	נרגע	יירגע	נרגע	להירגע
נרדם	נרדם	ירדם	נרדם	-
נרטב	נרטב	ירטב	נרטב	-
נרמל	נרמל	ינרמל	מנרמל	-
נרצח	נרצח	יירצח	נרצח	להירצח
נשא	נשא	יישא	נושא	לשאת
נשאר	נשאר	יישאר	נשאר	להישאר
נשב	נשב	ינשוב	נושב	לנשוב
נשבע	נשבע	יישבע	נשבע	להישבע
נשבר	נשבר	יישבר	נשבר	להישבר
נשה	נשה	יישה	נושה	לנשות
נשך	נשך	יישך	נושך	לישוך
נשכח	נשכח	ישכח	נשכח	-
נשלח	נשלח	ישלח	נשלח	-
נשלט	נשלט	יישלט	נשלט	להישלט
נשלם	נשלם	ישלם	נשלם	-
נשם	נשם	ינשום	נושם	לנשום
נשמע	נשמע	יישמע	נשמע	להישמע
נשמר	נשמר	ישמר	נשמר	-
נשף	נשף	ינשף	נושף	-
נשק	נשק	יישק	נושק	לנשוק
נשר	נשר	ישר	נושר	-
נשרף	נשרף	יישרף	נשרף	להישרף
נתאכם	נתאכם	יתאכם	מתאכם	-
נתן	נתן	ייתן	נותן	לתת
נתפס	נתפס	יתפס	נתפס	-
נתקל	נתקל	יתקל	נתקל	-
סבב	סבב	יסבב	סובב	-
סבל	סבל	יסבול	סובל	לסבול
סבסד	סבסד	יסבסד	מסבסד	-
סגד	סגד	יסגוד	סוגד	לסגוד
סגסג	סגסג	יסגסג	מסגסג	-
סגר	סגר	יסגור	סוגר	לסגור
סדק	סדק	יסדוק	סודק	לסדוק
סדר	סדר	יסדר	סודר	-
סובב	סובב	יסובב	מסובב	-
סווג	סוג	יסוג	מסוג	-
סוכך	סוכך	יסוכך	מסוכך	לסוכך
סונכרן	סונכרן	יסונכרן	מסונכרן	-
סופר	ספר	יספר	מספר	-
סחב	סחב	יסחב	סוחב	-
סחט	סחט	יסחט	סוחט	לסחוט
סחף	סחף	יסחף	סוחף	-
סחר	סחר	יסחר	סוחר	לסחור
סטה	סטה	יסטה	סוטה	-
סיבן	סבן	יסבן	מסבן	-
סיבסד	סיבסד	יסבסד	מסבסד	לסבסד
סיגל	סגל	יסגל	מסגל	-
סידר	סידר	יסדר	מסדר	לסדר
סיווג	סוג	יסוג	מסוג	-
סיים	סיים	יסיים	מסיים	לסיים
סייע	סייע	יסייע	מסייע	לסייע
סיכך	סיכך	יסכך	מסכך	לסכך
סיכל	סכל	יסכל	מסכל	-
סיכם	סיכם	יסכם	מסכם	לסכם
סיכן	סיכן	יסכן	מסכן	לסכן
סילק	סילק	יסלק	מסלק	לסלק
סימל	סימל	יסמל	מסמל	לסמל
סימן	סימן	יסמן	מסמן	לסמן
סימר	סמר	יסמר	מסמר	-
סינגר	סנגר	יסנגר	מסנגר	-
סינכרן	סינכרן	יסנכרן	מסנכרן	לסנכרן
סינן	סינן	יסנן	מסנן	לסנן
סינף	סנף	יסנף	מסנף	-
סיפח	סיפח	יספח	מספח	לספח
סיפק	סיפק	יספק	מספק	לספק
סיפר	סיפר	יספר	מספר	לספר
סיקר	סקר	יסקר	מסקר	-
סירב	סירב	יסרב	מסרב	לסרב
סירק	סרק	יסרק	מסרק	-
סך	סך	יסוך	סך	-
סכך	סכך	יסכך	סוכך	-
סכר	סכר	יסכר	סוכר	-
סלח	סלח	יסלח	סולח	לסלוח
סלל	סלל	יסלל	סולל	-
סמך	סמך	יסמך	סומך	-
סנוור	סנור	יסנור	מסנור	-
סנט	סנט	יסנוט	סונט	לסנוט
סנכרן	סנכרן	יסנכרן	מסנכרן	-
ספג	ספג	יספוג	סופג	לספוג
ספד	ספד	יספד	סופד	-
ספן	ספן	יספן	סופן	-
ספק	ספק	יספק	סופק	-
ספר	ספר	יספור	סופר	לספור
סקר	סקר	יסקר	סוקר	-
סקרן	סקרן	יסקרן	מסקרן	-
סר	סר	יסור	סר	לסור
סרג	סרג	יסרג	סורג	-
סרטט	סרטט	יסרטט	מסרטט	-
סרטן	סרטן	יסרטן	מסרטן	-
סרק	סרק	יסרק	סורק	-
סתם	סתם	יסתום	סותם	לסתום
סתר	סתר	יסתור	סותר	לסתור
עבד	עבד	יעבוד	עובד	לעבוד
עבר	עבר	יעבור	עובר	לעבור
עגן	עגן	יעגן	עוגן	-
עדה	עדה	יעדה	עודה	-
עדר	עדר	יעדר	עודר	-
עודד	עודד	יעודד	מעודד	לעודד
עוה	עוה	יעוה	מעוה	-
עור	עור	יעור	מעור	-
עורר	עורר	יעורר	מעורר	לעורר
עז	עז	יעוז	עז	-
עזב	עזב	יעזוב	עוזב	לעזוב
עזר	עזר	יעזור	עוזר	לעזור
עטה	עטה	יעטה	עוטה	לעטות
עטן	עטן	יעטן	עוטן	-
עטף	עטף	יעטוף	עוטף	לעטוף
עטר	עטר	יעטר	עוטר	-
עיבד	עבד	יעבד	מעבד	-
עיבה	עבה	יעבה	מעבה	-
עיבר	עיבר	יעבר	מעבר	לעבר
עיגל	עיגל	יעגל	מעגל	לעגל
עידכן	עדכן	יעדכן	מעדכן	-
עיוות	עות	יעות	מעות	-
עיטר	עיטר	יעטר	מעטר	לעטר
עיין	עין	יעין	מעין	-
עייף	יעף	ייעף	יעף	-
עיכב	עכב	יעכב	מעכב	-
עיכל	עכל	יעכל	מעכל	-
עילף	עילף	יעלף	מעלף	לעלף
עיסה	עסה	יעסה	מעסה	-
עיפש	עפש	יעפש	מעפש	-
עיצב	עיצב	יעצב	מעצב	לעצב
עיקר	עקר	יעקר	מעקר	-
עירר	ערר	יערר	מערר	-
עישן	עישן	יעשן	מעשן	לעשן
עלה	עלה	יעלה	עולה	לעלות
עלז	עלז	יעלוז	עולז	לעלוז
עלעל	עלעל	יעלעל	מעלעל	-
עמד	עמד	יעמוד	עומד	לעמוד
עמל	עמל	יעמל	עומל	-
עמס	עמס	יעמס	עומס	-
עמק	עמק	יעמק	-	לעמוק
ענד	ענד	יענד	עונד	-
ענה	ענה	יענה	עונה	לענות
ענש	ענש	יענש	עונש	-
עף	עף	יעוף	עף	לעוף
עצם	עצם	יעצום	עוצם	לעצום
עצר	עצר	יעצור	עוצר	לעצור
עקב	עקב	יעקוב	עוקב	לעקוב
עקד	עקד	יעקוד	עוקד	לעקוד
עקף	עקף	יעקוף	עוקף	לעקוף
עקץ	עקץ	יעקוץ	עוקץ	לעקוץ
עקר	עקר	יעקר	עוקר	-
ערב	ערב	יערוב	עורב	לערוב
ערבב	ערבב	יערבב	מערבב	-
ערבל	ערבל	יערבל	מערבל	-
ערג	ערג	יערג	עורג	-
ערך	ערך	יערוך	עורך	לערוך
ערל	ערל	יערל	עורל	-
ערסל	ערסל	יערסל	מערסל	-
ערער	ערער	יערער	מערער	-
ערק	ערק	יערוק	עורק	לערוק
עשה	עשה	יעשה	עושה	לעשות
עתר	עתר	יעתר	עותר	-
פברק	פברק	יפברק	מפברק	-
פג	פג	יפוג	פג	-
פגע	פגע	יפגע	פוגע	לפגוע
פגש	פגש	יפגוש	פוגש	לפגוש
פדה	פדה	יפדה	פודה	לפדות
פוטר	פוטר	יפוטר	מפוטר	-
פונה	פנה	יפנה	מפנה	-
פוצה	פוצה	יפוצה	מפוצה	-
פוצץ	פוצץ	יפוצץ	מפוצץ	לפוצץ
פורסם	פורסם	יפורסם	מפורסם	-
פורר	פורר	יפורר	מפורר	-
פושט	פושט	יפושט	מפושט	-
פח	פח	יפוח	פח	-
פחד	פחד	יפחד	פוחד	לפחוד
פחס	פחס	יפחס	פוחס	-
פחת	פחת	יפחת	פוחת	-
פטר	פטר	יפטור	פוטר	לפטור
פיאר	פיאר	יפאר	מפאר	לפאר
פיגר	פגר	יפגר	מפגר	-
פיהק	פיהק	יפהק	מפהק	לפהק
פיזם	פזם	יפזם	מפזם	-
פיזר	פזר	יפזר	מפזר	-
פיחד	פיחד	יפחד	מפחד	לפחד
פיטר	פיטר	יפטר	מפטר	לפטר
פילל	פילל	יפלל	מפלל	לפלל
פילס	פלס	יפלס	מפלס	-
פילפל	פילפל	יפלפל	מפלפל	לפלפל
פינה	פינה	יפנה	מפנה	לפנות
פינק	פנק	יפנק	מפנק	-
פיסח	פסח	יפסח	מפסח	-
פיסל	פיסל	יפסל	מפסל	לפסל
פיספס	פיספס	יפספס	מפספס	לפספס
פיצה	פיצה	יפצה	מפצה	לפצות
פיקד	פיקד	יפקד	מפקד	לפקד
פיקח	פקח	יפקח	מפקח	-
פירק	פרק	יפרק	מפרק	-
פירש	פרש	יפרש	מפרש	-
פישט	פישט	יפשט	מפשט	לפשט
פישל	פישל	יפשל	מפשל	לפשל
פיתה	פתה	יפתה	מפתה	-
פיתח	פתח	יפתח	מפתח	-
פיתל	פתל	יפתל	מפתל	-
פלט	פלט	יפלט	פולט	-
פלפל	פלפל	יפלפל	מפלפל	-
פלרטט	פלרטט	יפלרטט	מפלרטט	-
פלש	פלש	יפלש	פולש	-
פנה	פנה	יפנה	פונה	לפנות
פנטז	פנטז	יפנטז	מפנטז	-
פנצ׳ר	פנצ׳ר	יפנצ׳ר	מפנצ׳ר	-
פסח	פסח	יפסח	פוסח	-
פסל	פסל	יפסול	פוסל	לפסול
פסע	פסע	יפסע	פוסע	-
פספס	פספס	יפספס	מפספס	-
פסק	פסק	יפסק	פוסק	-
פעה	פעה	יפעה	פועה	-
פעל	פעל	יפעל	פועל	-
פעם	פעם	יפעם	פועם	-
פעפע	פעפע	יפעפע	מפעפע	-
פצה	פצה	יפצה	פוצה	-
פצע	פצע	יפצע	פוצע	לפצוע
פקד	פקד	יפקוד	פוקד	לפקוד
פקח	פקח	יפקח	פוקח	לפקוח
פקק	פקק	יפקק	פוקק	-
פרגן	פרגן	יפרגן	מפרגן	-
פרה	פרה	יפרה	פורה	לפרות
פרח	פרח	יפרח	פורח	לפרוח
פרם	פרם	יפרם	פורם	-
פרס	פרס	יפרוס	פורס	לפרוס
פרסם	פרסם	יפרסם	מפרסם	-
פרע	פרע	יפרע	פורע	-
פרץ	פרץ	יפרוץ	פורץ	לפרוץ
פרק	פרק	יפרוק	פורק	לפרוק
פרש	פרש	יפרוש	פורש	לפרוש
פשט	פשט	יפשט	פושט	-
פשע	פשע	יפשע	פושע	לפשוע
פתח	פתח	יפתח	פותח	לפתוח
פתר	פתר	יפתר	פותר	-
צבא	צבא	יצבא	צובא	לצבוא
צבע	צבע	יצבע	צובע	לצבוע
צבר	צבר	יצבר	צובר	-
צד	צד	יצוד	צד	לצוד
צדק	צדק	יצדק	צודק	לצדוק
צוטט	צוטט	יצוטט	מצוטט	-
צונזר	צונזר	יצונזר	מצונזר	-
צופה	צפה	יצפה	מצפה	-
צחצח	צחצח	יצחצח	מצחצח	-
צחק	צחק	יצחק	צוחק	לצחוק
צחקק	צחקק	יצחקק	מצחקק	-
ציווה	צוה	יצוה	מצוה	-
ציוות	צות	יצות	מצות	-
ציטט	ציטט	יצטט	מצטט	לצטט
ציין	צין	יצין	מצין	-
צייר	צייר	יצייר	מצייר	לצייר
ציית	צית	יצית	מצית	-
צילם	צילם	יצלם	מצלם	לצלם
צינזר	צינזר	יצנזר	מצנזר	לצנזר
צינן	צינן	יצנן	מצנן	לצנן
ציפה	ציפה	יצפה	מצפה	לצפות
צירף	צירף	יצרף	מצרף	לצרף
צלב	צלב	יצלב	צולב	-
צלה	צלה	יצלה	צולה	-
צלח	צלח	יצלח	צולח	-
צלל	צלל	יצלל	צולל	-
צלע	צלע	יצלע	צולע	לצלוע
צלף	צלף	יצלף	צולף	-
צלצל	צלצל	יצלצל	מצלצל	-
צם	צם	יצום	צם	לצום
צמא	צמא	יצמא	צמא	לצמוא
צמח	צמח	יצמח	צומח	לצמוח
צמצם	צמצם	יצמצם	מצמצם	-
צנזר	צנזר	יצנזר	מצנזר	-
צנח	צנח	יצנח	צונח	-
צעד	צעד	יצעד	צועד	-
צען	צען	יצען	צוען	-
צעק	צעק	יצעק	צועק	לצעוק
צף	צף	יצוף	צף	לצוף
צפה	צפה	יצפה	צופה	לצפות
צפן	צפן	יצפן	צופן	-
צפר	צפר	יצפר	צופר	-
צץ	צץ	יצוץ	צץ	-
צר	צר	יצור	צר	-
צרח	צרח	יצרח	צורח	לצרוח
צרך	צרך	יצרוך	צורך	לצרוך
צ׳וטט	צ׳וטט	יצ׳וטט	מצ׳וטט	-
צ׳יפר	צ׳פר	יצ׳פר	מצ׳פר	-
קבע	קבע	יקבע	קובע	לקבוע
קבץ	קבץ	יקבץ	קובץ	-
קבר	קבר	יקבור	קובר	לקבור
קדח	קדח	יקדח	קודח	-
קדם	קדם	יקדם	קודם	לקדום
קדר	קדר	יקדר	קודר	-
קהה	קהה	יקהה	קוהה	-
קובע	קובע	יקובע	מקובע	-
קודש	קודש	יקודש	מקודש	-
קונטר	קונטר	יקונטר	מקונטר	-
קוצץ	קצץ	יקצץ	מקצץ	-
קוצר	קוצר	יקוצר	מקוצר	-
קושש	קושש	יקושש	מקושש	-
קטון	קטון	יקטן	קטן	לקטון
קטל	קטל	יקטל	קוטל	-
קטן	קטן	יקטן	קטן	לקטון
קטע	קטע	יקטע	קוטע	-
קטף	קטף	יקטוף	קוטף	לקטוף
קיבל	קיבל	יקבל	מקבל	לקבל
קיבע	קיבע	יקבע	מקבע	לקבע
קיבץ	קבץ	יקבץ	מקבץ	-
קידם	קדם	יקדם	מקדם	-
קידש	קידש	יקדש	מקדש	לקדש
קיווה	קוה	יקוה	מקוה	-
קיטב	קיטב	יקטב	מקטב	לקטב
קיטלג	קיטלג	יקטלג	מקטלג	לקטלג
קיטע	קטע	יקטע	מקטע	-
קיטר	קיטר	יקטר	מקטר	לקטר
קיים	קיים	יקיים	מקיים	לקיים
קילל	קלל	יקלל	מקלל	-
קילף	קלף	יקלף	מקלף	-
קילקל	קילקל	יקלקל	מקלקל	לקלקל
קימפל	קמפל	יקמפל	מקמפל	-
קינא	קינא	יקנא	מקנא	לקנא
קינח	קינח	יקנח	מקנח	לקנח
קינטר	קינטר	יקנטר	מקנטר	לקנטר
קינן	קנן	יקנן	מקנן	-
קיער	קער	יקער	מקער	-
קיפד	קפד	יקפד	מקפד	-
קיפל	קיפל	יקפל	מקפל	לקפל
קיפץ	קפץ	יקפץ	מקפץ	-
קיצץ	קצץ	יקצץ	מקצץ	-
קיצר	קיצר	יקצר	מקצר	לקצר
קירר	קרר	יקרר	מקרר	-
קישט	קשט	יקשט	מקשט	-
קישר	קישר	יקשר	מקשר	לקשר
קלה	קלה	יקלה	קולה	לקלות
קלח	קלח	יקלח	קולח	-
קלט	קלט	יקלוט	קולט	לקלוט
קלע	קלע	יקלע	קולע	-
