# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
tarmlig	-	-	tarmligfidh	tarmligean	tarmligthe	-	-	-
tarraing	tarraingíonn	tarraing	tarraingeoidh	tarraingt	tarraingthe	-	tarraingígí	tarraingítear
tarrtháil	tarrthálann	tarrtháil	tarrthálfaidh	tarrtháil	tarrtháilte	-	tarrthálaigí	tarrtháiltear
tarráil	tarrálann	tarráil	tarrálfaidh	tarráil	tarráilte	-	tarrálaigí	tarráiltear
tarscaoil	-	-	tarscaoilfidh	-	-	-	-	-
tathantaigh	-	-	-	tathant	-	-	-	-
tathaoir	-	-	tathaoirfidh	tathaoir	tathaoirthe	-	-	-
tatuáil	tatuálann	tatuáil	tatuálfaidh	tatuáil	tatuáilte	-	tatuálaigí	tatuáiltear
teacht	-	-	-	-	teachta	-	-	teachtar
teagasc	-	-	-	teagasc	teagasctha	-	-	-
teagmhaigh	-	-	-	teagmháil	-	-	-	-
teangaigh	-	-	teangóidh	-	-	-	-	-
teasairg	teasargann	teasairg	teasargfaidh	teasargan	teasairgthe	-	teasargaigí	teasargtar
teasc	-	-	-	-	teasctha	-	-	-
teastaigh	-	-	teastóidh	teastáil	-	-	-	-
teibigh	-	-	teibeoidh	-	-	-	-	-
teilg	-	-	teilgfidh	teilgean	teilgthe	-	-	-
teinn	-	-	teinnfidh	-	-	-	-	-
teip	-	-	teipfidh	teip	teipthe	-	-	-
teisteáil	teisteálann	teisteáil	teisteálfaidh	teisteáil	teisteáilte	-	teisteálaigí	teisteáiltear
teith	-	-	teithfidh	-	teite	-	-	teitear
teorannaigh	-	-	teorannóidh	-	-	-	-	-
tiarnaigh	-	-	tiarnóidh	-	-	-	-	-
tibh	-	-	tibhfidh	-	tife	-	-	-
ticeáil	ticeálann	ticeáil	ticeálfaidh	ticeáil	ticeáilte	-	ticeálaigí	ticeáiltear
til	-	-	tilfidh	-	-	-	-	-
timfhill	-	-	timfhillfidh	-	-	-	-	-
timpeallghearr	-	-	-	-	timpeallghearrtha	-	-	-
tiomain	tiomnann	tiomain	tiomanfaidh	tiomaint	tiomanta	-	tiomnaigí	tiomantar
tiomairg	tiomargann	tiomairg	tiomargfaidh	tiomargadh	tiomargtha	-	tiomargaigí	tiomargtar
tiomnaigh	-	-	tiomnóidh	-	-	-	-	-
tiompáil	tiompálann	tiompáil	tiompálfaidh	tiompáil	tiompáilte	-	tiompálaigí	tiompáiltear
tiomsaigh	-	-	tiomsóidh	-	-	-	-	-
tiomáin	-	-	tiomáinfidh	tiomáint	-	-	-	-
tionlaic	tionlacann	tionlaic	tionlacfaidh	tionlacan	tionlactha	-	tionlacaigí	tionlactar
tionnabhair	tionnabhraíonn	tionnabhair	tionnabhróidh	tionnabhradh	tionnabhartha	-	tionnabhraígí	tionnabhraítear
tionscain	tionscnaíonn	tionscain	tionscnóidh	tionscnamh	tionscanta	-	tionscnaígí	tionscnaítear
tiontaigh	-	-	tiontóidh	-	-	-	-	-
tionóil	tionólann	tionóil	tionólfaidh	tionól	tionólta	-	tionólaigí	tionóltar
tipeáil	tipeálann	tipeáil	tipeálfaidh	tipeáil	tipeáilte	-	tipeálaigí	tipeáiltear
tit	-	-	titfidh	titim	tite	-	-	titear
tiubhaigh	-	-	tiubhóidh	tiúchan	-	-	-	-
tiúin	tiúnann	tiúin	tiúnfaidh	tiúnadh	tiúnta	-	tiúnaigí	tiúntar
tlúáil	tlúálann	tlúáil	tlúálfaidh	tlúáil	tlúáilte	-	tlúálaigí	tlúáiltear
tnáith	-	-	tnáithfidh	-	tnáite	-	-	tnáitear
tnúth	-	-	-	tnúth	tnúite	-	-	tnútar
tobchlis	-	-	tobchlisfidh	-	-	-	-	-
tochail	tochlaíonn	tochail	tochlóidh	tochailt	tochailte	-	tochlaígí	tochlaítear
tochais	tochasann	tochais	tochasfaidh	tochas	tochasta	-	tochasaigí	tochastar
tochrais	-	-	tochraisfidh	tochras	-	-	-	-
tochsail	tochslaíonn	tochsail	tochslóidh	tochsal	tochsailte	-	tochslaígí	tochslaítear
togair	tograíonn	togair	togróidh	togradh	togartha	-	tograígí	tograítear
togh	-	-	-	-	tofa	-	-	-
toghail	toghlann	toghail	toghlfaidh	toghail	toghalta	-	toghlaigí	toghltar
toghair	-	-	toghairfidh	toghairm	toghairthe	-	-	-
toghluais	-	-	toghluaisfidh	toghluasacht	-	-	-	-
toibhigh	-	-	-	tobhach	-	-	-	-
toiligh	-	-	toileoidh	-	-	-	-	-
toill	-	-	toillfidh	-	-	-	-	-
toirbhir	toirbhríonn	toirbhir	toirbhreoidh	toirbhirt	toirbheartha	-	toirbhrígí	toirbhrítear
toirchigh	-	-	toircheoidh	-	-	-	-	-
toirmisc	toirmeascann	toirmisc	toirmeascfaidh	toirmeasc	toirmiscthe	-	-	-
toirtmheasc	-	-	-	-	toirtmheasctha	-	-	-
toisigh	-	-	toiseoidh	-	-	-	-	-
tolg	-	-	-	-	tolgtha	-	-	-
tomhaidhm	tomhadhmann	tomhaidhm	tomhadhmfaidh	tomhaidhm	tomhadhmtha	-	tomhadhmaigí	tomhadhmtar
tomhail	tomhlaíonn	tomhail	tomhlóidh	tomhailt	tomhailte	-	tomhlaígí	tomhlaítear
tomhais	-	-	tomhaisfidh	tomhas	-	-	-	-
tonach	-	-	-	tonach	-	-	-	-
tonnchrith	-	-	tonnchrithfidh	tonnchrith	tonnchrite	-	-	tonnchritear
torchair	torchraíonn	torchair	torchróidh	torchra	torchartha	-	torchraígí	torchraítear
tornáil	tornálann	tornáil	tornálfaidh	tornáil	tornáilte	-	tornálaigí	tornáiltear
tosaigh	-	-	tosóidh	-	-	-	-	-
tost	-	-	-	tost	tosta	-	-	tostar
tosáil	tosálann	tosáil	tosálfaidh	tosáil	tosáilte	-	tosálaigí	tosáiltear
traenáil	traenálann	traenáil	traenálfaidh	traenáil	traenáilte	-	traenálaigí	traenáiltear
traiceáil	traiceálann	traiceáil	traiceálfaidh	traiceáil	traiceáilte	-	traiceálaigí	traiceáiltear
trampáil	trampálann	trampáil	trampálfaidh	trampáil	trampáilte	-	trampálaigí	trampáiltear
traoith	-	-	traoithfidh	-	traoite	-	-	traoitear
traost	-	-	-	-	traosta	-	-	traostar
traschuir	-	-	traschuirfidh	traschur	traschurtha	-	-	-
trasfhoirmigh	-	-	trasfhoirmeoidh	-	-	-	-	-
trasuigh	-	-	trasuífidh	trasuí	trasuite	-	-	trasuitear
treabh	-	-	-	-	treafa	-	-	-
treapáin	treapánann	treapáin	treapánfaidh	treapánadh	treapánta	-	treapánaigí	treapántar
treascair	treascraíonn	treascair	treascróidh	treascairt	treascartha	-	-	-
treisigh	-	-	treiseoidh	-	-	-	-	-
treochtáil	treochtálann	treochtáil	treochtálfaidh	treochtáil	treochtáilte	-	treochtálaigí	treochtáiltear
treoraigh	-	-	treoróidh	-	-	-	-	-
treoráil	treorálann	treoráil	treorálfaidh	treoráil	treoráilte	-	treorálaigí	treoráiltear
treoshuigh	-	-	treoshuífidh	treoshuí	treoshuite	-	-	treoshuitear
treáigh	treánn	treáigh	treáfaidh	treá	treáite	-	treáigí	treáitear
triail	-	-	triailfidh	triail	-	-	-	-
triall	-	-	-	triall	-	-	-	-
triantánaigh	-	-	triantánóidh	-	-	-	-	-
trimeáil	trimeálann	trimeáil	trimeálfaidh	trimeáil	trimeáilte	-	trimeálaigí	trimeáiltear
trinseáil	trinseálann	trinseáil	trinseálfaidh	trinseáil	trinseáilte	-	trinseálaigí	trinseáiltear
triomaigh	-	-	triomóidh	-	-	-	-	-
triosc	-	-	-	triosc	triosctha	-	-	-
triáiseáil	triáiseálann	triáiseáil	triáiseálfaidh	triáiseáil	triáiseáilte	-	triáiseálaigí	triáiseáiltear
troid	-	-	troidfidh	troid	-	-	-	-
troisc	-	-	troiscfidh	troscadh	troiscthe	-	-	-
troitheánaigh	-	-	troitheánóidh	-	-	-	-	-
truaigh	truann	truaigh	truafaidh	trua	truaite	-	truaigí	truaitear
truailligh	-	-	truailleoidh	-	-	-	-	-
truaillmheasc	-	-	-	-	truaillmheasctha	-	-	-
truipeáil	truipeálann	truipeáil	truipeálfaidh	truipeáil	truipeáilte	-	truipeálaigí	truipeáiltear
truncáil	truncálann	truncáil	truncálfaidh	truncáil	truncáilte	-	truncálaigí	truncáiltear
trust	-	-	-	trust	trusta	-	-	trustar
trusáil	trusálann	trusáil	trusálfaidh	trusáil	trusáilte	-	trusálaigí	trusáiltear
trácht	-	-	-	trácht	tráchta	-	-	tráchtar
trádmharcáil	trádmharcálann	trádmharcáil	trádmharcálfaidh	trádmharcáil	trádmharcáilte	-	trádmharcálaigí	trádmharcáiltear
trádáil	trádálann	trádáil	trádálfaidh	trádáil	trádáilte	-	trádálaigí	trádáiltear
tráigh	tránn	tráigh	tráfaidh	trá	tráite	-	tráigí	tráitear
trátháil	tráthálann	trátháil	tráthálfaidh	trátháil	trátháilte	-	tráthálaigí	trátháiltear
tréig	-	-	tréigfidh	tréigean	tréigthe	-	-	-
tréthál	-	-	-	tréthál	-	-	-	-
tríroinn	-	-	tríroinnfidh	tríroinnt	-	-	-	-
tuaigh	tuann	tuaigh	tuafaidh	tua	tuaite	-	tuaigí	tuaitear
tuairteáil	tuairteálann	tuairteáil	tuairteálfaidh	tuairteáil	tuairteáilte	-	tuairteálaigí	tuairteáiltear
tuar	-	-	-	tuar	tuartha	-	-	-
tuargain	tuargnaíonn	tuargain	tuargnóidh	tuargaint	tuargainte	-	tuargnaígí	tuargnaítear
tuaslaig	tuaslagann	tuaslaig	tuaslagfaidh	tuaslagadh	tuaslagtha	-	tuaslagaigí	tuaslagtar
tubh	-	-	-	tubha	tufa	-	-	-
tuig	-	-	tuigfidh	tuiscint	tuigthe	-	-	-
tuil	-	-	tuilfidh	tuile	-	-	-	-
tuill	-	-	tuillfidh	tuilleamh	-	-	-	-
tuirling	tuirlingíonn	tuirling	tuirlingeoidh	tuirlingt	tuirlingthe	-	tuirlingígí	tuirlingítear
tuirsigh	-	-	tuirseoidh	-	-	-	-	-
tuisligh	-	-	tuisleoidh	-	-	-	-	-
tuismigh	-	-	tuismeoidh	-	-	-	-	-
tultit	-	-	tultitfidh	tultitim	tultite	-	-	tultitear
tum	-	-	-	-	tumtha	-	-	-
tvuíteáil	tvuíteálann	tvuíteáil	tvuíteálfaidh	tvuíteáil	tvuíteáilte	-	tvuíteálaigí	tvuíteáiltear
tácláil	táclálann	tácláil	táclálfaidh	tácláil	tácláilte	-	táclálaigí	tácláiltear
táinsigh	-	-	-	táinseamh	-	-	-	-
táir	-	-	táirfidh	-	táirthe	-	-	-
táirg	-	-	táirgfidh	-	táirgthe	-	-	-
tál	-	-	-	tál	-	-	-	-
támáil	támálann	támáil	támálfaidh	támáil	támáilte	-	támálaigí	támáiltear
tástáil	tástálann	tástáil	tástálfaidh	tástáil	tástáilte	-	tástálaigí	tástáiltear
táthaigh	-	-	táthóidh	-	-	-	-	-
téacht	-	-	-	-	téachta	-	-	téachtar
téacsáil	téacsálann	téacsáil	téacsálfaidh	téacsáil	téacsáilte	-	téacsálaigí	téacsáiltear
téaltaigh	-	-	téaltóidh	-	-	-	-	-
téarnaigh	-	-	-	téarnamh	-	-	-	-
téigh	téann	cuaigh	rachaidh	dul	-	-	téigí	téitear
téipeáil	téipeálann	téipeáil	téipeálfaidh	téipeáil	téipeáilte	-	téipeálaigí	téipeáiltear
tíolaic	tíolacann	tíolaic	tíolacfaidh	tíolacadh	tíolactha	-	tíolacaigí	tíolactar
tíoptheilg	-	-	tíoptheilgfidh	tíoptheilgean	tíoptheilgthe	-	-	-
tíopáil	tíopálann	tíopáil	tíopálfaidh	tíopáil	tíopáilte	-	tíopálaigí	tíopáiltear
tíor	-	-	-	-	tíortha	-	-	-
tíáil	tíálann	tíáil	tíálfaidh	tíáil	tíáilte	-	tíálaigí	tíáiltear
tóch	-	-	-	tóch	-	-	-	-
tóg	-	-	-	tógáil	tógtha	-	-	-
tóraigh	-	-	tóróidh	tóraíocht	-	-	-	-
tórraigh	-	-	-	tórramh	-	-	-	-
tóstáil	tóstálann	tóstáil	tóstálfaidh	tóstáil	tóstáilte	-	tóstálaigí	tóstáiltear
túsaigh	-	-	túsóidh	-	-	-	-	-
uaim	uamann	uaim	uamfaidh	uamadh	uamtha	-	uamaigí	uamtar
uasghrádaigh	-	-	uasghrádóidh	-	-	-	-	-
uaslódáil	uaslódálann	uaslódáil	uaslódálfaidh	uaslódáil	uaslódáilte	-	uaslódálaigí	uaslódáiltear
ubhsceith	-	-	ubhsceithfidh	-	ubhsceite	-	-	ubhsceitear
uchtaigh	-	-	uchtóidh	-	-	-	-	-
uchtáil	uchtálann	uchtáil	uchtálfaidh	uchtáil	uchtáilte	-	uchtálaigí	uchtáiltear
uirísligh	-	-	uirísleoidh	-	-	-	-	-
uiscigh	-	-	uisceoidh	-	-	-	-	-
ullmhaigh	-	-	ullmhóidh	-	-	-	-	-
umhlaigh	-	-	umhlóidh	-	-	-	-	-
ung	-	-	-	-	ungtha	-	-	-
uraigh	-	-	uróidh	-	-	-	-	-
urbhac	-	-	-	urbhac	urbhactha	-	-	-
urbhruith	-	-	urbhruithfidh	urbhruith	urbhruite	-	-	urbhruitear
urchoill	-	-	urchoillfidh	-	-	-	-	-
urchoisc	-	-	urchoiscfidh	urchosc	urchoiscthe	-	-	-
urghabh	-	-	-	urghabháil	urghafa	-	-	-
urghair	-	-	urghairfidh	urghaire	urghairthe	-	-	-
urlaic	urlacann	urlaic	urlacfaidh	urlacan	urlactha	-	urlacaigí	urlactar
urmhais	-	-	urmhaisfidh	urmhaise	-	-	-	-
urraigh	-	-	urróidh	-	-	-	-	-
urscaoil	-	-	urscaoilfidh	-	-	-	-	-
urscart	-	-	-	-	urscarta	-	-	urscartar
vacsaínigh	-	-	vacsaíneoidh	-	-	-	-	-
válsáil	válsálann	válsáil	válsálfaidh	válsáil	válsáilte	-	válsálaigí	válsáiltear
vótáil	vótálann	vótáil	vótálfaidh	vótáil	vótáilte	-	vótálaigí	vótáiltear
zipeáil	zipeálann	zipeáil	zipeálfaidh	zipeáil	zipeáilte	-	zipeálaigí	zipeáiltear
zónáil	zónálann	zónáil	zónálfaidh	zónáil	zónáilte	-	zónálaigí	zónáiltear
zúmáil	zúmálann	zúmáil	zúmálfaidh	zúmáil	zúmáilte	-	zúmálaigí	zúmáiltear
áil	-	-	áilfidh	áil	-	-	-	-
áirigh	-	-	áireoidh	áireamh	-	-	-	-
áitigh	-	-	áiteoidh	-	-	-	-	-
ársaigh	-	-	ársóidh	-	-	-	-	-
éadaigh	-	-	éadóidh	-	-	-	-	-
éadlúthaigh	-	-	-	-	éadlúite	-	-	-
éag	-	-	-	éag	éagtha	-	-	-
éagaoin	-	-	éagaoinfidh	-	-	-	-	-
éagnaigh	-	-	éagnóidh	-	-	-	-	-
éagothromaigh	-	-	éagothromóidh	-	-	-	-	-
éalaigh	-	-	éalóidh	-	-	-	-	-
éar	-	-	-	-	éartha	-	-	-
éascaigh	-	-	éascóidh	-	-	-	-	-
éidigh	-	-	éideoidh	-	-	-	-	-
éigh	éann	-	éifidh	éamh	-	-	-	-
éignigh	-	-	éigneoidh	-	-	-	-	-
éiligh	-	-	éileoidh	éileamh	-	-	-	-
éilligh	-	-	éilleoidh	-	-	-	-	-
éirigh	-	-	éireoidh	éirí	-	-	-	-
éist	-	-	éistfidh	éisteacht	éiste	-	-	éistear
íleáil	íleálann	íleáil	íleálfaidh	híleáil	híleáilte	-	íleálaigí	íleáiltear
íobair	íobraíonn	íobair	íobróidh	íobairt	íobartha	-	íobraígí	íobraítear
íoc	-	-	-	íoc	íoctha	-	-	-
íoschéimnigh	-	-	íoschéimneoidh	-	-	-	-	-
íosghrádaigh	-	-	íosghrádóidh	-	-	-	-	-
íoslódáil	íoslódálann	íoslódáil	íoslódálfaidh	íoslódáil	íoslódáilte	-	íoslódálaigí	íoslódáiltear
íosnasc	-	-	-	-	íosnasctha	-	-	-
íospair	íospraíonn	íospair	íospróidh	íospairt	íospartha	-	íospraígí	íospraítear
ísligh	-	-	ísleoidh	-	-	-	-	-
ócáidigh	-	-	ócáideoidh	-	-	-	-	-
ól	-	-	-	ól	-	-	-	-
órphlátáil	órphlátálann	órphlátáil	órphlátálfaidh	órphlátáil	órphlátáilte	-	órphlátálaigí	órphlátáiltear
óstáil	óstálann	óstáil	óstálfaidh	óstáil	óstáilte	-	óstálaigí	óstáiltear
úim	úmann	úim	úmfaidh	úmadh	úmtha	-	úmaigí	úmtar
úraigh	-	-	úróidh	-	-	-	-	-
úsc	-	-	-	-	úsctha	-	-	-
úsáid	-	-	úsáidfidh	úsáid	-	-	-	-
