# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
scoir	-	-	scoirfidh	scor	-	-	-	-
scoith	-	-	scoithfidh	-	scoite	-	-	scoitear
scolbáil	scolbálann	scolbáil	scolbálfaidh	scolbáil	scolbáilte	-	scolbálaigí	scolbáiltear
scor	-	-	-	-	scortha	-	-	-
scoráil	scorálann	scoráil	scorálfaidh	scoráil	scoráilte	-	scorálaigí	scoráiltear
scrabh	-	-	-	-	scrabhaite	-	-	-
scraith	-	-	scraithfidh	scrathadh	scraite	-	-	scraitear
scrapáil	scrapálann	scrapáil	scrapálfaidh	scrapáil	scrapáilte	-	scrapálaigí	scrapáiltear
scread	-	-	-	screadach	-	-	-	-
screamhchruaigh	screamhchruann	screamhchruaigh	screamhchruafaidh	screamhchruachan	screamhchruaite	-	screamhchruaigí	screamhchruaitear
scriobláil	scrioblálann	scriobláil	scrioblálfaidh	scriobláil	scriobláilte	-	scrioblálaigí	scriobláiltear
scriosdóigh	scriosdónn	scriosdóigh	scriosdófaidh	scriosdó	scriosdóite	-	scriosdóigí	scriosdóitear
scriúáil	scriúálann	scriúáil	scriúálfaidh	scriúáil	scriúáilte	-	scriúálaigí	scriúáiltear
scrobh	-	-	-	-	scrofa	-	-	-
scrábáil	scrábálann	scrábáil	scrábálfaidh	scrábáil	scrábáilte	-	scrábálaigí	scrábáiltear
scréach	-	-	-	scréachach	-	-	-	-
scríob	-	-	-	-	scríobtha	-	-	-
scríobh	-	-	-	scríobh	scríofa	-	-	-
scrúdaigh	-	-	scrúdóidh	-	-	-	-	-
scuab	-	-	-	-	scuabtha	-	-	-
scuitseáil	scuitseálann	scuitseáil	scuitseálfaidh	scuitseáil	scuitseáilte	-	scuitseálaigí	scuitseáiltear
scáin	-	-	scáinfidh	-	-	-	-	-
scáthaigh	-	-	scáthóidh	-	-	-	-	-
scáthcheil	-	-	scáthcheilfidh	scáthcheilt	-	-	-	-
scátáil	scátálann	scátáil	scátálfaidh	scátáil	scátáilte	-	scátálaigí	scátáiltear
scéalaigh	-	-	scéalóidh	-	-	-	-	-
scóig	-	-	scóigfidh	-	scóigthe	-	-	-
scóráil	scórálann	scóráil	scórálfaidh	scóráil	scóráilte	-	scórálaigí	scóráiltear
scótráil	scótrálann	scótráil	scótrálfaidh	scótráil	scótráilte	-	scótrálaigí	scótráiltear
seachaid	seachadann	seachaid	seachadfaidh	seachadadh	seachadta	-	seachadaigí	seachadtar
seachain	seachnaíonn	seachain	seachnóidh	seachaint	seachanta	-	seachnaígí	seachnaítear
seansáil	seansálann	seansáil	seansálfaidh	seansáil	seansáilte	-	seansálaigí	seansáiltear
searg	-	-	-	-	seargtha	-	-	-
searn	-	-	-	-	searntha	-	-	-
searr	-	-	-	-	searrtha	-	-	-
seas	-	-	-	seasamh	-	-	-	-
seiceáil	seiceálann	seiceáil	seiceálfaidh	seiceáil	seiceáilte	-	seiceálaigí	seiceáiltear
seiftigh	-	-	seifteoidh	-	-	-	-	-
seilg	-	-	seilgfidh	seilg	seilgthe	-	-	-
seinn	-	-	seinnfidh	seinm	-	-	-	-
seirbheáil	seirbheálann	seirbheáil	seirbheálfaidh	seirbheáil	seirbheáilte	-	seirbheálaigí	seirbheáiltear
siabhair	siabhraíonn	siabhair	siabhróidh	siabhradh	siabhartha	-	siabhraígí	siabhraítear
sil	-	-	silfidh	-	-	-	-	-
sil-leag	-	-	-	sil-leagan	sil-leagtha	-	-	-
sill	-	-	sillfidh	-	-	-	-	-
simíáil	simíálann	simíáil	simíálfaidh	simíáil	simíáilte	-	simíálaigí	simíáiltear
sioc	-	-	-	-	sioctha	-	-	-
siolp	-	-	-	-	siolptha	-	-	-
siorc	-	-	-	-	siorctha	-	-	-
siortáil	siortálann	siortáil	siortálfaidh	siortáil	siortáilte	-	siortálaigí	siortáiltear
siosc	-	-	-	-	siosctha	-	-	-
sir	-	-	sirfidh	-	sirthe	-	-	-
siúil	siúlann	siúil	siúlfaidh	siúl	siúlta	-	siúlaigí	siúltar
siúnt	-	-	-	-	siúnta	-	-	siúntar
slac	-	-	-	-	slactha	-	-	-
slad	-	-	-	slad	-	-	-	-
slaidh	-	-	slaidhfidh	slaidhe	-	-	-	-
slaiseáil	slaiseálann	slaiseáil	slaiseálfaidh	slaiseáil	slaiseáilte	-	slaiseálaigí	slaiseáiltear
slat	-	-	-	-	slata	-	-	slatar
slatáil	slatálann	slatáil	slatálfaidh	slatáil	slatáilte	-	slatálaigí	slatáiltear
sleabhac	sleabhcann	sleabhac	sleabhcfaidh	sleabhcadh	sleabhctha	-	sleabhcaigí	sleabhctar
sleacht	-	-	-	-	sleachta	-	-	-
sleamhnaigh	-	-	sleamhnóidh	-	-	-	-	-
sleáigh	sleánn	sleáigh	sleáfaidh	sleá	sleáite	-	sleáigí	sleáitear
sliacht	-	-	-	-	sliachta	-	-	sliachtar
sligh	-	-	slífidh	slighe	slite	-	-	slitear
sliop	-	-	-	-	slioptha	-	-	-
slis	-	-	slisfidh	-	-	-	-	-
slog	-	-	-	-	slogtha	-	-	-
sloinn	-	-	sloinnfidh	-	-	-	-	-
sluaisteáil	sluaisteálann	sluaisteáil	sluaisteálfaidh	sluaisteáil	sluaisteáilte	-	sluaisteálaigí	sluaisteáiltear
slám	-	-	-	-	slámtha	-	-	-
slámáil	slámálann	slámáil	slámálfaidh	slámáil	slámáilte	-	slámálaigí	slámáiltear
slánaigh	-	-	slánóidh	-	-	-	-	-
sléacht	-	-	-	-	sléachta	-	-	sléachtar
slíob	-	-	-	-	slíobtha	-	-	-
slíoc	-	-	-	-	slíoctha	-	-	-
slíom	-	-	-	-	slíomtha	-	-	-
slócht	-	-	-	-	slóchta	-	-	slóchtar
slóg	-	-	-	-	slógtha	-	-	-
smailc	-	-	smailcfidh	-	smailcthe	-	-	-
smaoinigh	-	-	smaoineoidh	smaoineamh	-	-	-	-
smeadráil	smeadrálann	smeadráil	smeadrálfaidh	smeadráil	smeadráilte	-	smeadrálaigí	smeadráiltear
smear	-	-	-	-	smeartha	-	-	-
smid	-	-	smidfidh	-	-	-	-	-
smiog	-	-	-	-	smiogtha	-	-	-
smiot	-	-	-	-	smiota	-	-	smiotar
smuigleáil	smuigleálann	smuigleáil	smuigleálfaidh	smuigleáil	smuigleáilte	-	smuigleálaigí	smuigleáiltear
smut	-	-	-	-	smuta	-	-	smutar
sméid	-	-	sméidfidh	-	-	-	-	-
smíocht	-	-	-	-	smíochta	-	-	smíochtar
smíst	-	-	smístfidh	-	smíste	-	-	smístear
smísteáil	smísteálann	smísteáil	smísteálfaidh	smísteáil	smísteáilte	-	smísteálaigí	smísteáiltear
smúdáil	smúdálann	smúdáil	smúdálfaidh	smúdáil	smúdáilte	-	smúdálaigí	smúdáiltear
smúr	-	-	-	-	smúrtha	-	-	-
snaidhm	-	-	snaidhmfidh	-	snaidhmthe	-	-	-
snap	-	-	-	-	snaptha	-	-	-
snigeáil	snigeálann	snigeáil	snigeálfaidh	snigeáil	snigeáilte	-	snigeálaigí	snigeáiltear
snigh	-	-	snífidh	sní	snite	-	-	snitear
sniog	-	-	-	-	sniogtha	-	-	-
snoigh	-	-	snoífidh	snoí	snoite	-	-	snoitear
snáith	-	-	snáithfidh	snáthadh	snáite	-	-	snáitear
snámh	-	-	-	snámh	snáfa	-	-	-
sníomh	-	-	-	sníomh	sníofa	-	-	-
snúcaráil	snúcarálann	snúcaráil	snúcarálfaidh	snúcaráil	snúcaráilte	-	snúcarálaigí	snúcaráiltear
socht	-	-	-	-	sochta	-	-	sochtar
socraigh	-	-	socróidh	-	-	-	-	-
soirbhigh	-	-	soirbheoidh	-	-	-	-	-
soiscéalaigh	-	-	soiscéalóidh	-	-	-	-	-
soladaigh	-	-	soladóidh	-	-	-	-	-
soláthair	soláthraíonn	soláthair	soláthróidh	soláthar	soláthartha	-	soláthraígí	soláthraítear
soncáil	soncálann	soncáil	soncálfaidh	soncáil	soncáilte	-	soncálaigí	soncáiltear
sondáil	sondálann	sondáil	sondálfaidh	sondáil	sondáilte	-	sondálaigí	sondáiltear
sonraigh	-	-	sonróidh	-	-	-	-	-
sonrasc	-	-	-	-	sonrasctha	-	-	-
sop	-	-	-	-	soptha	-	-	-
spadhar	spadhrann	spadhar	spadhrfaidh	spadhradh	spadhartha	-	spadhraigí	spadhrtar
spaill	-	-	spaillfidh	-	-	-	-	-
spairn	-	-	spairnfidh	-	spairnthe	-	-	-
spalp	-	-	-	-	spalptha	-	-	-
