# lemma	prs1sg	prs2sg	prs3sg	prs1pl	prs2pl	prs3pl	sbjv3	imp2sg	ptcp	ger	ipfv1sg	pfv3sg ("-" = derive)
brehăi	brehăiesc	brehăiești	brehăiește	brehăim	brehăiți	brehăiesc	brehăiască	brehăiește	brehăit	brehăind	brehăiam	brehăi
brenoi	brenoiesc	brenoiești	brenoiește	brenoim	brenoiți	brenoiesc	brenoiască	brenoiește	brenoit	brenoind	brenoiam	brenoi
breslui	bresluiesc	bresluiești	bresluiește	bresluim	bresluiți	bresluiesc	bresluiască	bresluiește	bresluit	bresluind	bresluiam	breslui
brezdui	brezduiesc	brezduiești	brezduiește	brezduim	brezduiți	brezduiesc	brezduiască	brezduiește	brezduit	brezduind	brezduiam	brezdui
brezăi	brezăiesc	brezăiești	brezăiește	brezăim	brezăiți	brezăiesc	brezăiască	brezăiește	brezăit	brezăind	brezăiam	brezăi
brezăia	brezăiez	brezăiezi	brezăiază	brezăiem	brezăiați	brezăiază	brezăieze	brezăiază	brezăiat	brezăind	brezăiam	brezăie
bria	briez	briezi	briază	briem	briați	briază	brieze	briază	briat	briind	briam	brie
bricui	bricuiesc	bricuiești	bricuiește	bricuim	bricuiți	bricuiesc	bricuiască	bricuiește	bricuit	bricuind	bricuiam	bricui
brohoi	brohoiesc	brohoiești	brohoiește	brohoim	brohoiți	brohoiesc	brohoiască	brohoiește	brohoit	brohoind	brohoiam	brohoi
brotălui	brotăluiesc	brotăluiești	brotăluiește	brotăluim	brotăluiți	brotăluiesc	brotăluiască	brotăluiește	brotăluit	brotăluind	brotăluiam	brotălui
bruftui	bruftuiesc	bruftuiești	bruftuiește	bruftuim	bruftuiți	bruftuiesc	bruftuiască	bruftuiește	bruftuit	bruftuind	bruftuiam	bruftui
bruftului	bruftuluiesc	bruftuluiești	bruftuluiește	bruftuluim	bruftuluiți	bruftuluiesc	bruftuluiască	bruftuluiește	bruftuluit	bruftuluind	bruftuluiam	bruftului
bruia	bruiez	bruiezi	bruiază	bruiem	bruiați	bruiază	bruieze	bruiază	bruiat	bruind	bruiam	bruie
bruslui	brusluiesc	brusluiești	brusluiește	brusluim	brusluiți	brusluiesc	brusluiască	brusluiește	brusluit	brusluind	brusluiam	bruslui
brustui	brustuiesc	brustuiești	brustuiește	brustuim	brustuiți	brustuiesc	brustuiască	brustuiește	brustuit	brustuind	brustuiam	brustui
brăcui	brăcuiesc	brăcuiești	brăcuiește	brăcuim	brăcuiți	brăcuiesc	brăcuiască	brăcuiește	brăcuit	brăcuind	brăcuiam	brăcui
brănui	brănuiesc	brănuiești	brănuiește	brănuim	brănuiți	brănuiesc	brănuiască	brănuiește	brănuit	brănuind	brănuiam	brănui
brătălui	brătăluiesc	brătăluiești	brătăluiește	brătăluim	brătăluiți	brătăluiesc	brătăluiască	brătăluiește	brătăluit	brătăluind	brătăluiam	brătălui
brăzdui	brăzduiesc	brăzduiești	brăzduiește	brăzduim	brăzduiți	brăzduiesc	brăzduiască	brăzduiește	brăzduit	brăzduind	brăzduiam	brăzdui
bubui	-	-	bubuie	-	-	bubuie	bubuie	-	bubuit	bubuind	-	bubui
bucina	bucin	bucini	bucină	-	-	bucină	bucine	bucină	-	-	-	-
budului	buduluiesc	buduluiești	buduluiește	buduluim	buduluiți	buduluiesc	buduluiască	buduluiește	buduluit	buduluind	buduluiam	budului
budușlui	budușluiesc	budușluiești	budușluiește	budușluim	budușluiți	budușluiesc	budușluiască	budușluiește	budușluit	budușluind	budușluiam	budușlui
bufui	bufuiesc	bufuiești	bufuiește	bufuim	bufuiți	bufuiesc	bufuiască	bufuiește	bufuit	bufuind	bufuiam	bufui
bufăi	bufăi	bufăi	bufăie	bufăim	bufăiți	bufăie	bufăie	bufăie	bufăit	bufăind	bufăiam	bufăi
buhui	buhuiesc	buhuiești	buhuiește	buhuim	buhuiți	buhuiesc	buhuiască	buhuiește	buhuit	buhuind	buhuiam	buhui
buhăi	buhăi	buhăi	buhăie	buhăim	buhăiți	buhăie	buhăiască	buhăie	buhăit	buhăind	buhăiam	buhăi
buhălui	buhăluiesc	buhăluiești	buhăluiește	buhăluim	buhăluiți	buhăluiesc	buhăluiască	buhăluiește	buhăluit	buhăluind	buhăluiam	buhălui
bui	buiesc	buiești	buiește	buim	buiți	buiesc	buiască	buiește	buit	buind	buiam	bui
buigui	buigui	buigui	buiguie	buiguim	buiguiți	buiguie	buiguie	buiguie	buiguit	buiguind	buiguiam	buigui
buigăi	buigăi	buigăi	buigăie	buigăim	buigăiți	buigăie	buigăie	buigăie	buigăit	buigăind	buigăiam	buigăi
