# lemma	prs1sg	prs2sg	prs3sg	prs1pl	prs2pl	prs3pl	sbjv3	imp2sg	ptcp	ger	ipfv1sg	pfv3sg ("-" = derive)
dezvoalbe	dezvolb	dezvolbi	dezvoalbe	dezvolbăm	dezvolbați	dezvolb	dezvoalbe	-	-	dezvolbând	dezvolbeam	-
dezvolta	dezvolt	dezvolți	dezvoltă	dezvoltăm	dezvoltați	dezvoltă	dezvolte	dezvoltă	dezvoltat	dezvoltând	dezvoltam	dezvoltă
dezvălui	dezvălui	dezvălui	dezvăluie	dezvăluim	dezvăluiți	dezvăluie	dezvăluie	dezvăluie	dezvăluit	dezvăluind	dezvăluiam	dezvălui
dezvăța	dezvăț	dezveți	dezvață	dezvățăm	dezvățați	dezvață	dezvețe	dezvață	dezvățat	dezvățând	dezvățam	dezvăță
dezzice	-	-	-	-	-	-	-	-	dezzis	-	-	dezzise
dezîntoarce	dezîntorc	dezîntorci	dezîntoarce	dezîntoarcem	dezîntoarceți	dezîntorc	dezîntoarcă	dezîntoarce	dezîntors	dezîntorcând	dezîntorceam	dezîntoarse
dezînșela	dezînșel	dezînșeli	dezînșală	dezînșelăm	dezînșelați	dezînșală	dezînșele	dezînșală	dezînșelat	dezînșelând	dezînșelam	dezînșelă
deșchide	-	-	-	-	-	-	-	-	deșchis	deșchizând	-	deșchise
deșela	deșel	deșeli	-	deșelăm	deșelați	-	deșele	-	deșelat	deșelând	deșelam	deșelă
deșerta	deșert	deșerți	deșartă	deșertăm	deșertați	deșartă	deșerte	deșartă	deșertat	deșertând	deșertam	deșertă
deșeua	deșeuez	deșeuezi	deșeuază	deșeuăm	deșeuați	deșeuază	deșeueze	deșeuază	deșeuat	deșeuând	deșeuam	deșeuă
deștepta	deștept	deștepți	deșteaptă	deșteptăm	deșteptați	deșteaptă	deștepte	deșteaptă	deșteptat	deșteptând	deșteptam	deșteptă
deștinde	-	-	-	-	-	-	-	-	deștins	deștinzând	-	deștinse
deștinge	-	-	-	-	-	-	-	-	deștins	-	-	deștinse
deține	dețin	deții	deține	deținem	dețineți	dețin	dețină	deține	deținut	deținând	dețineam	deținu
dibui	dibui	dibui	dibuie	dibuim	dibuiți	dibuie	dibuiască	dibuie	dibuit	dibuind	dibuiam	dibui
diferenția	diferențiez	diferențiezi	diferențiază	diferențiem	diferențiați	diferențiază	diferențieze	diferențiază	diferențiat	diferențiind	diferențiam	diferenție
diferi	difer	diferi	diferă	diferim	diferiți	diferă	difere	-	diferit	diferind	difeream	diferi
dihoca	dihoc	dihoci	dihoacă	-	-	dihoacă	dihoace	dihoacă	-	-	-	-
dijmui	dijmuiesc	dijmuiești	dijmuiește	dijmuim	dijmuiți	dijmuiesc	dijmuiască	dijmuiește	dijmuit	dijmuind	dijmuiam	dijmui
dilua	diluez	diluezi	diluează	diluăm	diluați	diluează	dilueze	diluează	diluat	diluând	diluam	diluă
diminua	diminuez	diminuezi	diminuează	diminuăm	diminuați	diminuează	diminueze	diminuează	diminuat	diminuând	diminuam	diminuă
dinstui	dinstuiesc	dinstuiești	dinstuiește	dinstuim	dinstuiți	dinstuiesc	dinstuiască	dinstuiește	dinstuit	dinstuind	dinstuiam	dinstui
diochea	diochi	diochi	-	diochem	-	-	-	-	-	diochind	diocheam	-
direge	-	-	-	-	-	-	-	-	dires	-	-	direse
diretica	diretic	diretici	diretică	-	-	diretică	diretice	diretică	-	-	-	-
dirigui	diriguiesc	diriguiești	diriguiește	diriguim	diriguiți	diriguiesc	diriguiască	diriguiește	diriguit	diriguind	diriguiam	dirigui
discalifica	discalific	discalifici	discalifică	-	-	discalifică	discalifice	discalifică	-	-	-	-
discompune	discompun	discompui	discompune	discompunem	discompuneți	discompun	discompuie	discompune	discompus	discompunând	discompuneam	discompuse
disconsidera	disconsider	disconsideri	disconsideră	disconsiderăm	disconsiderați	disconsideră	disconsidere	disconsideră	disconsiderat	disconsiderând	disconsideram	disconsideră
discui	discuiesc	discuiești	discuiește	discuim	discuiți	discuiesc	discuiască	discuiește	discuit	discuind	discuiam	discui
diseca	disec	diseci	disecă	disecăm	disecați	disecă	disece	disecă	disecat	disecând	disecam	disecă
disjunge	-	-	-	-	-	-	-	-	disjuns	-	-	disjunse
disloca	disloc	disloci	dislocă	dislocăm	dislocați	dislocă	disloce	dislocă	dislocat	dislocând	dislocam	dislocă
disocia	disociez	disociezi	disociază	disociem	disociați	disociază	disocieze	disociază	disociat	disociind	disociam	disocie
disolva	disolv	disolvi	disolvă	disolvăm	disolvați	disolvă	disolve	disolvă	disolvat	disolvând	disolvam	disolvă
dispecetlui	dispecetluiesc	dispecetluiești	dispecetluiește	dispecetluim	dispecetluiți	dispecetluiesc	dispecetluiască	dispecetluiește	dispecetluit	dispecetluind	dispecetluiam	dispecetlui
dispoia	dispoi	dispoi	dispoaie	dispoiem	dispoiați	dispoaie	dispoaie	dispoaie	dispoiat	dispoind	dispoiam	dispoie
disprețui	disprețuiesc	disprețuiești	disprețuiește	disprețuim	disprețuiți	disprețuiesc	disprețuiască	disprețuiește	disprețuit	disprețuind	disprețuiam	disprețui
dispune	dispun	dispui	dispune	dispunem	dispuneți	dispun	dispună	dispune	dispus	dispunând	dispuneam	dispuse
dispărea	dispar	dispari	dispare	dispărem	dispăreți	dispar	dispară	dispari	dispărut	dispărând	dispăream	dispăru
distinge	-	-	-	-	-	-	-	-	distins	-	-	distinse
distrage	-	-	-	-	-	-	-	-	distras	-	-	distrase
distribui	distribui	distribui	distribuie	distribuim	distribuiți	distribuie	distribuie	distribuie	distribuit	distribuind	distribuiam	distribui
distruge	-	-	-	-	-	-	-	-	distrus	-	-	distruse
dizgrația	dizgrațiez	dizgrațiezi	dizgrațiază	dizgrațiem	dizgrațiați	dizgrațiază	dizgrațieze	dizgrațiază	dizgrațiat	dizgrațiind	dizgrațiam	dizgrație
dizmierda	dizmierd	dizmierzi	-	dizmierdăm	dizmierdați	-	dizmierde	-	dizmierdat	dizmierdând	dizmierdam	dizmierdă
dizolva	dizolv	dizolvi	dizolvă	dizolvăm	dizolvați	dizolvă	dizolve	dizolvă	dizolvat	dizolvând	dizolvam	dizolvă
doborî	dobor	dobori	doboară	doborâm	doborâți	doboară	doboare	doboară	doborât	doborând	doboram	doborî
dodăi	dodăiesc	dodăiești	dodăiește	dodăim	dodăiți	dodăiesc	dodăiască	dodăiește	dodăit	dodăind	dodăiam	dodăi
domicilia	domiciliez	domiciliezi	domiciliază	domiciliem	domiciliați	domiciliază	domicilieze	domiciliază	domiciliat	domiciliind	domiciliam	domicilie
domăi	domăi	domăi	domăie	domăim	domăiți	domăie	domăiască	domăie	domăit	domăind	domăiam	domăi
dondăi	dondăiesc	dondăiești	dondăiește	dondăim	dondăiți	dondăiesc	dondăiască	dondăiește	dondăit	dondăind	dondăiam	dondăi
dopleca	doplec	dopleci	doplecă	doplecăm	doplecați	doplecă	doplece	doplecă	doplecat	doplecând	doplecam	doplecă
dorovăi	dorovăiesc	dorovăiești	dorovăiește	dorovăim	dorovăiți	dorovăiesc	dorovăiască	dorovăiește	dorovăit	dorovăind	dorovăiam	dorovăi
dostoi	dostoiesc	dostoiești	dostoiește	dostoim	dostoiți	dostoiesc	dostoiască	dostoiește	dostoit	dostoind	dostoiam	dostoi
drajefia	drajefiez	drajefiezi	drajefiază	drajefiem	drajefiați	drajefiază	drajefieze	drajefiază	drajefiat	drajefiind	drajefiam	drajefie
drege	-	-	-	-	-	-	-	-	dres	-	-	drese
dricui	dricuiesc	dricuiești	dricuiește	dricuim	dricuiți	dricuiesc	dricuiască	dricuiește	dricuit	dricuind	dricuiam	dricui
drincui	drincuiesc	drincuiești	drincuiește	drincuim	drincuiți	drincuiesc	drincuiască	drincuiește	drincuit	drincuind	drincuiam	drincui
drișcui	drișcuiesc	drișcuiești	drișcuiește	drișcuim	drișcuiți	drișcuiesc	drișcuiască	drișcuiește	drișcuit	drișcuind	drișcuiam	drișcui
drumui	drumuiesc	drumuiești	drumuiește	drumuim	drumuiți	drumuiesc	drumuiască	drumuiește	drumuit	drumuind	drumuiam	drumui
drâgâi	drâgâi	drâgâi	drâgâie	drâgâim	drâgâiți	drâgâie	drâgâie	drâgâie	drâgâit	drâgâind	drâgâiam	drâgâi
drâmboi	drâmboiesc	drâmboiești	drâmboiește	drâmboim	drâmboiți	drâmboiesc	drâmboiască	drâmboiește	drâmboit	drâmboind	drâmboiam	drâmboi
drâmboia	drâmboiez	drâmboiezi	drâmboiază	drâmboiem	drâmboiați	drâmboiază	drâmboieze	drâmboiază	drâmboiat	drâmboind	drâmboiam	drâmboie
drâmbui	drâmbuiesc	drâmbuiești	drâmbuiește	drâmbuim	drâmbuiți	drâmbuiesc	drâmbuiască	drâmbuiește	drâmbuit	drâmbuind	drâmbuiam	drâmbui
drăcui	drăcuiesc	drăcuiești	drăcuiește	drăcuim	drăcuiți	drăcuiesc	drăcuiască	drăcuiește	drăcuit	drăcuind	drăcuiam	drăcui
drămui	drămuiesc	drămuiești	drămuiește	drămuim	drămuiți	drămuiesc	drămuiască	drămuiește	drămuit	drămuind	drămuiam	drămui
drămălui	drămăluiesc	drămăluiești	drămăluiește	drămăluim	drămăluiți	drămăluiesc	drămăluiască	drămăluiește	drămăluit	drămăluind	drămăluiam	drămălui
drăpăna	drapăn	drapeni	drapănă	drăpănăm	drăpănați	drapănă	drapene	drapănă	drăpănat	drăpănând	drăpănam	drăpănă
duce	duc	duci	duce	ducem	duceți	duc	ducă	du	dus	ducând	duceam	duse
ducului	duculuiesc	duculuiești	duculuiește	duculuim	duculuiți	duculuiesc	duculuiască	duculuiește	duculuit	duculuind	duculuiam	ducului
dudui	dudui	dudui	duduie	duduim	duduiți	duduie	duduie	duduie	duduit	duduind	duduiam	dudui
duhui	duhuiesc	duhuiești	duhuiește	duhuim	duhuiți	duhuiesc	duhuiască	duhuiește	duhuit	duhuind	duhuiam	duhui
dumeca	dumec	dumeci	dumecă	dumecăm	dumecați	dumecă	dumece	dumecă	dumecat	dumecând	dumecam	dumecă
dumnezei	dumnezeiesc	dumnezeiești	dumnezeiește	dumnezeim	dumnezeiți	dumnezeiesc	dumnezeiască	dumnezeiește	dumnezeit	dumnezeind	dumnezeiam	dumnezei
dumnica	dumnic	dumnici	dumnică	-	-	dumnică	dumnice	dumnică	-	-	-	-
dupleca	duplec	dupleci	duplecă	duplecăm	duplecați	duplecă	duplece	duplecă	duplecat	duplecând	duplecam	duplecă
dupurlui	dupurluiesc	dupurluiești	dupurluiește	dupurluim	dupurluiți	dupurluiesc	dupurluiască	dupurluiește	dupurluit	dupurluind	dupurluiam	dupurlui
dupăi	dupăiesc	dupăiești	dupăiește	dupăim	dupăiți	dupăiesc	dupăiască	dupăiește	dupăit	dupăind	dupăiam	dupăi
durduca	durduc	durduci	durducă	-	-	durducă	durduce	durducă	-	-	-	-
durdui	-	-	durduie	-	-	durduie	durduie	-	durduit	durduind	-	durdui
durdulica	durdulic	durdulici	durdulică	-	-	durdulică	durdulice	durdulică	-	-	-	-
durea	-	-	doare	-	-	dor	doară	-	durut	durând	-	duru
duriga	durig	durigi	durigă	-	-	durigă	durige	durigă	-	-	-	-
durmeca	durmec	durmeci	durmecă	durmecăm	durmecați	durmecă	durmece	durmecă	durmecat	durmecând	durmecam	durmecă
durui	durui	durui	duruie	duruim	duruiți	duruie	duruie	duruie	duruit	duruind	duruiam	durui
durăi	durăi	durăi	durăie	durăim	durăiți	durăie	durăie	durăie	durăit	durăind	durăiam	durăi
dârdâi	dârdâi	dârdâi	dârdâie	dârdâim	dârdâiți	dârdâie	dârdâie	dârdâie	dârdâit	dârdâind	dârdâiam	dârdâi
dârdăi	dârdăi	dârdăi	dârdăie	dârdăim	dârdăiți	dârdăie	dârdăie	dârdăie	dârdăit	dârdăind	dârdăiam	dârdăi
dârmoia	dârmoi	dârmoi	dârmoaie	dârmoiem	dârmoiați	dârmoaie	dârmoaie	dârmoaie	dârmoiat	dârmoind	dârmoiam	dârmoie
dârâi	dârâi	dârâi	dârâie	dârâim	dârâiți	dârâie	dârâie	dârâie	dârâit	dârâind	dârâiam	dârâi
dăinui	dăinui	dăinui	dăinuie	dăinuim	dăinuiți	dăinuie	dăinuie	dăinuie	dăinuit	dăinuind	dăinuiam	dăinui
dăinăi	dăinăi	dăinăi	dăinăie	dăinăim	dăinăiți	dăinăie	dăinăie	dăinăie	dăinăit	dăinăind	dăinăiam	dăinăi
dăltui	dăltuiesc	dăltuiești	dăltuiește	dăltuim	dăltuiți	dăltuiesc	dăltuiască	dăltuiește	dăltuit	dăltuind	dăltuiam	dăltui
dăngălui	dăngăluiesc	dăngăluiești	dăngăluiește	dăngăluim	dăngăluiți	dăngăluiesc	dăngăluiască	dăngăluiește	dăngăluit	dăngăluind	dăngăluiam	dăngălui
dănui	dănuiesc	dănuiești	dănuiește	dănuim	dănuiți	dănuiesc	dănuiască	dănuiește	dănuit	dănuind	dănuiam	dănui
dănănăi	dănănăi	dănănăi	dănănăie	dănănăim	dănănăiți	dănănăie	dănănăiască	dănănăie	dănănăit	dănănăind	dănănăiam	dănănăi
dănțui	dănțuiesc	dănțuiești	dănțuiește	dănțuim	dănțuiți	dănțuiesc	dănțuiască	dănțuiește	dănțuit	dănțuind	dănțuiam	dănțui
dăpăra	dapăr	daperi	dapără	dăpărăm	dăpărați	dapără	dapere	dapără	dăpărat	dăpărând	dăpăram	dăpără
dărui	dăruiesc	dăruiești	dăruiește	dăruim	dăruiți	dăruiesc	dăruiască	dăruiește	dăruit	dăruind	dăruiam	dărui
dărăpăna	dărapăn	dărapeni	dărapănă	dărăpănăm	dărăpănați	dărapănă	dărapene	dărapănă	dărăpănat	dărăpănând	dărăpănam	dărăpănă
echivoca	echivoc	echivoci	echivocă	echivocăm	echivocați	echivocă	echivoce	echivocă	echivocat	echivocând	echivocam	echivocă
efectua	efectuez	efectuezi	efectuează	efectuăm	efectuați	efectuează	efectueze	efectuează	efectuat	efectuând	efectuam	efectuă
efigia	efigiez	efigiezi	efigiază	efigiem	efigiați	efigiază	efigieze	efigiază	efigiat	efigiind	efigiam	efigie
electrocultiva	electrocultiv	electrocultivi	electrocultivă	-	-	electrocultivă	electrocultive	electrocultivă	-	-	-	-
elide	-	-	-	-	-	-	-	-	elis	elizând	-	elise
elogia	elogiez	elogiezi	elogiază	elogiem	elogiați	elogiază	elogieze	elogiază	elogiat	elogiind	elogiam	elogie
emacia	emaciez	emaciezi	emaciază	emaciem	emaciați	emaciază	emacieze	emaciază	emaciat	emaciind	emaciam	emacie
emaia	emaiez	emaiezi	emaiază	emaiem	emaiați	emaiază	emaieze	emaiază	emaiat	emaind	emaiam	emaie
emerge	-	-	-	-	-	-	-	-	emers	-	-	emerse
emite	-	-	-	-	-	-	-	-	emis	emițând	-	emise
enuclea	enucleez	enucleezi	enucleează	enucleăm	enucleați	enucleează	enucleeze	enucleează	enucleat	enucleând	enucleam	enucleă
enumera	-	enumeri	enumeră	enumerăm	enumerați	enumeră	enumere	enumeră	enumerat	enumerând	enumeram	enumeră
erupe	-	-	-	-	-	-	-	-	erupt	-	-	erupse
escarifica	escarific	escarifici	escarifică	-	-	escarifică	escarifice	escarifică	-	-	-	-
esclama	esclam	esclami	esclamă	-	-	esclamă	esclame	esclamă	-	-	-	-
esclude	-	-	-	-	-	-	-	-	esclus	escluzând	-	escluse
esprima	esprim	esprimi	esprimă	-	-	esprimă	esprime	esprimă	-	-	-	-
espune	espun	espui	espune	espunem	espuneți	espun	espuie	espune	espus	espunând	espuneam	espuse
estinde	-	-	-	-	-	-	-	-	estins	estinzând	-	estinse
estrage	-	-	-	-	-	-	-	-	estras	estrăgând	estrăgeam	estrase
estropia	estropiez	estropiezi	estropiază	estropiem	estropiați	estropiază	estropieze	estropiază	estropiat	estropiind	estropiam	estropie
eutanasia	eutanasiez	eutanasiezi	eutanasiază	eutanasiem	eutanasiați	eutanasiază	eutanasieze	eutanasiază	eutanasiat	eutanasiind	eutanasiam	eutanasie
evacua	evacuez	evacuezi	evacuează	evacuăm	evacuați	evacuează	evacueze	evacuează	evacuat	evacuând	evacuam	evacuă
evalua	evaluez	evaluezi	evaluează	evaluăm	evaluați	evaluează	evalueze	evaluează	evaluat	evaluând	evaluam	evaluă
evidenția	evidențiez	evidențiezi	evidențiază	evidențiem	evidențiați	evidențiază	evidențieze	evidențiază	evidențiat	evidențiind	evidențiam	evidenție
evoca	evoc	evoci	evocă	evocăm	evocați	evocă	evoce	evocă	evocat	evocând	evocam	evocă
evolua	evoluez	evoluezi	evoluează	evoluăm	evoluați	evoluează	evolueze	evoluează	evoluat	evoluând	evoluam	evoluă
exauria	exauriez	exauriezi	exauriază	exauriem	exauriați	exauriază	exaurieze	exauriază	exauriat	exauriind	exauriam	exaurie
exclude	-	-	-	-	-	-	-	-	exclus	excluzând	-	excluse
excoria	-	-	-	-	-	-	-	-	-	-	-	excorie
exfolia	exfoliez	exfoliezi	exfoliază	exfoliem	exfoliați	exfoliază	exfolieze	exfoliază	exfoliat	exfoliind	exfoliam	exfolie
expatria	expatriez	expatriezi	expatriază	expatriem	expatriați	expatriază	expatrieze	expatriază	expatriat	expatriind	expatriam	expatrie
expedia	expediez	expediezi	expediază	expediem	expediați	expediază	expedieze	expediază	expediat	expediind	expediam	expedie
expedui	expeduiesc	expeduiești	expeduiește	expeduim	expeduiți	expeduiesc	expeduiască	expeduiește	expeduit	expeduind	expeduiam	expedui
experia	experiez	experiezi	experiază	experiem	experiați	experiază	experieze	experiază	experiat	experiind	experiam	experie
expia	expiez	expiezi	expiază	expiem	expiați	expiază	expieze	expiază	expiat	expiind	expiam	expie
exporta	export	exporți	exportă	exportăm	exportați	exportă	exporte	exportă	exportat	exportând	exportam	exportă
expropria	expropriez	expropriezi	expropriază	expropriem	expropriați	expropriază	exproprieze	expropriază	expropriat	expropriind	expropriam	exproprie
expune	expun	expui	expune	expunem	expuneți	expun	expună	expune	expus	expunând	expuneam	expuse
extazia	extaziez	extaziezi	extaziază	extaziem	extaziați	extaziază	extazieze	extaziază	extaziat	extaziind	extaziam	extazie
extenua	extenuez	extenuezi	extenuează	extenuăm	extenuați	extenuează	extenueze	extenuează	extenuat	extenuând	extenuam	extenuă
extinde	-	-	-	-	-	-	-	-	extins	extinzând	-	extinse
extrage	-	-	-	-	-	-	-	-	extras	-	-	extrase
exînscrie	exînscriu	exînscrii	exînscrie	exînscriem	exînscrieți	exînscriu	exînscrie	exînscrie	exînscris	exînscriind	exînscriam	exînscrise
eșua	eșuez	eșuezi	eșuează	eșuăm	eșuați	eșuează	eșueze	eșuează	eșuat	eșuând	eșuam	eșuă
face	fac	faci	face	facem	faceți	fac	facă	fă	făcut	făcând	făceam	făcu
falia	faliez	faliezi	faliază	faliem	faliați	faliază	falieze	faliază	faliat	faliind	faliam	falie
felelui	feleluiesc	feleluiești	feleluiește	feleluim	feleluiți	feleluiesc	feleluiască	feleluiește	feleluit	feleluind	feleluiam	felelui
felia	feliez	feliezi	feliază	feliem	feliați	feliază	felieze	feliază	feliat	feliind	feliam	felie
ferchezui	ferchezuiesc	ferchezuiești	ferchezuiește	ferchezuim	ferchezuiți	ferchezuiesc	ferchezuiască	ferchezuiește	ferchezuit	ferchezuind	ferchezuiam	ferchezui
fereca	ferec	fereci	ferecă	ferecăm	ferecați	ferecă	ferece	ferecă	ferecat	ferecând	ferecam	ferecă
feredui	fereduiesc	fereduiești	fereduiește	fereduim	fereduiți	fereduiesc	fereduiască	fereduiește	fereduit	fereduind	fereduiam	feredui
ferestrui	ferestruiesc	ferestruiești	ferestruiește	ferestruim	ferestruiți	ferestruiesc	ferestruiască	ferestruiește	ferestruit	ferestruind	ferestruiam	ferestrui
ferestui	ferestuiesc	ferestuiești	ferestuiește	ferestuim	ferestuiți	ferestuiesc	ferestuiască	ferestuiește	ferestuit	ferestuind	ferestuiam	ferestui
fermeca	farmec	farmeci	farmecă	fermecăm	fermecați	farmecă	farmece	farmecă	fermecat	fermecând	fermecam	fermecă
ferăstrui	ferăstruiesc	ferăstruiești	ferăstruiește	ferăstruim	ferăstruiți	ferăstruiesc	ferăstruiască	ferăstruiește	ferăstruit	ferăstruind	ferăstruiam	ferăstrui
fețui	fețuiesc	fețuiești	fețuiește	fețuim	fețuiți	fețuiesc	fețuiască	fețuiește	fețuit	fețuind	fețuiam	fețui
fi	sunt	ești	e	suntem	sunteți	sunt	fie	fii	fost	fiind	eram	fu
fierbe	fierb	fierbi	fierbe	fierbem	fierbeți	fierb	fiarbă	fierbe	fiert	fierbând	fierbeam	fierse
fierui	fieruiesc	fieruiești	fieruiește	fieruim	fieruiți	fieruiesc	fieruiască	fieruiește	fieruit	fieruind	fieruiam	fierui
fierăstrui	fierăstruiesc	fierăstruiești	fierăstruiește	fierăstruim	fierăstruiți	fierăstruiesc	fierăstruiască	fierăstruiește	fierăstruit	fierăstruind	fierăstruiam	fierăstrui
firui	firuiesc	firuiești	firuiește	firuim	firuiți	firuiesc	firuiască	firuiește	firuit	firuind	firuiam	firui
fitui	fituiesc	fituiești	fituiește	fituim	fituiți	fituiesc	fituiască	fituiește	fituit	fituind	fituiam	fitui
fișcui	fișcuiesc	fișcuiești	fișcuiește	fișcuim	fișcuiți	fișcuiesc	fișcuiască	fișcuiește	fișcuit	fișcuind	fișcuiam	fișcui
fișâi	fișâiesc	fișâiești	fișâiește	fișâim	fișâiți	fișâiesc	fișâiască	fișâiește	fișâit	fișâind	fișâiam	fișâi
fleciui	fleciuiesc	fleciuiești	fleciuiește	fleciuim	fleciuiți	fleciuiesc	fleciuiască	fleciuiește	fleciuit	fleciuind	fleciuiam	fleciui
flecui	flecuiesc	flecuiești	flecuiește	flecuim	flecuiți	flecuiesc	flecuiască	flecuiește	flecuit	flecuind	flecuiam	flecui
fleorcăi	-	-	-	-	-	-	-	-	-	-	fleorcăeam	-
fleșcăi	fleșcăiesc	fleșcăiești	fleșcăiește	fleșcăim	fleșcăiți	fleșcăiesc	fleșcăiască	fleșcăiește	fleșcăit	fleșcăind	fleșcăiam	fleșcăi
flitui	flituiesc	flituiești	flituiește	flituim	flituiți	flituiesc	flituiască	flituiește	flituit	flituind	flituiam	flitui
flocăi	flocăiesc	flocăiești	flocăiește	flocăim	flocăiți	flocăiesc	flocăiască	flocăiește	flocăit	flocăind	flocăiam	flocăi
fluctua	fluctuez	fluctuezi	fluctuează	fluctuăm	fluctuați	fluctuează	fluctueze	fluctuează	fluctuat	fluctuând	fluctuam	fluctuă
fluiera	fluier	fluieri	fluieră	fluierăm	fluierați	fluieră	fluiere	fluieră	fluierat	fluierând	fluieram	fluieră
fluștiura	fluștiur	fluștiuri	fluștiură	-	-	fluștiură	fluștiure	fluștiură	-	-	-	-
flăcăi	flăcăiesc	flăcăiești	flăcăiește	flăcăim	flăcăiți	flăcăiesc	flăcăiască	flăcăiește	flăcăit	flăcăind	flăcăiam	flăcăi
foi	foiesc	foiești	foiește	foim	foiți	foiesc	foiască	foiește	foit	foind	foiam	foi
fojgăi	fojgăiesc	fojgăiești	fojgăiește	fojgăim	fojgăiți	fojgăiesc	fojgăiască	fojgăiește	fojgăit	fojgăind	fojgăiam	fojgăi
folfăi	folfăiesc	folfăiești	folfăiește	folfăim	folfăiți	folfăiesc	folfăiască	folfăiește	folfăit	folfăind	folfăiam	folfăi
fonfăi	fonfăi	fonfăi	fonfăie	fonfăim	fonfăiți	fonfăie	fonfăie	fonfăie	fonfăit	fonfăind	fonfăiam	fonfăi
fonografia	fonografiez	fonografiezi	fonografiază	fonografiem	fonografiați	fonografiază	fonografieze	fonografiază	fonografiat	fonografiind	fonografiam	fonografie
forcăi	-	-	forcăie	-	-	forcăie	forcăie	-	forcăit	forcăind	-	forcăi
forfeca	foarfec	foarfeci	foarfecă	forfecăm	forfecați	foarfecă	foarfece	foarfecă	forfecat	forfecând	forfecam	forfecă
forfăi	forfăiesc	forfăiești	forfăiește	forfăim	forfăiți	forfăiesc	forfăiască	forfăiește	forfăit	forfăind	forfăiam	forfăi
formeca	formec	formeci	formecă	formecăm	formecați	formecă	formece	formecă	formecat	formecând	formecam	formecă
fornăi	fornăi	fornăi	fornăie	fornăim	fornăiți	fornăie	fornăie	fornăie	fornăit	fornăind	fornăiam	fornăi
forostoi	forostoiesc	forostoiești	forostoiește	forostoim	forostoiți	forostoiesc	forostoiască	forostoiește	forostoit	forostoind	forostoiam	forostoi
forostui	forostuiesc	forostuiești	forostuiește	forostuim	forostuiți	forostuiesc	forostuiască	forostuiește	forostuit	forostuind	forostuiam	forostui
fortifia	fortifiez	fortifiezi	fortifiază	fortifiem	fortifiați	fortifiază	fortifieze	fortifiază	fortifiat	fortifiind	fortifiam	fortifie
forăi	-	-	forăie	-	-	forăie	forăie	-	forăit	forăind	-	forăi
fosăi	fosăi	fosăi	fosăie	fosăim	fosăiți	fosăie	fosăie	fosăie	fosăit	fosăind	fosăiam	fosăi
fotocopia	fotocopiez	fotocopiezi	fotocopiază	fotocopiem	fotocopiați	fotocopiază	fotocopieze	fotocopiază	fotocopiat	fotocopiind	fotocopiam	fotocopie
fotografia	fotografiez	fotografiezi	fotografiază	fotografiem	fotografiați	fotografiază	fotografieze	fotografiază	fotografiat	fotografiind	fotografiam	fotografie
fototelegrafia	fototelegrafiez	fototelegrafiezi	fototelegrafiază	fototelegrafiem	fototelegrafiați	fototelegrafiază	fototelegrafieze	fototelegrafiază	fototelegrafiat	fototelegrafiind	fototelegrafiam	fototelegrafie
foșcăi	foșcăiesc	foșcăiești	foșcăiește	foșcăim	foșcăiți	foșcăiesc	foșcăiască	foșcăiește	foșcăit	foșcăind	foșcăiam	foșcăi
foșnăi	foșnăiesc	foșnăiești	foșnăiește	foșnăim	foșnăiți	foșnăiesc	foșnăiască	foșnăiește	foșnăit	foșnăind	foșnăiam	foșnăi
foșăi	foșăi	foșăi	foșăie	foșăim	foșăiți	foșăie	foșăiască	foșăie	foșăit	foșăind	foșăiam	foșăi
foșălui	foșăluiesc	foșăluiești	foșăluiește	foșăluim	foșăluiți	foșăluiesc	foșăluiască	foșăluiește	foșăluit	foșăluind	foșăluiam	foșălui
freca	frec	freci	freacă	frecăm	frecați	freacă	frece	freacă	frecat	frecând	frecam	frecă
fremăta	freamăt	-	freamătă	fremătăm	fremătați	freamătă	fremete	freamătă	fremătat	fremătând	fremătam	fremătă
frige	-	-	-	-	-	-	-	-	fript	-	-	fripse
frânge	-	-	-	-	-	-	-	-	frânt	-	-	frânse
frăsui	frăsuiesc	frăsuiești	frăsuiește	frăsuim	frăsuiți	frăsuiesc	frăsuiască	frăsuiește	frăsuit	frăsuind	frăsuiam	frăsui
fugi	fug	fugi	fuge	fugim	fugiți	fug	fugă	fugi	fugit	fugind	fugeam	fugi
fugui	fuguiesc	fuguiești	fuguiește	fuguim	fuguiți	fuguiesc	fuguiască	fuguiește	fuguit	fuguind	fuguiam	fugui
fuitui	fuituiesc	fuituiești	fuituiește	fuituim	fuituiți	fuituiesc	fuituiască	fuituiește	fuituit	fuituind	fuituiam	fuitui
fulgera	fulger	fulgeri	fulgeră	fulgerăm	fulgerați	fulgeră	fulgere	fulgeră	fulgerat	fulgerând	fulgeram	fulgeră
fulgui	-	-	fulguiește	-	-	-	fulguiască	-	fulguit	fulguind	-	fulgui
fumega	-	-	fumegă	-	-	fumegă	fumege	-	fumegat	fumegând	-	fumegă
fumui	-	-	fumuiește	-	-	fumuiesc	fumuiască	-	fumuit	fumuind	-	fumui
funtui	funtuiesc	funtuiești	funtuiește	funtuim	funtuiți	funtuiesc	funtuiască	funtuiește	funtuit	funtuind	funtuiam	funtui
furlua	-	-	-	furluăm	furluați	-	-	-	furluat	furluând	furluam	furluă
