# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
leasaich	leasaich	leasaichidh	leasachadh	leasaichte
leig	leig	leigidh	leigeil	leigte
leighis	leighis	leighisidh	leigheas	leighiste
leudaich	leudaich	leudaichidh	leudachadh	leudaichte
leugh	leugh	leughaidh	leughadh	leughte
leum	leum	leumaidh	leum	leumte
leòn	leòn	leònaidh	leònadh	leònta
ligh	ligh	lighidh	lì	lighte
litrich	litrich	litrichidh	litreachadh	litrichte
lobh	lobh	lobhaidh	lobhadh	lobhte
loisg	loisg	loisgidh	losgadh	loisgte
lorg	lorg	lorgaidh	lorg	lorgte
lot	lot	lotaidh	lot	-
luaidh	luaidh	luaidhidh	luaidh	luaidhte
luchdaich	luchdaich	luchdaichidh	luchdadh	luchdaichte
làimhsich	làimhsich	làimhsichidh	làimhseachadh	-
lèim	lèim	lèimidh	lèim	lèimte
lìbhrig	lìbhrig	lìbhrigidh	lìbhrigeadh	lìbhrigte
lìomh	lìomh	lìomhaidh	lìomhadh	lìomhte
lìon	lìon	lìonaidh	lìonadh	lìonte
lùb	lùb	lùbaidh	lùbadh	lùbte
mag	mag	magaidh	magadh	magte
mair	mair	mairidh	mairsinn	mairte
maistir	maistir	maistridh	maistreadh	-
maith	maith	maithidh	mathadh	maithte
malairt	malairt	malairtidh	malairt	malairte
malairtich	malairtich	malairtichidh	malairteachadh	malairtichte
mallaich	mallaich	mallaichidh	mallachadh	mallaichte
maoidh	maoidh	maoidhidh	maoidheadh	maoidhte
marbh	marbh	marbhaidh	marbhadh	marbhta
masg	masg	masgaidh	masgadh	-
maslaich	maslaich	maslaichidh	maslachadh	maslaichte
math	math	mathaidh	mathadh	mathte
meal	meal	mealaidh	mealadh	mealte
meall	meall	meallaidh	mealladh	meallta
meas	meas	measaidh	measadh	measte
measg	measg	measgaidh	measgadh	measgte
measgaich	measgaich	measgaichidh	measgachadh	measgaichte
meil	meil	meilidh	meileadh	meilte
meirg	meirg	meirgidh	meirg	meirgte
meòmhraich	meòmhraich	meòmhraichidh	meòmhrachadh	meòmhraichte
meòraich	meòraich	meòraichidh	meòrachadh	meòraichte
miannaich	miannaich	miannaichidh	miannach	miannaichte
mill	mill	millidh	milleadh	millte
misnich	misnich	misnichidh	misneachadh	misnichte
mol	mol	molaidh	moladh	molta
mort	mort	mortaidh	mort	morte
mothaich	mothaich	mothaichidh	mothachadh	mothaichte
muin	muin	muinidh	muineadh	muinte
murt	murt	murtaidh	murt	murte
màirnealaich	màirnealaich	màirnealaichidh	màirnealachadh	màirnealaichte
mèinn	mèinn	mèinnidh	mèinneadh	mèinnte
mì-bhreithnich	mì-bhreithnich	mì-bhreithnichidh	mì-bhreithneachadh	mì-bhreithnichte
mì-bhuilich	mì-bhuilich	mì-bhuilichidh	mì-bhuileachadh	mì-bhuilichte
mì-chaomhainn	mì-chaomhainn	mì-chaoimhnidh	mì-chaomhnadh	mì-chaomhainnte
mì-chleachd	mì-chleachd	mì-chleachdaidh	mì-chleachdadh	mì-chleachte
mì-chliùitich	mì-chliùitich	mì-chliùitichidh	mì-chliùiteachadh	mì-chliùitichte
mì-choisrig	mì-choisrig	mì-choisrigidh	mì-choisrigeadh	mì-choisrigte
mì-chomhairlich	mì-chomhairlich	mì-chomhairlichidh	mì-chomhairleachadh	mì-chomhairlichte
mì-chreid	mì-chreid	mì-chreididh	mì-chreidsinn	mì-chreidte
mì-chunnt	mì-chunnt	mi-chunntaidh	mì-chunntadh	mì-chunnte
mì-chàirich	mì-chàirich	mì-chàirichidh	mì-chàireachadh	mì-chàirichte
mì-chòrd	mì-chòrd	mi-chòrdaidh	mì-chòrdadh	mì-chordte
mì-dhealbh	mì-dhealbh	mì-dhealbhaidh	mì-dhealbh	mì-dhealbhte
mì-dhealbhaich	mì-dhealbhaich	mì-dhealbhaichidh	mì-dhealbhachadh	mì-dhealbhaichte
mì-dhreachaich	mì-dhreachaich	mì-dhreachaichidh	mì-dhreachachadh	mì-dhreachaichte
mì-gheuraich	mì-gheuraich	mì-gheuraichidh	mì-gheurachadh	mì-gheuraichte
mì-ghnàthaich	mì-ghnàthaich	mì-ghnàthaichidh	mì-ghnàthachadh	mì-ghnàthaichte
mì-laghaich	mì-laghaich	mì-laghaichidh	mì-laghachadh	mì-laghaichte
mì-mhisnich	mì-mhisnich	mì-mhisnichidh	mì-mhisneachadh	mì-mhisnichte
mì-mhol	mì-mhol	mì-mholaidh	mì-mholadh	mì-mholte
mì-mhìnich	mì-mhìnich	mì-mhìnichidh	mì-mhìneachadh	mì-mhìnichte
mì-naomhaich	mì-naomhaich	mì-naomhaichidh	mì-naomhachadh	mì-naomhaichte
mì-onoirich	mì-onoirich	mì-onoirichidh	mì-onoireachadh	mì-onoirichte
mì-sgeadaich	mì-sgeadaich	mì-sgeadaichidh	mì-sgeadachadh	mì-sgeadaichte
mì-sheòl	mì-sheòl	mì-sheòlaidh	mì-sheòladh	mì-sheòlte
mì-shnasaich	mì-shnasaich	mì-shnasaichidh	mì-shnasachadh	mì-shnasaichte
mì-stiùir	mì-stiùir	mì-stiùiridh	mì-stiùireadh	mì-stiùirte
mì-thaitinn	mì-thaitinn	mì-thaitnidh	mì-thaitneadh	mì-thaitinnte
mì-thaitnich	mì-thaitnich	mì-thaitnichidh	mì-thaitneachadh	mì-thaitnichte
mì-thoilich	mì-thoilich	mì-thoilichidh	mì-thoileachadh	mì-thoilichte
mì-threòirich	mì-threòirich	mì-threòirichidh	mì-threòireachadh	mì-threòirichte
mì-thràthaich	mì-thràthaich	mì-thràthaichidh	mì-thràthachadh	mì-thràthaichte
mì-thuig	mì-thuig	mì-thuigidh	mì-thuigsinn	mì-thuigte
mì-urramaich	mì-urramaich	mì-urramaichidh	mì-urramachadh	mì-urramaichte
mìnich	mìnich	mìnichidh	mìneachadh	mìnichte
mùch	mùch	mùchaidh	mùchadh	mùchte
mùin	mùin	mùinidh	mùin	mùinte
mùth	mùth	mùthaidh	mùthadh	mùthte
naisg	naisg	naisgidh	nasgadh	naisgte
naomhaich	naomhaich	naomhaichidh	naomhachadh	naomhaichte
neadaich	neadaich	neadaichidh	neadachadh	neadaichte
neo-dhèan	neo-rinn	neo-nì	neo-dhèanamh	neo-dhèanta
neulaich	neulaich	neulaichidh	neulachadh	te
nigh	nigh	nighidh	nighe	nighte
nochd	nochd	nochdaidh	nochdadh	nochdte
notaich	notaich	notaichidh	notachadh	notaichte
nuadhaich	nuadhaich	nuadhaichidh	nuadhachadh	nuadhaichte
nàraich	nàraich	nàraichidh	nàrachadh	nàraichte
obraich	obraich	obraichidh	obrachadh	obraichte
oibrich	oibrich	oibrichidh	oibreachadh	oibrichte
or	or	oridh	oradh	orte
pasaig	pasaig	pasaigidh	pasaigeadh	pasaigte
peacaich	peacaich	peacaichidh	peacachadh	peacaichte
peall	peall	peallaidh	pealladh	peallte
peanasaich	peanasaich	peanasaichidh	peanasachadh	peanasaichte
peant	peant	peandaidh	peantadh	peante
pian	pian	pianaidh	pianadh	piante
plaosg	plaosg	plaosgaidh	plaosgadh	plaosgte
plosg	plosg	plosgaidh	plosgadh	plosgte
poidsig	poidsig	poidsigidh	poidseadh	poidsigte
poll	poll	pollaidh	polladh	pollta
post	post	postaidh	postadh	poste
postaich	postaich	postaichidh	postachadh	postaichte
praidhig	praidhig	praidhigidh	praidhigeadh	praidhigte
preas	preas	preasaidh	preasadh	preaste
priob	priob	priobaidh	priobadh	priobte
pronn	pronn	pronnaidh	pronnadh	pronnte
put	put	putaidh	putadh	pute
pàigh	pàigh	pàighidh	pàigheadh	pàighte
pòg	pòg	pògaidh	pògadh	pògte
pòs	pòs	pòsaidh	pòsadh	pòsta
rach	caidh	thèid	dol	rachte
rannsaich	rannsaich	rannsaichidh	rannsachadh	rannsaichte
reic	reic	reicidh	reic	reicte
reoth	reoth	reothaidh	reothadh	reòthte
reòdh	reòdh	reòdhaidh	reòdhadh	reòdhte
reòth	reòth	reòthaidh	reòthadh	reòta
riaghail	riaghail	riaghailidh	riaghailt	riaghailte
riamh	riamh	riamhaidh	riamhadh	riamhte
riaraich	riaraich	riaraichidh	riarachadh	riaraichte
rib	rib	ribidh	ribeadh	ribte
ridhil	ridhil	ridhlidh	ridhleadh	-
riochdaich	riochdaich	riochdaichidh	riochdachadh	riochdaichte
riof	riof	riofaidh	riofadh	riofte
ro-shuidhich	ro-shuidhich	ro-shuidhichidh	ro-shuidheachadh	ro-shuidhichte
roghnaich	roghnaich	roghnaichidh	roghnachadh	roghnaichte
roilig	roilig	roiligidh	roiligeadh	roiligte
roinn	roinn	roinnidh	roinn	roinnte
rolaig	rolaig	rolaigidh	rolaigeadh	rolaigte
ruidhil	ruidhil	ruidhlidh	ruidhleadh	-
ruig	ràinig	ruigidh	ruigsinn	ruigte
ruith	ruith	ruithidh	ruith	ruithte
ràc	ràc	ràcaidh	ràcadh	ràcte
ràn	ràn	rànaidh	rànail	rànte
rèitich	rèitich	rèitichidh	rèiteachadh	rèitichte
ròst	ròst	ròstaidh	ròstadh	ròsta
rùdh	rùdh	rùdhaidh	rùdhadh	-
rùisg	rùisg	rùisgidh	rùsgadh	rùisgte
rùraich	rùraich	rùraichidh	rùrach	rùraichte
rùsg	rùsg	rùsgaidh	rùsgadh	rùsgte
sabaid	sabaid	sabaididh	sabaid	sabaidte
saill	saill	saillidh	sailleadh	saillte
samhlaich	samhlaich	samhlaichidh	samhlachadh	samhlaichte
saoil	saoil	saoilidh	saoilsinn	saoilte
saor	saor	saoraidh	saoradh	saorte
saothraich	saothraich	saothraichidh	saothrachadh	saothraichte
seachain	seachain	seachainidh	seachnadh	seachainte
seachainn	seachainn	seachainnidh	seachnadh	seachainnte
sealbhaich	sealbhaich	sealbhaichidh	sealbhachadh	sealbhaichte
sealg	sealg	sealgaidh	sealg	sealgte
seall	seall	seallaidh	sealltainn	seallte
searg	searg	seargaidh	seargadh	seargte
searmonaich	searmonaich	searmonaichidh	searmonachadh	searmonaichte
seas	seas	seasaidh	seasamh	seaste
seilbhich	seilbhich	seilbhichidh	seilbheachadh	seilbhichte
seinn	seinn	seinnidh	seinn	seinnte
seirm	seirm	seirmidh	seirm	seirmte
seun	seun	seunaidh	seunad	seunte
seòl	seòl	seòlaidh	seòladh	seòlta
seòrsaich	seòrsaich	seòrsaichidh	seòrsachadh	seòrsaichte
sgal	sgal	sgalaidh	sgaladh	sgalte
sgall	sgall	sgallaidh	sgalladh	sgallta
sgaoil	sgaoil	sgaoilidh	sgaoileadh	sgaoilte
sgap	sgap	sgapaidh	sgapadh	sgapte
sgar	sgar	sgaraidh	sgaradh	sgarte
sgeadaich	sgeadaich	sgeadaichidh	sgeadachadh	sgeadaichte
sgeith	sgeith	sgeithidh	sgeitheadh	sgeithte
sgol	sgol	sgolaidh	sgoladh	sgolte
sgrath	sgrath	sgrathaidh	sgrathadh	sgrathte
sgreamhaich	sgreamhaich	sgreamhaichidh	sgreamhachadh	sgreamhaichte
sgreuch	sgreuch	sgreuchaidh	sgreuchail	sgreuchte
sgrios	sgrios	sgriosaidh	sgriosadh	sgriosta
sgrog	sgrog	sgrogaidh	sgrogadh	-
sgrìob	sgrìob	sgrìobaidh	sgrìobadh	sgrìobte
sgrìobh	sgrìobh	sgrìobhaidh	sgrìobhadh	sgrìobhte
sgròb	sgròb	sgròbaidh	sgròbadh	sgròbte
sgrùdaich	sgrùdaich	sgrùdaichidh	sgrùdachadh	sgrùdaichte
sguab	sguab	sguabaidh	sguabadh	sguabte
sguir	sguir	sguiridh	sgur	sguirte
sgàin	sgàin	sgàinidh	sgàineadh	sgàinte
sgèith	sgèith	sgèithidh	sgèitheadh	sgèithte
sil	sil	silidh	sileadh	silte
sir	sir	siridh	sireadh	sirte
sitrich	sitrich	sitrichidh	sitrich	-
siubhail	siubhail	siubhlaidh	siubhal	siubhailte
slac	slac	slacaidh	slacadh	slacte
slaod	slaod	slaodaidh	slaodadh	slaodte
slisnich	slisnich	slisnichidh	slisneachadh	slisnichte
sloisir	sloisir	sloisridh	sloisreadh	sloisirte
sluig	sluig	sluigidh	slugadh	sluigte
slànaich	slànaich	slànaichidh	slànachadh	slànaichte
slìob	slìob	slìobidh	slìobadh	slìobte
slìog	slìog	slìogaidh	slìogadh	slìogte
smaoinich	smaoinich	smaoinichidh	smaoineachadh	smaoinichte
smaointich	smaointich	smaointichidh	smaointeachadh	smaointichte
smoc	smoc	smocaidh	smocadh	smocte
smuainich	smuainich	smuainichidh	smuaineachadh	smuainichte
smuaintich	smuaintich	smuaintichidh	smuainteachadh	smuaintichte
smàil	smàil	smàilidh	smàladh	smàilte
smàl	smàl	smàlaidh	smàladh	smàlte
smèid	smèid	smèididh	smèideadh	smèidte
smùid	smùid	smùididh	smùideadh	smùidte
snap	snap	snapaidh	snapadh	snapta
snàig	snàig	snàigidh	snàgail	snàigte
snàmh	snàmh	snàmhaidh	snàmh	snàmhte
snìomh	snìomh	snìomhaidh	snìomh	snìomhte
soidhn	soidhn	soidhnidh	soidhneadh	soidhnte
soilleirich	soilleirich	soilleirichidh	soilleireachadh	soilleirichte
soirbhich	soirbhich	soirbhichidh	soirbheachadh	soirbhichte
sorchaich	sorchaich	sorchaichidh	sorchachadh	sorchaichte
spad	spad	spadaidh	spadadh	spadte
speal	speal	spealaidh	spealadh	spealte
spealg	spealg	spealgaidh	spealgadh	spealgte
spleuchd	spleuchd	spleuchdaidh	spleuchdadh	spleuchdte
sponsairich	sponsairich	sponsairichidh	sponsaradh	sponsairichte
spoth	spoth	spothaidh	spoth	spothte
spàrr	spàrr	sparraidh	sparradh	sparrte
spìosraich	spìosraich	spìosraichidh	spìosrachadh	spìosraichte
srac	-	-	sracadh	-
srann	srann	srannaidh	srannail	srannte
sreap	sreap	sreapaidh	sreap	sreapte
sreoth	sreoth	sreothaidh	sreothart	-
srian	srian	srianaidh	srianadh	srianta
sruth	sruth	sruthaidh	sruthadh	sruthte
sràc	sràc	sràcaidh	sràcadh	sràcte
stad	stad	stadaidh	stadadh	stadte
steall	steall	steallaidh	stealladh	steallte
stiubh	stiubh	stiubhaidh	stiubhadh	stiubhte
stiubhaig	stiubhaig	stiubhaigidh	stiubhaigeadh	stiubhaigte
stiùir	stiùir	stiùiridh	stiùireadh	stiùirte
stiùirich	stiùirich	stiùirichidh	stiùireadh	stiùirte
stob	stob	stobaidh	stobadh	stobte
stoirmich	stoirmich	stoirmichidh	stoirmeachadh	stoirmichte
streap	streap	streapaidh	streap	streapte
stràc	stràc	stràcaidh	stràcadh	stràcte
strì	strì	strìthidh	strì	strìte
stuadh	stuadh	stuadhaidh	stuadhadh	-
stuagh	stuagh	stuaghaidh	stuaghadh	-
stèidh	stèidh	stèidhidh	stèidheadh	stèidhte
stèidhich	stèidhich	stèidhichidh	stèidheachadh	stèidhichte
stòir	stòir	stòiridh	stòireadh	stòirte
stòl	-	-	stòladh	-
stòr	stòr	stòraidh	stòradh	stòrte
suidh	suidh	suidhidh	suidhe	suidhte
suidhich	suidhich	suidhichidh	suidheachadh	suidhichte
sàbh	sàbh	sàbhaidh	sàbhadh	sàbhte
sàbhail	sàbhail	sàbhailidh	sàbhaladh	sàbhailte
sàil	sàil	sàilidh	sàileadh	sàilte
sàraich	sàraich	sàraichidh	sàrachadh	sàraichte
sàs	sàs	sàsaidh	sàsadh	sàsta
sàsaich	sàsaich	sàsaichidh	sàsachadh	sàsaichte
sèid	sèid	sèididh	sèideadh	sèidte
sèimhich	sèimhich	sèimhichidh	sèimheachadh	sèimhichte
séid	séid	séididh	séideadh	séidte
sìn	sìn	sìnidh	sìneadh	sìnte
sìolaich	sìolaich	sìolaichidh	sìolachadh	sìolaichte
sìolaidh	sìolaidh	sìolaidhidh	sìoladh	sìolaidhte
sòr	sòr	sòraidh	sòradh	sòrte
sùgair	sùgair	sùgairidh	sùgradh	sùgairte
sùgh	sùgh	sùghaidh	sùghadh	sùghte
sùith	sùith	sùithidh	sùitheadh	sùithte
tabhainn	tabhainn	tabhainnidh	tabhann	tabhainnte
tabhair	tug	bheir	toirt	tugta
tabhannaich	tabhannaich	tabhannaichidh	tabhannaich	tabhannaichte
tachair	tachair	tachraidh	tachairt	tachairte
tachd	tachd	tachdaidh	tachdadh	tachdte
tadhail	tadhail	tadhailidh	tadhal	tadhailte
tagair	tagair	tagraidh	tagairt	tagairte
tagh	tagh	taghaidh	taghadh	taghte
taidhp	taidhp	taidhpidh	taidhpeadh	taidhpte
tairg	tairg	tairgidh	tairgse	tairgte
taisg	taisg	taisgidh	tasgadh	taisgte
taitinn	taitinn	taitnidh	taitneadh	taitinnte
talaich	talaich	talaichidh	talach	talaichte
taobh	taobh	taobhaidh	taobhadh	taobhte
taobhaich	taobhaich	taobhaichidh	taobhachadh	taobhaichte
tar-aisig	tar-aisig	tar-aisigidh	tar-aiseag	tar-aisigte
tarraing	tarraing	tàirnidh	tarraing	tarraingte
tathainn	tathainn	tathainnidh	tathainn	tathainnte
teagaisg	teagaisg	teagaisgidh	teagasg	teagaisgte
teasaich	teasaich	teasaichidh	teasachadh	teasaichte
teich	teich	teichidh	teiche	teichte
teirig	teirig	teirigidh	teireachdainn	-
teàrn	teàrn	teàrnaidh	teàrnadh	teàrnte
thig	thàinig	thig	tighinn	tigte
thoir	thug	bheir	toirt	tugta
thoir-air-falbh	-	-	toirt-air-falbh	-
tilg	tilg	tilgidh	tilgeil	tilgthe
till	till	tillidh	tilleadh	tillte
tionndaidh	tionndaidh	tionndaidhidh	tionndadh	tionndaidhte
tog	tog	togaidh	togail	togta
togair	togair	tograidh	togradh	togairte
toilich	toilich	toilichidh	toileachadh	toilichte
toinn	toinn	toinnidh	toinneamh	toinnte
toll	toll	tollaidh	tolladh	tollte
tomh	tomh	tomhaidh	tomhadh	tomhte
tomhais	tomhais	tomhaisidh	tomhas	tomhaiste
toraich	toraich	toraichidh	torachadh	toraichte
torraich	torraich	torraichidh	torrachadh	torraichte
traisg	traisg	traisgidh	trasgadh	traisgte
treabh	treabh	treabhaidh	treabhadh	treabhta
treòirich	treòirich	treòirichidh	treòireachadh	treòirichte
triall	triall	triallaidh	triall	triallta
triantanaich	triantanaich	triantanaichidh	triantanachadh	triantanaichte
troid	troid	troididh	trod	troidte
truaill	truaill	truaillidh	truailleadh	truaillte
truis	truis	truisidh	truiseadh	truiste
trus	trus	trusaidh	trusadh	trusta
tràigh	tràigh	tràighidh	tràghadh	tràighte
trèan	trèan	trèanaidh	trèanadh	trèante
trèig	trèig	trèigidh	trèigsinn	trèigte
tréig	tréig	tréigidh	tréigsinn	tréigte
tugh	tugh	tughaidh	tughadh	tughta
tuig	tuig	tuigidh	tuigsinn	tuigte
tuinich	tuinich	tuinichidh	tuineachadh	tuinichte
tuisealaich	tuisealaich	tuisealaichidh	tuisealachadh	tuisealaichte
tuit	tuit	tuitidh	tuiteam	tuite
tum	tum	tumaidh	tumadh	tumta
turchair	turchair	turchairidh	turchairt	-
tàlaidh	tàlaidh	tàlaidhidh	tàladh	tàlaidhte
tàmh	tàmh	tàmhaidh	tàmh	tàmhte
tèarainn	tèarainn	tèarnaidh	tèarnadh	tèarainte
tòisich	tòisich	tòisichidh	tòiseachadh	tòisichte
ubagaich	ubagaich	ubagaichidh	ubagachadh	ubagaichte
uchd-mhacaich	uchd-mhacaich	uchd-mhacaichidh	uchd-mhacachadh	uchd-mhacaichte
uidheamaich	uidheamaich	uidheamaichidh	uidheamachadh	uidheamaichte
uillnich	uillnich	uillnichidh	uillneachadh	uillnichte
ullaich	ullaich	ullaichidh	ullachadh	ullaichte
urramaich	urramaich	urramaichidh	urramachadh	urramaichte
watchaig	-	-	watchaigeadh	-
àicheidh	àicheidh	àicheidhidh	àicheadh	àicheidhte
àireamh	àireamh	àireamhaidh	àireamh	àireamhta
àithn	àithn	àithnidh	àithneadh	àithnte
àitich	àitich	àitichidh	àiteach	àitichte
àraich	àraich	àraichidh	àrach	àraichte
àrdaich	àrdaich	àrdaichidh	àrdachadh	àrdaichte
èalaidh	èalaidh	èalaidhidh	èaladh	èalaidhte
èigh	èigh	èighidh	èigheachd	èighte
èighich	èighich	èighichidh	èigheach	èighichte
èignich	èignich	èignichidh	èigneachadh	èignichte
èirich	èirich	èiridh	èirigh	èirichte
èisd	èisd	èisdidh	èisdeachd	èisdte
èist	èist	èistidh	èisteachd	èiste
éirich	éirich	éiridh	éirigh	éirichte
éisd	éisd	éisdidh	éisdeachd	éisdte
éist	éist	éistidh	éisteachd	éiste
òl	òl	òlaidh	òl	òlta
òrdaich	òrdaich	òrdaichidh	òrdachadh	òrdaichte
ùrlaraich	ùrlaraich	ùrlaraichidh	ùrlarachadh	ùrlaraichte
