# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
atharraich	atharraich	atharraichidh	atharrachadh	atharraichte
bac	bac	bacaidh	bacadh	bacte
bagair	bagair	bagairidh	bagairt	bagairte
baist	baist	baistidh	baisteadh	baiste
barantaich	barantaich	barantaichidh	barantachd	barantaichte
barrantaich	barrantaich	barrantaichidh	barrantachd	barrantaichte
beadraich	beadraich	beadraichidh	beadradh	beadraichte
beannaich	beannaich	beannaichidh	beannachadh	beannaichte
beartaich	beartaich	beartaichidh	beartachadh	beartaichte
beir	rug	beiridh	breith	beirte
beothaich	beothaich	beothaichidh	beothachadh	beothaichte
beuc	beuc	beucaidh	beucadh	beucte
beàrr	beàrr	bearraidh	bearradh	beàrrte
beò-ghlac	beò-ghlac	beò-ghlacaidh	beò-ghlacadh	beò-ghlacte
beòthaich	beòthaich	beòthaichidh	beòthachadh	-
bhòt	bhòt	bhòtaidh	bhòtadh	-
blais	blais	blaisidh	blasad	blaiste
bleadraig	bleadraig	bleadraigidh	bleadraigeadh	bleadraigte
bleoghainn	bleoghainn	bleoghainnidh	bleoghann	bleoghainnte
blàthaich	blàthaich	blàthaichidh	blàthachadh	blàthaichte
boc	boc	bocaidh	bocadh	bocte
bocsaig	bocsaig	bocsaigidh	bocsaigeadh	bocsaigte
brabhsaich	-	-	brabhsadh	-
breab	breab	breabaidh	breabadh	breabte
breac	breac	breacaidh	breacadh	breacte
breislich	breislich	breislichidh	breisleachadh	breislichte
breithnich	breithnich	breithnichidh	breithneachadh	breithnichte
breun	breun	breunaidh	breunad	breunte
briog	briog	briogaidh	briogadh	briogte
bris	bris	brisidh	briseadh	briste
brod	brod	brodaidh	brodadh	brodte
bronn	bronn	bronnaidh	bronnadh	bronnta
brosnaich	brosnaich	brosnaichidh	brosnachadh	-
bruadair	bruadair	bruadairidh	bruadar	bruadairte
bruich	bruich	bruichidh	bruicheadh	bruichte
bruidhinn	bruidhinn	bruidhnidh	bruidhinn	bruidhnte
