# Macedonian mined principal parts, from the apertium-mkd ∩ UniMorph agreement (stress stripped). Columns: lemma, prs1sg..3pl, impf1sg..3pl, lp_masc/fem/neut/pl, imp2sg, imp2pl, pass, converb, vnoun.
# '-' = the productive rule in src/mkd.rs; '|' separates variants.
запознае	-	-	-	-	-	-	-	-	-	-	-	запознаеја	-	-	-	-	запознај	запознајте	-	-	-
зарасне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	зараснат	-	-
зарие	заријам	-	-	-	-	заријат	-	-	-	-	-	зариеја	-	-	-	-	зариј	заријте	-	-	-
застане	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	застанат	-	-
затруе	затрујам	-	-	-	-	затрујат	-	-	-	-	-	затруеја	-	-	-	-	затруј	затрујте	-	-	-
зашие	зашијам	-	-	-	-	зашијат	-	-	-	-	-	зашиеја	-	-	-	-	зашиј	зашијте	-	-	-
збие	збијам	-	-	-	-	збијат	-	-	-	-	-	збиеја	-	-	-	-	збиј	збијте	-	-	-
згои	згојам	-	-	-	-	згојат	-	-	-	-	-	згоеја	-	-	-	-	згој	згојте	-	-	-
згрее	-	-	-	-	-	-	-	-	-	-	-	згрееја	-	-	-	-	згреј	згрејте	згреан	-	-
знае	знам	-	-	-	-	-	-	-	-	-	-	знаеја	-	-	-	-	знај	знајте	-	-	-
избегне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	избегнат	-	-
избере	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	избран	-	-
избие	избијам	-	-	-	-	избијат	-	-	-	-	-	избиеја	-	-	-	-	избиј	избијте	-	-	-
изгние	изгнијам	-	-	-	-	изгнијат	-	-	-	-	-	изгниеја	-	-	-	-	изгниј	изгнијте	-	-	-
издаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	издај	издајте	-	-	-
издвои	издвојам	-	-	-	-	издвојат	-	-	-	-	-	издвоеја	-	-	-	-	издвој	издвојте	-	-	-
измени	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	изменет	-	-
измие	измијам	-	-	-	-	измијат	-	-	-	-	-	измиеја	-	-	-	-	измиј	измијте	-	-	-
искаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	искажан	-	-
испадне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	испаднат	-	-
испее	-	-	-	-	-	-	-	-	-	-	-	испееја	-	-	-	-	испеј	испејте	испеан	-	-
испие	испијам	-	-	-	-	испијат	-	-	-	-	-	испиеја	-	-	-	-	испиј	испијте	-	-	-
истрие	истријам	-	-	-	-	истријат	-	-	-	-	-	истриеја	-	-	-	-	истриј	истријте	-	-	-
исчезне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	исчезнат	-	-
каже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	кажан	-	-
копнее	-	-	-	-	-	-	-	-	-	-	-	копнееја	-	-	-	-	копнеј	копнејте	-	-	-
крие	кријам	-	-	-	-	кријат	-	-	-	-	-	криеја	-	-	-	-	криј	кријте	-	-	-
лае	-	-	-	-	-	-	-	-	-	-	-	лаеја	-	-	-	-	лај	лајте	-	-	-
лее	-	-	-	-	-	-	-	-	-	-	-	лееја	-	-	-	-	леј	лејте	-	-	-
мечтае	-	-	-	-	-	-	-	-	-	-	-	мечтаеја	-	-	-	-	мечтај	мечтајте	-	-	-
мие	мијам	-	-	-	-	мијат	-	-	-	-	-	миеја	-	-	-	-	миј	мијте	-	-	-
набие	набијам	-	-	-	-	набијат	-	-	-	-	-	набиеја	-	-	-	-	набиј	набијте	-	-	-
навие	навијам	-	-	-	-	навијат	-	-	-	-	-	навиеја	-	-	-	-	навиј	навијте	-	-	-
надвие	надвијам	-	-	-	-	надвијат	-	-	-	-	-	надвиеја	-	-	-	-	надвиј	надвијте	-	-	-
надживее	-	-	-	-	-	-	-	-	-	-	-	надживееја	-	-	-	-	надживеј	надживејте	надживеан	-	-
надмине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	надминат	-	-
надои	надојам	-	-	-	-	надојат	-	-	-	-	-	надоеја	-	-	-	-	надој	надојте	-	-	-
надуе	надујам	-	-	-	-	надујат	-	-	-	-	-	надуеја	-	-	-	-	надуј	надујте	-	-	-
накаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	накажан	-	-
налие	налијам	-	-	-	-	налијат	-	-	-	-	-	налиеја	-	-	-	-	налиј	налијте	-	-	-
наметне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	наметнат	-	-
нападне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	нападнат	-	-
напише	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	напишан	-	-
напои	напојам	-	-	-	-	напојат	-	-	-	-	-	напоеја	-	-	-	-	напој	напојте	-	-	-
насмее	-	-	-	-	-	-	-	-	-	-	-	насмееја	-	-	-	-	насмеј	насмејте	насмеан	-	-
настане	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	настанат	-	-
настрои	настројам	-	-	-	-	настројат	-	-	-	-	-	настроеја	-	-	-	-	настрој	настројте	-	-	-
натпее	-	-	-	-	-	-	-	-	-	-	-	натпееја	-	-	-	-	натпеј	натпејте	натпеан	-	-
обвие	обвијам	-	-	-	-	обвијат	-	-	-	-	-	обвиеја	-	-	-	-	обвиј	обвијте	-	-	-
обвини	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	обвинет	-	-
обедини	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	обединет	-	-
обеспокои	обеспокојам	-	-	-	-	обеспокојат	-	-	-	-	-	обеспокоеја	-	-	-	-	обеспокој	обеспокојте	-	-	-
обие	обијам	-	-	-	-	обијат	-	-	-	-	-	обиеја	-	-	-	-	обиј	обијте	-	-	-
облее	-	-	-	-	-	-	-	-	-	-	-	облееја	-	-	-	-	облеј	облејте	облеан	-	-
обои	обојам	-	-	-	-	обојат	-	-	-	-	-	обоеја	-	-	-	-	обој	обојте	-	-	-
обуе	обујам	-	-	-	-	обујат	-	-	-	-	-	обуеја	-	-	-	-	обуј	обујте	-	-	-
објасни	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	објаснет	-	-
одбележи	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	одбележан	-	-
одбие	одбијам	-	-	-	-	одбијат	-	-	-	-	-	одбиеја	-	-	-	-	одбиј	одбијте	-	-	-
одвои	одвојам	-	-	-	-	одвојат	-	-	-	-	-	одвоеја	-	-	-	-	одвој	одвојте	-	-	-
одолее	-	-	-	-	-	-	-	-	-	-	-	одолееја	-	-	-	-	одолеј	одолејте	-	-	-
одржи	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	одржан	-	-
оживее	-	-	-	-	-	-	-	-	-	-	-	оживееја	-	-	-	-	оживеј	оживејте	оживеан	-	-
