# Japanese verbs — inflection class mined from IPADIC 活用型,
# restricted to the kaikki ∩ IPADIC agreement set.
# Regenerate: python3 scripts/jpn/mine_verbs.py
# lemma\tclass
せぐりあげる	ichidan
せしめる	ichidan
せばまる	godan
せばめる	ichidan
せびる	godan
せりだす	godan
せる	godan
そぐう	godan
そそぎこむ	godan
そそる	godan
そびえる	ichidan
そぼ降る	godan
そよがす	godan
そよぐ	godan
そよ吹く	godan
たえる	ichidan
たきあがる	godan
たきこむ	godan
たく	godan
たける	godan
たしなめる	ichidan
たじろぐ	godan
たたかう	godan
たたきおこす	godan
たたきこむ	godan
たたきだす	godan
たたずむ	godan
ただす	godan
たちあう	godan
たちすくむ	godan
たてかえる	ichidan
たてなおす	godan
たてまつる	godan
たてる	ichidan
たなびく	godan
たびかさなる	godan
たぶらかす	godan
たまう	godan
たまげる	ichidan
たやす	godan
たゆむ	godan
たる	godan
たわむ	godan
だきつく	godan
だす	godan
だれる	ichidan
ちかづく	godan
ちかづける	ichidan
ちからつきる	ichidan
ちびる	ichidan
ちゃう	godan
ちょんぎる	godan
ちらつく	godan
ちりばめる	ichidan
ついばむ	godan
つかいわける	ichidan
つかう	godan
つかれる	ichidan
つきささる	godan
つきさす	godan
つきとばす	godan
つきぬける	ichidan
つくりかえる	ichidan
つくる	godan
つぐむ	godan
つちかう	godan
つつみこむ	godan
つづめる	ichidan
つどう	godan
つぶる	godan
つぶれる	ichidan
つむ	godan
つむぐ	godan
つむる	godan
つもる	godan
つらぬく	godan
つられる	ichidan
つんざく	godan
つんのめる	godan
てなずける	ichidan
てらう	godan
であるく	godan
でかす	godan
できる	ichidan
でくわす	godan
でっちあげる	ichidan
でなおす	godan
ではらう	godan
でむく	godan
でんぐりがえる	godan
でんぐり返る	godan
とおざかる	godan
とおざける	ichidan
とおす	godan
とおのく	godan
とがる	godan
ときつける	ichidan
ときめく	godan
とげる	ichidan
とじこめる	ichidan
とじこもる	godan
とだえる	ichidan
となりあう	godan
とびあがる	godan
とびおりる	ichidan
とびでる	ichidan
とべる	ichidan
とまりこむ	godan
とむらう	godan
とめる	ichidan
とりおさえる	ichidan
とりこわす	godan
とりみだす	godan
とりよせる	ichidan
とる	godan
とろかす	godan
とろける	ichidan
とんがる	godan
どくづく	godan
どやす	godan
どよむ	godan
どよめく	godan
なえる	ichidan
ながらえる	ichidan
なきあかす	godan
なきくずれる	ichidan
なきさけぶ	godan
なきしずむ	godan
なきつく	godan
なきぬれる	ichidan
なきはらす	godan
なきふす	godan
なきわめく	godan
なぎたおす	godan
なぎ払う	godan
なぐ	godan
なげうつ	godan
なげつける	ichidan
なごむ	godan
なさる	rspecial
なす	godan
なすりつける	ichidan
なぞる	godan
なだれ込む	godan
なつかしむ	godan
なみうつ	godan
なりかわる	godan
なる	godan
なれる	ichidan
におう	godan
にぎりしめる	ichidan
にぎりつぶす	godan
にじみ出る	ichidan
にせる	ichidan
につける	ichidan
にやける	ichidan
にらみつける	ichidan
ぬぎすてる	ichidan
ぬりたくる	godan
ぬりつぶす	godan
ねざす	godan
ねじまげる	ichidan
ねじる	godan
ねすごす	godan
ねばつく	godan
ねぶる	godan
ねぼける	ichidan
ねむれる	ichidan
ねめる	ichidan
のく	godan
のさばる	godan
のしかかる	godan
のす	godan
のぞく	godan
のぞむ	godan
のたうつ	godan
のたくる	godan
のっかる	godan
のっける	ichidan
のべる	ichidan
のぼせる	ichidan
のぼる	godan
のむ	godan
のめす	godan
のめりこむ	godan
のめる	godan
のりうつる	godan
のりだす	godan
はからう	godan
はきちがえる	ichidan
はぐらかす	godan
はぐる	godan
はける	ichidan
はしゃぐ	godan
はしょる	godan
はしりまわる	godan
はじく	godan
はためく	godan
はちきれる	ichidan
はつる	godan
はなやぐ	godan
はにかむ	godan
はみだす	godan
はみでる	ichidan
はやまる	godan
はやめる	ichidan
ばける	ichidan
ばたつく	godan
ばらす	godan
ばらまく	godan
ばれる	ichidan
ぱくる	godan
ひえこむ	godan
ひかえる	ichidan
ひかれる	ichidan
ひきいる	ichidan
ひきよせる	ichidan
ひきわたす	godan
ひけらかす	godan
ひさぐ	godan
ひしげる	ichidan
ひしめく	godan
ひしゃげる	ichidan
ひっくり返す	godan
ひっくり返る	godan
ひっくるめる	ichidan
ひっこす	godan
ひっこぬく	godan
ひっとらえる	ichidan
ひとはだぬぐ	godan
ひび割れる	ichidan
ひもとく	godan
ひらく	godan
ひり出す	godan
ひる	ichidan
ひれ伏す	godan
ひろがる	godan
ひろげる	ichidan
ひろまる	godan
ひろめる	ichidan
ひんまげる	ichidan
びびる	godan
ふうきる	godan
ふかす	godan
ふきあれる	ichidan
ふきすさぶ	godan
ふきつける	ichidan
ふきとばす	godan
ふける	godan
ふざける	ichidan
ふす	godan
ふためく	godan
ふっきれる	ichidan
ふみとどまる	godan
ふらつく	godan
ふりかける	ichidan
ふりかざす	godan
ふりきれる	ichidan
ふりさけみる	ichidan
ふりしきる	godan
ふりだす	godan
ふりわける	ichidan
ふるいたつ	godan
ふるえる	ichidan
ふるびる	ichidan
ふれあう	godan
ふれる	ichidan
ふんぞり返る	godan
ぶっこぬく	godan
ぶったくる	godan
ぶっぱなす	godan
ぶつかる	godan
ぶらさげる	ichidan
ぶらつく	godan
ぶら下がる	godan
ぶら下げる	ichidan
ぶれる	ichidan
ぶんどる	godan
ぶんなぐる	godan
ぶん投げる	ichidan
へこたれる	ichidan
へし合う	godan
へたばる	godan
へだてる	ichidan
へつらう	godan
へばりつく	godan
へばる	godan
へる	ichidan
ほくそえむ	godan
ほぐす	godan
ほぐれる	ichidan
ほころびる	ichidan
ほざく	godan
ほじくる	godan
ほじる	godan
ほだされる	ichidan
ほったらかす	godan
ほっぽらかす	godan
ほつれる	ichidan
ほとばしる	godan
ほねばる	godan
ほのめかす	godan
ほめちぎる	godan
ほる	godan
ぼける	ichidan
ぼやく	godan
ぼやける	ichidan
ぼる	godan
まう	godan
まかりとおる	godan
まかりまちがう	godan
まかり通る	godan
まかる	godan
まがう	godan
まく	godan
ませる	ichidan
まぜっかえす	godan
まちがう	godan
まどろむ	godan
まぶす	godan
まみれる	ichidan
まよいこむ	godan
みあわせる	ichidan
みいる	godan
みかえす	godan
みかねる	ichidan
みきれる	ichidan
みくびる	godan
みごもる	godan
みじろぐ	godan
みせつける	ichidan
みそこなう	godan
みそめる	ichidan
みつくろう	godan
みとれる	ichidan
