# lemma	auxiliary (default: avere)
ammutolire	essere/avere
ampliarsi	essere
amplificarsi	essere
analizzarsi	essere
anastomizzarsi	essere
anchilosarsi	essere
ancorarsi	essere
andare	essere
andarne	essere
andarsene	essere
anglicizzarsi	essere
angosciarsi	essere
angustiarsi	essere
animarsi	essere
annare	essere
annebbiare	essere/avere
annebbiarsi	essere
annegare	essere/avere
annerare	essere/avere
annerarsi	essere
annericare	essere
annerire	essere/avere
annerirsi	essere
annettersi	essere
annichilarsi	essere
annichilirsi	essere
annidarsi	essere
annodarsi	essere
annoiarsi	essere
annottare	essere/avere
annullarsi	essere
annunciarsi	essere
annunziarsi	essere
annusarsi	essere
annuvolarsi	essere
antistare	essere
aontarsi	essere
apostrofarsi	essere
appacificarsi	essere
appagarsi	essere
appaiarsi	essere
appallottolarsi	essere
appalugarsi	essere
appannarsi	essere
apparentarsi	essere
apparigliare	essere/avere
apparire	essere
appartarsi	essere
appartenere	essere/avere
appassionarsi	essere
appassire	essere/avere
appastellarsi	essere
appellarsi	essere
appendersi	essere
appesantire	essere/avere
appesantirsi	essere
appetire	essere/avere
appiacevolire	essere/avere
appianarsi	essere
appiattarsi	essere
appiattirsi	essere
appiccarsi	essere
appiccicarsi	essere
appigliarsi	essere
appisolarsi	essere
applicarsi	essere
appoggiarsi	essere
appollaiarsi	essere
appontare	essere/avere
appopparsi	essere
appostarsi	essere
appozzarsi	essere
appressarsi	essere
apprestarsi	essere
apprezzarsi	essere
approcciare	essere/avere
approdare	essere/avere
approfittarsene	essere
approfittarsi	essere
approfondirsi	essere
appropinquarsi	essere
appropriarsi	essere
approssimarsi	essere
approvvigionarsi	essere
appruare	essere/avere
appruarsi	essere
appuntare	essere/avere
appuntarsi	essere
aprirsi	essere
arabizzarsi	essere
aragnarsi	essere
arcuarsi	essere
ardere	essere/avere
arenare	essere
arenarsi	essere
arindare	essere
arissomigliare	essere
armarsi	essere
armonizzarsi	essere
arrabattarsi	essere
arrabbiare	essere
arrabbiarsi	essere
arrampicare	essere
arrampicarsi	essere
arrangiarsi	essere
arrapare	essere/avere
arrazzare	essere/avere
arrazzarsi	essere
arrendersi	essere
arrestarsi	essere
arretrare	essere/avere
arricchire	essere/avere
arricchirsi	essere
arricciare	essere/avere
arricciarsi	essere
arrischiarsi	essere
arrivare	essere/avere
arrocare	essere
arroccarsi	essere
arrochire	essere/avere
arrogarsi	essere
arrossare	essere/avere
arrossarsi	essere
arrossire	essere
arrostarsi	essere
arrotolarsi	essere
arrovellarsi	essere
arroventarsi	essere
arruffarsi	essere
arruffianarsi	essere
arrugginire	essere/avere
arruolarsi	essere
articolarsi	essere
ascendere	essere/avere
asciugare	essere/avere
asciugarsi	essere
ascoltarsi	essere
ascondersi	essere
ascriversi	essere
asfissiare	essere/avere
asfissiarsi	essere
aspettarsi	essere
assaettare	essere/avere
assemblarsi	essere
assembrare	essere/avere
assembrarsi	essere
assentarsi	essere
asserragliarsi	essere
asservirsi	essere
assestarsi	essere
assetare	essere/avere
assettarsi	essere
assicurarsi	essere
assiderarsi	essere
assidersi	essere
assimilarsi	essere
assistersi	essere
associarsi	essere
assodare	essere/avere
assodarsi	essere
assoggettarsi	essere
assolare	essere/avere
assolversi	essere
assomigliare	essere/avere
assomigliarsi	essere
assommare	essere/avere
assonare	essere/avere
assonnare	essere/avere
assopirsi	essere
assordare	essere/avere
assordire	essere/avere
assorgere	essere
assottigliarsi	essere
assuefarsi	essere
assumersi	essere
assurgere	essere
astenersi	essere
astrarsi	essere
atrofizzarsi	essere
atrovarsi	essere
attaccarsi	essere
attagliarsi	essere
attardarsi	essere
attediarsi	essere
atteggiarsi	essere
attempare	essere
attemparsi	essere
attendarsi	essere
attendersi	essere
attenere	essere/avere
attenersi	essere
attentarsi	essere
attenuarsi	essere
atterrare	essere/avere
atterrire	essere/avere
atterrirsi	essere
attestarsi	essere
attingersi	essere
attirarsi	essere
attivarsi	essere
attorcigliarsi	essere
attorniarsi	essere
attovagliare	essere
attovagliarsi	essere
attrapparsi	essere
attrarsi	essere
attrezzarsi	essere
