# lemma	auxiliary (default: avere)
immigrare	essere
immillarsi	essere
immischiarsi	essere
immiserire	essere/avere
immiserirsi	essere
immolarsi	essere
immortalarsi	essere
immucidire	essere
immunizzarsi	essere
immusonirsi	essere
impadronirsi	essere
impallarsi	essere
impallidire	essere/avere
impaludare	essere/avere
impaludarsi	essere
impancarsi	essere
impaniarsi	essere
impantanarsi	essere
impaperarsi	essere
impappinarsi	essere
imparentarsi	essere
imparruccarsi	essere
impasticcarsi	essere
impataccarsi	essere
impaurire	essere/avere
impaurirsi	essere
impazzare	essere/avere
impazzire	essere
impedantire	essere/avere
impedirsi	essere
impegnarsi	essere
impegolarsi	essere
impelagarsi	essere
impennarsi	essere
impensierirsi	essere
imperlarsi	essere
impermalirsi	essere
impermeabilizzarsi	essere
impestarsi	essere
impiantarsi	essere
impiccarsi	essere
impicciarsi	essere
impicciolire	essere/avere
impiccolire	essere/avere
impidocchiarsi	essere
impiegarsi	essere
impietosirsi	essere
impietrire	essere/avere
impigliarsi	essere
impigrire	essere/avere
impigrirsi	essere
impinguare	essere/avere
impinguarsi	essere
impinzarsi	essere
impiparsene	essere
impiparsi	essere
impiumarsi	essere
implodere	essere
impolparsi	essere
impoltronire	essere/avere
impolverarsi	essere
impomatarsi	essere
imporporarsi	essere
imporsi	essere
importare	essere/avere
impossessarsi	essere
impoverire	essere/avere
impoverirsi	essere
impratichirsi	essere
impregnarsi	essere
impresciuttire	essere
impressionarsi	essere
imprimersi	essere
improntarsi	essere
improsciuttire	essere
impruarsi	essere
impuntarsi	essere
impuparsi	essere
imputridire	essere/avere
impuzzire	essere/avere
inabissarsi	essere
inacerbire	essere/avere
inacetire	essere/avere
inacidire	essere/avere
inacidirsi	essere
inacutirsi	essere
inalbare	essere/avere
inalbarsi	essere
inalberarsi	essere
inarcarsi	essere
inaridire	essere/avere
inaridirsi	essere
inasinire	essere
inasprire	essere/avere
inasprirsi	essere
inazzurrarsi	essere
incacchiarsi	essere
incadaverire	essere
incagliare	essere/avere
incagliarsi	essere
incallire	essere/avere
incalorirsi	essere
incalvare	essere
incalzarsi	essere
incamminarsi	essere
incanagliarsi	essere
incanaglire	essere
incanaglirsi	essere
incanalarsi	essere
incancherire	essere
incancrenire	essere/avere
incancrenirsi	essere
incantarsi	essere
incanutire	essere/avere
incaparbire	essere
incaparbirsi	essere
incapare	essere/avere
incaparsi	essere
incaponirsi	essere
incappare	essere/avere
incappottarsi	essere
incappucciarsi	essere
incapricciarsi	essere
incardinarsi	essere
incaricarsi	essere
incarnire	essere/avere
incarnirsi	essere
incarognire	essere/avere
incarognirsi	essere
incartapecorire	essere
incartapecorirsi	essere
incasinarsi	essere
incastrarsi	essere
incatenarsi	essere
incattivire	essere/avere
incavalcarsi	essere
incavolarsi	essere
incazzarsi	essere
incendiarsi	essere
incentrarsi	essere
incepparsi	essere
inchinarsi	essere
inchiodarsi	essere
inciampare	essere/avere
incipriarsi	essere
inciprignire	essere/avere
incistarsi	essere
inciuccarsi	essere
inciuchire	essere
incocciare	essere/avere
incocciarsi	essere
incoiare	essere
incollarsi	essere
incollerire	essere/avere
incollerirsi	essere
incolonnarsi	essere
incolparsi	essere
incominciare	essere/avere
incomodarsi	essere
incontrare	essere/avere
incontrarsi	essere
incoraggiarsi	essere
incordarsi	essere
incorrere	essere
increscere	essere
incresparsi	essere
incretinire	essere/avere
incretinirsi	essere
incriminarsi	essere
incrinarsi	essere
incrociarsi	essere
incrostare	essere/avere
incrudelire	essere/avere
incrudire	essere/avere
incunearsi	essere
incupire	essere/avere
incuriosirsi	essere
incurvarsi	essere
indebitarsi	essere
indebolire	essere/avere
indebolirsi	essere
indicarsi	essere
indietreggiare	essere/avere
indignarsi	essere
indirizzarsi	essere
indispettire	essere/avere
indispettirsi	essere
individuarsi	essere
indolenzire	essere/avere
indolenzirsi	essere
indugiarsi	essere
indurare	essere/avere
indurarsi	essere
indurire	essere/avere
indurirsi	essere
indursi	essere
industriarsi	essere
inebetire	essere/avere
inebetirsi	essere
inerpicarsi	essere
infagottarsi	essere
infanatichire	essere
infangarsi	essere
infastidirsi	essere
infatuarsi	essere
infebbrare	essere/avere
infeltrire	essere/avere
infeltrirsi	essere
inferocire	essere/avere
inferocirsi	essere
infervorarsi	essere
infettarsi	essere
infiacchire	essere/avere
infiacchirsi	essere
infiammarsi	essere
infilarsi	essere
infiltrarsi	essere
infingardire	essere/avere
infingardirsi	essere
infiochire	essere/avere
infischiarsene	essere
infischiarsi	essere
infistolire	essere/avere
infittire	essere/avere
infittirsi	essere
inflaccidire	essere/avere
infliggersi	essere
influire	essere/avere
infocarsi	essere
infognarsi	essere
infoltire	essere/avere
infoltirsi	essere
informarsi	essere
informatizzarsi	essere
informicolarsi	essere
informicolirsi	essere
infortunarsi	essere
infoscare	essere/avere
infoscarsi	essere
infossarsi	essere
infradiciarsi	essere
inframmettersi	essere
infrancesarsi	essere
infrangersi	essere
infrascarsi	essere
infrattarsi	essere
infreddare	essere/avere
infreddarsi	essere
infreddolire	essere
infreddolirsi	essere
infrollire	essere/avere
infrollirsi	essere
infuocarsi	essere
infurbire	essere/avere
infurbirsi	essere
infuriare	essere/avere
infuriarsi	essere
ingagliardire	essere/avere
ingannarsi	essere
ingarbugliarsi	essere
ingavonarsi	essere
ingegnarsi	essere
ingelosire	essere/avere
ingelosirsi	essere
ingenerarsi	essere
ingentilire	essere/avere
ingentilirsi	essere
ingerirsi	essere
ingiallare	essere/avere
ingiallire	essere/avere
ingigantire	essere/avere
ingigantirsi	essere
inginocchiarsi	essere
ingiovanire	essere/avere
ingiuriarsi	essere
ingobbire	essere/avere
ingobbirsi	essere
ingoffire	essere/avere
ingolfarsi	essere
ingolosire	essere/avere
ingolosirsi	essere
ingorgarsi	essere
ingozzarsi	essere
ingracilire	essere/avere
ingrandire	essere/avere
ingrandirsi	essere
ingrassare	essere/avere
ingrassarsi	essere
ingravidare	essere/avere
ingraziarsi	essere
ingrifarsi	essere
ingrigire	essere
ingropparsi	essere
ingrossare	essere/avere
ingrossarsi	essere
ingrullire	essere/avere
inguaiarsi	essere
inguantarsi	essere
iniettarsi	essere
inimicarsi	essere
iniziare	essere/avere
iniziarsi	essere
inleiarsi	essere
inluiarsi	essere
inmiarsi	essere
innalzarsi	essere
innamorarsi	essere
innervosirsi	essere
innescarsi	essere
innestarsi	essere
innevarsi	essere
innovarsi	essere
inoltrarsi	essere
inorgoglire	essere/avere
inorgoglirsi	essere
inorridire	essere/avere
inquadrarsi	essere
inquietarsi	essere
insabbiarsi	essere
insaccare	essere/avere
insalarsi	essere
insalvatichire	essere/avere
insanguinarsi	essere
insaponarsi	essere
insaporirsi	essere
inscatolarsi	essere
insecchire	essere/avere
insediarsi	essere
insegnare	essere/avere
insegnarsi	essere
inseguirsi	essere
inselvarsi	essere
inselvatichire	essere/avere
insemprarsi	essere
inserirsi	essere
inserpentire	essere
inserpentirsi	essere
insinuarsi	essere
insolentire	essere/avere
insordire	essere/avere
insorgere	essere
insospettire	essere/avere
insospettirsi	essere
insozzarsi	essere
inspessirsi	essere
installarsi	essere
instaurarsi	essere
insterilire	essere/avere
insterilirsi	essere
instradarsi	essere
instupidire	essere/avere
insudare	essere/avere
insudiciarsi	essere
insultarsi	essere
insuperbire	essere/avere
insuperbirsi	essere
intabarrarsi	essere
intarlare	essere
intarlarsi	essere
intasarsi	essere
integrarsi	essere
intendersela	essere
intendersene	essere
intendersi	essere
intenebrarsi	essere
intenerire	essere/avere
intenerirsi	essere
intensificarsi	essere
intercedere	essere/avere
interconnettersi	essere
interconvertirsi	essere
intercorrere	essere
interessare	essere/avere
interessarsi	essere
interfacciarsi	essere
interporsi	essere
interrogarsi	essere
interrompersi	essere
intersecarsi	essere
intervallarsi	essere
intervenire	essere
intessersi	essere
intestardirsi	essere
intestarsi	essere
intiepidire	essere/avere
intimidire	essere/avere
intimidirsi	essere
intimorirsi	essere
intirizzire	essere/avere
intirizzirsi	essere
intisichire	essere
intitolarsi	essere
intonarsi	essere
intontire	essere/avere
intoppare	essere/avere
intopparsi	essere
intorbidare	essere/avere
intorbidire	essere/avere
intorbidirsi	essere
intorpidire	essere/avere
intossicarsi	essere
intrare	essere
intrattenersi	essere
intravedersi	essere
intravenire	essere
intravienire	essere
intravvenire	essere
intrecciarsi	essere
intricarsi	essere
intrigarsi	essere
intripparsi	essere
intristire	essere/avere
introdursi	essere
introflettersi	essere
intromettersi	essere
intronare	essere/avere
introvertersi	essere
introvertirsi	essere
intrufolare	essere/avere
intrufolarsi	essere
intrugliarsi	essere
intrupparsi	essere
intuarsi	essere
intumidire	essere
inturgidire	essere/avere
inturgidirsi	essere
inumidirsi	essere
inurbarsi	essere
invaghire	essere/avere
invaghirsi	essere
invaginarsi	essere
invaiare	essere/avere
invalere	essere
invecchiare	essere/avere
invelenire	essere/avere
invelenirsi	essere
inventarsi	essere
inverdire	essere/avere
inverdirsi	essere
inverminire	essere
inverminirsi	essere
investire	essere/avere
investirsi	essere
inviarsi	essere
invigliacchire	essere/avere
invigliacchirsi	essere
invigorire	essere/avere
invigorirsi	essere
inviperire	essere
invischiarsi	essere
inviscidire	essere
invitarsi	essere
involarsi	essere
involgarire	essere/avere
involgarirsi	essere
involtarsi	essere
inzaccherarsi	essere
inzepparsi	essere
inzotichire	essere/avere
inzotichirsi	essere
inzupparsi	essere
ipertrofizzarsi	essere
irarsi	essere
ire	essere
iridare	essere/avere
irradiare	essere/avere
irradiarsi	essere
irraggiare	essere/avere
irrancidire	essere
irritarsi	essere
irrobustirsi	essere
irrugginire	essere/avere
irruvidire	essere/avere
irruvidirsi	essere
ischeletrire	essere/avere
ischeletrirsi	essere
iscriversi	essere
islamizzarsi	essere
isolarsi	essere
ispessirsi	essere
ispirarsi	essere
issarsi	essere
isterilire	essere/avere
isterilirsi	essere
istituirsi	essere
istruirsi	essere
istupidire	essere/avere
istupidirsi	essere
italianizzarsi	essere
kirkificare	essere/avere
labializzarsi	essere
lacerarsi	essere
laconizzare	essere
lagnarsi	essere
lambiccarsi	essere
lamentarsi	essere
lampeggiare	essere/avere
lanciarsi	essere
lapidificare	essere/avere
lapidificarsi	essere
lasciarsi	essere
laurearsi	essere
lavarsi	essere
lavorarsi	essere
leccarsi	essere
lecere	essere
legarsi	essere
leggersi	essere
legnarsi	essere
lentarsi	essere
lesionarsi	essere
lessicalizzarsi	essere
levarsi	essere
levitare	essere/avere
liberarsi	essere
librarsi	essere
licenziarsi	essere
licere	essere
lievitare	essere/avere
lignificare	essere/avere
lignificarsi	essere
limitarsi	essere
limonarsi	essere
liquefarsi	essere
lisarsi	essere
lisciarsi	essere
liticare	essere/avere
litigarsi	essere
livellarsi	essere
localizzarsi	essere
lodarsi	essere
logorarsi	essere
lordarsi	essere
luccicare	essere/avere
lustrarsi	essere
macchiarsi	essere
macerarsi	essere
magnetizzarsi	essere
malandare	essere
maledirsi	essere
mallevare	essere/avere
mancare	essere/avere
mandarsi	essere
maneggiarsi	essere
mangiarsi	essere
manifestarsi	essere
manlevare	essere/avere
mansuefarsi	essere
mantenersi	essere
manucarsi	essere
marcire	essere/avere
maritarsi	essere
martirizzarsi	essere
mascherarsi	essere
mascolinizzarsi	essere
massacrarsi	essere
massaggiarsi	essere
masturbarsi	essere
materializzarsi	essere
maturare	essere/avere
maturarsi	essere
meare	essere
medicarsi	essere
menomare	essere/avere
mentirsi	essere
meravigliare	essere/avere
meravigliarsi	essere
meritarsela	essere
meritarsi	essere
mescolarsi	essere
metallificare	essere
metamorfosarsi	essere
mettersi	essere
migliorare	essere/avere
migliorarsi	essere
migrare	essere/avere
millantarsi	essere
mimetizzarsi	essere
minacciarsi	essere
mineralizzarsi	essere
minuire	essere/avere
mischiarsi	essere
misurarsi	essere
mitigarsi	essere
mobilitarsi	essere
modellarsi	essere
moderarsi	essere
modernizzarsi	essere
modificarsi	essere
mollare	essere/avere
mollarsi	essere
molleggiarsi	essere
moltiplicarsi	essere
monacarsi	essere
montare	essere/avere
montarsi	essere
mordersi	essere
mordicchiarsi	essere
morire	essere/avere
morirsene	essere
morirsi	essere
mortificarsi	essere
mostrarsi	essere
movimentarsi	essere
mucciare	essere/avere
muffire	essere
mummificare	essere/avere
mummificarsi	essere
munirsi	essere
muovere	essere/avere
muoversi	essere
murarsi	essere
musicare	essere/avere
mutare	essere/avere
nascere	essere
nascondersi	essere
naturalizzarsi	essere
necessitare	essere/avere
negarsi	essere
negativizzarsi	essere
nevare	essere/avere
nevicare	essere/avere
nevigare	essere/avere
nevischiare	essere/avere
nevrotizzarsi	essere
nitrificare	essere/avere
nobilitarsi	essere
normalizzarsi	essere
notare	essere/avere
notificarsi	essere
nullificarsi	essere
nutrirsene	essere
nutrirsi	essere
obbligarsi	essere
obiettivarsi	essere
obliarsi	essere
obnubilarsi	essere
occhieggiarsi	essere
occidentalizzarsi	essere
occorrere	essere
occuparsene	essere
occuparsi	essere
odiarsi	essere
offendersi	essere
offrirsi	essere
offuscarsi	essere
oggettivarsi	essere
oltrarsi	essere
ombreggiarsi	essere
omologarsi	essere
onorarsi	essere
operarsi	essere
opporsi	essere
organizzarsi	essere
orgoglire	essere
orientarsi	essere
originarsi	essere
orizzontarsi	essere
ormeggiarsi	essere
ornarsi	essere
orrire	essere/avere
oscurarsi	essere
osservarsi	essere
ossidarsi	essere
ossificare	essere/avere
ossificarsi	essere
ossigenarsi	essere
ostacolarsi	essere
ostinarsi	essere
ostruirsi	essere
ottenebrarsi	essere
otturarsi	essere
ovalizzarsi	essere
pacarsi	essere
padroneggiarsi	essere
pagarsi	essere
palesarsi	essere
palleggiarsi	essere
paracadutarsi	essere
paragonarsi	essere
pararsi	essere
parere	essere
parlarsi	essere
partenere	essere/avere
partire	essere/avere
partirsi	essere
pascersi	essere
passare	essere/avere
passarsela	essere
passarsi	essere
passire	essere
pavoneggiarsi	essere
peggiorare	essere/avere
penetrare	essere/avere
pensarsi	essere
pentirsi	essere
percolare	essere/avere
percuotersi	essere
perdersi	essere
perdonarsi	essere
perdurare	essere/avere
perennare	essere/avere
perfezionarsi	essere
perire	essere/avere
peritarsi	essere
permanere	essere
permettersi	essere
perpetuarsi	essere
persuadersi	essere
perturbarsi	essere
pervenire	essere
pervertirsi	essere
pesare	essere/avere
pesarsi	essere
pettinarsi	essere
piacere	essere/avere
piacersi	essere
piaciucchiare	essere
piagarsi	essere
piangersi	essere
piantarsi	essere
piazzarsi	essere
piccarsi	essere
picchiarsi	essere
piegarsi	essere
pietrificarsi	essere
pigmentarsi	essere
piombare	essere/avere
piottare	essere/avere
piovere	essere/avere
pioviccicare	essere/avere
piovigginare	essere/avere
pioviscolare	essere/avere
pitturarsi	essere
placarsi	essere
poggiarsi	essere
polarizzarsi	essere
politicizzarsi	essere
pollare	essere
polverizzarsi	essere
popolarsi	essere
porsi	essere
portarsi	essere
posarsi	essere
posizionarsi	essere
posteggiarsi	essere
potere	essere/avere
preannunciarsi	essere
precipitare	essere/avere
precipitarsi	essere
precisarsi	essere
precludersi	essere
precorrere	essere/avere
precostituirsi	essere
predisporsi	essere
preesistere	essere
prefiggersi	essere
prefiorire	essere
pregiarsi	essere
pregiudicarsi	essere
premorire	essere
premunirsi	essere
premurarsi	essere
prenascere	essere
prendere	essere/avere
prendersela	essere
prendersi	essere
prenotarsi	essere
preoccuparsi	essere
prepararsi	essere
prepensionarsi	essere
prescriversi	essere
presentarsi	essere
preservarsi	essere
pressarsi	essere
prestarsi	essere
prevalere	essere/avere
principiare	essere/avere
privarsi	essere
procacciarsi	essere
procedere	essere/avere
proclamarsi	essere
procurarsi	essere
prodigarsi	essere
prodursi	essere
professarsi	essere
profilarsi	essere
profondarsi	essere
profondersi	essere
profumarsi	essere
progredire	essere/avere
proiettarsi	essere
proletarizzarsi	essere
proliferarsi	essere
prolungarsi	essere
promanare	essere/avere
promettersi	essere
pronunciarsi	essere
pronunziarsi	essere
propagarsi	essere
propiziarsi	essere
proporsi	essere
prorompere	essere/avere
prosciugarsi	essere
proseguire	essere/avere
prospettare	essere/avere
prospettarsi	essere
prosternarsi	essere
prostituirsi	essere
prostrarsi	essere
proteggersi	essere
protendersi	essere
protestarsi	essere
protrarsi	essere
protrudere	essere/avere
provarsi	essere
provenire	essere
provocarsi	essere
provvedersi	essere
pulire	essere/avere
pulirsi	essere
pungersi	essere
punirsi	essere
puntigliarsi	essere
punzecchiarsi	essere
purgarsi	essere
purificarsi	essere
putrefare	essere/avere
putrefarsi	essere
putrire	essere
quadrare	essere/avere
quadruplicarsi	essere
quagliare	essere
qualificarsi	essere
quietarsi	essere
quintuplicarsi	essere
rabbonacciarsi	essere
rabbonirsi	essere
rabbrividire	essere/avere
rabbruscare	essere
rabbuffarsi	essere
rabbuiare	essere
rabbuiarsi	essere
raccapezzarsi	essere
raccapigliarsi	essere
raccapricciare	essere/avere
racchetarsi	essere
racchiudersi	essere
raccogliersi	essere
raccomandarsi	essere
raccontarsi	essere
raccorciarsi	essere
raccordarsi	essere
raccorgersi	essere
racquattarsi	essere
raddensarsi	essere
raddolcirsi	essere
raddoppiare	essere/avere
raddrizzarsi	essere
raddursi	essere
radersi	essere
radicare	essere/avere
radicarsi	essere
radunarsi	essere
raffermarsi	essere
raffinire	essere
raffittire	essere/avere
rafforzarsi	essere
raffreddare	essere/avere
raffreddarsi	essere
raffrenarsi	essere
raffrescare	essere/avere
raggelarsi	essere
raggiornare	essere/avere
raggiungersi	essere
raggiustarsi	essere
raggomitolarsi	essere
raggranchire	essere/avere
raggrinzare	essere/avere
raggrinzire	essere/avere
raggrinzirsi	essere
raggrumarsi	essere
raggrupparsi	essere
rallegrarsi	essere
rallentare	essere/avere
rallentarsi	essere
ramacciare	essere
ramificarsi	essere
rammaricarsi	essere
rammemorarsi	essere
rammentarsi	essere
rammeschinire	essere
rammollire	essere/avere
rammollirsi	essere
rammorbidirsi	essere
rampare	essere
rampicare	essere/avere
rampollare	essere
rancidire	essere
rannerare	essere
rannerire	essere/avere
rannicchiarsi	essere
rannuvolare	essere/avere
rannuvolarsi	essere
rappacificarsi	essere
rappallottolarsi	essere
rappattumarsi	essere
rappisolarsi	essere
rapportarsi	essere
rapprendersi	essere
rappresentarsi	essere
rarefarsi	essere
rasarsi	essere
rassegare	essere
rassegnarsi	essere
rasserenarsi	essere
rassicurarsi	essere
rassimigliare	essere/avere
rassodare	essere/avere
rassodarsi	essere
rassomigliare	essere/avere
rassomigliarsi	essere
rassottigliarsi	essere
rastremarsi	essere
rattrappirsi	essere
rattristarsi	essere
ravvedersi	essere
ravviarsi	essere
ravvilupparsi	essere
ravvivarsi	essere
ravvolgersi	essere
ravvoltolarsi	essere
razzuffarsi	essere
realizzarsi	essere
recarsi	essere
recarvisi	essere
recedere	essere/avere
recidersi	essere
reclinarsi	essere
redimersi	essere
redire	essere
refluire	essere/avere
refulgere	essere/avere
regalarsi	essere
reggersi	essere
registrarsi	essere
regolarizzarsi	essere
regolarsi	essere
regredire	essere
reimbarcarsi	essere
reimmergersi	essere
reincarnarsi	essere
reinfettarsi	essere
reinsediarsi	essere
reinserirsi	essere
reinsorgere	essere
reintegrarsi	essere
reintervenire	essere
reintrodursi	essere
reinventarsi	essere
relazionarsi	essere
rendersi	essere
repentirsi	essere
replicarsi	essere
reprimersi	essere
reputarsi	essere
residuare	essere
resinificare	essere/avere
respingersi	essere
responsabilizzarsi	essere
restarci	essere
restare	essere
restarsi	essere
restituirsi	essere
restringersi	essere
resurgere	essere
resuscitare	essere/avere
retrocedere	essere/avere
riabbracciarsi	essere
riabilitarsi	essere
riabituarsi	essere
riaccadere	essere
riaccalcarsi	essere
riaccapigliarsi	essere
riaccendersi	essere
riaccomodarsi	essere
riaccrescere	essere/avere
riaccucciarsi	essere
riacquattarsi	essere
riacutizzarsi	essere
riaddormentarsi	essere
riadunarsi	essere
riaffacciarsi	essere
riaffermarsi	essere
riaffiatarsi	essere
riaffiorare	essere
riagganciarsi	essere
riaggiustarsi	essere
riaggravare	essere/avere
riaggravarsi	essere
riaggregarsi	essere
riallacciarsi	essere
riallinearsi	essere
rialzare	essere/avere
rialzarsi	essere
riambientarsi	essere
riammalare	essere
riammalarsi	essere
riammogliarsi	essere
riammutinarsi	essere
riandare	essere/avere
rianimarsi	essere
riappacificarsi	essere
riapparire	essere
riappassire	essere
riappellarsi	essere
riappisolarsi	essere
riapplicarsi	essere
riapprodare	essere/avere
riappropriarsi	essere
riaprirsi	essere
riardere	essere/avere
riarmarsi	essere
riarmonizzare	essere/avere
riascendere	essere
riassentarsi	essere
riassettarsi	essere
riassicurarsi	essere
riassidersi	essere
riassociarsi	essere
riassorbirsi	essere
riassumersi	essere
riattaccarsi	essere
riatterrare	essere/avere
riaversi	essere
riavventarsi	essere
riavventurarsi	essere
riavviarsi	essere
riavvicinarsi	essere
riavvolgersi	essere
riazzuffarsi	essere
ribadirsi	essere
ribaltare	essere/avere
ribaltarsi	essere
ribassare	essere/avere
ribellarsi	essere
ribisognare	essere/avere
riboccare	essere
ributtarsi	essere
ricacciarsi	essere
ricadere	essere
ricalcificare	essere/avere
ricalcificarsi	essere
ricambiarsi	essere
ricandidarsi	essere
ricapitare	essere/avere
ricaricarsi	essere
ricascare	essere
richiamarsi	essere
richiudersi	essere
riciclarsi	essere
ricollegarsi	essere
ricollocarsi	essere
ricolorarsi	essere
ricombinarsi	essere
ricominciare	essere/avere
ricomparire	essere
ricompattarsi	essere
ricomporsi	essere
ricomprarsi	essere
riconciliarsi	essere
ricondursi	essere
riconfermarsi	essere
riconfluire	essere/avere
riconfortarsi	essere
ricongiungersi	essere
riconoscersi	essere
riconsolarsi	essere
riconvenire	essere/avere
riconvertirsi	essere
ricoprirsi	essere
ricordarsi	essere
ricoricarsi	essere
ricorrere	essere/avere
ricostituirsi	essere
ricostruirsi	essere
ricoverarsi	essere
ricrearsi	essere
ricredersi	essere
ricrescere	essere/avere
ricristallizzare	essere/avere
ricristallizzarsi	essere
ridare	essere/avere
ridarsi	essere
ridersene	essere
ridersi	essere
ridestarsi	essere
rideterminarsi	essere
ridimensionarsi	essere
ridiminuire	essere
ridiscendere	essere/avere
ridisfarsi	essere
ridivenire	essere
ridiventare	essere
ridolere	essere/avere
ridondare	essere/avere
ridursi	essere
riecheggiare	essere/avere
riemergere	essere
riemigrare	essere
riempirsi	essere
rientrarci	essere
rientrare	essere
riequilibrarsi	essere
riescire	essere
riesercitarsi	essere
riesplodere	essere/avere
riessere	essere
rievaporare	essere/avere
rifallire	essere/avere
rifarsela	essere
rifarsi	essere
riferirsi	essere
rifermarsi	essere
rifiammeggiare	essere/avere
rificcarsi	essere
rifioccare	essere
rifiorire	essere/avere
rifiutarsi	essere
riflettersi	essere
rifluire	essere
rifocillarsi	essere
riformarsi	essere
rifornirsi	essere
rifrangersi	essere
rifronzire	essere/avere
rifuggire	essere/avere
rifugiarsi	essere
rifulgere	essere/avere
rigassificare	essere/avere
rigenerare	essere/avere
rigenerarsi	essere
rigettare	essere/avere
rigettarsi	essere
rigiacere	essere
rigirarsi	essere
rigiungere	essere/avere
rigocciolare	essere/avere
rigonfiare	essere/avere
rigonfiarsi	essere
rigrandinare	essere/avere
rigrondare	essere/avere
riguadagnarsi	essere
riguardarsi	essere
riguarire	essere
riguizzare	essere/avere
rigurgitare	essere/avere
rilagnarsi	essere
rilanciarsi	essere
rilasciarsi	essere
rilassarsi	essere
rileggersi	essere
rilevarsi	essere
rimanere	essere
rimanersi	essere
rimangiarsi	essere
rimarginare	essere/avere
rimarginarsi	essere
rimaritarsi	essere
rimbalzare	essere
rimbambinire	essere
rimbambire	essere/avere
rimbambirsi	essere
rimbambolire	essere
rimbarbarire	essere/avere
rimbarcarsi	essere
rimbeccarsi	essere
rimbecillire	essere/avere
rimbecillirsi	essere
rimbellire	essere/avere
rimbiancare	essere/avere
rimbiondire	essere/avere
rimboccarsi	essere
rimbombare	essere/avere
rimboscarsi	essere
rimboschire	essere/avere
rimbricconire	essere
rimbrunare	essere
rimbrunire	essere/avere
rimbruttire	essere/avere
rimembrarsi	essere
rimemorarsi	essere
rimettersi	essere
rimirarsi	essere
rimmelensire	essere
rimminchionire	essere
rimontare	essere/avere
rimorchiarsi	essere
rimorire	essere
rimpadronirsi	essere
rimpatriare	essere/avere
rimpaurire	essere/avere
rimpazzire	essere
rimpennare	essere/avere
rimpennarsi	essere
rimpiattarsi	essere
rimpicciolire	essere/avere
rimpicciolirsi	essere
rimpiccolire	essere/avere
rimpiccolirsi	essere
rimpigrire	essere/avere
rimpinzarsi	essere
rimpoltronire	essere/avere
rimpossessarsi	essere
rimpresciuttire	essere
rimproverarsi	essere
rimputridire	essere/avere
rimuoversi	essere
rimutare	essere/avere
rimutarsi	essere
rinascere	essere
rincamminarsi	essere
rincanagliarsi	essere
rincantucciarsi	essere
rincaponirsi	essere
rincappare	essere
rincarare	essere/avere
rincarnarsi	essere
rincarognire	essere
rincasare	essere
rincattivire	essere
rinchiocciolire	essere
rinchiudersi	essere
rinciampare	essere/avere
rincingere	essere
rinciprignire	essere
rincitrullire	essere/avere
rinciuchire	essere
rincoglionire	essere/avere
rincoglionirsi	essere
rincollerire	essere
rincominciare	essere/avere
rincontrarsi	essere
rincorarsi	essere
rincorrersi	essere
rincrescere	essere
rincrescersi	essere
rincretinire	essere/avere
rincrudelire	essere/avere
rincrudire	essere/avere
rinculare	essere/avere
rincuorarsi	essere
rincupire	essere/avere
rindurire	essere/avere
rinevicare	essere/avere
rinfiammarsi	essere
rinfichisecchire	essere
rinficosecchire	essere
rinfierire	essere/avere
rinfilarsi	essere
rinfingardire	essere/avere
rinfittire	essere
rinfittirsi	essere
rinfocolarsi	essere
rinforzare	essere/avere
rinforzarsi	essere
rinfoscare	essere/avere
rinfrancarsi	essere
rinfrescare	essere/avere
rinfrescarsi	essere
rinfrigidarsi	essere
rinfuriare	essere
ringagliardire	essere/avere
ringalluzzare	essere/avere
ringalluzzire	essere/avere
ringalluzzirsi	essere
ringiallire	essere/avere
ringinocchiarsi	essere
ringiovanire	essere/avere
ringiovanirsi	essere
ringiovenire	essere/avere
ringrassare	essere/avere
ringravidare	essere/avere
ringraziarsi	essere
ringrullire	essere/avere
rinnamorarsi	essere
rinnervarsi	essere
rinnovarsi	essere
rinsaccare	essere/avere
rinsaldarsi	essere
rinsalvatichire	essere
rinsanire	essere
rinsavire	essere/avere
rinsecchire	essere/avere
rinselvarsi	essere
rinselvatichire	essere/avere
rinserrarsi	essere
rintanarsi	essere
rintasare	essere/avere
rintepidire	essere/avere
rintiepidire	essere/avere
rintombare	essere/avere
rintontire	essere/avere
rintoppare	essere/avere
rintristire	essere
rintronare	essere/avere
rintrupparsi	essere
rinvenire	essere/avere
rinvenirsi	essere
rinverdire	essere/avere
rinverdirsi	essere
rinverminire	essere
rinvertire	essere/avere
rinvigorire	essere/avere
rinvigorirsi	essere
rinviliare	essere
rinvilire	essere/avere
rinviperire	essere
rinvivire	essere
rinzelarsi	essere
rioccuparsi	essere
riorganizzarsi	essere
riparare	essere/avere
ripararsi	essere
ripartire	essere/avere
ripartirsi	essere
ripassare	essere/avere
ripeggiorare	essere/avere
ripensarsi	essere
ripentirsi	essere
ripercuotersi	essere
ripetersi	essere
ripiegarsi	essere
ripigliarsi	essere
ripiombare	essere/avere
ripiovere	essere/avere
ripopolarsi	essere
riportarsi	essere
riposare	essere/avere
riposarsi	essere
riposizionarsi	essere
ripotere	essere/avere
riprecipitare	essere/avere
riprendere	essere/avere
riprendersi	essere
ripresentarsi	essere
riprincipiare	essere/avere
riprodursi	essere
ripromettersi	essere
riproporsi	essere
riputarsi	essere
riquadrare	essere/avere
riqualificarsi	essere
risalire	essere/avere
risaltare	essere/avere
risanare	essere/avere
risanarsi	essere
risbucare	essere
