# Italian strong verbs: lemma <TAB> passato remoto 1sg <TAB> past participle.
# Suffix-matched (descrivere finds scrivere). Mined from the gold oracles.
prevedere	previdi	preveduto
profondere	profusi	profuso
promettere	promisi	promesso
promuovere	promossi	promosso
prorompere	proruppi	prorotto
prosciogliere	prosciolsi	prosciolto
proscrivere	proscrissi	proscritto
proteggere	protessi	protetto
protendere	protesi	proteso
provvedere	provvidi	provveduto
pungere	punsi	punto
racchiudere	racchiusi	racchiuso
radere	rasi	raso
radiodiffondere	radiodiffusi	radiodiffuso
radiotrasmettere	radiotrasmisi	radiotrasmesso
raggiungere	raggiunsi	raggiunto
rapprendere	rappresi	rappreso
ravvolgere	ravvolsi	ravvolto
recidere	recisi	reciso
recingere	recinsi	recinto
recludere	reclusi	recluso
redimere	redensi	redento
reggere	ressi	retto
repellere	repulsi	repulso
reprimere	repressi	represso
rescindere	rescissi	rescisso
respingere	respinsi	respinto
restringere	restrinsi	restringuto
riaccendere	riaccesi	riacceso
riammettere	riammisi	riammesso
riassumere	riassunsi	riassunto
riavere	riebbi	riavuto
riavvolgere	riavvolsi	riavvolto
ricadere	ricaddi	ricaduto
richiedere	richiesi	richiesto
richiudere	richiusi	richiuso
ricomprendere	ricompresi	ricompreso
ricongiungere	ricongiunsi	ricongiunto
riconoscere	riconobbi	riconosciuto
ricorreggere	ricorressi	ricorretto
ricorrere	ricorsi	ricorso
ridere	risi	riso
ridipingere	ridipinsi	ridipinto
ridiscendere	ridiscesi	ridisceso
ridiscorrere	ridiscorsi	ridiscorso
ridiscutere	ridiscussi	ridiscusso
rieleggere	rielessi	rieletto
riemergere	riemersi	riemerso
rifondere	rifusi	rifuso
rifrangere	rifransi	rifranto
rifriggere	rifrissi	rifritto
rifulgere	rifulsi	rifulso
rileggere	rilessi	riletto
rimettere	rimisi	rimesso
rimordere	rimorsi	rimorso
rimpiangere	rimpiansi	rimpianto
rimuovere	rimossi	rimosso
rinascere	rinacqui	rinato
rinchiudere	rinchiusi	rinchiuso
rincorrere	rincorsi	rincorso
rinvolgere	rinvolsi	rinvolto
ripercorrere	ripercorsi	ripercorso
ripercuotere	ripercossi	ripercosso
ripiovere	ripiovvi	ripiovuto
riprendere	ripresi	ripreso
ripromettere	ripromisi	ripromesso
ripungere	ripunsi	ripunto
risapere	riseppi	risaputo
risciogliere	risciolsi	risciolto
riscorrere	riscorsi	riscorso
riscrivere	riscrissi	riscritto
riscuotere	riscossi	riscosso
risorgere	risorsi	risorto
risospingere	risospinsi	risospinto
rispondere	risposi	risposto
ristringere	ristrinsi	ristretto
ritingere	ritinsi	ritinto
ritorcere	ritorsi	ritorto
ritrasmettere	ritrasmisi	ritrasmesso
rivedere	rividi	riveduto
rivincere	rivinsi	rivinto
rivivere	rivissi	rivissuto
rivolere	rivolli	rivoluto
rivolgere	rivolsi	rivolto
rodere	rosi	roso
rompere	ruppi	rotto
scadere	scaddi	scaduto
scendere	scesi	sceso
schiudere	schiusi	schiuso
scindere	scissi	scisso
sciogliere	sciolsi	sciolto
scommettere	scommisi	scommesso
sconfiggere	sconfissi	sconfitto
sconoscere	sconobbi	sconosciuto
sconvolgere	sconvolsi	sconvolto
scorgere	scorsi	scorto
scorrere	scorsi	scorso
scoscendere	scoscesi	scosceso
scrivere	scrissi	scritto
scuotere	scossi	scosso
smettere	smisi	smesso
smungere	smunsi	smunto
smuovere	smossi	smosso
socchiudere	socchiusi	socchiuso
soccorrere	soccorsi	soccorso
soffondere	soffusi	soffuso
soffriggere	soffrissi	soffritto
soggiacere	soggiacqui	soggiaciuto
soggiungere	soggiunsi	soggiunto
sommergere	sommersi	sommerso
sommuovere	sommossi	sommosso
sopprimere	soppressi	soppresso
sopraggiungere	sopraggiunsi	sopraggiunto
soprammettere	soprammisi	soprammesso
sopravvivere	sopravvissi	sopravvissuto
soprintendere	soprintesi	soprinteso
sorgere	sorsi	sorto
sorprendere	sorpresi	sorpreso
sorreggere	sorressi	sorretto
sorridere	sorrisi	sorriso
sospendere	sospesi	sospeso
sospingere	sospinsi	sospinto
sottacere	sottacqui	sottaciuto
sottendere	sottesi	sotteso
sottintendere	sottintesi	sottinteso
sottomettere	sottomisi	sottomesso
sottoscrivere	sottoscrissi	sottoscritto
sovrintendere	sovrintesi	sovrinteso
spargere	sparsi	sparso
spegnere	spensi	spento
spendere	spesi	speso
spingere	spinsi	spinto
sporgere	sporsi	sporto
sprovvedere	sprovvidi	sprovveduto
stendere	stesi	steso
stingere	stinsi	stinto
storcere	storsi	storto
stravedere	stravidi	straveduto
stravincere	stravinsi	stravinto
stravolgere	stravolsi	stravolto
stringere	strinsi	stretto
struggere	strussi	strutto
suadere	suasi	suaso
succidere	succisi	succiso
succingere	succinsi	succinto
suddividere	suddivisi	suddiviso
suggere	sussi	sugguto
svellere	svelsi	svelto
svolgere	svolsi	svolto
teletrasmettere	teletrasmisi	teletrasmesso
tendere	tesi	teso
tergere	tersi	terso
tingere	tinsi	tinto
torcere	torsi	torto
trafiggere	trafissi	trafitto
trapungere	trapunsi	trapunto
trascendere	trascesi	trasceso
trascorrere	trascorsi	trascorso
trascrivere	trascrissi	trascritto
trasfondere	trasfusi	trasfuso
trasmettere	trasmisi	trasmesso
travedere	travidi	traveduto
travolgere	travolsi	travolto
uccidere	uccisi	ucciso
ungere	unsi	unto
vilipendere	vilipesi	vilipeso
vincere	vinsi	vinto
volgere	volsi	volto
aprire	-	aperto
assistere	-	assistito
assolvere	-	assolto
coesistere	-	coesistito
connettere	-	connesso
consistere	-	consistito
coprire	-	coperto
crescere	crebbi	cresciuto
cuocere	-	cotto
deflettere	-	deflesso
desistere	-	desistito
discoprire	-	discoperto
dissolvere	-	dissolto
esigere	-	esatto
esistere	-	esistito
flettere	-	flesso
insistere	-	insistito
licere	-	lecito
mescere	-	mesciuto
mettere	misi	messo
offrire	-	offerto
pascere	-	pasciuto
persistere	-	persistito
preesistere	-	preesistito
premorire	-	premorto
radioassistere	-	radioassistito
recere	-	reciuto
redigere	-	redatto
resistere	-	resistito
riannettere	-	riannesso
riapparire	-	riapparso
riaprire	-	riaperto
riconnettere	-	riconnesso
ricoprire	-	ricoperto
ricuocere	-	ricotto
riscoprire	-	riscoperto
risolvere	-	risolto
sconnettere	-	sconnesso
scoprire	-	scoperto
scuocere	-	scotto
secernere	-	secreto
soffrire	-	sofferto
stracuocere	-	stracotto
sussistere	-	sussistito
transigere	-	transatto
mergere	mersi	merso
molcere	molsi	-
collidere	collisi	colliso
stridere	-	striduto
piovere	piovvi	piovuto
elidere	elisi	eliso
eccellere	eccelsi	eccelso
