# Core Hindi irregular verbs, hand-supplied from the kaikki.org
# paradigm (linguistically correct where UniMorph hin mis-forms the
# perfective). Columns match data/hin/verbs.tsv.
#
# lemma	pfv(m.sg,m.pl,f)	subj(1sg,2sg,3sg,1pl,2pl,3pl)	imp(intim,famil,polite)
होना	हुआ,हुए,हुई	होऊं,होए,होए,होएं,होओ,होएं	हो,होओ,होइए
जाना	गया,गए,गई	-	जा,जाओ,जाइए
करना	किया,किए,की	-	कर,करो,कीजिए
देना	दिया,दिए,दी	दूं,दे,दे,दें,दो,दें	दे,दो,दीजिए
लेना	लिया,लिए,ली	लूं,ले,ले,लें,लो,लें	ले,लो,लीजिए
पीना	पिया,पिए,पी	पिऊं,पिए,पिए,पिएं,पियो,पिएं	पी,पियो,पीजिए
जीना	जिया,जिए,जी	जिऊं,जिए,जिए,जिएं,जियो,जिएं	जी,जियो,जीजिए
सीना	सिया,सिए,सी	सिऊं,सिए,सिए,सिएं,सियो,सिएं	सी,सियो,सीजिए
