# lemma	past	past-participle	present-participle	third-singular ("-" = derive)
outgrin	outgrinned	outgrinned	outgrinning	-
outgrow	outgrew	outgrown	-	-
outgun	outgunned	outgunned	outgunning	-
outhear	outheard	outheard	-	-
outhit	outhit	outhit	outhitting	-
outjut	outjutted	outjutted	outjutting	-
outkeep	outkept	outkept	-	-
outlay	outlaid	outlaid	-	-
outlead	outled	outled	-	-
outlie	-	outlain	-	-
outman	outmanned	outmanned	outmanning	-
outplan	outplanned	outplanned	outplanning	-
outplod	outplodded	outplodded	outplodding	-
outplot	outplotted	outplotted	outplotting	-
output	output	output	outputting	-
outrange	-	-	outranging	-
outread	outread	outread	-	-
outred	outredded	outredded	outredding	-
outride	outrode	outridden	-	-
outrig	outrigged	outrigged	outrigging	-
outring	-	outrung	-	-
outrun	outran	outrun	outrunning	-
outsay	outsaid	outsaid	-	-
outsee	outsaw	outseen	-	-
outsell	outsold	outsold	-	-
outset	outset	outset	outsetting	-
outshoot	outshot	outshot	-	-
outsin	outsinned	outsinned	outsinning	-
outsing	outsang	outsung	-	-
outsit	outsat	outsat	outsitting	-
outsleep	outslept	outslept	-	-
outspan	outspanned	outspanned	outspanning	-
outspeak	outspoke	outspoken	-	-
outspend	outspent	outspent	-	-
outspread	outspread	outspread	-	-
outspring	-	outsprung	-	-
outstand	outstood	outstood	-	-
outstep	outstepped	outstepped	outstepping	-
outstrike	outstruck	outstruck	-	-
outstrip	outstripped	outstripped	outstripping	-
outsum	outsummed	outsummed	outsumming	-
outswear	outswore	outsworn	-	-
outsweep	outswept	outswept	-	-
outswim	outswam	outswum	outswimming	-
outswing	outswung	outswung	-	-
outtell	outtold	outtold	-	-
outthink	outthought	outthought	-	-
outthrob	outthrobbed	outthrobbed	outthrobbing	-
outthrow	outthrew	outthrown	-	-
outthrust	outthrust	outthrust	-	-
outtop	outtopped	outtopped	outtopping	-
outtravel	outtravelled	outtravelled	outtravelling	-
outtrot	outtrotted	outtrotted	outtrotting	-
outwar	outwarred	outwarred	outwarring	-
outwear	outwore	outworn	-	-
outweep	outwept	outwept	-	-
outwit	outwitted	outwitted	outwitting	-
outwrite	outwrote	outwritten	-	-
overarrange	-	-	overarranging	-
overbear	overbore	overborne	-	-
overbeat	overbeat	overbeaten	-	-
overbet	overbet	overbet	overbetting	-
overbid	overbid	overbid	overbidding	-
overblow	overblew	overblown	-	-
overbreed	overbred	overbred	-	-
overbrim	overbrimmed	overbrimmed	overbrimming	-
overbuild	overbuilt	overbuilt	-	-
overbuy	overbought	overbought	-	-
overcatch	overcaught	overcaught	-	-
overcome	overcame	overcome	-	-
overcommit	overcommitted	overcommitted	overcommitting	-
overcontrol	overcontrolled	overcontrolled	overcontrolling	-
overcram	overcrammed	overcrammed	overcramming	-
overcrop	overcropped	overcropped	overcropping	-
overcut	overcut	overcut	overcutting	-
overdo	overdid	overdone	-	-
overdraw	overdrew	overdrawn	-	-
overdrink	overdrank	overdrunk	-	-
overdrive	overdrove	overdriven	-	-
overdub	overdubbed	overdubbed	overdubbing	-
overeat	overate	overeaten	-	-
overfall	overfell	overfallen	-	-
overfeed	overfed	overfed	-	-
overfly	overflew	overflown	-	-
overget	overgot	overgot	overgetting	-
overgrow	overgrew	overgrown	-	-
overhang	overhung	overhung	-	-
overhear	overheard	overheard	-	-
overhit	overhit	overhit	overhitting	-
overhold	overheld	overheld	-	-
overkeep	overkept	overkept	-	-
overlap	overlapped	overlapped	overlapping	-
overlay	overlaid	overlaid	-	-
overlend	overlent	overlent	-	-
overlet	overlet	overlet	overletting	-
overlie	overlay	overlain	-	-
overman	overmanned	overmanned	overmanning	-
overnet	overnetted	overnetted	overnetting	-
overpay	overpaid	overpaid	-	-
overplan	overplanned	overplanned	overplanning	-
overplot	overplotted	overplotted	overplotting	-
overread	overread	overread	-	-
override	overrode	overridden	-	-
overrun	overran	overrun	overrunning	-
oversee	oversaw	overseen	-	-
oversell	oversold	oversold	-	-
overset	overset	overset	oversetting	-
overshoot	overshot	overshot	-	-
overskip	overskipped	overskipped	overskipping	-
oversleep	overslept	overslept	-	-
overslip	overslipped	overslipped	overslipping	-
oversow	-	oversown	-	-
overspend	overspent	overspent	-	-
overspin	overspun	overspun	overspinning	-
overspread	overspread	overspread	-	-
overstand	overstood	overstood	-	-
overstep	overstepped	overstepped	overstepping	-
overstir	overstirred	overstirred	overstirring	-
overstrike	overstruck	overstruck	-	-
oversup	oversupped	oversupped	oversupping	-
overswim	overswam	overswum	overswimming	-
overswing	overswung	overswung	-	-
overtake	overtook	overtaken	-	-
overthink	overthought	overthought	-	-
overthrow	overthrew	overthrown	-	-
overtip	overtipped	overtipped	overtipping	-
overtop	overtopped	overtopped	overtopping	-
overtrim	overtrimmed	overtrimmed	overtrimming	-
overwear	overwore	overworn	-	-
overwet	overwet	overwet	overwetting	-
overwrite	overwrote	overwritten	-	-
pad	padded	padded	padding	-
pal	palled	palled	palling	-
pan	panned	panned	panning	-
panic	panicked	panicked	panicking	-
pap	papped	papped	papping	-
par	parred	parred	parring	-
paradrop	paradropped	paradropped	paradropping	-
parget	pargetted	pargetted	pargetting	-
parleyvoo	-	-	-	parleyvoos
partake	partook	partaken	-	-
pas	passed	passed	passing	-
pat	patted	patted	patting	-
patrol	patrolled	patrolled	patrolling	-
pec	pecked	pecked	pecking	-
pech	-	-	-	pechs
peg	pegged	pegged	pegging	-
pen	penned	penned	penning	-
pep	pepped	pepped	pepping	-
periwig	periwigged	periwigged	periwigging	-
permit	permitted	permitted	permitting	-
perstringe	-	-	perstringing	-
pet	petted	petted	petting	-
petnap	petnapped	petnapped	petnapping	-
petrol	petrolled	petrolled	petrolling	-
pettifog	pettifogged	pettifogged	pettifogging	-
phial	phialled	phialled	phialling	-
photo	-	-	-	photos
photomap	photomapped	photomapped	photomapping	-
photoset	photoset	photoset	photosetting	-
photostat	photostatted	photostatted	photostatting	-
physic	physicked	physicked	physicking	-
pi	-	-	-	pies
pic	picked	picked	picking	-
picnic	picnicked	picnicked	picnicking	-
pie	-	-	pieing	-
pig	pigged	pigged	pigging	-
pin	pinned	pinned	pinning	-
pip	pipped	pipped	pipping	-
pipet	pipetted	pipetted	pipetting	-
pis	pissed	pissed	pissing	pisses
pit	pitted	pitted	pitting	-
pitapat	pitapatted	pitapatted	pitapatting	-
plan	planned	planned	planning	-
plap	plapped	plapped	plapping	-
plat	platted	platted	platting	-
pleuch	-	-	-	pleuchs
plim	plimmed	plimmed	plimming	-
plod	plodded	plodded	plodding	-
plop	plopped	plopped	plopping	-
plot	plotted	plotted	plotting	-
plug	plugged	plugged	plugging	-
plunge	-	-	plunging	-
plus	plussed	plussed	plussing	-
pod	podded	podded	podding	-
pogo	-	-	-	pogos
politic	politicked	politicked	politicking	-
pop	popped	popped	popping	-
posses	possessed	possessed	possessing	possesses
postil	postilled	postilled	postilling	-
pot	potted	potted	potting	-
preadmit	preadmitted	preadmitted	preadmitting	-
preallot	preallotted	preallotted	preallotting	-
prearrange	-	-	prearranging	-
preaver	preaverred	preaverred	preaverring	-
prebid	prebid	prebid	prebidding	-
prebind	prebound	prebound	-	-
prebuild	prebuilt	prebuilt	-	-
prebuy	prebought	prebought	-	-
precast	precast	precast	-	-
prechoose	prechose	prechosen	-	-
precut	precut	precut	precutting	-
prefab	prefabbed	prefabbed	prefabbing	-
prefer	preferred	preferred	preferring	-
preformat	preformatted	preformatted	preformatting	-
prefreeze	prefroze	prefrozen	-	-
prep	prepped	prepped	prepping	-
prepay	prepaid	prepaid	-	-
preplan	preplanned	preplanned	preplanning	-
pres	pressed	pressed	pressing	-
presell	presold	presold	-	-
preset	preset	preset	presetting	-
preship	preshipped	preshipped	preshipping	-
preshrink	preshrank	preshrunk	-	-
pretell	pretold	pretold	-	-
pretermit	pretermitted	pretermitted	pretermitting	-
pretrim	pretrimmed	pretrimmed	pretrimming	-
prewrap	prewrapped	prewrapped	prewrapping	-
prig	prigged	prigged	prigging	-
prim	primmed	primmed	primming	-
prod	prodded	prodded	prodding	-
prog	progged	progged	progging	-
prolonge	-	-	prolonging	-
proofread	proofread	proofread	-	-
prop	propped	propped	propping	-
propel	propelled	propelled	propelling	-
pub	pubbed	pubbed	pubbing	-
pug	pugged	pugged	pugging	-
pun	punned	punned	punning	-
pup	pupped	pupped	pupping	-
pur	purred	purred	purring	-
put	put	put	putting	-
quad	quadded	quadded	quadding	-
quickstep	quickstepped	quickstepped	quickstepping	-
quip	quipped	quipped	quipping	-
quit	quit	quit	quitting	-
quiz	quizzed	quizzed	quizzing	quizzes
quod	quodded	quodded	quodding	-
quop	quopped	quopped	quopping	-
rabat	rabatted	rabatted	rabatting	-
rad	radded	radded	radding	-
radio	-	-	-	radios
rag	ragged	ragged	ragging	-
ram	rammed	rammed	ramming	-
ramrod	ramrodded	ramrodded	ramrodding	-
range	-	-	ranging	-
rap	rapped	rapped	rapping	-
rat	ratted	ratted	ratting	-
rataplan	rataplanned	rataplanned	rataplanning	-
read	read	read	-	-
readmit	readmitted	readmitted	readmitting	-
reallot	reallotted	reallotted	reallotting	-
reapparel	reapparelled	reapparelled	reapparelling	-
rearise	rearose	rearisen	-	-
rearrange	-	-	rearranging	-
rebegin	rebegan	rebegun	rebeginning	-
rebel	rebelled	rebelled	rebelling	-
rebid	rebid	rebid	rebidding	-
rebind	rebound	rebound	-	-
rebite	rebit	-	-	-
rebreed	rebred	rebred	-	-
rebut	rebutted	rebutted	rebutting	-
rebuy	rebought	rebought	-	-
recap	recapped	recapped	recapping	-
recast	recast	recast	-	-
recatch	recaught	recaught	-	-
recce	-	-	recceing	-
rechallenge	-	-	rechallenging	-
rechange	-	-	rechanging	-
rechoose	rechose	rechosen	-	-
recommit	recommitted	recommitted	recommitting	-
recon	reconned	reconned	reconning	-
recur	recurred	recurred	recurring	-
recut	recut	recut	recutting	-
red	redded	redded	redding	-
redeal	redealt	redealt	-	-
redip	redipped	redipped	redipping	-
redistil	redistilled	redistilled	redistilling	-
redo	redid	redone	-	-
redon	redonned	redonned	redonning	-
redraw	redrew	redrawn	-	-
redrive	redrove	redriven	-	-
redub	redubbed	redubbed	redubbing	-
reemit	reemitted	reemitted	reemitting	-
reequip	reequipped	reequipped	reequipping	-
reexpel	reexpelled	reexpelled	reexpelling	-
ref	reffed	reffed	reffing	-
refall	refell	refallen	-	-
refeed	refed	refed	-	-
refeel	refelt	refelt	-	-
refel	refelled	refelled	refelling	-
refer	referred	referred	referring	-
refight	refought	refought	-	-
refind	refound	refound	-	-
refit	refit	refit	refitting	-
reflag	reflagged	reflagged	reflagging	-
refly	reflew	reflown	-	-
reformat	reformatted	reformatted	reformatting	-
refreeze	refroze	refrozen	-	-
refringe	-	-	refringing	-
regive	regave	regiven	-	-
regret	regretted	regretted	regretting	-
regrind	reground	reground	-	-
regrow	regrew	regrown	-	-
rehab	rehabbed	rehabbed	rehabbing	-
rehear	reheard	reheard	-	-
rehem	rehemmed	rehemmed	rehemming	-
rehinge	-	-	rehinging	-
reincur	reincurred	reincurred	reincurring	-
reinter	reinterred	reinterred	reinterring	-
rejig	rejigged	rejigged	rejigging	-
reknit	reknitted	reknitted	reknitting	-
reknot	reknotted	reknotted	reknotting	-
relend	relent	relent	-	-
relet	relet	relet	reletting	-
remake	remade	remade	-	-
reman	remanned	remanned	remanning	-
remap	remapped	remapped	remapping	-
remeet	remet	remet	-	-
remit	remitted	remitted	remitting	-
renig	renigged	renigged	renigging	-
reoccur	reoccurred	reoccurred	reoccurring	-
reoutfit	reoutfitted	reoutfitted	reoutfitting	-
repay	repaid	repaid	-	-
repeg	repegged	repegged	repegging	-
repel	repelled	repelled	repelling	-
repin	repinned	repinned	repinning	-
replan	replanned	replanned	replanning	-
replot	replotted	replotted	replotting	-
replunge	-	-	replunging	-
repot	repotted	repotted	repotting	-
reread	reread	reread	-	-
rerig	rerigged	rerigged	rerigging	-
rerise	rerose	rerisen	-	-
rerun	reran	rerun	rerunning	-
resay	resaid	resaid	-	-
resee	-	reseen	-	-
reseek	resought	resought	-	-
resell	resold	resold	-	-
resend	resent	resent	-	-
reset	reset	reset	resetting	-
reship	reshipped	reshipped	reshipping	-
reshoe	reshod	reshod	-	-
reshoot	reshot	reshot	-	-
resit	resat	resat	resitting	-
resod	resodded	resodded	resodding	-
respeak	respoke	respoken	-	-
resplit	resplit	resplit	resplitting	-
respot	respotted	respotted	respotting	-
respread	respread	respread	-	-
respring	resprang	resprung	-	-
restrike	restruck	restricken	-	-
restringe	-	-	restringing	-
restrive	restrove	restriven	-	-
resubmit	resubmitted	resubmitted	resubmitting	-
ret	retted	retted	retting	-
retag	retagged	retagged	retagging	-
retake	retook	retaken	-	-
reteach	retaught	retaught	-	-
retear	-	retorn	-	-
retell	retold	retold	-	-
rethink	rethought	rethought	-	-
retransfer	retransferred	retransferred	retransferring	-
retransmit	retransmitted	retransmitted	retransmitting	-
retread	-	retrodden	-	-
retrim	retrimmed	retrimmed	retrimming	-
retrofit	retrofitted	retrofitted	retrofitting	-
rev	revved	revved	revving	-
revenge	-	-	revenging	-
revet	revetted	revetted	revetting	-
rewake	rewoke	rewaked	-	-
rewed	rewed	rewed	rewedding	-
rewet	rewet	rewet	rewetting	-
rewin	rewon	rewon	rewinning	-
rewrap	rewrapped	rewrapped	rewrapping	-
rewrite	rewrote	rewritten	-	-
rib	ribbed	ribbed	ribbing	-
rid	rid	rid	ridding	-
ride	rode	ridden	-	-
rif	riffed	riffed	riffing	-
rig	rigged	rigged	rigging	-
rim	rimmed	rimmed	rimming	-
ring	-	rung	-	-
rip	ripped	ripped	ripping	-
riprap	riprapped	riprapped	riprapping	-
rise	rose	risen	-	-
rit	ritted	ritted	ritting	-
rivel	rivelled	rivelled	rivelling	-
rob	robbed	robbed	robbing	-
roc	rocked	rocked	rocking	-
rod	rodded	rodded	rodding	-
rodeo	-	-	-	rodeos
roneo	-	-	-	roneos
roset	rosetted	rosetted	rosetting	-
rot	rotted	rotted	rotting	-
roughcast	roughcast	roughcast	-	-
rub	rubbed	rubbed	rubbing	-
ruc	rucked	rucked	rucking	-
rug	rugged	rugged	rugging	-
rumpus	rumpussed	rumpussed	-	-
run	ran	run	running	-
russet	-	-	russetting	-
rut	rutted	rutted	rutting	-
sab	sabbed	sabbed	sabbing	-
sabe	-	-	sabeing	-
sac	sacked	sacked	sacking	-
sad	sadded	sadded	sadding	-
sag	sagged	sagged	sagging	-
salto	-	-	-	saltos
sandbag	sandbagged	sandbagged	sandbagging	-
sap	sapped	sapped	sapping	-
sar	sarred	sarred	sarring	-
say	said	said	-	-
scab	scabbed	scabbed	scabbing	-
scag	scagged	scagged	scagging	-
scam	scammed	scammed	scamming	-
scan	scanned	scanned	scanning	-
scar	scarred	scarred	scarring	-
scat	scatted	scatted	scatting	-
scavenge	-	-	scavenging	-
schlep	schlepped	schlepped	schlepping	-
sclim	sclimmed	sclimmed	sclimming	-
scog	scogged	scogged	scogging	-
scrab	scrabbed	scrabbed	scrabbing	-
scrag	scragged	scragged	scragging	-
scraich	-	-	-	scraichs
scram	scrammed	scrammed	scramming	-
scrap	scrapped	scrapped	scrapping	-
scrat	scratted	scratted	scratting	-
scrauch	-	-	-	scrauchs
screich	-	-	-	screichs
scrog	scrogged	scrogged	scrogging	-
scrounge	-	-	scrounging	-
scrub	scrubbed	scrubbed	scrubbing	-
scrum	scrummed	scrummed	scrumming	-
scud	scudded	scudded	scudding	-
scug	scugged	scugged	scugging	-
scul	sculled	sculled	sculling	-
scum	scummed	scummed	scumming	-
scur	scurred	scurred	scurring	-
see	saw	seen	-	-
seek	sought	sought	-	-
sell	sold	sold	-	-
send	sent	sent	-	-
sepad	sepadded	sepadded	sepadding	-
ser	serred	serred	serring	-
servo	-	-	-	servos
set	set	set	setting	-
shag	shagged	shagged	shagging	-
shake	shook	shaken	-	-
sham	shammed	shammed	shamming	-
shampoo	-	-	-	shampoos
sharecrop	sharecropped	sharecropped	sharecropping	-
sharpshoot	sharpshot	sharpshot	-	-
shed	shed	shed	shedding	-
shellac	shellacked	shellacked	shellacking	-
sheuch	-	-	-	sheuchs
shew	-	shewn	-	-
shikar	shikarred	shikarred	shikarring	-
shim	shimmed	shimmed	shimming	-
shin	shinned	shinned	shinning	-
ship	shipped	shipped	shipping	-
shiplap	shiplapped	shiplapped	shiplapping	-
shit	shat	shat	shitting	-
shiv	shivved	shivved	shivving	-
shlep	shlepped	shlepped	shlepping	-
shog	shogged	shogged	shogging	-
shoo	-	-	-	shoos
shoot	shot	shot	-	-
shop	shopped	shopped	shopping	-
shortchange	-	-	shortchanging	-
shortcut	shortcut	shortcut	shortcutting	-
shot	shotted	shotted	shotting	-
shotgun	shotgunned	shotgunned	shotgunning	-
shred	shredded	shred	shredding	-
shrink	shrank	shrunk	-	-
shrinkwrap	shrinkwrapped	shrinkwrapped	shrinkwrapping	-
shrub	shrubbed	shrubbed	shrubbing	-
shrug	shrugged	shrugged	shrugging	-
shtup	shtupped	shtupped	shtupping	-
shun	shunned	shunned	shunning	-
shut	shut	shut	shutting	-
sic	sicced	sicced	siccing	-
sideslip	sideslipped	sideslipped	sideslipping	-
sidestep	sidestepped	sidestepped	sidestepping	-
sightread	sightread	sightread	-	-
sightsee	sightsaw	sightseen	-	-
silo	-	-	-	silos
simulcast	simulcast	simulcast	-	-
sin	sinned	sinned	sinning	-
sing	sang	sung	-	-
sink	sank	sunk	-	-
sip	sipped	sipped	sipping	-
sir	sirred	sirred	sirring	-
sit	sat	sat	sitting	-
sjambok	sjambokked	sjambokked	sjambokking	-
skelloch	-	-	-	skellochs
skep	skepped	skepped	skepping	-
sker	skerred	skerred	skerring	-
skid	skidded	skidded	skidding	-
skiddoo	-	-	-	skiddoos
skidoo	-	-	-	skidoos
skim	skimmed	skimmed	skimming	-
skin	skinned	skinned	skinning	-
skip	skipped	skipped	skipping	-
skywrite	skywrote	skywritten	-	-
slab	slabbed	slabbed	slabbing	-
slag	slagged	slagged	slagging	-
slam	slammed	slammed	slamming	-
slap	slapped	slapped	slapping	-
slat	slatted	slatted	slatting	-
slay	slew	slain	-	-
sled	sledded	sledded	sledding	-
sleep	slept	slept	-	-
slide	slid	slid	-	-
slim	slimmed	slimmed	slimming	-
sling	slung	slung	-	-
slip	slipped	slipped	slipping	-
slit	slit	slit	slitting	-
slog	slogged	slogged	slogging	-
slop	slopped	slopped	slopping	-
slot	slotted	slotted	slotting	-
slub	slubbed	slubbed	slubbing	-
slug	slugged	slugged	slugging	-
slum	slummed	slummed	slumming	-
slur	slurred	slurred	slurring	-
smir	smirred	smirred	smirring	-
smite	smote	smitten	-	-
smug	smugged	smugged	smugging	-
smur	smurred	smurred	smurring	-
smut	smutted	smutted	smutting	-
snag	snagged	snagged	snagging	-
snap	snapped	snapped	snapping	-
snapshot	snapshotted	snapshotted	snapshotting	-
sneb	snebbed	snebbed	snebbing	-
sned	snedded	snedded	snedding	-
snib	snibbed	snibbed	snibbing	-
snig	snigged	snigged	snigging	-
snip	snipped	snipped	snipping	-
snod	snodded	snodded	snodding	-
snog	snogged	snogged	snogging	-
snot	snotted	snotted	snotting	-
snub	snubbed	snubbed	snubbing	-
snug	snugged	snugged	snugging	-
sob	sobbed	sobbed	sobbing	-
soc	socked	socked	socking	-
sod	sodded	sodded	sodding	-
sog	sogged	sogged	sogging	-
solo	-	-	-	solos
soogie	-	-	soogieing	-
soothsay	soothsaid	soothsaid	-	-
sop	sopped	sopped	sopping	-
sortie	-	-	sortieing	-
sos	sossed	sossed	sossing	sosses
spae	-	-	spaeing	-
spam	spammed	spammed	spamming	-
span	spanned	spanned	spanning	-
spaniel	spanielled	spanielled	spanielling	-
spar	sparred	sparred	sparring	-
sparkplug	sparkplugged	sparkplugged	sparkplugging	-
spat	spatted	spatted	spatting	-
speak	spoke	-	-	-
spec	spec'd	spec'd	spec'ing	-
spellbind	spellbound	spellbound	-	-
spend	spent	spent	-	-
spiderweb	spiderwebbed	spiderwebbed	spiderwebbing	-
spin	spun	spun	spinning	-
spit	spat	spat	spitting	-
splat	splatted	splatted	splatting	-
split	split	split	splitting	-
sponge	-	-	sponging	-
spoonfeed	spoonfed	spoonfed	-	-
sportscast	sportscast	sportscast	-	-
spot	spotted	spotted	spotting	-
sprag	spragged	spragged	spragging	-
spread	spread	spread	-	-
sprig	sprigged	sprigged	sprigging	-
spring	sprang	sprung	-	-
spud	spudded	spudded	spudding	-
spuilzie	-	-	spuilzieing	-
spulyie	-	-	spulyieing	-
spur	spurred	spurred	spurring	-
squab	squabbed	squabbed	squabbing	-
squad	squadded	squadded	squadding	-
squat	squatted	squatted	squatting	-
squeg	squegged	squegged	squegging	-
squib	squibbed	squibbed	squibbing	-
squid	squidded	squidded	squidding	-
stab	stabbed	stabbed	stabbing	-
stag	stagged	stagged	stagging	-
stanchel	stanchelled	stanchelled	stanchelling	-
stand	stood	stood	-	-
stap	stapped	stapped	stapping	-
star	starred	starred	starring	-
steal	stole	stolen	-	-
stem	stemmed	stemmed	stemming	-
sten	stenned	stenned	stenning	-
step	stepped	stepped	stepping	-
stereo	-	-	-	stereos
stet	stetted	stetted	stetting	-
stick	stuck	stuck	-	-
sting	stung	stung	-	-
stink	stank	stunk	-	-
stir	stirred	stirred	stirring	-
stob	stobbed	stobbed	stobbing	-
stocktake	stocktaken	stocktaken	-	-
stomach	-	-	-	stomachs
stop	stopped	stopped	stopping	-
stot	stotted	stotted	stotting	-
strap	strapped	strapped	strapping	-
straphang	straphung	straphung	-	-
strid	strid	strid	-	-
stride	strode	stridden	-	-
strig	strigged	strigged	strigging	-
strike	struck	-	-	-
string	strung	strung	-	-
strip	stripped	stripped	stripping	-
strop	stropped	stropped	stropping	-
strum	strummed	strummed	strumming	-
strut	strutted	strutted	strutting	-
stub	stubbed	stubbed	stubbing	-
stud	studded	studded	studding	-
stum	stummed	stummed	stumming	-
stun	stunned	stunned	stunning	-
stye	-	-	stying	-
sub	subbed	subbed	subbing	-
subbreed	subbred	subbred	-	-
sublet	sublet	sublet	subletting	-
submit	submitted	submitted	submitting	-
succus	succussed	succussed	succussing	succusses
sulfuret	sulfuretted	sulfuretted	sulfuretting	-
sum	summed	summed	summing	-
summerset	summersetted	summersetted	summersetting	-
sun	sunned	sunned	sunning	-
sunset	-	-	sunsetting	-
suntan	suntanned	suntanned	suntanning	-
sup	supped	supped	supping	-
superlie	-	superlain	-	-
surrebut	surrebutted	surrebutted	surrebutting	-
surveil	surveilled	surveilled	surveilling	-
sus	sussed	sussed	sussing	susses
swab	swabbed	swabbed	swabbing	-
swag	swagged	swagged	swagging	-
swan	swanned	swanned	swanning	-
swap	swapped	swapped	swapping	-
swat	swatted	swatted	swatting	-
swear	swore	sworn	-	-
sweep	swept	swept	-	-
swell	-	swollen	-	-
swig	swigged	swigged	swigging	-
swim	swam	swum	swimming	-
swing	swung	swung	-	-
swiver	swiverred	swiverred	swiverring	-
swob	swobbed	swobbed	swobbing	-
swop	swopped	swopped	swopping	-
swot	swotted	swotted	swotting	-
synch	-	-	-	synchs
syringe	-	-	syringing	-
tab	tabbed	tabbed	tabbing	-
taboo	-	-	-	taboos
tag	tagged	tagged	tagging	-
take	took	taken	-	-
tallyho	-	-	-	tallyhos
tan	tanned	tanned	tanning	-
tap	tapped	tapped	tapping	-
tar	tarred	tarred	tarring	-
tarmac	tarmacked	tarmacked	tarmacking	-
tat	tatted	tatted	tatting	-
tattoo	-	-	-	tattoos
teach	taught	taught	-	-
tear	-	torn	-	-
teargas	teargassed	teargassed	teargassing	-
ted	tedded	tedded	tedding	-
telegram	telegrammed	telegrammed	telegramming	-
tell	told	told	-	-
telnet	telnetted	telnetted	telnetting	-
thimblerig	thimblerigged	thimblerigged	thimblerigging	-
thin	thinned	thinned	thinning	-
think	thought	thought	-	-
throb	throbbed	throbbed	throbbing	-
throw	threw	thrown	-	-
thrum	thrummed	thrummed	thrumming	-
thud	thudded	thudded	thudding	-
thunderstrike	thunderstruck	thunderstricken	-	-
tictac	tictacked	tictacked	tictacking	-
tictoc	tictocked	tictocked	tictocking	-
tig	tigged	tigged	tigging	-
tin	tinned	tinned	tinning	-
tip	tipped	tipped	tipping	-
tit	titted	titted	titting	-
tog	togged	togged	togging	-
tom	tommed	tommed	tomming	-
tomcat	tomcatted	tomcatted	tomcatting	-
top	topped	topped	topping	-
tot	totted	totted	totting	-
traffic	trafficked	trafficked	trafficking	-
tram	trammed	trammed	tramming	-
transfer	transferred	transferred	transferring	-
tranship	transhipped	transhipped	transhipping	-
transmit	transmitted	transmitted	transmitting	-
transship	transshipped	transshipped	transshipping	-
trap	trapped	trapped	trapping	-
trapan	trapanned	trapanned	trapanning	-
tread	trod	trod	-	-
trek	trekked	trekked	trekking	-
trepan	trepanned	trepanned	trepanning	-
tres	tressed	tressed	tressing	tresses
trial	trialled	trialled	trialling	-
trig	trigged	trigged	trigging	-
trim	trimmed	trimmed	trimming	-
trip	tripped	tripped	tripping	-
trog	trogged	trogged	trogging	-
tron	tronned	tronned	tronning	-
trot	trotted	trotted	trotting	-
troubleshoot	troubleshot	troubleshot	-	-
tub	tubbed	tubbed	tubbing	-
tug	tugged	tugged	tugging	-
tun	tunned	tunned	tunning	-
tup	tupped	tupped	tupping	-
tut	tutted	tutted	tutting	-
twig	twigged	twigged	twigging	-
twin	twinned	twinned	twinning	-
twit	twitted	twitted	twitting	-
typecast	typecast	typecast	-	-
typeset	typeset	typeset	typesetting	-
typewrite	typewrote	typewritten	-	-
unbag	unbagged	unbagged	unbagging	-
unban	unbanned	unbanned	unbanning	-
unbar	unbarred	unbarred	unbarring	-
unbear	-	unborne	-	-
unbed	unbedded	unbedded	unbedding	-
unbeget	unbegot	-	unbegetting	-
unbespeak	unbespoke	unbespoken	-	-
unbind	unbound	unbound	-	-
unbuild	unbuilt	unbuilt	-	-
uncap	uncapped	uncapped	uncapping	-
uncharnel	uncharnelled	uncharnelled	uncharnelling	-
unclip	unclipped	unclipped	unclipping	-
unclog	unclogged	unclogged	unclogging	-
undam	undammed	undammed	undamming	-
underbid	underbid	underbid	underbidding	-
underbite	underbit	underbitten	-	-
underbud	underbudded	underbudded	underbudding	-
underbuild	underbuilt	underbuilt	-	-
underbuy	underbought	underbought	-	-
underclub	underclubbed	underclubbed	underclubbing	-
undercut	undercut	undercut	undercutting	-
underdraw	underdrew	underdrawn	-	-
undereat	underate	undereaten	-	-
underfeed	underfed	underfed	-	-
undergo	underwent	undergone	-	-
undergrow	-	undergrown	-	-
underlap	underlapped	underlapped	underlapping	-
underlay	underlaid	underlaid	-	-
underlet	underlet	underlet	underletting	-
underlie	underlay	underlain	-	-
underman	undermanned	undermanned	undermanning	-
underpay	underpaid	underpaid	-	-
underpin	underpinned	underpinned	underpinning	-
underprop	underpropped	underpropped	underpropping	-
underrun	underran	underrun	underrunning	-
undersell	undersold	undersold	-	-
underset	underset	underset	undersetting	-
undershoot	undershot	undershot	-	-
underspend	underspent	underspent	-	-
understand	understood	understood	-	-
undertake	undertook	undertaken	-	-
underthrust	underthrust	underthrust	-	-
underwrite	underwrote	underwritten	-	-
undo	undid	undone	-	-
undraw	undrew	undrawn	-	-
unfit	unfitted	unfitted	unfitting	-
unfreeze	unfroze	unfrozen	-	-
ungag	ungagged	ungagged	ungagging	-
unget	ungot	ungot	ungetting	-
ungod	ungodded	ungodded	ungodding	-
ungum	ungummed	ungummed	ungumming	-
unhat	unhatted	unhatted	unhatting	-
unhinge	-	-	unhinging	-
unjam	unjammed	unjammed	unjamming	-
unknit	unknitted	unknitted	unknitting	-
unknot	unknotted	unknotted	unknotting	-
unlay	unlaid	unlaid	-	-
unlid	unlidded	unlidded	unlidding	-
unmake	unmade	unmade	-	-
unman	unmanned	unmanned	unmanning	-
unpanel	unpanelled	unpanelled	unpanelling	-
