# lemma	past	past-participle	present-participle	third-singular ("-" = derive)
decontrol	decontrolled	decontrolled	decontrolling	-
decrescendo	-	-	-	decrescendos
deepfreeze	deepfroze	deepfrozen	-	-
defat	defatted	defatted	defatting	-
defer	deferred	deferred	deferring	-
defocus	defocussed	defocussed	defocussing	-
defog	defogged	defogged	defogging	-
defrag	defragged	defragged	defragging	-
defreeze	defroze	defrozen	-	-
degas	degassed	degassed	degassing	-
degum	degummed	degummed	degumming	-
dekko	-	-	-	dekkos
dele	-	-	deleing	-
deman	demanned	demanned	demanning	-
demit	demitted	demitted	demitting	-
demo	-	-	-	demos
demob	demobbed	demobbed	demobbing	-
demur	demurred	demurred	demurring	-
den	denned	denned	denning	-
derange	-	-	deranging	-
derat	deratted	deratted	deratting	-
derib	deribbed	deribbed	deribbing	-
derig	derigged	derigged	derigging	-
deter	deterred	deterred	deterring	-
dib	dibbed	dibbed	dibbing	-
dif	diffed	diffed	diffing	-
dig	dug	dug	digging	-
dim	dimmed	dimmed	dimming	-
din	dinned	dinned	dinning	-
dip	dipped	dipped	dipping	-
dipnet	dipnetted	dipnetted	dipnetting	-
dis	dissed	dissed	dissing	disses
disannul	disannulled	disannulled	disannulling	-
disarrange	-	-	disarranging	-
disbar	disbarred	disbarred	disbarring	-
disbud	disbudded	disbudded	disbudding	-
disco	-	-	-	discos
discus	discussed	discussed	discussing	-
disenthral	disenthralled	disenthralled	disenthralling	-
disinter	disinterred	disinterred	disinterring	-
disman	dismanned	dismanned	dismanning	-
dispel	dispelled	dispelled	dispelling	-
disponge	-	-	disponging	-
dispunge	-	-	dispunging	-
distil	distilled	distilled	distilling	-
ditto	-	-	-	dittos
do	did	done	-	-
doc	docked	docked	docking	-
dod	dodded	dodded	dodding	-
dog	dogged	dogged	dogging	-
dogfight	dogfought	dogfought	-	-
dogleg	doglegged	doglegged	doglegging	-
dogsled	dogsledded	dogsledded	dogsledding	-
dogtrot	dogtrotted	dogtrotted	dogtrotting	-
don	donned	donned	donning	-
doorstep	doorstepped	doorstepped	doorstepping	-
dop	dopped	dopped	dopping	-
dos	dossed	dossed	dossing	-
dot	dotted	dotted	dotting	-
doughnut	doughnutted	doughnutted	doughnutting	-
drab	drabbed	drabbed	drabbing	-
drag	dragged	dragged	dragging	-
dram	drammed	drammed	dramming	-
drap	drapped	drapped	drapping	-
drat	dratted	dratted	dratting	-
draw	drew	drawn	-	-
drib	dribbed	dribbed	dribbing	-
drink	drank	drunk	-	-
drip	dripped	dripped	dripping	-
drive	drove	driven	-	-
drop	dropped	dropped	dropping	-
drub	drubbed	drubbed	drubbing	-
