# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
запозичити	запозичу	запозичиш	запозичить	запозичим	запозичите	запозичать	запозич	запозичмо	запозичте	запозичив	запозичила	запозичило	запозичили
заправити	заправлю	заправиш	заправить	заправим	заправите	заправлять	заправ	заправмо	заправте	заправив	заправила	заправило	заправили
запровадити	запроваджу	запровадиш	запровадить	запровадим	запровадите	запровадять	запровадь	запровадьмо	запровадьте	запровадив	запровадила	запровадило	запровадили
запхнути	запхну	запхнеш	запхне	запхнем	запхнете	запхнуть	запхни	запхнім	запхніть	запхнув	запхнула	запхнуло	запхнули
запізнюватися	запізнююсь	запізнюєшся	запізнюється	запізнюємось	запізнюєтесь	запізнюються	запізнюйсь	запізнюймось	запізнюйтесь	запізнювавсь	запізнювалась	запізнювалось	запізнювались
зареєструватися	зареєструюсь	зареєструєшся	зареєструється	зареєструємось	зареєструєтесь	зареєструються	зареєструйсь	зареєструймось	зареєструйтесь	зареєструвавсь	зареєструвалась	зареєструвалось	зареєструвались
зарозумітися	зарозуміюсь	зарозумієшся	зарозуміється	зарозуміємось	зарозумієтесь	зарозуміються	зарозумійсь	зарозуміймось	зарозумійтесь	зарозумівсь	зарозумілась	зарозумілось	зарозумілись
заручатися	заручаюсь	заручаєшся	заручається	заручаємось	заручаєтесь	заручаються	заручайсь	заручаймось	заручайтесь	заручавсь	заручалась	заручалось	заручались
засвоїти	засвою	засвоїш	засвоїть	засвоїм	засвоїте	засвоять	засвой	засвоймо	засвойте	засвоїв	засвоїла	засвоїло	засвоїли
засвідчити	засвідчу	засвідчиш	засвідчить	засвідчим	засвідчите	засвідчать	засвідч	засвідчмо	засвідчте	засвідчив	засвідчила	засвідчило	засвідчили
засвічуватися	засвічуюсь	засвічуєшся	засвічується	засвічуємось	засвічуєтесь	засвічуються	засвічуйсь	засвічуймось	засвічуйтесь	засвічувавсь	засвічувалась	засвічувалось	засвічувались
засекретити	засекречу	засекретиш	засекретить	засекретим	засекретите	засекретять	засекреть	засекретьмо	засекретьте	засекретив	засекретила	засекретило	засекретили
засмучуватися	засмучуюсь	засмучуєшся	засмучується	засмучуємось	засмучуєтесь	засмучуються	засмучуйсь	засмучуймось	засмучуйтесь	засмучувавсь	засмучувалась	засмучувалось	засмучувались
засміятися	засміюсь	засмієшся	засміється	засміємось	засмієтесь	засміються	засмійсь	засміймось	засмійтесь	засміявсь	засміялась	засміялось	засміялись
заснути	засну	заснеш	засне	заснем	заснете	заснуть	засни	заснім	засніть	заснув	заснула	заснуло	заснули
заспати	засплю	заспиш	заспить	заспим	заспите	засплять	заспи	заспім	заспіть	заспав	заспала	заспало	заспали
заспокоюватися	заспокоююсь	заспокоюєшся	заспокоюється	заспокоюємось	заспокоюєтесь	заспокоюються	заспокоюйсь	заспокоюймось	заспокоюйтесь	заспокоювавсь	заспокоювалась	заспокоювалось	заспокоювались
заспокоїти	заспокою	заспокоїш	заспокоїть	заспокоїм	заспокоїте	заспокоять	заспокой	заспокоймо	заспокойте	заспокоїв	заспокоїла	заспокоїло	заспокоїли
заспокоїтися	заспокоюсь	заспокоїшся	заспокоїться	заспокоїмось	заспокоїтесь	заспокояться	заспокойсь	заспокоймось	заспокойтесь	заспокоївсь	заспокоїлась	заспокоїлось	заспокоїлись
засрати	засеру	засереш	засере	засерем	засерете	засеруть	засери	засерім	засеріть	засрав	засрала	засрало	засрали
заставати	застаю	застаєш	застає	застаєм	застаєте	застають	заставай	заставаймо	заставайте	заставав	заставала	заставало	заставали
застаріти	застарію	застарієш	застаріє	застарієм	застарієте	застаріють	застарій	застаріймо	застарійте	застарів	застаріла	застаріло	застаріли
застати	застану	застанеш	застане	застанем	застанете	застануть	застань	застаньмо	застаньте	застав	застала	застало	застали
застерегти	застережу	застережеш	застереже	застережем	застережете	застережуть	застережи	застережім	застережіть	застеріг	застерегла	застерегло	застерегли
застигнути	застигну	застигнеш	застигне	застигнем	застигнете	застигнуть	застигни	застигнім	застигніть	застигнув	застигнула	застигнуло	застигнули
застогнати	застогну	застогнеш	застогне	застогнем	застогнете	застогнуть	застогни	застогнім	застогніть	застогнав	застогнала	застогнало	застогнали
застосовуватися	застосовуюсь	застосовуєшся	застосовується	застосовуємось	застосовуєтесь	застосовуються	застосовуйсь	застосовуймось	застосовуйтесь	застосовувавсь	застосовувалась	застосовувалось	застосовувались
застрягнути	застрягну	застрягнеш	застрягне	застрягнем	застрягнете	застрягнуть	застрягни	застрягнім	застрягніть	застрягнув	застрягнула	застрягнуло	застрягнули
застрягти	застрягну	застрягнеш	застрягне	застрягнем	застрягнете	застрягнуть	застрягни	застрягнім	застрягніть	застряг	застрягла	застрягло	застрягли
застуджуватися	застуджуюсь	застуджуєшся	застуджується	застуджуємось	застуджуєтесь	застуджуються	застуджуйсь	застуджуймось	застуджуйтесь	застуджувавсь	застуджувалась	застуджувалось	застуджувались
заступатися	заступаюсь	заступаєшся	заступається	заступаємось	заступаєтесь	заступаються	заступайсь	заступаймось	заступайтесь	заступавсь	заступалась	заступалось	заступались
засунути	засуну	засунеш	засуне	засунем	засунете	засунуть	засунь	засуньмо	засуньте	засунув	засунула	засунуло	засунули
заткнути	заткну	заткнеш	заткне	заткнем	заткнете	заткнуть	заткни	заткнім	заткніть	заткнув	заткнула	заткнуло	заткнули
заткнутися	заткнусь	заткнешся	заткнеться	заткнемось	заткнетесь	заткнуться	заткнись	заткнімось	заткніться	заткнувсь	заткнулась	заткнулось	заткнулись
затриматися	затримаюсь	затримаєшся	затримається	затримаємось	затримаєтесь	затримаються	затримайсь	затримаймось	затримайтесь	затримавсь	затрималась	затрималось	затримались
затримуватися	затримуюсь	затримуєшся	затримується	затримуємось	затримуєтесь	затримуються	затримуйсь	затримуймось	затримуйтесь	затримувавсь	затримувалась	затримувалось	затримувались
затьмарити	затьмарю	затьмариш	затьмарить	затьмарим	затьмарите	затьмарять	затьмар	затьмармо	затьмарте	затьмарив	затьмарила	затьмарило	затьмарили
затягнути	затягну	затягнеш	затягне	затягнем	затягнете	затягнуть	затягни	затягнім	затягніть	затягнув	затягнула	затягнуло	затягнули
затягти	затягну	затягнеш	затягне	затягнем	затягнете	затягнуть	затягни	затягнім	затягніть	затяг	затягла	затягло	затягли
зауважити	зауважу	зауважиш	зауважить	зауважим	зауважите	зауважать	зауваж	зауважмо	зауважте	зауважив	зауважила	зауважило	зауважили
захворіти	захворію	захворієш	захворіє	захворієм	захворієте	захворіють	захворій	захворіймо	захворійте	захворів	захворіла	захворіло	захворіли
захищатися	захищаюсь	захищаєшся	захищається	захищаємось	захищаєтесь	захищаються	захищайсь	захищаймось	захищайтесь	захищавсь	захищалась	захищалось	захищались
захлинатися	захлинаюсь	захлинаєшся	захлинається	захлинаємось	захлинаєтесь	захлинаються	захлинайсь	захлинаймось	захлинайтесь	захлинавсь	захлиналась	захлиналось	захлинались
захлинутися	захлинусь	захлинешся	захлинеться	захлинемось	захлинетесь	захлинуться	захлинись	захлинімось	захлиніться	захлинувсь	захлинулась	захлинулось	захлинулись
захоплюватися	захоплююсь	захоплюєшся	захоплюється	захоплюємось	захоплюєтесь	захоплюються	захоплюйсь	захоплюймось	захоплюйтесь	захоплювавсь	захоплювалась	захоплювалось	захоплювались
захотіти	захочу	захочеш	захоче	захочем	захочете	захочуть	захоти	захотім	захотіть	захотів	захотіла	захотіло	захотіли
захотітися	-	-	захочеться	-	-	-	-	-	-	-	-	захотілось	-
зацікавити	зацікавлю	зацікавиш	зацікавить	зацікавим	зацікавите	зацікавлять	зацікав	зацікавмо	зацікавте	зацікавив	зацікавила	зацікавило	зацікавили
зацікавитися	зацікавлюсь	зацікавишся	зацікавиться	зацікавимось	зацікавитесь	зацікавляться	зацікався	зацікавмось	зацікавтесь	зацікавивсь	зацікавилась	зацікавилось	зацікавились
зацікавлюватися	зацікавлююсь	зацікавлюєшся	зацікавлюється	зацікавлюємось	зацікавлюєтесь	зацікавлюються	зацікавлюйсь	зацікавлюймось	зацікавлюйтесь	зацікавлювавсь	зацікавлювалась	зацікавлювалось	зацікавлювались
заціліти	зацілію	зацілієш	заціліє	зацілієм	зацілієте	заціліють	зацілій	заціліймо	зацілійте	зацілів	заціліла	заціліло	заціліли
зачати	зачну	зачнеш	зачне	зачнем	зачнете	зачнуть	зачни	зачнім	зачніть	зачав	зачала	зачало	зачали
зачесати	зачешу	зачешеш	зачеше	зачешем	зачешете	зачешуть	зачеши	зачешім	зачешіть	зачесав	зачесала	зачесало	зачесали
зачинятися	зачиняюсь	зачиняєшся	зачиняється	зачиняємось	зачиняєтесь	зачиняються	зачиняйсь	зачиняймось	зачиняйтесь	зачинявсь	зачинялась	зачинялось	зачинялись
зашкодити	зашкоджу	зашкодиш	зашкодить	зашкодим	зашкодите	зашкодять	зашкодь	зашкодьмо	зашкодьте	зашкодив	зашкодила	зашкодило	зашкодили
збагнути	збагну	збагнеш	збагне	збагнем	збагнете	збагнуть	збагни	збагнім	збагніте	збагнув	збагнула	збагнуло	збагнули
збентежити	збентежу	збентежиш	збентежить	збентежим	збентежите	збентежать	збентеж	збентежмо	збентежте	збентежив	збентежила	збентежило	збентежили
зберегти	збережу	збережеш	збереже	збережем	збережете	збережуть	збережи	збережім	збережіть	зберіг	зберегла	зберегло	зберегли
зберегтися	збережусь	збережешся	збережеться	збережемось	збережетесь	збережуться	збережись	збережімось	збережіться	зберігся	збереглась	збереглось	збереглись
зберігатися	зберігаюсь	зберігаєшся	зберігається	зберігаємось	зберігаєтесь	зберігаються	зберігайсь	зберігаймось	зберігайтесь	зберігавсь	зберігалась	зберігалось	зберігались
збиратися	збираюсь	збираєшся	збирається	збираємось	збираєтесь	збираються	збирайсь	збираймось	збирайтесь	збиравсь	збиралась	збиралось	збирались
збити	зіб'ю	зіб'єш	зіб'є	зіб'єм	зіб'єте	зіб'ють	збий	збиймо	збийте	збив	збила	збило	збили
зблизити	зближу	зблизиш	зблизить	зблизим	зблизите	зблизять	зблизь	зблизьмо	зблизьте	зблизив	зблизила	зблизило	зблизили
збліднути	зблідну	збліднеш	зблідне	збліднем	збліднете	збліднуть	зблідни	збліднім	зблідніть	зблід	зблідла	зблідло	зблідли
збожеволіти	збожеволію	збожеволієш	збожеволіє	збожеволієм	збожеволієте	збожеволіють	збожеволій	збожеволіймо	збожеволійте	збожеволів	збожеволіла	збожеволіло	збожеволіли
збрехати	збрешу	збрешеш	збреше	збрешем	збрешете	збрешуть	збреши	збрешім	збрешіть	збрехав	збрехала	збрехало	збрехали
збігатися	збігаюсь	збігаєшся	збігається	збігаємось	збігаєтесь	збігаються	збігайсь	збігаймось	збігайтесь	збігавсь	збігалась	збігалось	збігались
збігтися	збіжусь	збіжишся	збіжиться	збіжимось	збіжитесь	збіжаться	збіжись	збіжімось	збіжіться	збігся	збіглась	збіглось	збіглись
збільшити	збільшу	збільшиш	збільшить	збільшим	збільшите	збільшать	збільш	збільшмо	збільште	збільшив	збільшила	збільшило	збільшили
збільшитися	збільшусь	збільшишся	збільшиться	збільшимось	збільшитесь	збільшаться	збільшся	збільшмось	збільштесь	збільшивсь	збільшилась	збільшилось	збільшились
збільшуватися	збільшуюсь	збільшуєшся	збільшується	збільшуємось	збільшуєтесь	збільшуються	збільшуйсь	збільшуймось	збільшуйтесь	збільшувавсь	збільшувалась	збільшувалось	збільшувались
зв'язати	зв'яжу	зв'яжеш	зв'яже	зв'яжем	зв'яжете	зв'яжуть	зв'яжи	зв'яжім	зв'яжіте	зв'язав	зв'язала	зв'язало	зв'язали
зв'язатися	зв'яжусь	зв'яжешся	зв'яжеться	зв'яжемось	зв'яжетесь	зв'яжуться	зв'яжись	зв'яжімось	зв'яжіться	зв'язавсь	зв'язалась	зв'язалось	зв'язались
зважатися	зважаюсь	зважаєшся	зважається	зважаємось	зважаєтесь	зважаються	зважайсь	зважаймось	зважайтесь	зважавсь	зважалась	зважалось	зважались
зважити	зважу	зважиш	зважить	зважим	зважите	зважать	зваж	зважмо	зважте	зважив	зважила	зважило	зважили
зважитися	зважусь	зважишся	зважиться	зважимось	зважитесь	зважаться	зважся	зважмось	зважтесь	зваживсь	зважилась	зважилось	зважились
звалюватися	звалююсь	звалюєшся	звалюється	звалюємось	звалюєтесь	звалюються	звалюйсь	звалюймось	звалюйтесь	звалювавсь	звалювалась	звалювалось	звалювались
звати	зву	звеш	зве	звем	звете	звуть	зви	звім	звіте	звав	звала	звало	звали
звеличити	звеличу	звеличиш	звеличить	звеличим	звеличите	звеличать	звелич	звеличмо	звеличте	звеличив	звеличила	звеличило	звеличили
звернути	зверну	звернеш	зверне	звернем	звернете	звернуть	зверни	звернім	зверніть	звернув	звернула	звернуло	звернули
звернутися	звернусь	звернешся	звернеться	звернемось	звернетесь	звернуться	звернись	звернімось	зверніться	звернувсь	звернулась	звернулось	звернулись
звертатися	звертаюсь	звертаєшся	звертається	звертаємось	звертаєтесь	звертаються	звертайсь	звертаймось	звертайтесь	звертавсь	зверталась	зверталось	звертались
звести	зведу	зведеш	зведе	зведем	зведете	зведуть	зведи	зведім	зведіть	звів	звела	звело	звели
звестися	зведусь	зведешся	зведеться	зведемось	зведетесь	зведуться	зведись	зведімось	зведіться	звівсь	звелась	звелось	звелись
звикнути	звикну	звикнеш	звикне	звикнем	звикнете	звикнуть	звикни	звикнім	звикніть	звик	звикла	звикло	звикли
звинуватити	звинувачу	звинуватиш	звинуватить	звинуватим	звинуватите	звинуватять	звинувать	звинуватьмо	звинуватьте	звинуватив	звинуватила	звинуватило	звинуватили
звинути	звину	звинеш	звине	звинем	звинете	звинуть	звинь	звиньмо	звиньте	звинув	звинула	звинуло	звинули
звиснути	звисну	звиснеш	звисне	звиснем	звиснете	звиснуть	звисни	звиснім	звисніть	звис	звисла	звисло	звисли
звити	зів'ю	зів'єш	зів'є	зів'єм	зів'єте	зів'ють	звий	звиймо	звийте	звив	звила	звило	звили
зводитися	зводжусь	зводишся	зводиться	зводимось	зводитесь	зводяться	зводься	зводьмось	зводьтесь	зводивсь	зводилась	зводилось	зводились
зволожити	зволожу	зволожиш	зволожить	зволожим	зволожите	зволожать	зволож	зволожмо	зволожте	зволожив	зволожила	зволожило	зволожили
звужуватися	звужуюсь	звужуєшся	звужується	звужуємось	звужуєтесь	звужуються	звужуйсь	звужуймось	звужуйтесь	звужувавсь	звужувалась	звужувалось	звужувались
звузити	звужу	звузиш	звузить	звузим	звузите	звузять	звузь	звузьмо	звузьте	звузив	звузила	звузило	звузили
звучати	звучу	звучиш	звучить	звучим	звучите	звучать	звучи	звучім	звучіть	звучав	звучала	звучало	звучали
звільнятися	звільняюсь	звільняєшся	звільняється	звільняємось	звільняєтесь	звільняються	звільняйсь	звільняймось	звільняйтесь	звільнявсь	звільнялась	звільнялось	звільнялись
згаснути	згасну	згаснеш	згасне	згаснем	згаснете	згаснуть	згасни	згаснім	згасніть	згас	згасла	згасло	згасли
згинатися	згинаюсь	згинаєшся	згинається	згинаємось	згинаєтесь	згинаються	згинайсь	згинаймось	згинайтесь	згинавсь	згиналась	згиналось	згинались
згинути	згину	згинеш	згине	згинем	згинете	згинуть	згинь	згиньмо	згиньте	згинув	згинула	згинуло	згинули
згладити	згладжу	згладиш	згладить	згладим	згладите	згладять	згладь	згладьмо	згладьте	згладив	згладила	згладило	згладили
зголодніти	зголоднію	зголоднієш	зголодніє	зголоднієм	зголоднієте	зголодніють	зголодній	зголодніймо	зголоднійте	зголоднів	зголодніла	зголодніло	зголодніли
згорнути	згорну	згорнеш	згорне	згорнем	згорнете	згорнуть	згорни	згорнім	згорніть	згорнув	згорнула	згорнуло	згорнули
здавати	здаю	здаєш	здає	здаєм	здаєте	здають	здавай	здаваймо	здавайте	здавав	здавала	здавало	здавали
здаватися	здаюсь	здаєшся	здається	здаємось	здаєтесь	здаються	здавайсь	здаваймось	здавайтесь	здававсь	здавалась	здавалось	здавались
здати	здам	здаси	здасть	здамо	здасте	здадуть	здай	здаймо	здайте	здав	здала	здало	здали
здатися	здамся	здасись	здасться	здамось	здастесь	здадуться	здайсь	здаймось	здайтесь	здавсь	здалась	здалось	здались
здивуватися	здивуюсь	здивуєшся	здивується	здивуємось	здивуєтесь	здивуються	здивуйсь	здивуймось	здивуйтесь	здивувавсь	здивувалась	здивувалось	здивувались
здмухнути	здмухну	здмухнеш	здмухне	здмухнем	здмухнете	здмухнуть	здмухни	здмухнім	здмухніть	здмухнув	здмухнула	здмухнуло	здмухнули
здобувати	здобуваю	здобуваєш	здобуває	здобуваєм	здобуваєте	здобувають	здобувай	здобуваймо	здобувайте	здобував	здобувала	здобувало	здобували
здобути	здобуду	здобудеш	здобуде	здобудем	здобудете	здобудуть	здобудь	здобудьмо	здобудьте	здобув	здобула	здобуло	здобули
здогадатися	здогадаюсь	здогадаєшся	здогадається	здогадаємось	здогадаєтесь	здогадаються	здогадайсь	здогадаймось	здогадайтесь	здогадавсь	здогадалась	здогадалось	здогадались
здогадуватися	здогадуюсь	здогадуєшся	здогадується	здогадуємось	здогадуєтесь	здогадуються	здогадуйсь	здогадуймось	здогадуйтесь	здогадувавсь	здогадувалась	здогадувалось	здогадувались
здохнути	здохну	здохнеш	здохне	здохнем	здохнете	здохнуть	здохни	здохнім	здохніть	здох	здохла	здохло	здохли
здригатися	здригаюсь	здригаєшся	здригається	здригаємось	здригаєтесь	здригаються	здригайсь	здригаймось	здригайтесь	здригавсь	здригалась	здригалось	здригались
здригнутися	здригнусь	здригнешся	здригнеться	здригнемось	здригнетесь	здригнуться	здригнись	здригнімось	здригніться	здригнувсь	здригнулась	здригнулось	здригнулись
здуріти	здурію	здурієш	здуріє	здурієм	здурієте	здуріють	здурій	здуріймо	здурійте	здурів	здуріла	здуріло	здуріли
здійматися	здіймаюсь	здіймаєшся	здіймається	здіймаємось	здіймаєтесь	здіймаються	здіймайсь	здіймаймось	здіймайтесь	здіймавсь	здіймалась	здіймалось	здіймались
здійняти	здійму	здіймеш	здійме	здіймем	здіймете	здіймуть	здійми	здіймім	здійміте	здійняв	здійняла	здійняло	здійняли
здійнятися	здіймусь	здіймешся	здійметься	здіймемось	здійметесь	здіймуться	здіймись	здіймімось	здійміться	здійнявсь	здійнялась	здійнялось	здійнялись
здійснюватися	здійснююсь	здійснюєшся	здійснюється	здійснюємось	здійснюєтесь	здійснюються	здійснюйсь	здійснюймось	здійснюйтесь	здійснювавсь	здійснювалась	здійснювалось	здійснювались
зекономити	зекономлю	зекономиш	зекономить	зекономим	зекономите	зекономлять	зеконом	зекономмо	зекономте	зекономив	зекономила	зекономило	зекономили
зеленіти	зеленію	зеленієш	зеленіє	зеленієм	зеленієте	зеленіють	зеленій	зеленіймо	зеленійте	зеленів	зеленіла	зеленіло	зеленіли
зжерти	зжеру	зжереш	зжере	зжерем	зжерете	зжеруть	зжери	зжерім	зжеріть	зжер	зжерла	зжерло	зжерли
зжити	зживу	зживеш	зживе	зживем	зживете	зживуть	зживи	зживім	зживіть	зжив	зжила	зжило	зжили
зирнути	зирну	зирнеш	зирне	зирнем	зирнете	зирнуть	зирни	зирнім	зирніть	зирнув	зирнула	зирнуло	зирнули
зичити	зичу	зичиш	зичить	зичим	зичите	зичать	зич	зичмо	зичте	зичив	зичила	зичило	зичили
зливатися	зливаюсь	зливаєшся	зливається	зливаємось	зливаєтесь	зливаються	зливайсь	зливаймось	зливайтесь	зливавсь	зливалась	зливалось	зливались
зловтішатися	зловтішаюсь	зловтішаєшся	зловтішається	зловтішаємось	зловтішаєтесь	зловтішаються	зловтішайсь	зловтішаймось	зловтішайтесь	зловтішавсь	зловтішалась	зловтішалось	зловтішались
злякатися	злякаюсь	злякаєшся	злякається	злякаємось	злякаєтесь	злякаються	злякайсь	злякаймось	злякайтесь	злякавсь	злякалась	злякалось	злякались
змагатися	змагаюсь	змагаєшся	змагається	змагаємось	змагаєтесь	змагаються	змагайсь	змагаймось	змагайтесь	змагавсь	змагалась	змагалось	змагались
змахнути	змахну	змахнеш	змахне	змахнем	змахнете	змахнуть	змахни	змахнім	змахніть	змахнув	змахнула	змахнуло	змахнули
зменшити	зменшу	зменшиш	зменшить	зменшим	зменшите	зменшать	зменш	зменшмо	зменште	зменшив	зменшила	зменшило	зменшили
зменшуватися	зменшуюсь	зменшуєшся	зменшується	зменшуємось	зменшуєтесь	зменшуються	зменшуйсь	зменшуймось	зменшуйтесь	зменшувавсь	зменшувалась	зменшувалось	зменшувались
змити	змию	змиєш	змиє	змиєм	змиєте	змиють	змий	змиймо	змийте	змив	змила	змило	змили
змовитися	змовлюсь	змовишся	змовиться	змовимось	змовитесь	змовляться	змовся	змовмось	змовтесь	змовивсь	змовилась	змовилось	змовились
змовлятися	змовляюсь	змовляєшся	змовляється	змовляємось	змовляєтесь	змовляються	змовляйсь	змовляймось	змовляйтесь	змовлявсь	змовлялась	змовлялось	змовлялись
змогти	зможу	зможеш	зможе	зможем	зможете	зможуть	зможи	зможім	зможіть	зміг	змогла	змогло	змогли
змусити	змушу	змусиш	змусить	змусим	змусите	змусять	змусь	змусьмо	змусьте	змусив	змусила	змусило	змусили
змінюватися	змінююсь	змінюєшся	змінюється	змінюємось	змінюєтесь	змінюються	змінюйсь	змінюймось	змінюйтесь	змінювавсь	змінювалась	змінювалось	змінювались
знайомити	знайомлю	знайомиш	знайомить	знайомим	знайомите	знайомлять	знайом	знайоммо	знайомте	знайомив	знайомила	знайомило	знайомили
знайомитися	знайомлюсь	знайомишся	знайомиться	знайомимось	знайомитесь	знайомляться	знайомся	знайоммось	знайомтесь	знайомивсь	знайомилась	знайомилось	знайомились
знайти	знайду	знайдеш	знайде	знайдем	знайдете	знайдуть	знайди	знайдім	знайдіте	знайшов	знайшла	знайшло	знайшли
знайтися	знайдусь	знайдешся	знайдеться	знайдемось	знайдетесь	знайдуться	знайдись	знайдімось	знайдіться	знайшовсь	знайшлась	знайшлось	знайшлись
знахабніти	знахабнію	знахабнієш	знахабніє	знахабнієм	знахабнієте	знахабніють	знахабній	знахабніймо	знахабнійте	знахабнів	знахабніла	знахабніло	знахабніли
знаходити	знаходжу	знаходиш	знаходить	знаходим	знаходите	знаходять	знаходь	знаходьмо	знаходьте	знаходив	знаходила	знаходило	знаходили
знаходитися	знаходжусь	знаходишся	знаходиться	знаходимось	знаходитесь	знаходяться	знаходься	знаходьмось	знаходьтесь	знаходивсь	знаходилась	знаходилось	знаходились
знезаразити	знезаражу	знезаразиш	знезаразить	знезаразим	знезаразите	знезаразять	знезаразь	знезаразьмо	знезаразьте	знезаразив	знезаразила	знезаразило	знезаразили
знепритомніти	знепритомнію	знепритомнієш	знепритомніє	знепритомнієм	знепритомнієте	знепритомніють	знепритомній	знепритомніймо	знепритомнійте	знепритомнів	знепритомніла	знепритомніло	знепритомніли
знесилити	знесилю	знесилиш	знесилить	знесилим	знесилите	знесилять	знесиль	знесильмо	знесильте	знесилив	знесилила	знесилило	знесилили
знести	знесу	знесеш	знесе	знесем	знесете	знесуть	знеси	знесім	знесіть	зніс	знесла	знесло	знесли
знеструмити	знеструмлю	знеструмиш	знеструмить	знеструмим	знеструмите	знеструмлять	знеструм	знеструммо	знеструмте	знеструмив	знеструмила	знеструмило	знеструмили
знешкодити	знешкоджу	знешкодиш	знешкодить	знешкодим	знешкодите	знешкодять	знешкодь	знешкодьмо	знешкодьте	знешкодив	знешкодила	знешкодило	знешкодили
знижуватися	знижуюсь	знижуєшся	знижується	знижуємось	знижуєтесь	знижуються	знижуйсь	знижуймось	знижуйтесь	знижувавсь	знижувалась	знижувалось	знижувались
знизити	знижу	знизиш	знизить	знизим	знизите	знизять	знизь	знизьмо	знизьте	знизив	знизила	знизило	знизили
зникнути	зникну	зникнеш	зникне	зникнем	зникнете	зникнуть	зникни	зникнім	зникніть	зник	зникла	зникло	зникли
знищуватися	знищуюсь	знищуєшся	знищується	знищуємось	знищуєтесь	знищуються	знищуйсь	знищуймось	знищуйтесь	знищувавсь	знищувалась	знищувалось	знищувались
знущатися	знущаюсь	знущаєшся	знущається	знущаємось	знущаєтесь	знущаються	знущайсь	знущаймось	знущайтесь	знущавсь	знущалась	знущалось	знущались
зняти	зніму	знімеш	зніме	знімем	знімете	знімуть	зніми	знімім	зніміте	зняв	зняла	зняло	зняли
знівечити	знівечу	знівечиш	знівечить	знівечим	знівечите	знівечать	знівеч	знівечмо	знівечте	знівечив	знівечила	знівечило	знівечили
зніяковіти	зніяковію	зніяковієш	зніяковіє	зніяковієм	зніяковієте	зніяковіють	зніяковій	зніяковіймо	зніяковійте	зніяковів	зніяковіла	зніяковіло	зніяковіли
зобов'язати	зобов'яжу	зобов'яжеш	зобов'яже	зобов'яжем	зобов'яжете	зобов'яжуть	зобов'яжи	зобов'яжім	зобов'яжіть	зобов'язав	зобов'язала	зобов'язало	зобов'язали
зосереджуватися	зосереджуюсь	зосереджуєшся	зосереджується	зосереджуємось	зосереджуєтесь	зосереджуються	зосереджуйсь	зосереджуймось	зосереджуйтесь	зосереджувавсь	зосереджувалась	зосереджувалось	зосереджувались
зосередити	зосереджу	зосередиш	зосередить	зосередим	зосередите	зосередять	зосередь	зосередьмо	зосередьте	зосередив	зосередила	зосередило	зосередили
зосередитися	зосереджусь	зосередишся	зосередиться	зосередимось	зосередитесь	зосередяться	зосередься	зосередьмось	зосередьтесь	зосередивсь	зосередилась	зосередилось	зосередились
зоставатися	зостаюсь	зостаєшся	зостається	зостаємось	зостаєтесь	зостаються	зоставайсь	зоставаймось	зоставайтесь	зостававсь	зоставалась	зоставалось	зоставались
зостатися	зостанусь	зостанешся	зостанеться	зостанемось	зостанетесь	зостануться	зостанься	зостаньмось	зостаньтесь	зоставсь	зосталась	зосталось	зостались
зрадити	зраджу	зрадиш	зрадить	зрадим	зрадите	зрадять	зрадь	зрадьмо	зрадьте	зрадив	зрадила	зрадило	зрадили
зрадіти	зрадію	зрадієш	зрадіє	зрадієм	зрадієте	зрадіють	зрадій	зрадіймо	зрадійте	зрадів	зраділа	зраділо	зраділи
зректися	зречусь	зречешся	зречеться	зречемось	зречетесь	зречуться	зречись	зречімось	зречіться	зрікся	зреклась	зреклось	зреклись
зриватися	зриваюсь	зриваєшся	зривається	зриваємось	зриваєтесь	зриваються	зривайсь	зриваймось	зривайтесь	зривавсь	зривалась	зривалось	зривались
зрозуміти	зрозумію	зрозумієш	зрозуміє	зрозумієм	зрозумієте	зрозуміють	зрозумій	зрозуміймо	зрозумійте	зрозумів	зрозуміла	зрозуміло	зрозуміли
зрости	зросту	зростеш	зросте	зростем	зростете	зростуть	зрости	зростім	зростіть	зріс	зросла	зросло	зросли
зрушити	зрушу	зрушиш	зрушить	зрушим	зрушите	зрушать	зруш	зрушмо	зруште	зрушив	зрушила	зрушило	зрушили
