# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
бурмотати	бурмочу	бурмочеш	бурмоче	бурмочем	бурмочете	бурмочуть	бурмочи	бурмочім	бурмочіть	бурмотав	бурмотала	бурмотало	бурмотали
бурчати	бурчу	бурчиш	бурчить	бурчим	бурчите	бурчать	бурчи	бурчім	бурчіть	бурчав	бурчала	бурчало	бурчали
бути	є	є	є	є	є	суть	будь	будьмо	будьте	був	була	було	були
бігти	біжу	біжиш	біжить	біжим	біжите	біжать	біжи	біжім	біжіте	біг	бігла	бігло	бігли
бідкатися	бідкаюсь	бідкаєшся	бідкається	бідкаємось	бідкаєтесь	бідкаються	бідкайсь	бідкаймось	бідкайтесь	бідкавсь	бідкалась	бідкалось	бідкались
бідніти	біднію	біднієш	бідніє	біднієм	біднієте	бідніють	бідній	бідніймо	біднійте	біднів	бідніла	бідніло	бідніли
біліти	білію	білієш	біліє	білієм	білієте	біліють	білій	біліймо	білійте	білів	біліла	біліло	біліли
біснуватися	біснуюсь	біснуєшся	біснується	біснуємось	біснуєтесь	біснуються	біснуйсь	біснуймось	біснуйтесь	біснувавсь	біснувалась	біснувалось	біснувались
в'язати	в'яжу	в'яжеш	в'яже	в'яжем	в'яжете	в'яжуть	в'яжи	в'яжім	в'яжіте	в'язав	в'язала	в'язало	в'язали
в'язнути	в'язну	в'язнеш	в'язне	в'язнем	в'язнете	в'язнуть	в'язни	в'язнім	в'язніть	в'язнув	в'язнула	в'язнуло	в'язнули
в'янути	в'яну	в'янеш	в'яне	в'янем	в'янете	в'януть	в'янь	в'яньмо	в'яньте	в'яв	в'яла	в'яло	в'яли
в'їхати	в'їду	в'їдеш	в'їде	в'їдем	в'їдете	в'їдуть	в'їдь	в'їдьмо	в'їдьте	в'їхав	в'їхала	в'їхало	в'їхали
вабити	ваблю	вабиш	вабить	вабим	вабите	ваблять	ваб	вабмо	вабте	вабив	вабила	вабило	вабили
вагатися	вагаюсь	вагаєшся	вагається	вагаємось	вагаєтесь	вагаються	вагайсь	вагаймось	вагайтесь	вагавсь	вагалась	вагалось	вагались
вагітніти	вагітнію	вагітнієш	вагітніє	вагітнієм	вагітнієте	вагітніють	вагітній	вагітніймо	вагітнійте	вагітнів	вагітніла	вагітніло	вагітніли
важити	важу	важиш	важить	важим	важите	важать	важ	важмо	важте	важив	важила	важило	важили
валандатися	валандаюсь	валандаєшся	валандається	валандаємось	валандаєтесь	валандаються	валандайсь	валандаймось	валандайтесь	валандавсь	валандалась	валандалось	валандались
валятися	валяюсь	валяєшся	валяється	валяємось	валяєтесь	валяються	валяйсь	валяймось	валяйтесь	валявсь	валялась	валялось	валялись
вантажити	вантажу	вантажиш	вантажить	вантажим	вантажите	вантажать	вантаж	вантажмо	вантажте	вантажив	вантажила	вантажило	вантажили
вберегти	вбережу	вбережеш	вбереже	вбережем	вбережете	вбережуть	вбережи	вбережім	вбережіть	вберіг	вберегла	вберегло	вберегли
вбити	вб'ю	вб'єш	вб'є	вб'єм	вб'єте	вб'ють	вбий	вбиймо	вбийте	вбив	вбила	вбило	вбили
вбрати	вберу	вбереш	вбере	вберем	вберете	вберуть	вбери	вберім	вберіть	вбрав	вбрала	вбрало	вбрали
вбігти	вбіжу	вбіжиш	вбіжить	вбіжим	вбіжите	вбіжать	вбіжи	вбіжім	вбіжіть	вбіг	вбігла	вбігло	вбігли
вважатися	вважаюсь	вважаєшся	вважається	вважаємось	вважаєтесь	вважаються	вважайсь	вважаймось	вважайтесь	вважавсь	вважалась	вважалось	вважались
ввезти	ввезу	ввезеш	ввезе	ввезем	ввезете	ввезуть	ввези	ввезім	ввезіть	ввіз	ввезла	ввезло	ввезли
ввести	введу	введеш	введе	введем	введете	введуть	введи	введім	введіть	ввів	ввела	ввело	ввели
вводити	вводжу	вводиш	вводить	вводим	вводите	вводять	вводь	вводьмо	вводьте	вводив	вводила	вводило	вводили
ввозити	ввожу	ввозиш	ввозить	ввозим	ввозите	ввозять	ввозь	ввозьмо	ввозьте	ввозив	ввозила	ввозило	ввозили
ввібрати	вберу	вбереш	вбере	вберем	вберете	вберуть	вбери	вберім	вберіть	ввібрав	ввібрала	ввібрало	ввібрали
ввійти	ввійду	ввійдеш	ввійде	ввійдем	ввійдете	ввійдуть	ввійди	ввійдім	ввійдіть	ввійшов	ввійшла	ввійшло	ввійшли
ввімкнути	ввімкну	ввімкнеш	ввімкне	ввімкнем	ввімкнете	ввімкнуть	ввімкни	ввімкнім	ввімкніть	ввімкнув	ввімкнула	ввімкнуло	ввімкнули
вдавати	вдаю	вдаєш	вдає	вдаєм	вдаєте	вдають	вдавай	вдаваймо	вдавайте	вдавав	вдавала	вдавало	вдавали
вдаватися	вдаюсь	вдаєшся	вдається	вдаємось	вдаєтесь	вдаються	вдавайсь	вдаваймось	вдавайтесь	вдававсь	вдавалась	вдавалось	вдавались
вдарити	вдарю	вдариш	вдарить	вдарим	вдарите	вдарять	вдар	вдармо	вдарте	вдарив	вдарила	вдарило	вдарили
вдати	вдам	вдаси	вдасть	вдамо	вдасте	вдадуть	вдай	вдаймо	вдайте	вдав	вдала	вдало	вдали
вдатися	вдамся	вдасись	вдасться	вдамось	вдастесь	вдадуться	вдайсь	вдаймось	вдайтесь	вдавсь	вдалась	вдалось	вдались
вдертися	вдерусь	вдерешся	вдереться	вдеремось	вдеретесь	вдеруться	вдерись	вдерімось	вдеріться	вдерся	вдерлась	вдерлось	вдерлись
вдиратися	вдираюсь	вдираєшся	вдирається	вдираємось	вдираєтесь	вдираються	вдирайсь	вдираймось	вдирайтесь	вдиравсь	вдиралась	вдиралось	вдирались
вдихнути	вдихну	вдихнеш	вдихне	вдихнем	вдихнете	вдихнуть	вдихни	вдихнім	вдихніть	вдихнув	вдихнула	вдихнуло	вдихнули
вдосконалити	вдосконалю	вдосконалиш	вдосконалить	вдосконалим	вдосконалите	вдосконалять	вдоскональ	вдоскональмо	вдоскональте	вдосконалив	вдосконалила	вдосконалило	вдосконалили
вдуматися	вдумаюсь	вдумаєшся	вдумається	вдумаємось	вдумаєтесь	вдумаються	вдумайсь	вдумаймось	вдумайтесь	вдумавсь	вдумалась	вдумалось	вдумались
вдунути	вдуну	вдунеш	вдуне	вдунем	вдунете	вдунуть	вдунь	вдуньмо	вдуньте	вдунув	вдунула	вдунуло	вдунули
